id	loai	vi	en	tm	ghi_chu	src
s001	p	Thường trú nhân Cộng Hòa Síp | Dự án khu biệt thự cao cấp	Cyprus permanent residence | Premium villa community			acf.s001_p
s002	h1	Coral Vista	Coral Vista			acf.s002_h1
s003	p	Biệt thự cao cấp tại Paphos – Lộ trình thường trú nhân vĩnh viễn Cộng Hòa Síp	Premium villas in Paphos — a route to permanent residence in Cyprus			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}villa{/2}Mức đầu tư tối thiểu{/1}**480.000 EUR**	{1}{2}villa{/2}Minimum investment{/1}**€480,000**	86%: {1}{2}paid{/2}Minimum investment{/1}**€250,000**		acf.s005_p#1
s006	p	{1}{2}holiday_village{/2}Quy mô dự án{/1}**19 biệt thự**	{1}{2}holiday_village{/2}Project size{/1}**19 villas**			acf.s006_p#1
s007	p	{1}{2}bed{/2}Loại căn{/1}**Biệt thự cao cấp**	{1}{2}bed{/2}Unit type{/1}**Premium villas**			acf.s007_p#1
s008	cta	Coral Vista	Coral Vista		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Pafilia	Developer Pafilia			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình thường trú nhân	The permanent residence route	87%: Your route to the{br} {1}Greece Golden Visa{/1}		acf.s015_cta
s016	cta	Lợi thế thường trú nhân	Permanent residence advantages	86%: Advantages of the{br} {1}Greece Golden Visa{/1}		acf.s016_cta
s017	h2	Vị trí đỉnh đồi &{br} {1}tầm nhìn Địa Trung Hải{/1}	A hilltop setting &{br} {1}Mediterranean views{/1}			acf.s017_h2#1
s018	p	Coral Vista {1}·{/1} Đỉnh đồi Peyia {2}·{/2} Paphos, Cộng Hòa Síp	Coral Vista {1}·{/1} Peyia hilltop {2}·{/2} Paphos, Cyprus			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Kết nối thuận tiện	Convenient access	100%: Convenient access		acf.s020_p
s021	h3	Vị trí đỉnh đồi, tầm nhìn rộng mở	A hilltop position with open views			acf.s021_h3
s022	h4	Coral Bay	Coral Bay			acf.s022_h4
s023	p	Khoảng 10 phút lái xe đến bãi biển đạt chuẩn Blue Flag.	About a 10-minute drive to a Blue Flag beach.			acf.s023_p
s024	h4	Sân bay quốc tế Paphos	Paphos International Airport	86%: Athens International Airport		acf.s024_h4
s025	p	Khoảng 40 phút lái xe.	About a 40-minute drive.			acf.s025_p
s026	h4	Cảnh quan thiên nhiên	Natural scenery			acf.s026_h4
s027	p	Tầm nhìn Địa Trung Hải, vườn quốc gia Akamas và rừng thông Pikni.	Views over the Mediterranean, Akamas National Park, and the Pikni pine forest.			acf.s027_p
s028	h4	Tiện ích lân cận	Amenities nearby			acf.s028_h4
s029	p	Gần trường quốc tế TLC, siêu thị, chợ địa phương, nhà hàng và quán cà phê.	Close to the TLC international school, supermarkets, local markets, restaurants, and cafes.			acf.s029_p
s030	h2	Biệt thự cao cấp tại {1}Peyia, Paphos{/1}	Premium villas in {1}Peyia, Paphos{/1}			acf.s030_h2#1
s031	p	19 biệt thự tọa lạc trên đỉnh đồi Peyia, hướng tầm nhìn ra Địa Trung Hải, vườn quốc gia Akamas và rừng thông Pikni.	19 villas set on the Peyia hilltop, facing the Mediterranean, Akamas National Park, and the Pikni pine forest.			acf.s031_p
s032	p	Không gian sống riêng tư, yên bình, phù hợp cho nhu cầu an cư, nghỉ dưỡng và sở hữu bất động sản tại Síp.	A private, quiet setting that suits a permanent home, a holiday retreat, or a real estate holding in Cyprus.			acf.s032_p
s033	p	Dự án do Pafilia phát triển, đơn vị có hơn 45 năm kinh nghiệm trong lĩnh vực bất động sản tại Cộng Hòa Síp.	The project is developed by Pafilia, a firm with more than 45 years of real estate experience in Cyprus.			acf.s033_p
s034	p	Giá biệt thự từ 480.000 EUR; mức đầu tư bất động sản đủ điều kiện xét thường trú nhân Síp từ 300.000 EUR + VAT.	Villas start at €480,000; the Cyprus real estate investment that qualifies for permanent residence starts at €300,000 plus VAT.			acf.s034_p
s035	p	Nhà đầu tư và gia đình có thể nộp hồ sơ xin thường trú nhân vĩnh viễn Síp khi đáp ứng điều kiện chương trình.	You and your family can apply for permanent residence in Cyprus once you meet the program conditions.	85%: You and your family can apply for a Greek residence permit if you meet the program conditions.		acf.s035_p
s036	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s036_cta
s037	h3	Thông tin dự án	Project information	100%: Project information		acf.s037_h3
s038	p	Vị trí	Location	100%: Location		acf.s038_p
s039	p	Đỉnh đồi Peyia, Paphos	Peyia hilltop, Paphos			acf.s039_p
s040	p	Tầm nhìn	Views			acf.s040_p
s041	p	Địa Trung Hải, Akamas và rừng Pikni	The Mediterranean, Akamas, and the Pikni forest			acf.s041_p
s042	p	Loại hình	Property type	100%: Property type		acf.s042_p
s043	p	Biệt thự cao cấp	Premium villas			acf.s043_p
s044	p	Quy mô	Scale	100%: Scale		acf.s044_p
s045	p	19 biệt thự	19 villas			acf.s045_p
s046	p	Thiết kế	Design			acf.s046_p
s047	p	Ba phong cách kiến trúc	Three architectural styles			acf.s047_p
s048	p	Mức đầu tư	Investment	100%: Investment		acf.s048_p
s049	p	Từ 480.000 EUR	From €480,000	92%: From €400,000		acf.s049_p
s050	p	Nhà phát triển	Developer	100%: Developer		acf.s050_p
s051	p	Pafilia	Pafilia			acf.s051_p
s052	h2	Thiết kế & tiện ích {1}đậm chất Địa Trung Hải{/1}	Design & amenities {1}with a Mediterranean feel{/1}			acf.s052_h2#1
