id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Thường trú nhân Ireland	Ireland Golden Visa	100%: Ireland Residency by Investment	"#bo-qua-tn: tên trang dùng cụm người bản xứ gõ ""golden visa"", đồng bộ với trang Hy Lạp ""Greece Golden Visa"""	post_title
s002	p	THÔNG BÁO	Notice			acf.product_notice_eyebrow
s003	h2	NHỮNG SUẤT ĐẦU TƯ IRELAND IIP - SỐ LƯỢNG CÒN HẠN CHẾ	Ireland IIP: what remains open after the 2023 closure			acf.product_notice_title
s004	li	Ireland IIP đã ngừng nhận hồ sơ mới từ 15/02/2023	Ireland's Immigrant Investor Programme (IIP) stopped accepting new applications on February 15, 2023			acf.product_notice_bullets[0].product_notice_bullet_text
s005	li	Dự án trao tặng đủ điều kiện pháp lý vẫn được tiếp nhận suất đầu tư để hoàn tất gọi vốn	Legally eligible endowment projects may still accept investment allocations to complete their fundraising			acf.product_notice_bullets[1].product_notice_bullet_text
s006	li	IMM Group - đơn vị đầu tiên triển khai hồ sơ Ireland tại Việt Nam từ 2017, đối tác độc quyền của Quỹ đầu tư Eterna - đang giữ những suất trao tặng hợp lệ với số lượng có hạn	IMM Group — the first firm to process Ireland applications in Vietnam, beginning in 2017, and the exclusive partner of the Eterna investment fund — currently holds a limited number of eligible endowment allocations		#viet-nam-hop-le	acf.product_notice_bullets[2].product_notice_bullet_text
s007	li	Sau khi nhập tịch Ireland: đủ điều kiện sinh sống và làm việc tại EU và Anh Quốc theo quy định	Once you naturalize as an Irish citizen, you are eligible to live and work across the EU and, under the Common Travel Area, in the UK — subject to the applicable rules			acf.product_notice_bullets[3].product_notice_bullet_text
s008	cta	Yêu cầu tư vấn	Book a consultation	100%: Book a consultation		acf.product_notice_cta[0].product_notice_cta_label
s009	h1	Thường trú nhân {1}Ireland{/1}	{1}Ireland{/1} Golden Visa	100% (gắn lại thẻ {1} {/1}): Ireland Residency by Investment	"#bo-qua-tn: H1 dùng từ khoá chính ""ireland golden visa""; Stamp 4 không phải permanent residence nên không dịch là permanent resident"	acf.product_hero_title.product_hero_title_content#1
s010	h3	ĐẦU TƯ LẤY QUYỀN CƯ TRÚ IRELAND DIỆN STAMP 4 (IIP)	Ireland golden visa: Stamp 4 residency through the Immigrant Investor Programme (IIP)			acf.product_hero_content[0].product_hero_content_title
