id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Úc diện đầu tư 888B	Australia 888B Investor Visa			post_title
s002	h1	VISA ÚC DIỆN ĐẦU TƯ {1}888B{/1}	Australia {1}888B{/1} Investor Visa			acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa 888B là gì?	What is the 888B visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Visa 888B là visa thường trú nhân Úc diện đầu tư, dành cho nhà đầu tư đã có visa 188B.	The 888B Investor visa is Australia's permanent residence visa for investors who already hold a 188B visa.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần duy trì khoản đầu tư đủ điều kiện và đáp ứng yêu cầu cư trú để chuyển từ 188B tạm trú lên 888B thường trú.	To move from the 188B provisional visa to 888B permanent residence, investors have to keep the complying investment in place and meet the residence requirement.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con phụ thuộc có thể cùng được cấp visa.	A spouse or partner and dependent children can be granted the visa at the same time.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Sau khi có thường trú nhân và đáp ứng điều kiện, nhà đầu tư có thể xét nộp hồ sơ xin quốc tịch Úc.	Once they hold permanent residence and meet the requirements, investors become eligible to apply for Australian citizenship.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Visa 888B không yêu cầu đầu tư thêm sau khi đã đáp ứng điều kiện chuyển tiếp từ 188B.	The 888B requires no additional investment once the transition requirements carried over from the 188B have been met.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN ÚC	Benefits of Australian permanent residence	88%: Benefits of Maltese permanent residence		acf.product_benefits_title
s011	h3	Sinh sống và làm việc tại Úc	Live and work in Australia	92%: Live and work in the U.S.		acf.product_benefits_items[0].product_benefits_item_title
