id	loai	vi	en	tm	ghi_chu	src
s001	p	Hành Trình	Journey			acf.s001_p
s002	p	Mở Đầu	Introduction			acf.s002_p
s003	p	IMM GROUP · EST. 2005	IMM Group · est. 2005			acf.s003_p
s004	h1	Đầu Tư{br} Định Cư Mỹ	U.S. Investor Visas{br}& Green Cards			acf.s004_h1#1
s005	p	Lộ trình lấy Thẻ xanh Mỹ diện doanh nhân & đầu tư	The U.S. investor visa and green card routes for entrepreneurs and investors			acf.s005_p#1
s006	p	CUỘN XUỐNG	Scroll down			acf.s006_p
s007	p	Mốc Quan Trọng	Key deadline			acf.s007_p
s008	p	Mốc quan trọng cho nhà đầu tư EB-5	Key deadline for EB-5 investors	100%: Key date for EB-5 investors		acf.s008_p
s009	h2	Hạn cuối nộp hồ sơ {1}I-526E{/1}:	Filing deadline for {1}Form I-526E{/1}:			acf.s009_h2#1
s010	p	30 / 09 / 2026	September 30, 2026			acf.s010_p
s011	p	Khi đầu tư EB-5, thời điểm nộp hồ sơ là yếu tố then chốt để kiểm soát chi phí và rủi ro pháp lý. Mốc **30/09/2026** ảnh hưởng trực tiếp đến **mức vốn 800.000 USD**, quyền lợi pháp lý và độ ổn định của hồ sơ.	For EB-5 investors, the timing of your filing is key to managing costs and legal risk. The **September 30, 2026** date directly affects the **US$800,000 investment amount**, your legal rights, and the stability of your petition.	100%: For EB-5 investors, the timing of your filing is key to managing costs and legal risk. The **September 30, 2026** date directly affects the **US$800,000 investment amount**, your legal rights, and the stability of your petition.		acf.s011_p#1
s012	p	{1}!{/1} Cơ chế Grandfathering — Bảo lưu hồ sơ	{1}!{/1} Grandfathering — protection for filed petitions	97%: Grandfathering protection for filed petitions		acf.s012_p#1
s013	p	Theo RIA 2022, chỉ hồ sơ **I-526E** nộp trước **30/09/2026** được bảo lưu các điều kiện hiện hành nếu chương trình có điều chỉnh sau này.	Under the EB-5 Reform and Integrity Act of 2022 (RIA), only **Form I-526E** petitions filed by **September 30, 2026** are grandfathered under the current requirements if the program is changed later.	100%: Under the EB-5 Reform and Integrity Act of 2022 (RIA), only **Form I-526E** petitions filed by **September 30, 2026** are grandfathered under the current requirements if the program is changed later.		acf.s013_p#1
s014	p	Giữ mức vốn	Amount locked in	100%: Preserve the investment amount		acf.s014_p
s015	p	800.000 USD	US$800,000	100%: US$800,000		acf.s015_p
s016	p	Giữ tiêu chí	Criteria preserved	100%: Preserve the current criteria		acf.s016_p
s017	p	Xét duyệt & quyền lợi	Rules and benefits	100%: Adjudication standards and benefits		acf.s017_p#1
s018	p	Miễn rủi ro	Protected status			acf.s018_p
s019	p	Khi luật điều chỉnh	If the law changes	100%: If the law changes		acf.s019_p
s020	p	Chương Trình	Programs	100%: Program		acf.s020_p
s021	p	Tổng quan	Overview			acf.s021_p
s022	h2	Các chương trình{br}đầu tư định cư Mỹ	U.S. investment immigration{br}programs	89%: Compare U.S. investment immigration programs		acf.s022_h2#1
s023	p	Mỗi chương trình cho nhà đầu tư & doanh nhân muốn an cư tại Mỹ phù hợp với mục tiêu, năng lực tài chính và mô hình kinh doanh khác nhau. Có thể chia thành 2 nhóm: đầu tư lấy thẻ xanh trực tiếp và định cư diện doanh nhân.	Each program suits a different goal, budget and business model for investors and entrepreneurs who want to settle in the United States. They fall into 2 groups: investing directly for a green card, and immigrating as a business owner.			acf.s023_p#1
s024	p	Nhóm A	Group A			acf.s024_p
s025	p	A	A			acf.s025_p
s026	p	{1}A{/1} Thẻ xanh trực tiếp	{1}A{/1} Direct green card	90%: A direct path to a green card		acf.s026_p#1
s027	h2	Đầu tư thẻ xanh Mỹ trực tiếp{br}{1}(EB-5, EB-1C){/1}	Invest directly for a U.S. green card{br}{1}(EB-5, EB-1C){/1}			acf.s027_h2#1
s028	p	Chương trình cấp thẻ xanh Mỹ vĩnh viễn trực tiếp cho nhà đầu tư cùng vợ/chồng và con dưới 21 tuổi.	These programs lead directly to a U.S. green card for you, your spouse and your children under 21.			acf.s028_p
s029	p	EB-5	EB-5			acf.s029_p
s030	p	ĐẦU TƯ QUA DỰ ÁN	Invest in a project			acf.s030_p
s031	p	EB-1C	EB-1C			acf.s031_p
s032	p	CÓ CÔNG TY MỸ	Own a U.S. company			acf.s032_p
s033	p	EB-5	EB-5		trung:s029	acf.s033_p
s034	p	01	01			acf.s034_p
s035	p	{1}01{/1} Nhóm A · Lựa chọn 01	{1}01{/1} Group A · Option 01			acf.s035_p#1
s036	p	EB-5	EB-5		trung:s029	acf.s036_p
s037	p	Mức đầu tư	Investment	100%: Investment amount		acf.s037_p
s038	p	800.000 USD	US$800,000	100%: US$800,000	trung:s015	acf.s038_p
s039	p	(~19,2 tỷ)	[BO]		#bo: số VND chỉ nhắc lại số USD, bỏ theo style guide mục 4	acf.s039_p
s040	p	Mục đích	Purpose			acf.s040_p
s041	p	Thẻ xanh Mỹ	Green card			acf.s041_p
s042	p	vĩnh viễn	permanent			acf.s042_p
s043	p	Xét duyệt	Processing			acf.s043_p
s044	p	1,5 – 2,5	1.5–2.5			acf.s044_p
s045	p	năm	years			acf.s045_p
s046	p	Hình thức đầu tư	How you invest			acf.s046_p
s047	p	Đầu tư vào dự án thỏa điều kiện của Sở Di trú Mỹ, tối thiểu 5 năm.	Invest in a project that meets U.S. Citizenship and Immigration Services (USCIS) requirements, for at least 5 years.			acf.s047_p
s048	p	Đặc quyền nổi bật	Key benefits			acf.s048_p
s049	p	Thẻ xanh cho đương đơn + vợ/chồng + con dưới 21 tuổi	A green card for you, your spouse and your children under 21			acf.s049_p
s050	p	Tự do sinh sống, làm việc, học tập tại mọi bang của Mỹ	Live, work and study anywhere in the United States			acf.s050_p
s051	p	Hưởng đầy đủ phúc lợi y tế, giáo dục, an sinh như công dân Mỹ (trừ quyền bầu cử)	Access to healthcare, education and most public benefits on the same terms as U.S. citizens, other than the right to vote			acf.s051_p
s052	p	Con học miễn phí trường công đến hết THPT	Free public schooling for your children through high school			acf.s052_p
s053	p	Học đại học với mức chi phí chỉ bằng ⅓ du học sinh	In-state tuition — about one-third of what international students pay		#bo-qua-so: ⅓ viết bằng chữ theo style guide mục 5	acf.s053_p
s054	p	Sau 5 năm có thẻ xanh, đủ điều kiện nộp đơn nhập quốc tịch Mỹ	After 5 years as a green card holder, you are eligible to apply for U.S. citizenship			acf.s054_p
s055	p	Hạn chế cần lưu ý	Points to consider			acf.s055_p
s056	p	Không phải visa nhanh — nhà đầu tư cần chờ đến lượt xét duyệt	Not a fast route — you wait for a visa number to become available			acf.s056_p
s057	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s057_cta
s058	cta	XEM CHI TIẾT	View details	100%: View details		acf.s058_cta
s059	p	EB-1C	EB-1C		trung:s031	acf.s059_p
s060	p	02	02			acf.s060_p
s061	p	{1}02{/1} Nhóm A · Lựa chọn 02	{1}02{/1} Group A · Option 02			acf.s061_p#1
s062	p	EB-1C	EB-1C		trung:s031	acf.s062_p
s063	p	Mức đầu tư	Investment	100%: Investment amount	trung:s037	acf.s063_p
s064	p	Tùy mô hình	Varies			acf.s064_p
s065	p	kinh doanh	by business			acf.s065_p
s066	p	Mục đích	Purpose		trung:s040	acf.s066_p
s067	p	Thẻ xanh Mỹ	Green card		trung:s041	acf.s067_p
s068	p	vĩnh viễn	permanent		trung:s042	acf.s068_p
s069	p	Xét duyệt	Processing		trung:s043	acf.s069_p
s070	p	Từ 6	From 6			acf.s070_p
s071	p	tháng	months			acf.s071_p
s072	p	Hình thức đầu tư	How you invest		trung:s046	acf.s072_p
s073	p	Đã có công ty tại Mỹ hoạt động tối thiểu 1 năm, kinh doanh hiệu quả và có kế hoạch phát triển khả thi.	You already own a U.S. company that has operated for at least 1 year, is performing well and has a workable growth plan.			acf.s073_p
s074	p	Đặc quyền nổi bật	Key benefits		trung:s048	acf.s074_p
s075	p	Thẻ xanh cho đương đơn + vợ/chồng + con dưới 21 tuổi	A green card for you, your spouse and your children under 21		trung:s049	acf.s075_p
s076	p	Tự do sinh sống, làm việc, học tập tại mọi bang của Mỹ	Live, work and study anywhere in the United States		trung:s050	acf.s076_p
s077	p	Đầy đủ phúc lợi y tế, giáo dục, an sinh như công dân Mỹ (trừ quyền bầu cử)	Access to healthcare, education and most public benefits on the same terms as U.S. citizens, other than the right to vote			acf.s077_p
s078	p	Con học miễn phí trường công đến hết THPT	Free public schooling for your children through high school		trung:s052	acf.s078_p
s079	p	Học đại học với chi phí chỉ bằng ⅓ du học sinh	In-state tuition — about one-third of what international students pay		#bo-qua-so: ⅓ viết bằng chữ theo style guide mục 5	acf.s079_p
s080	p	Sau 5 năm có thẻ xanh, đủ điều kiện nộp đơn nhập quốc tịch Mỹ	After 5 years as a green card holder, you are eligible to apply for U.S. citizenship		trung:s054	acf.s080_p
s081	p	Hạn chế cần lưu ý	Points to consider		trung:s055	acf.s081_p
s082	p	Chỉ dành cho nhà đầu tư đã sở hữu doanh nghiệp tại Mỹ	Only if you already own a U.S. business			acf.s082_p
s083	p	Khó chứng minh vai trò và sự cần thiết của nhà đầu tư đối với doanh nghiệp	It can be hard to prove your role and why the business needs you			acf.s083_p
s084	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s057	acf.s084_cta
s085	cta	XEM CHI TIẾT	View details	100%: View details	trung:s058	acf.s085_cta
s086	p	Nhóm B	Group B			acf.s086_p
s087	p	B	B			acf.s087_p
s088	p	{1}B{/1} Diện doanh nhân	{1}B{/1} The entrepreneur route			acf.s088_p#1
