id	loai	vi	en	tm	ghi_chu	src
s001	p	Thường trú nhân Cộng Hòa Síp | Dự án biệt thự nhà phố	Cyprus permanent residence | Villa and townhouse project	87%: Cyprus permanent residence | Premium villa community		acf.s001_p
s002	h1	Konia Green	Konia Green			acf.s002_h1
s003	p	Biệt thự & nhà phố cao cấp tại cố đô Paphos – Lộ trình thường trú nhân Cộng Hòa Síp	Premium villas and townhouses in Paphos, the ancient capital of Cyprus — a route to permanent residence in Cyprus			acf.s003_p#1
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}euro_symbol{/2}Mức đầu tư tối thiểu{/1}**Từ 345.000 EUR**	{1}{2}euro_symbol{/2}Minimum investment{/1}**From €345,000**			acf.s005_p#1
s006	p	{1}{2}home_work{/2}Quy mô dự án{/1}**34 biệt thự & 26 nhà phố**	{1}{2}home_work{/2}Project size{/1}**34 villas & 26 townhouses**			acf.s006_p#1
s007	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**	100%: {1}{2}check_circle{/2}Status{/1}**Units available**		acf.s007_p#1
s008	cta	Konia Green	Konia Green		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Pafilia	Developer Pafilia	100%: Developer Pafilia		acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Quyền lợi thường trú	Permanent residence benefits			acf.s015_cta
s016	img	Video dự án biệt thự và nhà phố Konia Green	Konia Green villa and townhouse project video			acf.s016_cta#1@alt
s017	cta	{1}play_arrow{/1}{2}Video giới thiệu Konia Green{/2}	{1}play_arrow{/1}{2}Konia Green project video{/2}			acf.s016_cta#2
s018	h2	Vị trí đắc địa &{br} {1}kết nối thuận tiện{/1}	A prime location &{br} {1}easy connections{/1}			acf.s017_h2#1
s019	p	Konia {1}·{/1} Paphos {2}·{/2} Cộng Hòa Síp	Konia {1}·{/1} Paphos {2}·{/2} Cyprus			acf.s018_p#1
s020	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s021	p	Vị trí dự án	Project location	100%: Project location		acf.s020_p
s022	h3	Gần trung tâm Paphos	Close to central Paphos	88%: Central Paphos		acf.s021_h3
s023	h4	Trung tâm Paphos	Central Paphos	100%: Central Paphos		acf.s022_h4
s024	p	Dự án nằm gần ngay trung tâm thành phố Paphos, chỉ cách trung tâm 5 phút và bãi biển 15 phút lái xe.	The project sits just outside central Paphos — a 5-minute drive to the city center and 15 minutes to the beach.			acf.s023_p
s025	h4	Sân bay Paphos	Paphos Airport			acf.s024_h4
s026	p	Dự án cách sân bay Paphos chỉ 12 phút lái xe.	A 12-minute drive to Paphos Airport.			acf.s025_p
s027	h4	Limassol	Limassol			acf.s026_h4
s028	p	Dự án cách thành phố Limassol chỉ 40 phút lái xe.	A 40-minute drive to Limassol.			acf.s027_p
s029	h4	Tiện ích xung quanh	Amenities nearby	100%: Amenities nearby		acf.s028_h4
s030	p	Vô số quán cafe ven biển, nhà hàng sang trọng, trường tư, bãi biển, thậm chí là các điểm tham quan khảo cổ – tất cả chỉ cách nhà vài phút lái xe.	Seafront cafes, fine restaurants, private schools, beaches, and even archaeological sites are all a few minutes' drive away.			acf.s029_p
s031	h2	Konia Green &{br} {1}lộ trình thường trú nhân Síp{/1}	Konia Green &{br} {1}the Cyprus permanent residence route{/1}			acf.s030_h2#1
s032	p	Tọa lạc ngay gần trung tâm của thành phố được UNESCO công nhận là Di sản thế giới - Paphos, Cộng Hòa Síp.	Set close to the center of Paphos, a UNESCO World Heritage city in Cyprus.			acf.s031_p
s033	p	Quần thể biệt thự và nhà phố với lối thiết kế tinh tế, sang trọng và đẳng cấp.	A community of villas and townhouses with a refined, high-end design.			acf.s032_p
s034	p	Lấy quyền thường trú vĩnh viễn Cộng Hòa Síp nhanh chóng, chỉ trong khoảng 12 tháng.	A route to permanent residence in Cyprus, typically in about 12 months.			acf.s033_p
s035	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s004	acf.s034_cta
s036	h3	Thông tin dự án	Project information	100%: Project information		acf.s035_h3
s037	p	Vị trí	Location	100%: Location		acf.s036_p
