id	loai	vi	en	tm	ghi_chu	src
s001	li	5. Con cái có thực sự muốn học tập và sống lâu dài tại Mỹ không?	5. Do your children truly want to study and build a long-term life in the United States?			
s002	li	6. Gia đình sẽ sắp xếp công việc và việc chăm sóc cha mẹ hai bên thế nào nếu không thể sang Mỹ cùng lúc?	6. If your family cannot move to the U.S. at the same time, how will you manage your work commitments and the care of parents on both sides of the family?			
s003	li	7. Giấy tờ pháp lý của doanh nghiệp và tài sản gia đình đã được chuyên gia độc lập xem xét kỹ chưa?	7. Have your business's legal documents and your family's assets been thoroughly reviewed by an independent professional?			
s004	li	8. Nếu khoản đầu tư không có lời nhưng nhận được Thẻ xanh, gia đình có chấp nhận không?	8. If the investment generates no return but your family obtains green cards, would that outcome be acceptable to you?			
s005	li	9. Nếu sau này đổi ý không sang Mỹ nữa, quyền lựa chọn này còn lại bao nhiêu giá trị?	9. If you later decide not to move to the U.S., how much value would this option still hold?			
s006	li	10. Tách rời các yếu tố thúc giục hay hội thảo quảng cáo, bản thân gia đình có tự nguyện muốn làm không?	10. Setting aside sales pressure and promotional seminars, does your family genuinely want to pursue this of its own accord?			
s007	p	Nếu phần lớn câu trả lời là rõ ràng, EB-5 là quyết định đáng để gia đình bạn tiến xa hơn. Nếu còn nhiều câu hỏi chưa có lời giải, điều đó có nghĩa là quyết định của gia đình chưa đủ độ chín chắn.	If you can answer most of these questions clearly, EB-5 is worth exploring further for your family. If many questions remain unanswered, your family may not yet be ready to decide.			
s008	h2	Quyết định sớm mang lại lợi ích kinh tế lớn, nhưng không nên làm trong cảm xúc	Deciding early can bring significant financial benefits, but emotion should not drive the decision			
s009	p	Một thực tế rõ ràng trong lịch sử chương trình EB-5 là mức tiền đầu tư tối thiểu đã liên tục tăng qua thời gian (từ 500.000 USD đã tăng lên 800.000 USD) và xu hướng trong tương lai sẽ còn tiếp tục tăng lên mức cao hơn. Chính vì vậy, yếu tố thời gian có ý nghĩa rất lớn.	One clear pattern in the history of the EB-5 program is that the minimum investment amount has risen over time (from US$500,000 to US$800,000), and it is expected to rise further. That is why timing matters so much.			
s010	p	Chúng tôi luôn khuyên khách hàng không nên vội vàng xuống tiền chỉ vì cảm xúc nhất thời, lo tước cơ hội hay bị thúc ép bởi các chiêu trò quảng cáo. Tuy nhiên, nếu gia đình đã tìm hiểu kỹ, thấy rõ nhu cầu và xác định mình phù hợp, việc đưa ra quyết định sớm sẽ mang lại lợi ích kinh tế rất lớn. Làm sớm giúp gia đình chốt được mức tiền đầu tư thấp ở hiện tại, tiết kiệm được một khoản tiền cực kỳ lớn so với việc chần chừ vài năm để rồi phải nộp mức tiền cao hơn nhiều về sau.	We always advise clients not to commit capital on impulse, out of fear of missing out, or under pressure from aggressive marketing. That said, if your family has done its research, understands its needs, and is confident the program is the right fit, deciding early can bring substantial financial benefits. Acting sooner can allow you to lock in today's lower investment amount and may save you a considerable sum compared with waiting a few years and then having to invest a higher amount.			
