id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quốc tịch Dominica	Dominica Citizenship by Investment	100%: Dominica Citizenship by Investment		post_title
s002	h1	QUỐC TỊCH {1}DOMINICA{/1}	{1}Dominica{/1} Citizenship by Investment	100% (gắn lại thẻ {1} {/1}): Dominica Citizenship by Investment		acf.product_hero_title.product_hero_title_content#1
s003	h3	QUỐC TỊCH DOMINICA LÀ GÌ?	What is Dominica citizenship by investment?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư lấy quốc tịch do Chính phủ Dominica ban hành (từ 1993).	Dominica citizenship by investment is a program run by the Government of Dominica, in place since 1993.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư có thể chọn quyên góp vào Quỹ Đa dạng Kinh tế hoặc đầu tư bất động sản được Chính phủ phê duyệt.	You can choose between a contribution to the Economic Diversification Fund (EDF) and an investment in a government-approved real estate project.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Sau khi có quốc tịch, được miễn visa đến 143 quốc gia trên toàn cầu.	Once you hold citizenship, you have visa-free or eVisa access to 143 destinations under current visa agreements.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Hồ sơ có thể bao gồm 3 thế hệ: vợ/chồng, con cái phụ thuộc, cha mẹ phụ thuộc trên 65 tuổi.	One application can cover 3 generations: your spouse, dependent children, and dependent parents over 65.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Thời gian thụ lý hồ sơ từ 8-10 tháng.	Processing takes 8–10 months.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	Thời gian duy trì đầu tư ngắn, chỉ 3 năm.	The holding period is short — just 3 years.			acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item
s010	li	Dominica được Financial Time đánh giá là lựa chọn lấy quốc tịch thứ hai tốt nhất thế giới trong 4 năm liên tiếp, 2017-2020.	The Financial Times rated Dominica the world's best second citizenship option for 4 consecutive years, 2017–2020.			acf.product_hero_content[0].product_hero_content_text[6].product_hero_content_text_item
