id	loai	vi	en	tm	ghi_chu	src
s001	p	Mở Đầu	Introduction	100%: Introduction		acf.s001_p
s002	p	Mở Đầu	Introduction	100%: Introduction	trung:s001	acf.s002_p
s003	p	IMM GROUP · EST. 2005	IMM Group · est. 2005	100%: IMM Group · est. 2005		acf.s003_p
s004	h1	Đầu Tư Định Cư New Zealand	New Zealand Investor Visa	100%: New Zealand investment immigration		acf.s004_h1
s005	p	Hộ chiếu quyền lực — tự do đi lại 187 quốc gia. Tư vấn bởi IMM Group.	The New Zealand investor visa · visa-free or eVisa access to 187 countries · advised by IMM Group			acf.s005_p
s006	cta	"/maxresdefault.jpg"" alt=""<?php echo esc_attr( $ov_nz_hero_video_title ); ?>"" width=""1280"" height=""720"" loading=""lazy"" decoding=""async"" onerror=""this.onerror=null;this.src='https://i.ytimg.com/vi/<?php echo esc_js( $ov_nz_hero_video_id ); ?>/hqdefault.jpg';"">"	[BO]		#bo: không phải chữ — là thẻ <img> mang thuộc tính PHP (alt, onerror) mà bộ rút bắt nhầm	acf.s006_cta#1
s007	p	CUỘN XUỐNG	Scroll down	100%: Scroll down		acf.s007_p
s008	p	Tổng Quan	Overview	100%: Overview		acf.s008_p
s009	p	Tổng quan	Overview	100%: Overview	trung:s008	acf.s009_p
s010	h2	Tổng quan về đầu tư định cư New Zealand	An overview of New Zealand investment immigration			acf.s010_h2
s011	p	Hiện có 2 chương trình đầu tư định cư New Zealand đang mở nhận hồ sơ, cùng 1 chương trình đã đóng chỉ còn mang tính tham khảo.	There are 2 New Zealand investor visa programs open to applications, plus 1 that has closed and is kept here for reference.			acf.s011_p
s012	p	Chương trình đang mở	Programs now open			acf.s012_p
s013	li	**Active Investor Plus Visa** — mức đầu tư 5 triệu NZD	**Active Investor Plus Visa** — from NZ$5 million			acf.s013_li#1
s014	li	**Business Investor Visa** — mức đầu tư 1–2 triệu NZD	**Business Investor Visa** — NZ$1–2 million			acf.s014_li#1
s015	p	Hộ chiếu New Zealand — top đầu thế giới	The New Zealand passport — among the world's strongest			acf.s015_p
s016	li	Miễn visa hoặc e-visa đến 187 quốc gia	Visa-free or eVisa access to 187 countries			acf.s016_li
s017	li	Tự do đi Mỹ, Anh, Canada, Úc, châu Âu	Travel freely to the United States, the United Kingdom, Canada, Australia, and Europe			acf.s017_li
s018	p	Chương Trình	Program	100%: Program		acf.s018_p
s019	p	Chương trình	Program	100%: Program	trung:s018	acf.s019_p
s020	h2	Các chương trình{br}đầu tư định cư New Zealand	New Zealand{br}investor visa programs			acf.s020_h2#1
s021	p	3 chương trình đầu tư định cư New Zealand: 2 chương trình đang mở (Business Investor Visa, Active Investor Plus Visa) và 1 chương trình đã đóng (Entrepreneur Work Visa — tham khảo).	Three New Zealand investor visa programs: 2 open to applications (Business Investor Visa, Active Investor Plus Visa) and 1 closed (Entrepreneur Work Visa — kept for reference).		"#bo-qua-so: mở câu bằng chữ số nên viết ""Three"" theo style guide mục 5"	acf.s021_p
s022	p	Nhóm A	Group A	100%: Group A		acf.s022_p
s023	p	A	A			acf.s023_p
s024	p	{1}A{/1} Chương trình đang mở	{1}A{/1} Programs now open			acf.s024_p#1
s025	h2	Chương trình đầu tư định cư{br}{1}đang mở nhận hồ sơ{/1}	Investor visa programs{br}{1}open to applications{/1}			acf.s025_h2#1
s026	p	Hai chương trình đầu tư định cư New Zealand đang nhận hồ sơ, cấp quyền cư trú cho cả gia đình và lộ trình lên thường trú & quốc tịch.	Two New Zealand investor visa programs are open to applications. Both give the whole family residence, with a route to permanent residence and citizenship.			acf.s026_p#1
s027	p	Active Investor Plus Visa	Active Investor Plus Visa			acf.s027_p
s028	p	ĐẦU TƯ TÀI CHÍNH · TỪ 5 TRIỆU NZD	Financial investment · from NZ$5 million			acf.s028_p
s029	p	Business Investor Visa	Business Investor Visa			acf.s029_p
s030	p	DOANH NHÂN · TỪ 1 TRIỆU NZD	Entrepreneur · from NZ$1 million			acf.s030_p
s031	p	Active Investor Plus	Active Investor Plus			acf.s031_p
s032	p	01	01			acf.s032_p
s033	p	{1}01{/1} Nhóm A · Đang mở	{1}01{/1} Group A · Open			acf.s033_p#1
s034	p	Active Investor Plus Visa	Active Investor Plus Visa		trung:s027	acf.s034_p
s035	p	Mức đầu tư	Investment	100%: Investment		acf.s035_p
s036	p	Từ 5 triệu	From 5 million			acf.s036_p
s037	p	NZD	NZD			acf.s037_p
s038	p	Mục đích	Purpose	100%: Purpose		acf.s038_p
s039	p	Quyền cư trú	Residence			acf.s039_p
s040	p	New Zealand	New Zealand			acf.s040_p
s041	p	Xét duyệt	Processing	100%: Processing		acf.s041_p
s042	p	Tùy hồ sơ	Case by case			acf.s042_p
s043	p	& khối lượng INZ	& INZ workload			acf.s043_p#1
s044	p	Hạng mục GROWTH — 5 triệu NZD (giữ 3 năm)	Growth category — NZ$5 million, held for 3 years			acf.s044_p
s045	li	Đầu tư trực tiếp doanh nghiệp tư nhân NZ	Direct investment in New Zealand private companies			acf.s045_li
s046	li	Quỹ quản lý / quỹ đầu tư mạo hiểm được NZTE phê duyệt	Managed funds and venture capital funds approved by NZTE			acf.s046_li
s047	p	Hạng mục BALANCED — 10 triệu NZD (giữ 5 năm)	Balanced category — NZ$10 million, held for 5 years			acf.s047_p
s048	li	Đầu tư trực tiếp, quỹ quản lý, cổ phiếu niêm yết	Direct investment, managed funds, listed shares			acf.s048_li
s049	li	Trái phiếu, hoạt động từ thiện	Bonds and philanthropic giving			acf.s049_li
s050	li	Dự án phát triển bất động sản mới	New property development projects			acf.s050_li
s051	p	Thành viên đi kèm	Family members you can include	97%: Which family members can be included?		acf.s051_p
s052	li	Vợ / chồng	Spouse	88%: Your spouse		acf.s052_li
s053	li	Con dưới 24 tuổi chưa kết hôn, phụ thuộc tài chính	Children under 24, unmarried and financially dependent	91%: Children under 30 who are unmarried and financially dependent		acf.s053_li
s054	p	Quyền lợi nổi bật	Key benefits			acf.s054_p
s055	p	Cấp thị thực NGAY sau khoản đầu tư đầu tiên	Your resident visa is issued once you have made the first investment			acf.s055_p
s056	p	Cư trú vô thời hạn, tự do ra vào 4 hoặc 6 năm đầu (tùy hạng mục)	Indefinite residence, with unrestricted travel for the first 4 or 6 years, depending on the category			acf.s056_p
s057	p	Y tế công miễn phí, con học miễn phí trường công đến THPT	Free public healthcare and free public schooling for your children through the end of secondary school			acf.s057_p
s058	p	Sau 4 năm duy trì đầu tư → xin Permanent Resident Visa	After 4 years of maintaining the investment, you can apply for a Permanent Resident Visa			acf.s058_p
s059	p	Sau 5 năm cư trú → xin quốc tịch NZ	After 5 years of residence, you can apply for New Zealand citizenship			acf.s059_p
s060	p	Hạn chế cần lưu ý	Points to consider	100%: Points to consider		acf.s060_p
s061	p	Vốn đầu tư rất cao — kén chọn nhà đầu tư	A very high investment threshold — it suits few investors			acf.s061_p
s062	p	Rủi ro tài chính cao hơn các chương trình thụ động	Higher financial risk than passive programs			acf.s062_p
s063	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s063_cta
s064	cta	XEM CHI TIẾT	View details	100%: View details		acf.s064_cta
s065	p	Business Investor	Business Investor			acf.s065_p
s066	p	02	02			acf.s066_p
s067	p	{1}02{/1} Nhóm A · Đang mở	{1}02{/1} Group A · Open			acf.s067_p#1
s068	p	Business Investor Visa	Business Investor Visa		trung:s029	acf.s068_p
s069	p	Mức đầu tư	Investment	100%: Investment	trung:s035	acf.s069_p
s070	p	Từ 1 triệu	From 1 million			acf.s070_p
s071	p	NZD	NZD		trung:s037	acf.s071_p
s072	p	Mục đích	Purpose	100%: Purpose	trung:s038	acf.s072_p
s073	p	Quyền cư trú	Residence		trung:s039	acf.s073_p
s074	p	New Zealand	New Zealand		trung:s040	acf.s074_p
s075	p	Lên thường trú	Time to PR			acf.s075_p
s076	p	Từ 12	From 12			acf.s076_p
s077	p	tháng (lộ trình nhanh)	months (fast route)			acf.s077_p
s078	p	2 lộ trình đầu tư	2 investment routes			acf.s078_p
s079	li	**Lộ trình THƯỜNG:** 1 triệu NZD (giữ 3 năm)	**Standard route:** NZ$1 million, held for 3 years			acf.s079_li#1
s080	li	**Lộ trình NHANH:** 2 triệu NZD (giữ 12 tháng)	**Fast route:** NZ$2 million, held for 12 months			acf.s080_li#1
s081	li	Mục đích: cư trú tạm thời → thường trú nhân NZ	Purpose: temporary residence leading to New Zealand permanent residence			acf.s081_li
s082	li	INZ nhận hồ sơ từ 11/2025	INZ has accepted applications since November 2025		"#bo-qua-so: ""11/2025"" viết thành tên tháng theo style guide mục 5"	acf.s082_li
s083	p	Hình thức đầu tư	How you invest	100%: How you invest		acf.s083_p
s084	li	Mua lại toàn bộ HOẶC sở hữu ≥25% cổ phần doanh nghiệp NZ	Buy a New Zealand business outright, or hold at least 25% of its shares			acf.s084_li
s085	li	Lộ trình thường: 1 triệu NZD, sau 3 năm vận hành → xin Resident Visa	Standard route: NZ$1 million; after 3 years running the business, you apply for a Resident Visa			acf.s085_li
s086	li	Lộ trình nhanh: 2 triệu NZD, sau 12 tháng vận hành → xin Resident Visa	Fast route: NZ$2 million; after 12 months running the business, you apply for a Resident Visa			acf.s086_li
s087	p	Yêu cầu tạo việc làm	Job creation requirements			acf.s087_p
s088	li	Duy trì 5 việc làm toàn thời gian	Maintain 5 full-time jobs			acf.s088_li
s089	li	Tạo ≥1 việc làm mới cho công dân / PR New Zealand	Create at least 1 new job for a New Zealand citizen or permanent resident			acf.s089_li
s090	p	Quyền lợi nổi bật	Key benefits		trung:s054	acf.s090_p
s091	p	Cả gia đình cư trú, học tập, làm việc tại NZ	The whole family can live, study, and work in New Zealand			acf.s091_p
s092	p	Y tế công miễn phí, con học miễn phí trường công đến THPT	Free public healthcare and free public schooling for your children through the end of secondary school		trung:s057	acf.s092_p
s093	p	Thường trú sau 12 tháng (nhanh) hoặc 3 năm (thường)	Permanent residence after 12 months on the fast route, or 3 years on the standard route			acf.s093_p
s094	p	Sau 5 năm cư trú → xin quốc tịch NZ	After 5 years of residence, you can apply for New Zealand citizenship		trung:s059	acf.s094_p
s095	p	Hộ chiếu NZ — miễn visa / e-visa 180+ quốc gia	The New Zealand passport — visa-free or eVisa access to 180+ countries			acf.s095_p
s096	p	Ưu điểm & hạn chế	Strengths and limitations			acf.s096_p#1
s097	p	Lộ trình NHANH lên thường trú chỉ 12 tháng	The fast route reaches permanent residence in just 12 months			acf.s097_p
s098	p	Vốn hợp lý (từ 1 triệu NZD) — thấp hơn nhiều so với Active Investor Plus	A reasonable entry level, from NZ$1 million — far below Active Investor Plus			acf.s098_p
s099	p	Toàn quyền điều hành & kiểm soát khoản đầu tư; phù hợp người muốn vận hành doanh nghiệp thực tế	Full control over running the business and the investment; it suits people who want to operate a real business			acf.s099_p#1
s100	p	Phải trực tiếp điều hành — không phù hợp đầu tư thụ động	You have to run the business yourself — it does not suit passive investment			acf.s100_p
s101	p	Kết quả kinh doanh ảnh hưởng việc xét duyệt PR	How the business performs affects the permanent residence decision			acf.s101_p
s102	p	Giới hạn tuổi + yêu cầu cư trú thực tế cao	An age limit and a demanding physical presence requirement			acf.s102_p
s103	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s063	acf.s103_cta
s104	cta	XEM CHI TIẾT	View details	100%: View details	trung:s064	acf.s104_cta
s105	p	So Sánh	Compare	100%: Compare		acf.s105_p
s106	p	Tổng kết	Summary	100%: Summary		acf.s106_p
s107	h2	Bảng so sánh nhanh{br}các chương trình đầu tư định cư New Zealand	A quick comparison{br}of New Zealand investor visa programs	88%: A quick comparison{br} of U.S. investment immigration programs		acf.s107_h2#1
s108	p	Chương trình	Program	100%: Program	trung:s018	acf.s108_p
s109	p	Mức đầu tư	Investment	100%: Investment	trung:s035	acf.s109_p
s110	p	Lộ trình PR	Route to PR			acf.s110_p
s111	p	Xét duyệt	Processing	100%: Processing	trung:s041	acf.s111_p
s112	p	Trạng thái	Status			acf.s112_p
s113	p	{1}★{/1} Active Investor Plus Visa	{1}★{/1} Active Investor Plus Visa			acf.s113_p#1
s114	p	Growth 5 triệu NZD (3 năm) / Balanced 10 triệu NZD (5 năm)	Growth NZ$5 million, 3 years / Balanced NZ$10 million, 5 years			acf.s114_p
s115	p	PR sau 4 năm	PR after 4 years			acf.s115_p
s116	p	Tùy hồ sơ & khối lượng INZ	Case by case & INZ workload			acf.s116_p#1
