id	loai	vi	en	tm	ghi_chu	src
s001	p	Hành Trình	Journey	100%: Journey		acf.s001_p
s002	p	Mở Đầu	Introduction	100%: Introduction		acf.s002_p
s003	p	IMM GROUP · EST. 2005	IMM Group · est. 2005	100%: IMM Group · est. 2005		acf.s003_p
s004	p	Diện Doanh nhân & Đầu tư	Business & investor visas			acf.s004_p#1
s005	h1	Đầu Tư {br}Định Cư Úc	Australia{br}Investment Visa	100% (gắn lại thẻ {br}): Australia investment immigration		acf.s005_h1#1
s006	p	Lộ trình định cư Úc diện doanh nhân và đầu tư cho cả gia đình	The Australia investment visa: business and investor routes to residence for your whole family			acf.s006_p
s007	p	Cuộn để khám phá	Scroll to explore			acf.s007_p
s008	p	Lưu Ý Quan Trọng	Important notice			acf.s008_p
s009	p	Lưu ý quan trọng cho nhà đầu tư	An important notice for investors			acf.s009_p
s010	h2	Úc đã {1}tạm dừng nhận hồ sơ{/1}{br}đầu tư định cư từ 7/2024	Australia {1}paused new applications{/1}{br}to its investment visas in July 2024		#bo-qua-so: ngày 7/2024 viết thành July 2024	acf.s010_h2#1
s011	p	Chương trình đầu tư định cư Úc diện 188 hiện đã tạm dừng nhận hồ sơ mới. IMM Group tư vấn lộ trình phù hợp theo tình trạng chương trình và hồ sơ thực tế của từng gia đình.	Australia's Business Innovation and Investment (subclass 188) visas are not accepting new applications. IMM Group advises on the route that fits your family, based on where each program stands and on your own circumstances.			acf.s011_p
s012	p	{1}!{/1} Vì sao nội dung này vẫn hữu ích	{1}!{/1} Why this page is still useful			acf.s012_p#1
s013	p	Nội dung dưới đây giúp nhà đầu tư nắm tổng quan các diện 188A, 188B, 188C để so sánh khi chương trình mở lại hoặc khi cân nhắc phương án thay thế.	What follows gives you an overview of the 188A, 188B and 188C streams, so you can compare them if the program reopens, or weigh the alternatives.			acf.s013_p
s014	cta	Tư vấn chương trình thay thế	Discuss alternative programs			acf.s014_cta
s015	p	Tổng Quan	Overview	100%: Overview		acf.s015_p
s016	p	Tổng quan	Overview	100%: Overview	trung:s015	acf.s016_p
s017	h2	Đầu tư định cư Úc là gì?	What is the Australia investment visa?			acf.s017_h2
s018	li	Lộ trình dành cho doanh nhân và nhà đầu tư muốn lấy quyền cư trú Úc thông qua kinh doanh hoặc đầu tư.	A route for business owners and investors who want Australian residence through a business or an investment.			acf.s018_li
s019	li	Gia đình có thể đi cùng hồ sơ, sinh sống, học tập và làm việc tại Úc theo thời hạn visa.	Your family can be included on the application and can live, study and work in Australia for the life of the visa.			acf.s019_li
