id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Úc diện đầu tư 188B	Australia 188B Investor Visa			post_title
s002	h1	VISA ÚC DIỆN ĐẦU TƯ {1}188B{/1}	Australia {1}188B{/1} Investor Visa			acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa 188B là gì?	What is the 188B visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Visa 188B là diện Đầu tư dành cho nhà đầu tư có kinh nghiệm kinh doanh hoặc đầu tư và năng lực tài chính cao.	The 188B Investor visa was the Investor stream of Australia's Business Innovation and Investment Program, for investors with a track record in business or investment and substantial financial capacity.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần đầu tư tối thiểu 2.500.000 AUD vào các quỹ đầu tư hợp lệ tại Úc.	Investors had to place at least A$2,500,000 in complying investments in Australia.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Khoản đầu tư cần được duy trì đến khi được cấp visa thường trú 888B, sớm nhất sau 3 năm.	The investment has to be held until the 888B permanent visa is granted, which cannot happen until at least 3 years later.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Vợ/chồng và con dưới 23 tuổi có thể đi cùng hồ sơ.	A spouse or partner and children under 23 could be included in the same application.	98%: Your spouse and children under 22 can be included in the same application.		acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Chương trình hiện đã đóng với hồ sơ mới từ 31/07/2024; nội dung này phù hợp để tham khảo cho hồ sơ đã nộp hoặc lộ trình 888B tiếp theo.	The program closed permanently to new applications on July 31, 2024. This page is a reference for applications already lodged and for the 888B stage that follows.		"#bo-qua-so: ngày 31/07/2024 viết theo lối Mỹ ""July 31, 2024"" nên bản Anh không còn số 7 đứng riêng"	acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI KHI THAM GIA VISA 188B	Benefits of the 188B visa			acf.product_benefits_title
s011	h3	Cả gia đình cùng đi	The whole family moves together			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Vợ/chồng và con dưới 23 tuổi được cấp visa đi cùng đương đơn.	A spouse or partner and children under 23 are granted visas alongside the main applicant.	87%: Your spouse and children under 21 receive green cards alongside you.		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Sinh sống tại Úc	Living in Australia			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Cả gia đình được sinh sống, học tập, làm việc và kinh doanh tại Úc trong thời hạn visa.	The whole family can live, study, work, and run a business in Australia while the visa is valid.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Con học tại Úc	Schooling in Australia	85%: U.S. schooling for your children		acf.product_benefits_items[2].product_benefits_item_title
s016	li	Con được học trường công đến hết lớp 12 theo chính sách của từng bang.	Children can attend public school through Year 12 under the policy of each state or territory.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Linh hoạt đi lại	Flexible travel			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Được tự do đi lại giữa Việt Nam và Úc trong thời hạn visa.	Visa holders can travel freely between Australia and their home country while the visa is valid.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h3	Hướng tới thường trú 888B	A pathway to 888B permanent residence			acf.product_benefits_items[4].product_benefits_item_title
s020	li	Có thể xin visa thường trú 888B khi đáp ứng điều kiện đầu tư và cư trú.	Holders can apply for the 888B permanent visa once the investment and residence requirements are met.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s021	h2	ƯU ĐIỂM VISA 188B	Advantages of the 188B visa			acf.product_advantages_title
s022	h3	Không cần vận hành doanh nghiệp tại Úc	No business to run in Australia			acf.product_advantages_items[0].product_advantages_item_title
s023	li	Nhà đầu tư thực hiện đầu tư qua quỹ hợp lệ, không bắt buộc trực tiếp điều hành doanh nghiệp.	The capital is placed in complying investments, and day-to-day management of a business is not required.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Có lãi từ khoản đầu tư	Returns from the investment			acf.product_advantages_items[1].product_advantages_item_title
s025	li	Nhà đầu tư có thể nhận lãi từ quỹ đầu tư theo thực tế vận hành của quỹ.	Investors can receive distributions from the funds, depending on how those funds perform.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Vợ/chồng có thể thay vai trò chính	A spouse can take on the main applicant role			acf.product_advantages_items[2].product_advantages_item_title
s027	li	Khi xin visa 888B, vợ/chồng đi cùng hồ sơ có thể thay đương đơn chính để hoàn thành một số điều kiện theo quy định.	At the 888B stage, a spouse or partner included in the application can take over from the main applicant for certain requirements, where the rules allow.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h3	Lộ trình thường trú rõ ràng	A clear pathway to permanent residence			acf.product_advantages_items[3].product_advantages_item_title
s029	li	Sau khi duy trì khoản đầu tư và đáp ứng điều kiện cư trú, nhà đầu tư có thể xin thường trú 888B.	Once the investment has been held and the residence conditions met, the investor can apply for 888B permanent residence.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s030	h3	Phù hợp với nhà đầu tư tài chính	Suited to financial investors			acf.product_advantages_items[4].product_advantages_item_title
s031	li	Dành cho người có năng lực tài chính cao, có kinh nghiệm đầu tư hoặc kinh doanh nhưng không muốn trực tiếp vận hành doanh nghiệp tại Úc.	Designed for investors with substantial financial capacity and a background in investment or business who did not want to run a business in Australia themselves.			acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s032	h2	ĐIỀU KIỆN THAM GIA 188B	Who could apply for the 188B visa	87%: Who can apply		acf.product_conditions_title
s033	h3	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_items[0].product_conditions_item_title
s034	li	Từ 18–55 tuổi.	Aged 18–55.	85%: Aged 19–59		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s035	li	Có kinh nghiệm kinh doanh hoặc đầu tư.	A track record in business or investment.			acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s036	li	Tổng tài sản tối thiểu 2.500.000 AUD.	Total net worth in business and personal assets of at least A$2,500,000.	94%: A minimum net worth of C$500,000.		acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s037	li	Đạt tối thiểu 65 điểm trong Thang điểm Di trú Úc.	A score of at least 65 points on the points test.	91%: Scores at least 65 points on the province's selection factor grid.		acf.product_conditions_items[0].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s038	li	Được một tỉnh bang Úc bảo lãnh.	Nomination by an Australian state or territory.			acf.product_conditions_items[0].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s039	h3	Điều kiện kinh nghiệm	Experience requirements			acf.product_conditions_items[1].product_conditions_item_title
s040	li	Sở hữu tối thiểu 10% vốn trong công ty đang hoạt động và trực tiếp điều hành tối thiểu 3 năm; hoặc	At least a 10% ownership stake in an operating company, with at least 3 years of direct management; or			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s041	li	Chứng minh đang vận hành khoản đầu tư tương đương 2.500.000 AUD và có phát sinh lợi nhuận trong tối thiểu 3 năm tài chính.	Evidence of managing an investment portfolio worth the equivalent of A$2,500,000 that produced a return in at least 3 fiscal years.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s042	h3	Điều kiện đầu tư tại Úc	Investment requirements in Australia			acf.product_conditions_items[2].product_conditions_item_title
s043	li	Đầu tư tối thiểu 2.500.000 AUD vào các quỹ đầu tư hợp lệ theo quy định của Chính phủ Úc.	Invest at least A$2,500,000 in complying investments as specified by the Australian Government.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s044	li	Duy trì khoản đầu tư đến khi được cấp visa thường trú 888B.	Hold that investment until the 888B permanent visa is granted.			acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s045	h3	Cơ cấu phân bổ khoản đầu tư	How the investment had to be allocated			acf.product_conditions_items[3].product_conditions_item_title
s046	li	Tối thiểu 500.000 AUD vào quỹ đầu tư mạo hiểm và cổ phần tư nhân.	At least A$500,000 in venture capital and growth private equity funds.			acf.product_conditions_items[3].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s047	li	Tối thiểu 750.000 AUD vào quỹ đầu tư vào các công ty mới trên sàn chứng khoán Úc.	At least A$750,000 in managed funds investing in emerging companies listed on an Australian stock exchange.			acf.product_conditions_items[3].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s048	li	Tối thiểu 1.250.000 AUD vào quỹ đầu tư cân bằng.	At least A$1,250,000 in a balancing investment.			acf.product_conditions_items[3].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s049	h2	QUY TRÌNH XIN VISA 188B	The 188B application process	86%: The L-1A visa application process		acf.product_process_title
s050	h3	Thẩm định và chuẩn bị hồ sơ	Assessment and case preparation	100%: Assessment and case preparation		acf.product_process_steps[0].product_process_step_title
s051	p	Đánh giá điều kiện đương đơn, tài sản, kinh nghiệm đầu tư và khả năng đạt điểm di trú.	Review of the applicant's profile, assets, investment experience, and likely score on the points test.			acf.product_process_steps[0].product_process_step_desc
s052	h3	Xin bảo lãnh bang	State or territory nomination			acf.product_process_steps[1].product_process_step_title
s053	p	Chuẩn bị hồ sơ và nộp xin bảo lãnh từ tỉnh bang phù hợp.	Preparing the application and applying for nomination from a suitable state or territory.			acf.product_process_steps[1].product_process_step_desc
s054	h3	Nộp hồ sơ visa 188B	Lodging the 188B application			acf.product_process_steps[2].product_process_step_title
s055	p	Sau khi có bảo lãnh bang, tiến hành nộp hồ sơ xin visa 188B.	Once nomination by a state or territory was granted, the 188B visa application was lodged.			acf.product_process_steps[2].product_process_step_desc
s056	h3	Thực hiện đầu tư khi được yêu cầu	Making the investment when required			acf.product_process_steps[3].product_process_step_title
s057	p	Nhà đầu tư chuyển vốn vào các quỹ hợp lệ theo yêu cầu trước khi được cấp visa.	The capital is transferred into complying investments as required before the visa is granted.			acf.product_process_steps[3].product_process_step_desc
s058	h3	Duy trì khoản đầu tư	Holding the investment			acf.product_process_steps[4].product_process_step_title
s059	p	Duy trì khoản đầu tư theo quy định để đáp ứng điều kiện lên thường trú 888B.	The investment is held as required so that the conditions for the 888B permanent visa are met.			acf.product_process_steps[4].product_process_step_desc
s060	h3	Nộp hồ sơ xin visa 888B	Lodging the 888B application			acf.product_process_steps[5].product_process_step_title
s061	p	Sau khi đáp ứng điều kiện đầu tư và cư trú, nhà đầu tư nộp hồ sơ xin thường trú 888B.	Once the investment and residence conditions are met, the investor lodges the 888B permanent residence application.			acf.product_process_steps[5].product_process_step_desc
s062	cta	Xem tất cả dự án	View all projects	100%: View all projects		acf.product_projects_cta_label
s063	h2	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in		acf.product_care_title
s064	h3	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in	trung:s063	acf.product_care_service_title
s065	p	Tìm hiểu các dịch vụ tư vấn từ IMM Group:	Explore IMM Group's advisory services:	100%: Explore IMM Group's advisory services:		acf.product_care_service_desc#1
s066	li	Đầu tư định cư Úc	Australia investment immigration	100%: Australia investment immigration		acf.product_care_service_links[0].product_care_service_link_title
s067	li	Visa Úc diện doanh nhân 188A	Australia 188A Business Innovation visa			acf.product_care_service_links[1].product_care_service_link_title
s068	li	Visa Úc diện đầu tư trọng yếu 188C	Australia 188C Significant Investor visa			acf.product_care_service_links[2].product_care_service_link_title
s069	li	Visa Úc diện doanh nhân 888A	Australia 888A Business Innovation visa			acf.product_care_service_links[3].product_care_service_link_title
s070	li	Visa Úc diện đầu tư 888B	Australia 888B Investor visa			acf.product_care_service_links[4].product_care_service_link_title
s071	li	Visa Úc diện đầu tư trọng yếu 888C	Australia 888C Significant Investor visa			acf.product_care_service_links[5].product_care_service_link_title
s072	li	Visa Úc diện National Innovation Visa (NIV)	Australia National Innovation visa (NIV)			acf.product_care_service_links[6].product_care_service_link_title
s073	h3	Hiểu về nước Úc	Understanding Australia	86%: Understanding America		acf.product_care_topics_title
s074	p	Chuyên trang IMM Group tổng hợp các thông tin hữu ích với các chủ đề:	IMM Group's resource hub brings together practical information on the following topics:	100%: IMM Group's resource hub brings together practical information on the following topics:		acf.product_care_topics_desc#1
s075	li	Cuộc sống tại Úc	Living in Australia	87%: Living in the U.S.		acf.product_care_topics_links[0].product_care_topics_link_title
s076	li	Thuế Úc	Taxes in Australia			acf.product_care_topics_links[1].product_care_topics_link_title
s077	li	Kinh doanh tại Úc	Doing business in Australia	88%: Doing business in the U.S.		acf.product_care_topics_links[2].product_care_topics_link_title
s078	li	Giáo dục tại Úc	Education in Australia	86%: Education in the U.S.		acf.product_care_topics_links[3].product_care_topics_link_title
s079	li	Trợ cấp, phúc lợi, an sinh xã hội Úc	Allowances, benefits and social programs in Australia	94%: Welfare, benefits and Social Security in the U.S.		acf.product_care_topics_links[4].product_care_topics_link_title
s080	li	Du lịch Úc	Travel in Australia			acf.product_care_topics_links[5].product_care_topics_link_title
s081	li	Những người Việt thành công trên đất Úc	Immigrant success stories in Australia	94%: Immigrant success stories in the U.S.		acf.product_care_topics_links[6].product_care_topics_link_title
s082	li	Những câu chuyện định cư Úc truyền cảm hứng	Inspiring Australian immigration journeys	95%: Inspiring U.S. immigration journeys		acf.product_care_topics_links[7].product_care_topics_link_title
s083	h2	Câu hỏi thường gặp về Visa 188B	188B visa FAQs	90%: L-1A visa FAQs		acf.product_faq_title
s084	h4	Visa 188B hiện còn nhận hồ sơ mới không?	Is the 188B visa still open to new applications?			acf.product_faq_items[0].product_faq_item_question
s085	p	Trạng thái chương trình	Program status	100%: Program status		acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_heading
s086	li	Không. Chương trình subclass 188 đã đóng với hồ sơ mới từ 31/07/2024. Hồ sơ đã nộp trước thời điểm này vẫn được xử lý theo quy định.	No. The subclass 188 program closed permanently to new applications on July 31, 2024. Applications lodged before that date continue to be processed under the rules in force.		"#bo-qua-so: ngày 31/07/2024 viết theo lối Mỹ ""July 31, 2024"" nên bản Anh không còn số 7 đứng riêng"	acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s087	h4	188B có cần trực tiếp kinh doanh tại Úc không?	Did the 188B require running a business in Australia?			acf.product_faq_items[1].product_faq_item_question
s088	p	Hình thức đầu tư	How the investment works	100%: How you invest		acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_heading
s089	li	Không. 188B là diện đầu tư qua quỹ hợp lệ, không yêu cầu nhà đầu tư trực tiếp vận hành doanh nghiệp tại Úc.	No. The 188B was an investment stream based on complying investments, and it did not require the investor to run a business in Australia.			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s090	h4	Có cần chứng minh nguồn tiền không?	Was proof of source of funds required?	100%: Do I have to prove my source of funds?		acf.product_faq_items[2].product_faq_item_question
s091	p	Nguồn tiền	Source of funds	100%: Source of funds		acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_heading
s092	li	Có. Nhà đầu tư cần chứng minh nguồn tiền và tài sản hợp pháp, minh bạch.	Yes. Investors had to document a lawful and transparent source of funds and show how their assets had been accumulated.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s093	h4	Có yêu cầu tiếng Anh không?	Was English required?			acf.product_faq_items[3].product_faq_item_question
s094	p	Tiếng Anh	English			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_heading
s095	li	Tiếng Anh không phải điều kiện bắt buộc để nộp hồ sơ, nhưng tiếng Anh tốt có thể giúp cộng điểm và giảm chi phí bảo trợ ngoại ngữ.	English was not a condition of lodging the application, but stronger English could add points and reduce the second instalment of the visa application charge payable by applicants without functional English.			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s096	h4	Cần cư trú bao lâu để xin 888B?	How much residence was needed before the 888B application?			acf.product_faq_items[4].product_faq_item_question
s097	p	Cư trú	Residence			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_heading
s098	li	Đương đơn cần đáp ứng điều kiện cư trú theo quy định trước khi nộp hồ sơ xin visa thường trú 888B.	The applicant has to meet the residence conditions set out in the rules before lodging the 888B permanent visa application.			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s099	h4	Vợ/chồng có thể thay đương đơn chính khi lên 888B không?	Can a spouse take over from the main applicant at the 888B stage?			acf.product_faq_items[5].product_faq_item_question
s100	p	Vai trò vợ/chồng	The spouse's role			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_heading
s101	li	Có thể, nếu vợ/chồng đi kèm visa 188B và đáp ứng điều kiện theo quy định.	Yes, provided the spouse or partner holds the 188B visa as a family member and meets the conditions set out in the rules.			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s102	h4	Rủi ro chính của 188B là gì?	What are the main risks of the 188B?	89%: What are the main risks of the L-1A visa?		acf.product_faq_items[6].product_faq_item_question
