id	loai	vi	en	tm	ghi_chu	src
s001	p	Mở Đầu	Introduction	100%: Introduction		acf.s001_p
s002	p	Mở Đầu	Introduction	100%: Introduction	trung:s001	acf.s002_p
s003	p	IMM GROUP · EST. 2005	IMM Group · est. 2005	100%: IMM Group · est. 2005		acf.s003_p
s004	h1	Đầu Tư{br}Định Cư Canada	Canada Investor Visa{br}Programs	100% (gắn lại thẻ {br}): Canada investment immigration		acf.s004_h1#1
s005	p	Lộ trình lấy thường trú nhân (PR) Canada diện doanh nhân & đầu tư	Canada investor visa and entrepreneur routes to Canadian permanent residence (PR).			acf.s005_p#1
s006	p	CUỘN XUỐNG	Scroll down	100%: Scroll down		acf.s006_p
s007	p	Tổng Quan	Overview	100%: Overview		acf.s007_p
s008	p	Tổng quan	Overview	100%: Overview	trung:s007	acf.s008_p
s009	h2	Đầu tư định cư Canada là gì?	What is Canada investment immigration?	85%: Canada investment immigration		acf.s009_h2
s010	p	Lộ trình dành cho chủ doanh nghiệp, quản lý cấp cao hoặc nhà đầu tư muốn lấy quyền cư trú Canada thông qua kinh doanh.	A route for business owners, senior managers, and investors who want Canadian residence through business.			acf.s010_p
s011	p	Nhà đầu tư sẽ thành lập, mua lại hoặc vận hành doanh nghiệp tại một tỉnh bang Canada.	You establish, acquire, or operate a business in a Canadian province.			acf.s011_p
s012	p	Khi đáp ứng điều kiện của tỉnh bang, nhà đầu tư có thể tiến đến thường trú nhân Canada.	Once you meet the province's conditions, you can move toward Canadian permanent residence.			acf.s012_p
s013	p	Mỗi chương trình phù hợp với năng lực tài chính, kinh nghiệm quản lý, trình độ tiếng Anh và kế hoạch định cư khác nhau.	Each program suits a different financial capacity, management background, English level, and settlement plan.			acf.s013_p
s014	p	Chương Trình	Program	100%: Program		acf.s014_p
s015	p	Chương trình	Program	100%: Program	trung:s014	acf.s015_p
s016	h2	Các chương trình{br}đầu tư định cư Canada	Canada investment immigration{br}programs	88%: U.S. investment immigration{br}programs		acf.s016_h2#1
s017	p	Các chương trình có thể chia thành 2 nhóm chính: định cư diện doanh nhân tỉnh bang và định cư diện khởi nghiệp Start-Up Visa.	The programs fall into 2 main groups: provincial entrepreneur streams and the Start-Up Visa (SUV) for founders.			acf.s017_p
s018	p	Nhóm A	Group A	100%: Group A		acf.s018_p
s019	p	A	A			acf.s019_p
s020	p	{1}A{/1} Doanh nhân tỉnh bang	{1}A{/1} Provincial entrepreneur			acf.s020_p#1
s021	h2	Đầu tư định cư diện{br}{1}doanh nhân tỉnh bang{/1}	Investment immigration through{br}{1}provincial entrepreneur streams{/1}			acf.s021_h2#1
s022	p	Đầu tư thành lập / mua lại và vận hành doanh nghiệp tại một tỉnh bang Canada để lấy quyền cư trú, tiến tới thường trú nhân (PR) cho cả gia đình.	You invest to start or acquire a business and operate it in a Canadian province, securing residence and a route to permanent residence (PR) for your whole family.			acf.s022_p
s023	p	PEI	PEI			acf.s023_p
s024	p	Từ 150.000 CAD	From C$150,000			acf.s024_p
s025	p	British Columbia	British Columbia			acf.s025_p
s026	p	Từ 200.000 CAD	From C$200,000	85%: From US$200,000		acf.s026_p
s027	p	New Brunswick	New Brunswick			acf.s027_p
s028	p	Từ 150.000 CAD	From C$150,000		trung:s024	acf.s028_p
s029	p	Manitoba	Manitoba			acf.s029_p
s030	p	Từ 150.000 CAD	From C$150,000		trung:s024	acf.s030_p
s031	p	Nova Scotia	Nova Scotia			acf.s031_p
s032	p	Từ 100.000 CAD	From C$100,000			acf.s032_p
s033	p	PEI	PEI		trung:s023	acf.s033_p
s034	p	01	01			acf.s034_p
s035	p	{1}01{/1} Nhóm A · Lựa chọn 01	{1}01{/1} Group A · Option 01	100%: {1}01{/1} Group A · Option 01		acf.s035_p#1
s036	p	PEI — Đảo Hoàng Tử Edward	PEI — Prince Edward Island			acf.s036_p
s037	p	Mức đầu tư	Investment	100%: Investment		acf.s037_p
s038	p	Từ 150.000	From 150,000			acf.s038_p
s039	p	CAD	CAD			acf.s039_p
s040	p	Mục đích	Purpose	100%: Purpose		acf.s040_p
s041	p	Quyền cư trú	Residence in			acf.s041_p
s042	p	Canada	Canada			acf.s042_p
s043	p	Xét duyệt	Processing	100%: Processing		acf.s043_p
s044	p	12 – 15	12 – 15	85%: 13 – 15		acf.s044_p
s045	p	tháng	months	100%: months		acf.s045_p
s046	p	Yêu cầu đương đơn	Applicant requirements	97%: What are the requirements for the main applicant?		acf.s046_p
s047	li	Từ 21–59 tuổi	Aged 21–59			acf.s047_li
s048	li	Là chủ doanh nghiệp hoặc quản lý cấp cao tối thiểu 3 năm trong 5 năm gần nhất	At least 3 years as a business owner or senior manager within the past 5 years			acf.s048_li
s049	li	Tốt nghiệp THPT	High school graduation			acf.s049_li
s050	li	Tiếng Anh tương đương IELTS General 4.0	English equivalent to IELTS General Training 4.0			acf.s050_li
s051	li	Tổng tài sản tối thiểu 600.000 CAD	Net worth of at least C$600,000			acf.s051_li
s052	p	Yêu cầu đầu tư	Investment requirements	100%: Investment requirements		acf.s052_p
s053	li	Thành lập hoặc mua lại doanh nghiệp tại PEI	Establish or acquire a business in PEI			acf.s053_li
s054	li	Có kế hoạch kinh doanh khả thi, mang lại lợi ích kinh tế cho tỉnh bang	A viable business plan that brings economic benefit to the province			acf.s054_li
s055	li	Vận hành doanh nghiệp tại PEI tối thiểu 12 tháng	Operate the business in PEI for at least 12 months			acf.s055_li
s056	p	Quyền lợi nổi bật	Key benefits	100%: Key benefits		acf.s056_p
s057	p	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ	Your spouse and children under 22 can be included in the application			acf.s057_p
s058	p	Con học miễn phí đến hết THPT	Free schooling for your children through the end of high school			acf.s058_p
s059	p	Khi có PR, con học đại học theo mức học phí dành cho người bản xứ	Once you hold PR, your children pay domestic tuition rates at university			acf.s059_p
s060	p	Sau 5 năm có PR, có thể nộp đơn xin quốc tịch Canada nếu đủ điều kiện	After 5 years of PR, you can apply for Canadian citizenship if you qualify			acf.s060_p
s061	p	Lưu ý	Please note	100%: Please note		acf.s061_p
s062	p	Cần cư trú thật tại PEI	You must genuinely reside in PEI			acf.s062_p
s063	p	Cần trực tiếp vận hành doanh nghiệp	You must run the business yourself			acf.s063_p
s064	p	Tiếng Anh là điều kiện bắt buộc khi nộp hồ sơ	English is required at the time of application			acf.s064_p
s065	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s065_cta
s066	cta	XEM CHI TIẾT	View details	100%: View details		acf.s066_cta
s067	p	British Columbia	British Columbia		trung:s025	acf.s067_p
s068	p	02	02			acf.s068_p
s069	p	{1}02{/1} Nhóm A · Lựa chọn 02	{1}02{/1} Group A · Option 02	100%: {1}02{/1} Group A · Option 02		acf.s069_p#1
s070	p	British Columbia (BC)	British Columbia (BC)			acf.s070_p
s071	p	Mức đầu tư	Investment	100%: Investment	trung:s037	acf.s071_p
s072	p	Từ 200.000	From 200,000			acf.s072_p
s073	p	CAD	CAD		trung:s039	acf.s073_p
s074	p	Mục đích	Purpose	100%: Purpose	trung:s040	acf.s074_p
s075	p	Quyền cư trú	Residence in		trung:s041	acf.s075_p
s076	p	Canada	Canada		trung:s042	acf.s076_p
s077	p	Xét duyệt	Processing	100%: Processing	trung:s043	acf.s077_p
s078	p	12 – 15	12 – 15	85%: 13 – 15	trung:s044	acf.s078_p
s079	p	tháng	months	100%: months	trung:s045	acf.s079_p
s080	p	Yêu cầu đương đơn	Applicant requirements	97%: What are the requirements for the main applicant?	trung:s046	acf.s080_p
s081	li	Chủ doanh nghiệp tối thiểu 3 năm, sở hữu ít nhất 10% vốn; hoặc quản lý cấp cao tối thiểu 4 năm trong 10 năm gần nhất	At least 3 years as a business owner holding at least 10% equity, or at least 4 years as a senior manager within the past 10 years			acf.s081_li
s082	li	Học vấn tối thiểu 1 năm sau THPT	At least 1 year of post-secondary education			acf.s082_li
s083	li	Tiếng Anh tương đương IELTS General 4.0	English equivalent to IELTS General Training 4.0		trung:s050	acf.s083_li
s084	li	Tổng tài sản tối thiểu 600.000 CAD	Net worth of at least C$600,000		trung:s051	acf.s084_li
s085	li	Đạt yêu cầu lý lịch an ninh và sức khỏe	Meets background security and medical requirements	100%: Meets background security and medical requirements		acf.s085_li
s086	p	Yêu cầu đầu tư	Investment requirements	100%: Investment requirements	trung:s052	acf.s086_p
s087	li	Đầu tư tối thiểu 200.000 CAD	An investment of at least C$200,000	85%: An investment of at least US$325,000		acf.s087_li
s088	li	Có kế hoạch kinh doanh khả thi tại British Columbia	A viable business plan for British Columbia			acf.s088_li
s089	p	Quyền lợi nổi bật	Key benefits	100%: Key benefits	trung:s056	acf.s089_p
s090	p	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ	Your spouse and children under 22 can be included in the application		trung:s057	acf.s090_p
s091	p	Được sinh sống tại các thành phố thuộc tỉnh bang BC	You can live in cities across British Columbia			acf.s091_p
s092	p	Sau 5 năm có PR, có thể nộp đơn xin quốc tịch Canada nếu đủ điều kiện	After 5 years of PR, you can apply for Canadian citizenship if you qualify		trung:s060	acf.s092_p
s093	p	Lưu ý	Please note	100%: Please note	trung:s061	acf.s093_p
s094	p	Cần cư trú thật tại BC	You must genuinely reside in BC			acf.s094_p
s095	p	Cần trực tiếp vận hành doanh nghiệp	You must run the business yourself		trung:s063	acf.s095_p
s096	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s065	acf.s096_cta
s097	cta	XEM CHI TIẾT	View details	100%: View details	trung:s066	acf.s097_cta
s098	p	New Brunswick	New Brunswick		trung:s027	acf.s098_p
s099	p	03	03			acf.s099_p
s100	p	{1}03{/1} Nhóm A · Lựa chọn 03	{1}03{/1} Group A · Option 03	100%: {1}03{/1} Group A · Option 03		acf.s100_p#1
s101	p	New Brunswick	New Brunswick		trung:s027	acf.s101_p
s102	p	Mức đầu tư	Investment	100%: Investment	trung:s037	acf.s102_p
s103	p	Từ 150.000	From 150,000		trung:s038	acf.s103_p
s104	p	CAD	CAD		trung:s039	acf.s104_p
s105	p	Mục đích	Purpose	100%: Purpose	trung:s040	acf.s105_p
s106	p	Quyền cư trú	Residence in		trung:s041	acf.s106_p
s107	p	Canada	Canada		trung:s042	acf.s107_p
s108	p	Xét duyệt	Processing	100%: Processing	trung:s043	acf.s108_p
s109	p	12 – 15	12 – 15	85%: 13 – 15	trung:s044	acf.s109_p
s110	p	tháng	months	100%: months	trung:s045	acf.s110_p
s111	p	Yêu cầu đương đơn	Applicant requirements	97%: What are the requirements for the main applicant?	trung:s046	acf.s111_p
s112	li	Từ 19–59 tuổi	Aged 19–59			acf.s112_li
s113	li	Chủ doanh nghiệp hoặc quản lý cấp cao tối thiểu 2 năm trong 5 năm gần nhất	At least 2 years as a business owner or senior manager within the past 5 years			acf.s113_li
s114	li	Tốt nghiệp THPT trở lên	High school graduation or higher			acf.s114_li
s115	li	Tiếng Anh tương đương IELTS General 4.0	English equivalent to IELTS General Training 4.0		trung:s050	acf.s115_li
s116	li	Tài sản tối thiểu 500.000 CAD, hoặc 300.000 CAD nếu đầu tư nông nghiệp	Net worth of at least C$500,000, or C$300,000 for an agricultural investment			acf.s116_li
s117	li	Đạt tối thiểu 65 điểm theo thang điểm di trú	A score of at least 65 points on the immigration points grid			acf.s117_li
s118	p	Yêu cầu đầu tư	Investment requirements	100%: Investment requirements	trung:s052	acf.s118_p
s119	li	Đầu tư tối thiểu 150.000 CAD	An investment of at least C$150,000	85%: An investment of at least US$325,000		acf.s119_li
s120	li	Có kế hoạch kinh doanh khả thi	A viable business plan	88%: There is a viable business plan for the U.S.		acf.s120_li
s121	li	Vận hành doanh nghiệp tối thiểu 6 tháng để xin thư đề cử tỉnh bang	Operate the business for at least 6 months to apply for the provincial nomination			acf.s121_li
s122	p	Quyền lợi nổi bật	Key benefits	100%: Key benefits	trung:s056	acf.s122_p
s123	p	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ	Your spouse and children under 22 can be included in the application		trung:s057	acf.s123_p
s124	p	Được tiếp cận phúc lợi y tế, giáo dục, an sinh theo quy định	Access to healthcare, education, and social benefits under the applicable rules			acf.s124_p
s125	p	Có lộ trình tiến đến PR và quốc tịch Canada nếu đủ điều kiện	A route to PR and Canadian citizenship if you qualify			acf.s125_p
s126	p	Lưu ý	Please note	100%: Please note	trung:s061	acf.s126_p
