id	loai	vi	en	tm	ghi_chu	src
s001	p	Mở Đầu	Introduction	100%: Introduction		acf.s001_p
s002	p	Mở Đầu	Introduction	100%: Introduction	trung:s001	acf.s002_p
s003	p	IMM GROUP · EST. 2005	IMM Group · est. 2005	100%: IMM Group · est. 2005		acf.s003_p
s004	h1	Quốc Tịch & Thường Trú Nhân Châu Âu	European Golden Visa and Citizenship	100%: European citizenship and residency		acf.s004_h1#1
s005	p	Đầu tư lấy quyền cư trú, Golden Visa hoặc quốc tịch châu Âu cho cả gia đình.	Invest for residency, a European Golden Visa, or European citizenship for your whole family.			acf.s005_p
s006	p	CUỘN XUỐNG	Scroll down	100%: Scroll down		acf.s006_p
s007	p	Tổng Quan	Overview	100%: Overview		acf.s007_p
s008	p	01	01			acf.s008_p
s009	p	{1}01{/1} Tổng quan	{1}01{/1} Overview	85%: Overview		acf.s009_p#1
s010	h2	Tổng quan về đầu tư{br}định cư châu Âu	An overview of European{br}residency by investment			acf.s010_h2#1
s011	p	Đầu tư định cư châu Âu là gì?	What is European residency by investment?			acf.s011_p
s012	li	Lấy quyền cư trú/Golden Visa hoặc quốc tịch châu Âu thông qua đầu tư	Obtain residency, a European Golden Visa, or European citizenship through investment			acf.s012_li
s013	li	Gia đình có cơ hội sinh sống, học tập, kinh doanh tại quốc gia tham gia	Your family can live, study, and do business in the country that runs the program			acf.s013_li
s014	li	Nhiều chương trình cho phép đi lại Schengen theo quy định	Many programs allow travel within the Schengen Area under the applicable rules			acf.s014_li
s015	li	Có thể hướng đến quốc tịch châu Âu nếu đáp ứng điều kiện cư trú, ngôn ngữ và hội nhập	You can work toward European citizenship if you meet the residence, language, and integration conditions			acf.s015_li
s016	p	Chương Trình	Program	100%: Program		acf.s016_p
s017	p	{1}02{/1} Chương trình	{1}02{/1} Program	88%: Program		acf.s017_p#1
s018	h2	Các chương trình đầu tư{br}định cư châu Âu phổ biến	The main European residency{br}by investment programs			acf.s018_h2#1
s019	p	Đầu tư lấy thẻ thường trú/Golden Visa hoặc quốc tịch châu Âu. Trong đó có 2 hình thức đầu tư phổ biến: đầu tư bất động sản và đầu tư/quyên góp qua quỹ.	Invest for a residence permit or European Golden Visa, or for European citizenship. The 2 most common routes are real estate and investing in or donating to a fund.			acf.s019_p
s020	p	Nhóm A	Group A	100%: Group A		acf.s020_p
s021	p	A	A			acf.s021_p
s022	p	{1}A{/1} Đầu tư lấy thường trú	{1}A{/1} Residency by investment			acf.s022_p#1
s023	h2	Đầu tư lấy thường trú /{br}{1}Golden Visa châu Âu{/1}	Residency by investment /{br}{1}the European Golden Visa{/1}			acf.s023_h2#1
s024	p	Đầu tư vào bất động sản hoặc quỹ tài chính để lấy quyền cư trú / thường trú tại một nước châu Âu cho cả gia đình, đi lại khối Schengen và có lộ trình lên quốc tịch EU.	Invest in real estate or in a financial fund to obtain residency for your whole family in a European country, with travel across the Schengen Area and a route toward EU citizenship.			acf.s024_p
s025	p	Hy Lạp	Greece			acf.s025_p
s026	p	TỪ 250.000 EUR	From €250,000	85%: From US$250,000		acf.s026_p
s027	p	Ireland	Ireland			acf.s027_p
s028	p	TỪ 400.000 EUR	From €400,000			acf.s028_p
s029	p	Cộng Hoà Síp	Cyprus			acf.s029_p
s030	p	TỪ 300.000 EUR	From €300,000			acf.s030_p
s031	p	Malta	Malta			acf.s031_p
s032	p	TỪ 375.000 EUR	From €375,000			acf.s032_p
s033	p	Bồ Đào Nha	Portugal			acf.s033_p
s034	p	TỪ 500.000 EUR	From €500,000			acf.s034_p
s035	p	Hy Lạp	Greece		trung:s025	acf.s035_p
s036	p	01	01			acf.s036_p
s037	p	{1}01{/1} Nhóm A · Lựa chọn 01	{1}01{/1} Group A · Option 01	100%: {1}01{/1} Group A · Option 01		acf.s037_p#1
s038	p	Thường trú nhân Hy Lạp	Greece Golden Visa	100%: Greece Golden Visa		acf.s038_p
s039	p	Mức đầu tư	Investment	100%: Investment		acf.s039_p
s040	p	Từ 250.000 EUR	From €250,000	85%: From US$250,000	trung:s026	acf.s040_p
s041	p	(~6,5 tỷ đồng)	minimum		#bo-qua-so: ô này chỉ là quy đổi VND của con số EUR ngay trên, bỏ theo style guide mục 5	acf.s041_p
s042	p	Mục đích	Purpose	100%: Purpose		acf.s042_p
s043	p	Cư trú Hy Lạp	Greek residency			acf.s043_p
s044	p	sở hữu BĐS châu Âu, đi lại Schengen	European property ownership, Schengen travel			acf.s044_p
s045	p	Xét duyệt	Processing	100%: Processing		acf.s045_p
s046	p	Khoảng 12	About 12			acf.s046_p
s047	p	tháng	months	100%: months		acf.s047_p
s048	p	Hình thức đầu tư	How you invest	100%: How you invest		acf.s048_p
s049	li	Đầu tư bất động sản đủ điều kiện	A qualifying real estate purchase	100%: A qualifying real estate purchase		acf.s049_li
s050	li	Thẻ cư trú có thời hạn 5 năm, gia hạn 5 năm/lần nếu còn sở hữu BĐS	The residence card is valid for 5 years, renewable in 5-year terms for as long as you continue to own the property	88%: The card is valid for 5 years and is renewable in 5-year periods for as long as you continue to own the property		acf.s050_li
s051	p	Quyền lợi nổi bật	Key benefits	100%: Key benefits		acf.s051_p
s052	p	Tự do sinh sống, đầu tư kinh doanh, học tập tại Hy Lạp	Live, invest in a business, and study in Greece	95%: Live, invest in a business, and study in Greece.		acf.s052_p
s053	p	Đi lại 29 nước Schengen theo quy định lưu trú ngắn hạn	Travel across the 29 Schengen countries under the short-stay rules			acf.s053_p
s054	p	Gia đình gồm vợ/chồng, con tới 21 tuổi, bố mẹ hai bên	The application covers your spouse, children up to 21, and the parents of both spouses			acf.s054_p
s055	p	Không yêu cầu cư trú tối thiểu để duy trì thẻ	No minimum stay is required to keep the permit			acf.s055_p
s056	p	Hạn chế cần lưu ý	Points to consider	100%: Points to consider		acf.s056_p
s057	p	Muốn nhập tịch cần sống tại Hy Lạp tối thiểu 7 năm	Naturalization requires at least 7 years of living in Greece			acf.s057_p
s058	p	Cần đáp ứng điều kiện cư trú, ngôn ngữ theo luật Hy Lạp	You must meet the residence and language conditions set by Greek law			acf.s058_p
s059	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s059_cta
s060	cta	XEM CHI TIẾT	View details	100%: View details		acf.s060_cta
s061	p	Ireland	Ireland		trung:s027	acf.s061_p
s062	p	02	02			acf.s062_p
s063	p	{1}02{/1} Nhóm A · Lựa chọn 02	{1}02{/1} Group A · Option 02	100%: {1}02{/1} Group A · Option 02		acf.s063_p#1
s064	p	Thường trú nhân Ireland	Ireland Golden Visa	100% (gắn lại thẻ ): {1}Ireland{/1} Golden Visa		acf.s064_p
s065	p	Mức đầu tư	Investment	100%: Investment	trung:s039	acf.s065_p
s066	p	Từ 400.000 EUR	From €400,000		trung:s028	acf.s066_p
s067	p	Mục đích	Purpose	100%: Purpose	trung:s042	acf.s067_p
s068	p	Cư trú Ireland	Irish residency			acf.s068_p
s069	p	lộ trình quốc tịch EU, quyền lợi đặc biệt tại Anh	a route to EU citizenship, with special rights in the UK			acf.s069_p
s070	p	Xét duyệt	Processing	100%: Processing	trung:s045	acf.s070_p
s071	p	8 – 10	8–10	100%: 8 – 10		acf.s071_p
s072	p	tháng	months	100%: months	trung:s047	acf.s072_p
s073	p	Hình thức đầu tư	How you invest	100%: How you invest	trung:s048	acf.s073_p
s074	li	Trao tặng 400.000 EUR vào dự án xã hội đủ điều kiện	A €400,000 endowment to a qualifying social project			acf.s074_li
s075	li	Hoặc đầu tư 1.000.000 EUR vào doanh nghiệp/dự án đủ điều kiện trong 3 năm	Or a €1,000,000 investment in a qualifying business or project, held for 3 years			acf.s075_li
s076	p	Quyền lợi nổi bật	Key benefits	100%: Key benefits	trung:s051	acf.s076_p
s077	p	Chỉ chuyển vốn sau khi có chấp thuận sơ bộ	You transfer the funds only after pre-approval			acf.s077_p
s078	p	Duy trì Stamp 4 với yêu cầu cư trú thấp: 1 ngày/năm	Keep Stamp 4 status with a minimal residence requirement of 1 day a year			acf.s078_p
s079	p	Sau 5 năm định cư Ireland, có thể nộp hồ sơ nhập tịch	After 5 years of residence in Ireland, you can apply for naturalization			acf.s079_p
s080	p	Khi có quốc tịch Ireland, được tự do sinh sống, làm việc tại EU và Anh Quốc	With Irish citizenship, you can live and work freely across the EU and in the United Kingdom			acf.s080_p
s081	p	Hạn chế cần lưu ý	Points to consider	100%: Points to consider	trung:s056	acf.s081_p
s082	p	Ireland IIP đã ngừng nhận hồ sơ mới từ 15/02/2023	Ireland's Immigrant Investor Programme (IIP) stopped accepting new applications on February 15, 2023	100%: Ireland's Immigrant Investor Programme (IIP) stopped accepting new applications on February 15, 2023		acf.s082_p
s083	p	Chỉ còn các suất trao tặng hợp lệ từ dự án đủ điều kiện trước thời điểm này	Only endowment places from projects that qualified before that date remain			acf.s083_p
s084	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s059	acf.s084_cta
s085	cta	XEM CHI TIẾT	View details	100%: View details	trung:s060	acf.s085_cta
s086	p	Cộng Hoà Síp	Cyprus		trung:s029	acf.s086_p
s087	p	03	03			acf.s087_p
s088	p	{1}03{/1} Nhóm A · Lựa chọn 03	{1}03{/1} Group A · Option 03	100%: {1}03{/1} Group A · Option 03		acf.s088_p#1
s089	p	Thường trú nhân Cộng Hoà Síp	Cyprus Golden Visa	92%: {1}Cyprus{/1} Golden Visa		acf.s089_p
s090	p	Mức đầu tư	Investment	100%: Investment	trung:s039	acf.s090_p
s091	p	Từ 300.000 EUR	From €300,000		trung:s030	acf.s091_p
s092	p	(~8,4 tỷ đồng)	minimum		#bo-qua-so: ô này chỉ là quy đổi VND của con số EUR ngay trên, bỏ theo style guide mục 5	acf.s092_p
s093	p	Mục đích	Purpose	100%: Purpose	trung:s042	acf.s093_p
s094	p	Cư trú lâu dài tại Síp	Long-term residency in Cyprus			acf.s094_p
s095	p	hướng đến quốc tịch EU	working toward EU citizenship			acf.s095_p
s096	p	Xét duyệt	Processing	100%: Processing	trung:s045	acf.s096_p
s097	p	Khoảng 12	About 12		trung:s046	acf.s097_p
s098	p	tháng	months	100%: months	trung:s047	acf.s098_p
s099	p	Hình thức đầu tư (chọn 1)	How you invest (choose 1)	100%: Investment routes (choose 1)		acf.s099_p
s100	li	Mua nhà/căn hộ mới từ chủ đầu tư	Buy a new house or apartment from the developer			acf.s100_li
s101	li	Mua BĐS thương mại	Buy commercial real estate			acf.s101_li
s102	li	Góp vốn vào công ty tại Síp	Invest in the share capital of a Cypriot company			acf.s102_li
s103	li	Đầu tư vào quỹ đầu tư của Síp	Invest in a Cypriot investment fund			acf.s103_li
s104	p	Quyền lợi nổi bật	Key benefits	100%: Key benefits	trung:s051	acf.s104_p
s105	p	Tự do sinh sống, học tập, kinh doanh tại Síp	Live, study, and run a business in Cyprus	86%: Live, study, and run a business in Cyprus.		acf.s105_p
s106	p	Không cần trao tặng Chính phủ	No government donation is required			acf.s106_p
s107	p	Không yêu cầu ngoại ngữ, học vấn, kinh nghiệm quản lý	No language, education, or management experience requirements	86%: No language, education, or management experience requirements.		acf.s107_p
s108	p	Chỉ cần sang Síp 1 lần trong 2 năm để duy trì quyền cư trú	You need to visit Cyprus once every 2 years to keep your residency		"#bo-qua-so: ""1 lần"" viết thành ""once"" cho tự nhiên"	acf.s108_p
s109	p	Lưu ý	Please note	100%: Please note		acf.s109_p
s110	p	Síp chưa phải lựa chọn đi lại Schengen miễn visa như Hy Lạp/Malta/Bồ Đào Nha	Cyprus does not yet offer visa-free Schengen travel the way Greece, Malta, and Portugal do			acf.s110_p
s111	p	Khi nhập tịch Síp, có thể sinh sống tại 27 nước EU và đi lại 180 nước theo quy định	With Cypriot citizenship you can live in the 27 EU countries and travel to 180 countries under the applicable rules			acf.s111_p
s112	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s059	acf.s112_cta
s113	cta	XEM CHI TIẾT	View details	100%: View details	trung:s060	acf.s113_cta
s114	p	Malta	Malta		trung:s031	acf.s114_p
s115	p	04	04			acf.s115_p
s116	p	{1}04{/1} Nhóm A · Lựa chọn 04	{1}04{/1} Group A · Option 04	95%: {1}04{/1} Group B · Option 04		acf.s116_p#1
s117	p	Thường trú nhân Malta	Malta Golden Visa	100%: Malta Golden Visa		acf.s117_p
s118	p	Mức đầu tư	Investment	100%: Investment	trung:s039	acf.s118_p
