id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quyền cư trú New Zealand (Business Investor Visa)	New Zealand residency (Business Investor Visa)	100%: New Zealand residency (Business Investor Visa)		post_title
s002	h1	Quyền cư trú New Zealand{br}{1}Business Investor Visa{/1}	New Zealand{br}{1}Business Investor Visa{/1}	97%: New Zealand residency (Business Investor Visa)		acf.product_hero_title.product_hero_title_content#1
s003	h3	Chương trình Business Investor Visa là gì?	What is the Business Investor Visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Business Investor Visa là chương trình dành cho nhà đầu tư muốn định cư New Zealand thông qua việc đầu tư vào một doanh nghiệp đang hoạt động.	The New Zealand Business Investor Visa is for investors who want to settle in New Zealand by investing in an operating business.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Mức đầu tư tối thiểu từ 1 triệu NZD.	The minimum investment is NZ$1 million.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Giai đoạn đầu, nhà đầu tư và gia đình được cấp visa có thời hạn lên đến 4 năm để trực tiếp quản lý và phát triển doanh nghiệp.	In the first stage, you and your family are granted a visa valid for up to 4 years so that you can manage and grow the business yourself.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Có 2 lựa chọn đầu tư: từ 1 triệu NZD cho lộ trình xin Resident Visa sau 3 năm, hoặc từ 2 triệu NZD cho lộ trình nhanh xin Resident Visa sau 12 tháng.	There are 2 investment options: from NZ$1 million, with a Resident Visa application after 3 years; or from NZ$2 million on the fast route, with a Resident Visa application after 12 months.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Sau khi có Visa Thường trú và sinh sống tại New Zealand đủ thời gian theo quy định, nhà đầu tư có thể xét lộ trình nhập quốc tịch.	Once you hold the Resident Visa and have lived in New Zealand for the required time, you can consider the route to citizenship.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI BUSINESS INVESTOR VISA	Business Investor Visa benefits			acf.product_benefits_title
s011	h3	Cả gia đình sang New Zealand	The whole family moves to New Zealand			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Nhà đầu tư, vợ/chồng và con phụ thuộc có thể cùng sinh sống, học tập và làm việc tại New Zealand theo điều kiện visa.	You, your spouse, and your dependent children can live, study, and work in New Zealand, subject to the conditions of the visa.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Tiếp cận hệ thống y tế công	Access to the public health system			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Gia đình có cơ hội tiếp cận hệ thống y tế công của New Zealand theo quyền lợi và điều kiện áp dụng cho từng tình trạng visa/cư trú.	Your family can access New Zealand's public health system, with the entitlements and conditions that apply to each visa or residence status.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Con cái học tập tại New Zealand	Your children study in New Zealand			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Con cái được học tại các trường công đến hết THPT theo quyền lợi phù hợp với diện visa/cư trú của gia đình.	Your children can attend public schools through the end of secondary school, with the entitlements that match your family's visa or residence status.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Cơ hội lấy Visa Thường trú	A route to the Resident Visa			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Nhà đầu tư có thể xét lên Visa Thường trú New Zealand sau tối thiểu 12 tháng hoặc 3 năm vận hành doanh nghiệp, tùy lộ trình đầu tư và mức độ đáp ứng điều kiện.	You can be considered for a New Zealand Resident Visa after at least 12 months or 3 years of running the business, depending on your investment route and whether you meet the conditions in full.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h3	Lộ trình quốc tịch New Zealand	The route to New Zealand citizenship			acf.product_benefits_items[4].product_benefits_item_title
s020	li	Sau khi có Visa Thường trú và đáp ứng điều kiện cư trú thực tế, nhà đầu tư có thể xét nộp hồ sơ nhập quốc tịch New Zealand.	Once you hold the Resident Visa and meet the physical residence conditions, you can consider applying for New Zealand citizenship.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s021	li	Khicó quốc tịch, gia đình có hộ chiếu New Zealand và quyền đi lại quốc tế thuận tiện hơn; số quốc gia miễn visa/visa điện tử có thể thay đổi theo từng thời điểm.	With citizenship, your family holds New Zealand passports and travels internationally more easily; the number of countries offering visa-free or eVisa entry changes over time.			acf.product_benefits_items[4].product_benefits_item_bullets[1].product_benefits_item_bullet_text
s022	h2	ƯU ĐIỂM BUSINESS INVESTOR VISA	Advantages of the Business Investor Visa	85%: {1}★{/1} Business Investor Visa		acf.product_advantages_title
s023	h3	Lộ trình nhanh lên Visa Thường trú	A fast route to the Resident Visa			acf.product_advantages_items[0].product_advantages_item_title
s024	li	Với lộ trình đầu tư từ 2 triệu NZD, nhà đầu tư có thể xét lên Visa Thường trú sau 12 tháng vận hành doanh nghiệp nếu đáp ứng điều kiện chương trình.	On the route from NZ$2 million, you can be considered for a Resident Visa after 12 months of running the business, provided you meet the program conditions.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s025	h3	Mức đầu tư dễ tiếp cận hơn diện AIP	A more accessible entry level than the Active Investor Plus Visa			acf.product_advantages_items[1].product_advantages_item_title
s026	li	Mức đầu tư từ 1 triệu NZD, thấp hơn so với chương trình Active Investor Plus Visa.	The investment starts at NZ$1 million, below the threshold for the Active Investor Plus Visa.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s027	h3	Chủ động kiểm soát khoản đầu tư	Direct control over your investment			acf.product_advantages_items[2].product_advantages_item_title
s028	li	Nhà đầu tư trực tiếp tham gia quản lý và phát triển doanh nghiệp tại New Zealand, từ đó có thể chủ động hơn trong chiến lược vận hành và sử dụng vốn.	You take part directly in managing and growing the business in New Zealand, which gives you more control over operating strategy and how the capital is used.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s029	h2	ĐIỀU KIỆN BUSINESS INVESTOR VISA	Business Investor Visa requirements			acf.product_conditions_title
s030	h3	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_items[0].product_conditions_item_title
s031	li	Dưới 55 tuổi.	Under 55.			acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s032	li	Có trình độ tiếng Anh tối thiểu IELTS 5.0 hoặc chứng chỉ tương đương.	English at IELTS 5.0 or an equivalent certificate.			acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s033	li	Có kinh nghiệm quản lý, điều hành doanh nghiệp phù hợp.	Relevant experience managing and running a business.			acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s034	li	Đáp ứng yêu cầu về sức khỏe và lý lịch tư pháp.	Meets the health and police clearance certificate requirements.			acf.product_conditions_items[0].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s035	li	Chứng minh nguồn vốn đầu tư hợp pháp.	You document a lawful source of funds for the investment.	100%: You document a lawful source of funds for the investment.		acf.product_conditions_items[0].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s036	li	Có thêm ít nhất 500.000 NZD làm quỹ an cư cho gia đình trong giai đoạn đầu tại New Zealand.	At least a further NZ$500,000 in settlement funds for your family's first period in New Zealand.			acf.product_conditions_items[0].product_conditions_item_bullets[5].product_conditions_item_bullet_text
s037	h3	Điều kiện doanh nghiệp đầu tư	Requirements for the business you invest in	86%: Company requirements		acf.product_conditions_items[1].product_conditions_item_title
s038	li	Đầu tư vào một doanh nghiệp đang hoạt động tại New Zealand.	You invest in a business already operating in New Zealand.			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s039	li	Có thể mua lại toàn bộ doanh nghiệp hoặc sở hữu tối thiểu 25% cổ phần công ty.	You can buy the business outright or hold at least 25% of its shares.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s040	li	Doanh nghiệp cần đáp ứng điều kiện về lịch sử hoạt động, pháp lý, tài chính và khả năng vận hành theo yêu cầu chương trình.	The business must meet the program's requirements on trading history, legal standing, finances, and ability to operate.			acf.product_conditions_items[1].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s041	li	Doanh nghiệp phải duy trì tối thiểu 5 việc làm toàn thời gian.	The business must maintain at least 5 full-time jobs.			acf.product_conditions_items[1].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s042	li	Tạo thêm ít nhất 1 việc làm mới cho công dân hoặc thường trú nhân New Zealand.	It must create at least 1 new job for a New Zealand citizen or permanent resident.			acf.product_conditions_items[1].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s043	h3	Lộ trình đầu tư	Investment routes	93%: 2 investment routes		acf.product_conditions_items[2].product_conditions_item_title
s044	li	Lộ trình thường: đầu tư tối thiểu 1 triệu NZD.	Standard route: invest at least NZ$1 million.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s045	li	Sau khi vận hành doanh nghiệp và đáp ứng điều kiện trong 3 năm, nhà đầu tư có thể nộp hồ sơ xin Visa Thường trú.	After running the business and meeting the conditions for 3 years, you can apply for a Resident Visa.			acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s046	li	Lộ trình nhanh: đầu tư tối thiểu 2 triệu NZD.	Fast route: invest at least NZ$2 million.			acf.product_conditions_items[2].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s047	li	Sau khi vận hành doanh nghiệp và đáp ứng điều kiện trong 12 tháng, nhà đầu tư có thể nộp hồ sơ xin Visa Thường trú.	After running the business and meeting the conditions for 12 months, you can apply for a Resident Visa.			acf.product_conditions_items[2].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s048	h3	Điều kiện vận hành và cư trú	Operating and residence conditions			acf.product_conditions_items[3].product_conditions_item_title
s049	li	Nhà đầu tư cần trực tiếp quản lý và phát triển doanh nghiệp tại New Zealand.	You must manage and grow the business in New Zealand yourself.			acf.product_conditions_items[3].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s050	li	Cư trú tối thiểu 184 ngày/năm tại New Zealand.	At least 184 days a year in New Zealand.			acf.product_conditions_items[3].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s051	li	Duy trì hoạt động kinh doanh theo đúng kế hoạch đã được chấp thuận.	You keep the business running in line with the plan that was approved.			acf.product_conditions_items[3].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s052	li	Đáp ứng các yêu cầu về duy trì việc làm, tạo việc làm mới, tuân thủ pháp luật và nghĩa vụ tài chính – thuế tại New Zealand.	You meet the requirements on maintaining jobs, creating new jobs, complying with the law, and meeting your financial and tax obligations in New Zealand.			acf.product_conditions_items[3].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s053	h2	QUY TRÌNH BUSINESS INVESTOR VISA	The Business Investor Visa process			acf.product_process_title
s054	h3	Tìm kiếm và thẩm định doanh nghiệp	Find and assess a business			acf.product_process_steps[0].product_process_step_title
s055	p	Tìm kiếm doanh nghiệp đang hoạt động tại New Zealand phù hợp để đầu tư. Thẩm định chi tiết về tài chính, pháp lý và tiềm năng vận hành của doanh nghiệp.	We look for an operating New Zealand business that is a suitable investment. We assess its finances, its legal standing, and its operating potential in detail.			acf.product_process_steps[0].product_process_step_desc
s056	h3	Chuẩn bị hồ sơ	Prepare the file	100%: Prepare the file		acf.product_process_steps[1].product_process_step_title
s057	p	Tập hợp giấy tờ cá nhân, bằng chứng kinh nghiệm và chứng chỉ tiếng Anh. Chuẩn bị hồ sơ chứng minh nguồn vốn đầu tư, quỹ an cư và kế hoạch kinh doanh.	We gather your personal documents, evidence of your experience, and your English certificate. We prepare the evidence of your source of funds and your settlement funds, together with the business plan.			acf.product_process_steps[1].product_process_step_desc
s058	h3	Nộp hồ sơ Business Investor Work Visa	File the Business Investor Work Visa application			acf.product_process_steps[2].product_process_step_title
s059	p	Nộp bộ hồ sơ hoàn chỉnh đến Bộ Di trú New Zealand để xin cấp Business Investor Work Visa có thời hạn lên đến 4 năm.	The complete application is submitted to Immigration New Zealand for a Business Investor Work Visa, valid for up to 4 years.			acf.product_process_steps[2].product_process_step_desc
s060	h3	Nhận chấp thuận và hoàn tất đầu tư	Approval and completion of the investment	87%: Approval and completion of the investment		acf.product_process_steps[3].product_process_step_title
s061	p	Sau khi hồ sơ được chấp thuận, nhà đầu tư thực hiện các bước tiếp theo theo hướng dẫn để hoàn tất khoản đầu tư và nhận visa chính thức.	Once your application is approved, you follow the next steps as instructed to complete the investment and have the visa issued.			acf.product_process_steps[3].product_process_step_desc
s062	h3	Sang New Zealand vận hành doanh nghiệp	Move to New Zealand and run the business			acf.product_process_steps[4].product_process_step_title
s063	p	Nhà đầu tư đến New Zealand và bắt đầu quá trình trực tiếp vận hành doanh nghiệp.	You arrive in New Zealand and begin running the business yourself.			acf.product_process_steps[4].product_process_step_desc
s064	h3	Nộp hồ sơ Visa Thường trú	Apply for the Resident Visa	85%: File for your residence card		acf.product_process_steps[5].product_process_step_title
s065	p	Sau 12 tháng với lộ trình nhanh hoặc sau 3 năm với lộ trình thường, nếu đáp ứng đủ điều kiện, nhà đầu tư có thể nộp hồ sơ xin Business Investor Resident Visa.	After 12 months on the fast route, or 3 years on the standard route, you can apply for a Business Investor Resident Visa, provided you meet all the conditions.			acf.product_process_steps[5].product_process_step_desc
s066	h3	Xét lộ trình quốc tịch	A route to citizenship	90%: A route to citizenship		acf.product_process_steps[6].product_process_step_title
s067	p	Sau khi duy trì tình trạng thường trú và sinh sống thực tế tại New Zealand đủ thời gian theo quy định, nhà đầu tư có thể xét nộp hồ sơ nhập quốc tịch New Zealand.	Once you have held residence and physically lived in New Zealand for the required time, you can consider applying for New Zealand citizenship.			acf.product_process_steps[6].product_process_step_desc
s068	cta	Xem tất cả dự án	View all projects	100%: View all projects		acf.product_projects_cta_label
s069	h2	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in		acf.product_care_title
s070	h3	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in	trung:s069	acf.product_care_service_title
s071	p	Tìm hiểu các dịch vụ tư vấn từ IMM Group:	Explore IMM Group's advisory services:	100%: Explore IMM Group's advisory services:		acf.product_care_service_desc#1
s072	li	Đầu tư định cư New Zealand	New Zealand investor visa	100%: New Zealand investor visa		acf.product_care_service_links[0].product_care_service_link_title
s073	li	Quyền cư trú New Zealand (Active Investor Plus Visa)	New Zealand residency (Active Investor Plus Visa)	100%: New Zealand residency (Active Investor Plus Visa)		acf.product_care_service_links[1].product_care_service_link_title
s074	li	Tổng quan về Chương trình định cư New Zealand diện đầu tư (Active Investor Plus Visa)	An overview of New Zealand investment immigration (Active Investor Plus Visa)	98%: An overview of New Zealand investment immigration (Active Investor Plus Visa)		acf.product_care_service_links[2].product_care_service_link_title
s075	h3	Hiểu về New Zealand	Understanding New Zealand	100%: Understanding New Zealand		acf.product_care_topics_title
s076	p	Chuyên trang IMM Group tổng hợp các thông tin hữu ích với các chủ đề:	IMM Group's resource hub brings together practical information on the following topics:	100%: IMM Group's resource hub brings together practical information on the following topics:		acf.product_care_topics_desc#1
s077	li	Cuộc sống tại New Zealand	Life in New Zealand	100%: Life in New Zealand		acf.product_care_topics_links[0].product_care_topics_link_title
s078	li	Giáo dục tại New Zealand	Education in New Zealand	100%: Education in New Zealand		acf.product_care_topics_links[1].product_care_topics_link_title
s079	li	Văn hóa New Zealand	New Zealand culture	100%: New Zealand culture		acf.product_care_topics_links[2].product_care_topics_link_title
s080	li	Lao động / Kinh doanh tại New Zealand	Working and doing business in New Zealand	86%: Working and doing business in New Zealand		acf.product_care_topics_links[3].product_care_topics_link_title
s081	li	Trợ cấp, phúc lợi, an sinh xã hội New Zealand	Benefits, welfare, and social security in New Zealand	87%: Benefits, welfare, and social security in Canada		acf.product_care_topics_links[4].product_care_topics_link_title
s082	h2	CÂU HỎI THƯỜNG GẶP VỀ BUSINESS INVESTOR VISA	Business Investor Visa FAQs			acf.product_faq_title
s083	h4	Business Investor Visa có phải Visa Thường trú ngay từ đầu không?	Is the Business Investor Visa a Resident Visa from the start?			acf.product_faq_items[0].product_faq_item_question
s084	li	Không. Giai đoạn đầu là Business Investor Work Visa, có thời hạn lên đến 4 năm. Nhà đầu tư cần đầu tư, sang New Zealand và trực tiếp vận hành doanh nghiệp trước khi đủ điều kiện xét lên Visa Thường trú.	No. The first stage is a Business Investor Work Visa, valid for up to 4 years. You need to make the investment, move to New Zealand, and run the business yourself before you qualify to be considered for a Resident Visa.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s085	h4	Mức đầu tư tối thiểu là bao nhiêu?	What is the minimum investment?			acf.product_faq_items[1].product_faq_item_question
s086	li	Mức đầu tư tối thiểu là 1 triệu NZD cho lộ trình thường. Nếu muốn xét lên Visa Thường trú theo lộ trình nhanh sau 12 tháng, nhà đầu tư cần đầu tư tối thiểu 2 triệu NZD.	The minimum investment is NZ$1 million on the standard route. To be considered for a Resident Visa on the fast route after 12 months, you need to invest at least NZ$2 million.			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s087	h4	Nhà đầu tư có cần trực tiếp vận hành doanh nghiệp không?	Do I have to run the business myself?			acf.product_faq_items[2].product_faq_item_question
s088	li	Có. Chương trình yêu cầu nhà đầu tư trực tiếp quản lý và phát triển doanh nghiệp tại New Zealand theo các điều kiện đã đặt ra.	Yes. The program requires you to manage and grow the business in New Zealand yourself, under the conditions of the visa.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s089	h4	Có yêu cầu tiếng Anh không?	Is there an English requirement?			acf.product_faq_items[3].product_faq_item_question
s090	li	Có. Đương đơn cần có trình độ tiếng Anh tối thiểu IELTS 5.0 hoặc chứng chỉ tương đương.	Yes. You need English at IELTS 5.0 or an equivalent certificate.			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s091	h4	Có yêu cầu cư trú tại New Zealand không?	Is there a residence requirement in New Zealand?			acf.product_faq_items[4].product_faq_item_question
s092	li	Có. Nhà đầu tư cần cư trú tối thiểu 184 ngày/năm tại New Zealand.	Yes. You need to live in New Zealand for at least 184 days a year.			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s093	h4	Doanh nghiệp cần đáp ứng điều kiện việc làm nào?	What job requirements does the business have to meet?			acf.product_faq_items[5].product_faq_item_question
s094	li	Doanh nghiệp phải duy trì 5 việc làm toàn thời gian và tạo thêm 1 việc làm mới cho công dân hoặc thường trú nhân New Zealand.	The business must maintain 5 full-time jobs and create 1 new job for a New Zealand citizen or permanent resident.			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s095	h4	Gia đình có được đi cùng hồ sơ không?	Can my family come with me?	91%: Can my family come with me?		acf.product_faq_items[6].product_faq_item_question
s096	li	Có. Gia đình đi cùng gồm vợ/chồng và con phụ thuộc. Các thành viên đi cùng cần đáp ứng yêu cầu về sức khỏe, lý lịch và điều kiện hồ sơ theo quy định.	Yes. Your spouse and dependent children can be included. They need to meet the health, character, and documentation requirements that apply.			acf.product_faq_items[6].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s097	h4	Khi nào có thể xin Visa Thường trú?	When can I apply for the Resident Visa?			acf.product_faq_items[7].product_faq_item_question
s098	li	Nhà đầu tư có thể xin Visa Thường trú sau 3 năm với lộ trình đầu tư 1 triệu NZD, hoặc sau 12 tháng với lộ trình đầu tư 2 triệu NZD, nếu vận hành doanh nghiệp đáp ứng đầy đủ điều kiện chương trình.	You can apply for a Resident Visa after 3 years on the NZ$1 million route, or after 12 months on the NZ$2 million route, provided the business meets all the program conditions.			acf.product_faq_items[7].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s099	h4	Có thể lên quốc tịch New Zealand không?	Can I obtain New Zealand citizenship?			acf.product_faq_items[8].product_faq_item_question
s100	li	Có thể. Sau khi có Visa Thường trú và sinh sống thực tế tại New Zealand đủ 5 năm theo quy định, nhà đầu tư có thể xét nộp hồ sơ nhập quốc tịch.	It is possible. Once you hold the Resident Visa and have physically lived in New Zealand for the required 5 years, you can consider applying for citizenship.			acf.product_faq_items[8].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s101	h4	Rủi ro chính của chương trình là gì?	What are the main risks?	100%: What are the main risks?		acf.product_faq_items[9].product_faq_item_question
s102	li	Rủi ro thường nằm ở việc chọn doanh nghiệp không phù hợp, thẩm định tài chính – pháp lý chưa đầy đủ, không duy trì được việc làm, không tạo đủ việc làm mới, không đáp ứng thời gian cư trú hoặc hồ sơ nguồn tiền chưa rõ ràng. Đây là chương trình yêu cầu đầu tư và trực tiếp vận hành doanh nghiệp, nên kết quả phụ thuộc năng lực quản lý, hiệu quả kinh doanh và xét duyệt của cơ quan chức năng.	The risks usually lie in choosing an unsuitable business, incomplete financial and legal due diligence, failing to maintain the jobs, failing to create enough new jobs, not meeting the residence days, or a source of funds file that is not clear enough. This is a program that requires both an investment and hands-on management, so the outcome depends on your management ability, how the business performs, and the authorities' assessment.			acf.product_faq_items[9].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
