id	loai	vi	en	tm	ghi_chu	src
s001	h1	Visa Định Cư Mỹ EB-5	EB-5 Visa: A U.S. Green Card for Your Whole Family			
s002	img	Visa Định Cư Mỹ EB-5	Cover image for IMM Group's EB-5 visa video			video-thumb
s003	h3	EB-5 là gì?	What is the EB-5 visa program?			
s004	li	Chương trình đầu tư định cư Mỹ, được Quốc hội Mỹ thông qua năm 1990	The EB-5 visa is a U.S. investment immigration program established by Congress in 1990			
s005	li	Mức đầu tư tối thiểu **800.000 USD** - khoảng 21 tỷ đồng	Minimum investment: **US$800,000** in a Targeted Employment Area (TEA) project		#bo-qua-so: số VND chỉ nhắc lại số USD	
s006	li	Tạo 10 việc làm toàn thời gian cho người Mỹ	Creation of 10 full-time jobs for U.S. workers			
s007	li	Cả gia đình nhận thẻ xanh: vợ/chồng và con dưới 21 tuổi	Green cards for the whole family: you, your spouse, and your unmarried children under 21			
s008	li	Đầu tư EB-5 qua Trung tâm vùng - lộ trình gọn, an toàn, minh bạch	EB-5 investment through a regional center: a streamlined, transparent process with structured risk management			
s009	cta	Yêu cầu tư vấn	Book a consultation			
s010	p	MỐC QUAN TRỌNG CHO NHÀ ĐẦU TƯ EB-5	Key date for EB-5 investors			
s011	p	Hạn cuối nộp hồ sơ I-526E: 30/09/2026	Grandfathering cutoff for Form I-526E filings: September 30, 2026			
s012	p	Khi đầu tư EB-5, thời điểm nộp hồ sơ là yếu tố then chốt để kiểm soát chi phí và rủi ro pháp lý. Mốc **30/09/2026** ảnh hưởng trực tiếp đến **mức vốn 800.000 USD**, quyền lợi pháp lý và độ ổn định của hồ sơ.	For EB-5 investors, the timing of your filing is key to managing costs and legal risk. The **September 30, 2026** date directly affects the **US$800,000 investment amount**, your legal rights, and the stability of your petition.			
s013	h3	Cơ chế Grandfathering — Bảo lưu hồ sơ	Grandfathering protection for filed petitions			
s014	p	Theo RIA 2022, chỉ hồ sơ **I-526E** nộp trước **30/09/2026** được bảo lưu các điều kiện hiện hành nếu chương trình có điều chỉnh sau này.	Under the EB-5 Reform and Integrity Act of 2022 (RIA), only **Form I-526E** petitions filed by **September 30, 2026** are grandfathered under the current requirements if the program is changed later.			
s015	p	Giữ mức vốn	Preserve the investment amount			
s016	h3	800.000 USD	US$800,000			
s017	p	Giữ tiêu chí	Preserve the criteria			
s018	h3	Xét duyệt & quyền lợi	Adjudication standards and benefits			
s019	p	Bảo vệ hồ sơ	Petition protection			
s020	h3	Khi luật điều chỉnh	If the law changes			
s021	cta	Yêu cầu tư vấn	Book a consultation		trung:s009	
s022	h2	QUYỀN LỢI CỦA VISA ĐỊNH CƯ MỸ EB-5	Benefits of the EB-5 visa			
s023	h3	Thẻ xanh cho cả gia đình	Green cards for your whole family			
s024	p	Vợ/chồng và con dưới 21 tuổi	Your spouse and unmarried children under 21			
s025	h3	Quyền lợi như công dân Mỹ	Many of the same rights as U.S. citizens			
s026	p	Tự do sinh sống, học tập và làm việc trên toàn nước Mỹ	Freedom to live, study, and work anywhere in the United States			
s027	h3	Hộ chiếu Mỹ quyền lực	A path to a U.S. passport			
s028	p	Tự do đi lại toàn cầu - hộ chiếu Mỹ miễn visa hoặc visa điện tử tới hơn 180 quốc gia	Freedom to travel globally: once naturalized, you can apply for a U.S. passport, which offers visa-free or eVisa access to 180+ destinations			
s029	h3	Ra vào Mỹ không giới hạn	Travel in and out of the U.S. as needed			
s030	p	Tự do đi lại mọi lúc	Travel when your plans require, while maintaining your permanent residence			
s031	h3	Giáo dục ưu việt cho con	A strong education for your children			
s032	li	Miễn phí trường công, từ tiểu học đến THPT	Free public schooling from elementary through high school			
s033	li	Học phí đại học thấp hơn nhiều so với du học sinh	Public university tuition that can be far lower than what international students pay			
s034	li	Được học ngành chỉ dành cho thường trú nhân & công dân Mỹ	Access to programs open only to U.S. permanent residents and citizens			
s035	h2	ƯU ĐIỂM CHƯƠNG TRÌNH ĐỊNH CƯ MỸ EB-5	Advantages of the EB-5 investor visa			
s036	h3	Lấy thẻ xanh trực tiếp	A direct path to a green card			
s037	p	Không qua nhiều bước, không đi đường vòng	No intermediate visa stages, no detours			
s038	h3	Quốc tịch Mỹ sau 5 năm	A path to U.S. citizenship after 5 years			
s039	p	Cả gia đình thành công dân Mỹ – đủ điều kiện xin quốc tịch sau 5 năm thường trú, con cái lớn lên là người Mỹ trọn quyền	Your family can become eligible for U.S. citizenship after 5 years as permanent residents, and your children can grow up as U.S. citizens with full rights			
s040	h3	Điều kiện đơn giản	Straightforward requirements			
s041	li	Không yêu cầu học vấn	No education requirement			
s042	li	Không yêu cầu ngoại ngữ	No language requirement			
s043	li	Không cần kinh nghiệm kinh doanh	No business experience required			
s044	h3	Không ràng buộc kinh doanh	No business obligations			
s045	li	Không cần sở hữu hay quản lý công ty	No need to own or manage a company			
s046	li	Không bắt buộc mở công ty sau khi có thẻ xanh	No requirement to start a company after receiving your green card			
s047	li	Không cần công ty hay gia đình bảo lãnh	No employer or family sponsor required			
s048	li	Chỉ cần đầu tư vào dự án đạt điều kiện	Your role is to invest in a qualifying project			
s049	h2	ĐIỀU KIỆN LẤY VISA ĐỊNH CƯ MỸ EB-5	EB-5 visa requirements			
s050	h3	Từ 18 tuổi	Age 18 or older			
s051	p	Không giới hạn độ tuổi tối đa	No upper age limit			
s052	h3	Đầu tư 800.000 USD	Invest US$800,000			
s053	p	Vào dự án thuộc vùng khuyến khích đầu tư (TEA)	In a project located in a Targeted Employment Area (TEA)			
s054	p	TEA - Targeted Employment Area: khu vực việc làm mục tiêu.	[BO]		#bo: chỉ là giải nghĩa từ tiếng Anh cho người Việt, đã viết đủ tên ở s053	
s055	h3	Nguồn vốn hợp pháp	Lawful source of funds			
s056	p	Chứng minh nguồn gốc số tiền đầu tư	Document the lawful source of your investment funds			
s057	h3	Tạo 10 việc làm	Create 10 jobs			
s058	p	Việc làm toàn thời gian cho người bản xứ	Full-time positions for qualifying U.S. workers			
s059	h2	LỘ TRÌNH ĐỊNH CƯ EB-5	The EB-5 visa process			
s060	h3	Chuẩn bị hồ sơ & chứng minh nguồn tiền	Prepare your petition and document your source of funds			
s061	p	Hoàn thiện hồ sơ pháp lý và làm rõ nguồn gốc vốn đầu tư.	Complete your legal documentation and establish the source of your investment capital.			
s062	h3	Chuyển vốn đầu tư	Transfer your investment			
s063	p	Hoàn tất chuyển khoản theo hợp đồng EB-5.	Complete the transfer as set out in your EB-5 subscription agreement.			
s064	h3	Nộp hồ sơ I-526E	File Form I-526E			
s065	p	Đệ trình đơn xin nhà đầu tư định cư lên Sở Di trú Hoa Kỳ.	Submit your investor petition to U.S. Citizenship and Immigration Services (USCIS).			
s066	h3	Nhận kết quả I-526E	Receive your Form I-526E decision			
s067	p	USCIS phê duyệt hồ sơ đầu tư.	USCIS adjudicates your investor petition.			
s068	h3	Nộp hồ sơ tại Trung tâm Thị thực Quốc gia (NVC)	File with the National Visa Center (NVC)			
s069	p	Hoàn tất thủ tục xét duyệt visa.	Complete visa processing.			
s070	h3	Phỏng vấn	Attend your interview			
s071	p	Tham dự phỏng vấn tại Lãnh sự quán Hoa Kỳ.	Attend an interview at a U.S. embassy or consulate.			
s072	h3	Nhận visa định cư EB-5	Receive your EB-5 immigrant visa			
s073	p	Được cấp thị thực định cư diện EB-5.	You are issued an EB-5 immigrant visa.			
s074	h3	Nhập cảnh Hoa Kỳ & kích hoạt thẻ xanh	Enter the U.S. and receive your conditional green card			
s075	p	Sang Mỹ để kích hoạt thẻ xanh có điều kiện (2 năm).	Travel to the U.S. to begin your conditional permanent residence; your conditional green card is valid for 2 years.			
s076	h3	Nộp hồ sơ I-829 xóa điều kiện	File Form I-829 to remove conditions			
s077	p	Đệ trình sau khi đủ 21 tháng kể từ ngày có thẻ xanh.	File once 21 months have passed since you received your green card.			
s078	h3	Rút vốn đầu tư	Exit your investment			
s079	p	Thu hồi vốn theo thỏa thuận với dự án.	Seek a return of capital under the terms of your agreement with the project.			
s080	h3	Nhận chấp thuận thường trú vĩnh viễn	Receive unconditional permanent residence			
s081	p	Được cấp thẻ thường trú nhân không điều kiện (10 năm).	You receive a 10-year green card as an unconditional permanent resident.			
s082	h3	Nộp hồ sơ xin quốc tịch	Apply for U.S. citizenship			
s083	p	Đủ điều kiện sau 5 năm thường trú.	Eligible after 5 years of permanent residence.			
s084	h2	CÁC DỰ ÁN EB-5	Current EB-5 projects			
s085	img	Dự án EB-5 | Khu dân cư phức hợp thương mại Haven Residences	Haven Residences, a mixed-use residential and commercial EB-5 project			haven
s086	p	Còn suất	Investor spots available			
s087	p	Độc quyền của IMM Group	Exclusive to IMM Group			
s088	p	Chấp thuận I-956F	Form I-956F approved			
s089	h3	[Dự án EB-5 | Khu dân cư phức hợp thương mại Haven Residences](https://immgroup.com/dau-tu-dinh-cu-my/visa-dinh-cu-my-eb5/du-an-eb-5-khu-dan-cu-phuc-hop-thuong-mai-haven-residences/)	[EB-5 project: Haven Residences mixed-use development](https://immgroup.com/dau-tu-dinh-cu-my/visa-dinh-cu-my-eb5/du-an-eb-5-khu-dan-cu-phuc-hop-thuong-mai-haven-residences/)			
s090	p	Mức đầu tư: 800.000 USD	Investment: US$800,000			
s091	img	Dự án EB-5 | Ecoplastic – Nhà máy sản xuất phụ tùng ô tô Hyundai	Ecoplastic, an EB-5 project to build a Hyundai auto parts manufacturing plant			ecoplastic
s092	p	Còn suất	Investor spots available		trung:s086	
s093	p	Độc quyền của IMM Group	Exclusive to IMM Group		trung:s087	
s094	p	Ưu tiên xét duyệt nhanh	Eligible for priority processing			
