id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Đầu tư định cư Latvia	Latvia Golden Visa		#bo-qua-tn: Latvia cấp thẻ TẠM TRÚ (nguồn nói rõ ở s060), không phải thường trú	post_title
s002	h1	ĐẦU TƯ ĐỊNH CƯ {1}LATVIA{/1}	{1}Latvia{/1} Golden Visa		#bo-qua-tn: H1 dùng tên sản phẩm theo cách người bản xứ tìm	acf.product_hero_title.product_hero_title_content#1
s003	h3	Chương trình đầu tư định cư Latvia là gì?	What is the Latvia residence by investment program?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình cho phép nhà đầu tư và gia đình lấy thẻ tạm trú Latvia thông qua khoản đầu tư đủ điều kiện.	The Latvia Golden Visa lets you and your family obtain a Latvian temporary residence permit through a qualifying investment.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Khi có thẻ cư trú Latvia, gia đình được đi lại trong khối Schengen theo quy định lưu trú ngắn hạn.	With a Latvian residence permit, you and your family can travel within the Schengen Area under the short-stay rules.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Nhà đầu tư có thể chọn đầu tư bất động sản hoặc đầu tư cổ phần vào công ty tại Latvia.	You can choose between a real estate investment and a share capital investment in a Latvian company.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	**Thời gian xét duyệt tham khảo:** 30–90 ngày, tùy hồ sơ và tiến độ cơ quan chức năng.	**Indicative processing time:** 30–90 days, depending on your file and on the authorities' own timelines.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item#1
s008	li	Sau 5 năm, nhà đầu tư đủ điều kiện có thể xét lên thường trú nhân vĩnh viễn; sau 10 năm có thể xét quốc tịch Latvia nếu đáp ứng điều kiện.	After 5 years, if you qualify, you can be considered for permanent residence, and after 10 years for Latvian citizenship, provided you meet the conditions.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THẺ TẠM TRÚ LATVIA	Benefits of the Latvian residence permit			acf.product_benefits_title
s011	h3	Tự do đi lại Schengen	Visa-free travel in the Schengen Area	100%: Visa-free travel in the Schengen Area		acf.product_benefits_items[0].product_benefits_item_title
s012	li	Đi lại trong khối Schengen, Thụy Sĩ, Na Uy và Iceland theo quy định lưu trú ngắn hạn.	Travel within the Schengen Area, Switzerland, Norway, and Iceland under the short-stay rules.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Sinh sống và làm việc tại Latvia	Live and work in Latvia	86%: Live and work in the U.S.		acf.product_benefits_items[1].product_benefits_item_title
s014	li	Đương đơn và gia đình có thể sinh sống, học tập và làm việc tại Latvia.	You and your family can live, study, and work in Latvia.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Quyền lợi giáo dục	Education			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Con cái được tiếp cận hệ thống giáo dục tại Latvia như người bản xứ.	Your children have access to the Latvian education system on the same terms as local residents.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
