id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Thường trú nhân Bulgaria	Bulgaria Golden Visa	100%: Bulgaria residency by investment	"#bo-qua-tn: tên trang tiếng Anh là tên sản phẩm ""Bulgaria Golden Visa""; nội dung trang vẫn dịch ""permanent residence"" đúng bảng"	post_title
s002	h1	THƯỜNG TRÚ NHÂN {1}BULGARIA{/1}	{1}Bulgaria{/1} Golden Visa	100% (gắn lại thẻ {1} {/1}): Bulgaria residency by investment	"#bo-qua-tn: H1 dùng tên sản phẩm ""Bulgaria Golden Visa"" theo cách người bản xứ tìm; khái niệm thường trú giữ nguyên trong thân bài"	acf.product_hero_title.product_hero_title_content#1
s003	h3	GOLDEN VISA BULGARIA LÀ GÌ?	What is the Bulgaria Golden Visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình cấp thẻ thường trú do Chính phủ Bulgaria ban hành, dành cho nhà đầu tư ngoài EU và gia đình.	The Bulgaria Golden Visa is a Bulgarian government program that grants permanent residence to non-EU investors and their families.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Đầu tư vào quỹ tài chính được Ủy ban Giám sát Tài chính Bulgaria (FSC) cấp phép.	You invest in a fund licensed by the Bulgarian Financial Supervision Commission (FSC).			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Cư trú dài hạn tại Bulgaria – thành viên đầy đủ khối Schengen từ 01/2025.	Residence in Bulgaria with no time limit — a full member of the Schengen Area since January 2025.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Đầu tư từ 1.000.000 BGN (≈ 511.300 EUR, theo tỷ giá cố định 1 EUR = 1,95583 BGN); duy trì tối thiểu 5 năm.	A minimum investment of BGN 1,000,000 (about €511,300 at the fixed rate of €1 = BGN 1.95583), held for at least 5 years.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Chưa bao gồm thuế, phí và các chi phí liên quan.	Taxes, fees, and related costs are not included.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN BULGARIA	Benefits of Bulgarian permanent residence			acf.product_benefits_title
