id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Bồ Đào Nha diện Visa D7	Portugal D7 Visa		"#bo-qua-tn: D7 là thẻ cư trú có thời hạn, không phải thường trú — dịch ""permanent resident"" là sai dữ kiện"	post_title
s002	h1	ĐỊNH CƯ BỒ ĐÀO NHA DIỆN VISA {1}D7{/1}	{1}Portugal D7 Visa{/1}		#bo-qua-tn: H1 dùng tên visa theo cách người bản xứ tìm	acf.product_hero_title.product_hero_title_content#1
s003	h3	VISA D7 LÀ GÌ?	What is the D7 visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Diện thường trú dành cho người có thu nhập thụ động ổn định — không cần đầu tư hay vận hành doanh nghiệp.	The Portugal D7 visa is a residence route for people with a steady passive income — with no investment to make and no business to run.		"#bo-qua-tn: nguồn gọi ""diện thường trú"" nhưng D7 cấp thẻ cư trú có thời hạn — dùng residence permit cho đúng dữ kiện"	acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Cả gia đình (vợ/chồng, con, bố mẹ) cùng một hồ sơ.	One application covers the whole family: your spouse, children, and parents.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Được cấp thẻ cư trú với quyền của thường trú nhân và đi lại 29 nước Schengen ngắn hạn theo quy định 90/180 ngày.	You receive a residence permit that lets you live in Portugal and travel across the 29 Schengen countries on short stays under the 90/180-day rule.		"#bo-qua-tn: nguồn viết ""quyền của thường trú nhân""; thực tế là thẻ cư trú gia hạn theo kỳ"	acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Sau 5 năm cư trú hợp lệ: có thể xét thường trú vĩnh viễn hoặc nhập quốc tịch, nếu đáp ứng điều kiện theo luật Bồ Đào Nha.	After 5 years of lawful residence, you may apply for permanent residence or for Portuguese citizenship if you meet the conditions set by Portuguese law.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s009	h2	QUYỀN LỢI VISA D7	Benefits of the D7 visa	85%: E-2 visa benefits		acf.product_benefits_title
s010	h3	Sinh sống tại Bồ Đào Nha	Live in Portugal			acf.product_benefits_items[0].product_benefits_item_title
s011	li	Cả gia đình tự do sinh sống, làm việc và học tập tại Bồ Đào Nha.	Your whole family can live, work, and study in Portugal.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s012	h3	Tự do đi lại Schengen	Visa-free travel in the Schengen Area	100%: Visa-free travel in the Schengen Area		acf.product_benefits_items[1].product_benefits_item_title
s013	li	Đi lại 29 nước khối Schengen theo quy định lưu trú ngắn hạn 90 ngày trong mỗi 6 tháng.	Travel across the 29 Schengen countries under the standard short-stay rule: 90 days in any 180-day period.	100%: Travel across the 29 Schengen countries under the standard short-stay rule: 90 days in any 180-day period.	"#bo-qua-so: nguồn viết ""90 ngày trong mỗi 6 tháng""; bản Anh dùng công thức luật ""90 days in any 180-day period"""	acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s014	h3	Phúc lợi y tế & giáo dục	Healthcare and education			acf.product_benefits_items[2].product_benefits_item_title
s015	li	Tiếp cận hệ thống y tế và giáo dục công theo diện thường trú nhân.	Access to the public healthcare and education systems on the same terms as other residents.		"#bo-qua-tn: D7 cấp thẻ cư trú có thời hạn, không phải thường trú — dùng ""residents"" cho đúng dữ kiện"	acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Cơ hội nhập quốc tịch	A path to citizenship	91%: A path to Cypriot citizenship		acf.product_benefits_items[3].product_benefits_item_title
s017	li	Sau 5 năm cư trú hợp lệ và đáp ứng điều kiện về cư trú, ngôn ngữ, hội nhập, nhà đầu tư có thể xét nộp hồ sơ nhập tịch.	After 5 years of lawful residence, and once you meet the residence, language, and integration conditions, you can apply for naturalization.	85%: Once you have completed a period of lawful residence and met the residence, language, and integration conditions set by Greek law, you may apply for naturalization.		acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	h3	Khi nhập quốc tịch Bồ Đào Nha	Once you hold Portuguese citizenship			acf.product_benefits_items[4].product_benefits_item_title
s019	li	Quyền công dân EU: sinh sống, làm việc, học tập tại bất kỳ nước EU nào.	Full EU citizenship rights: you can live, work, and study in any EU country.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s020	li	Hộ chiếu thuộc nhóm mạnh: miễn visa hoặc visa điện tử tới hơn 180 quốc gia (Mỹ, Anh, Úc, Canada…).	A strong passport: visa-free or eVisa access to more than 180 countries, including the United States, the United Kingdom, Australia, and Canada.			acf.product_benefits_items[4].product_benefits_item_bullets[1].product_benefits_item_bullet_text
s021	li	Có thể xét visa E-2 vào Mỹ sau khi cư trú liên tục tại Bồ Đào Nha theo điều kiện chương trình.	Portuguese citizenship, which follows continuous residence in Portugal, also opens access to the US E-2 investor visa, subject to the conditions of that program.			acf.product_benefits_items[4].product_benefits_item_bullets[2].product_benefits_item_bullet_text
s022	h2	ƯU ĐIỂM VISA D7	Why applicants choose the D7			acf.product_advantages_title
s023	h3	Không yêu cầu đầu tư	No investment required			acf.product_advantages_items[0].product_advantages_item_title
s024	li	Chỉ cần chứng minh thu nhập thụ động ổn định — không phải góp vốn hay mua bất động sản.	All you have to show is a steady passive income — there is no capital to commit and no property to buy.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s025	h3	Điều kiện tham gia đơn giản	Straightforward eligibility	100%: Straightforward eligibility		acf.product_advantages_items[1].product_advantages_item_title
s026	li	Không yêu cầu ngôn ngữ, bằng cấp hay kinh nghiệm quản lý.	There is no language requirement, and no degree or management experience is needed.	90%: No degree or management experience is required.		acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s027	h3	Không giới hạn độ tuổi đương đơn	No age limit for applicants	100%: No age limit for applicants		acf.product_advantages_items[2].product_advantages_item_title
s028	li	Từ 18 tuổi, không giới hạn tuổi tối đa.	Aged 18 or older, with no upper age limit.	100%: Aged 18 or older, with no upper age limit.		acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s029	h3	Con cái đi kèm linh hoạt	Flexible rules for dependent children			acf.product_advantages_items[3].product_advantages_item_title
s030	li	Một trong số ít chương trình không giới hạn tuổi con đi kèm, với điều kiện con còn độc thân và phụ thuộc tài chính.	One of the few programs with no age cap on children, provided they are unmarried and financially dependent on you.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s031	h2	03 — ĐIỀU KIỆN CHƯƠNG TRÌNH VISA D7	03 — Portugal D7 visa requirements			acf.product_conditions_title
s032	h3	Từ 18 tuổi, không giới hạn tuổi tối đa.	Aged 18 or older, with no upper age limit.	100%: Aged 18 or older, with no upper age limit.	trung:s028	acf.product_conditions_items[0].product_conditions_item_title
s033	li	Đạt yêu cầu lý lịch an ninh.	Meets security and background vetting requirements	98%: Meets security and background vetting requirements		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s034	li	Có thu nhập thụ động ổn định phát sinh ngoài Bồ Đào Nha (cho thuê BĐS, đầu tư tài chính, cổ tức, lương hưu…).	A steady passive income arising outside Portugal: rental income, financial investments, dividends, a pension, and similar.			acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s035	h3	Đạt yêu cầu lý lịch an ninh.	Meets security and background vetting requirements	98%: Meets security and background vetting requirements	trung:s033	acf.product_conditions_items[1].product_conditions_item_title
s036	li	Con: còn độc thân và phụ thuộc tài chính vào đương đơn.	Children: unmarried and financially dependent on the applicant.			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s037	li	Bố mẹ (của cả hai vợ chồng): phụ thuộc tài chính vào đương đơn.	Parents of both spouses: financially dependent on the applicant.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s038	h3	Thu nhập thụ động tối thiểu	Minimum passive income			acf.product_conditions_items[2].product_conditions_item_title
s039	li	Đương đơn: từ 10.440 EUR/năm.	Applicant: from €10,440 a year.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s040	li	Mỗi người lớn đi kèm: thêm 5.220 EUR/năm.	Each additional adult: a further €5,220 a year.			acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s041	li	Mỗi trẻ dưới 18 tuổi/phụ thuộc: thêm 3.132 EUR/năm.	Each child under 18, or other dependent: a further €3,132 a year.			acf.product_conditions_items[2].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s042	li	Tài chính cho 12 tháng đầu (số dư tài khoản tại Bồ Đào Nha)	Funds for the first 12 months, held in a Portuguese bank account			acf.product_conditions_items[2].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s043	li	Đương đơn: tối thiểu 10.440 EUR; +5.220 EUR/người lớn; +3.132 EUR/trẻ phụ thuộc.	Applicant: at least €10,440; plus €5,220 per adult and €3,132 per dependent child.			acf.product_conditions_items[2].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s044	li	Cần có địa chỉ lưu trú tại Bồ Đào Nha (thuê hoặc mua) trước khi nộp hồ sơ.	You need a residential address in Portugal, rented or owned, before you file.			acf.product_conditions_items[2].product_conditions_item_bullets[5].product_conditions_item_bullet_text
s045	li	Mức tài chính tham chiếu, cập nhật tháng 06/2026; ngưỡng thực tế theo quy định tại thời điểm nộp hồ sơ.	These figures are indicative, updated June 2026; the thresholds that apply are those in force when you file.			acf.product_conditions_items[2].product_conditions_item_bullets[6].product_conditions_item_bullet_text
s046	h3	Thời gian lưu trú	Time you spend in Portugal	88%: Is there a residence requirement?		acf.product_conditions_items[3].product_conditions_item_title
s047	li	Trong thời gian giữ thẻ cư trú: không rời Bồ Đào Nha quá 6 tháng liên tục, hoặc 8 tháng cộng dồn trong 2 năm.	While you hold the residence permit: do not spend more than 6 consecutive months, or 8 months in total over 2 years, outside Portugal.			acf.product_conditions_items[3].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s048	h2	04 — QUY TRÌNH CHƯƠNG TRÌNH VISA D7	04 — The Portugal D7 visa process			acf.product_process_title
s049	h3	Đặt cọc & thẩm định	Deposit and due diligence	100%: Deposit and due diligence		acf.product_process_steps[0].product_process_step_title
s050	p	Ký thỏa thuận đặt cọc và thẩm định hồ sơ ban đầu.	Sign the deposit agreement and complete the initial due diligence on your file.	100%: Sign the deposit agreement and complete the initial due diligence on your file.		acf.product_process_steps[0].product_process_step_desc
