id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Thường trú nhân Cộng Hòa Síp (Cyprus)	Cyprus Golden Visa	100%: Cyprus residency by investment	"#bo-qua-tn: tên trang tiếng Anh dùng tên sản phẩm ""Cyprus Golden Visa""; thân bài vẫn dịch ""permanent residence"" đúng bảng"	post_title
s002	h1	THƯỜNG TRÚ NHÂN {1}CỘNG HÒA SÍP{/1}	{1}Cyprus{/1} Golden Visa	86%: Cyprus residency by investment	#bo-qua-tn: H1 dùng tên sản phẩm theo cách người bản xứ tìm	acf.product_hero_title.product_hero_title_content#1
s003	h3	THƯỜNG TRÚ NHÂN CỘNG HÒA SÍP LÀ GÌ?	What is the Cyprus Golden Visa?		#bo-qua-tn: câu hỏi mở đầu dùng tên sản phẩm, khớp H1	acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình cấp thẻ thường trú do Chính phủ Cộng Hòa Síp ban hành.	The Cyprus Golden Visa is a permanent residence program run by the Government of the Republic of Cyprus.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Dành cho nhà đầu tư ngoài EU và gia đình thông qua khoản đầu tư bất động sản từ 300.000 EUR.	It is open to non-EU investors and their families through an investment in Cypriot real estate from €300,000.	85%: It is open to non-EU investors and their families through an investment in Greek real estate.		acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Không yêu cầu trao tặng Chính phủ, ngôn ngữ, học vấn hay kinh nghiệm quản lý.	No government donation is required, and there are no language, education, or management experience requirements.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Cộng Hòa Síp là thành viên EU và đang trên lộ trình gia nhập khối Schengen.	Cyprus is an EU member state and is working toward joining the Schengen Area.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Có thể là bước đệm hướng tới quốc tịch Síp khi đáp ứng điều kiện cư trú.	It can be a first step toward Cypriot citizenship once you meet the residence requirements.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	Thành viên đi kèm: vợ/chồng hợp pháp và con đến 25 tuổi còn độc thân, phụ thuộc tài chính.	Who you can include: your legal spouse and children up to age 25 who are unmarried and financially dependent.			acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item
s010	li	Mức đầu tư và quy định có thể thay đổi theo thời điểm.	Investment levels and rules can change over time.			acf.product_hero_content[0].product_hero_content_text[6].product_hero_content_text_item
s011	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s012	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN CỘNG HÒA SÍP	Benefits of Cypriot permanent residence			acf.product_benefits_title
s013	h3	Sinh sống tại Síp	Live in Cyprus			acf.product_benefits_items[0].product_benefits_item_title
s014	li	Tự do sinh sống, học tập và kinh doanh tại Cộng Hòa Síp.	Live, study, and run a business in Cyprus.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Chất lượng sống chuẩn châu Âu	European standard of living			acf.product_benefits_items[1].product_benefits_item_title
s016	li	Hạ tầng hiện đại; tiếp cận hệ thống y tế công theo quy định dành cho thường trú nhân.	Modern infrastructure, with access to the public healthcare system on the terms that apply to permanent residents.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Giáo dục theo chuẩn Anh Quốc	British-style education			acf.product_benefits_items[2].product_benefits_item_title
s018	li	Hệ thống giáo dục được công nhận toàn cầu; con học trường công miễn phí từ tiểu học đến hết THPT.	An internationally recognized education system; your children attend public schools free of charge from primary through the end of secondary school.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h3	Môi trường thuế thuận lợi	A favorable tax environment			acf.product_benefits_items[3].product_benefits_item_title
s020	li	Thuế doanh nghiệp 12,5% thuộc nhóm thấp nhất Châu Âu, miễn thuế thừa kế, miễn thuế trên cổ tức và lãi tiền gửi.	A corporate tax rate of 12.5%, historically one of the lower rates in Europe, with no inheritance tax and no tax on dividends or interest income.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s021	h3	Bệ phóng đi lại châu Âu	A base for travel in Europe			acf.product_benefits_items[4].product_benefits_item_title
s022	li	E-visa đến các nước Schengen thường được cấp trong vài ngày.	An eVisa for Schengen countries is usually issued within a few days.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s023	li	Khi Síp gia nhập Schengen, thẻ cư trú của cả gia đình sẽ mở thẳng quyền đi lại không cần visa trong khối.	Cyprus is not in the Schengen Area yet. If it joins, your family's residence cards would be expected to allow travel within the area without a separate visa, on the terms in force at that time.			acf.product_benefits_items[4].product_benefits_item_bullets[1].product_benefits_item_bullet_text
s024	h3	Cơ hội nhập quốc tịch Síp	A path to Cypriot citizenship	86%: A path to Greek citizenship		acf.product_benefits_items[5].product_benefits_item_title
s025	li	Sau khi đáp ứng điều kiện cư trú, ngôn ngữ và hội nhập, nhà đầu tư có thể xét nộp hồ sơ nhập tịch (cho phép đa quốc tịch).	Once you meet the residence, language, and integration requirements, you may apply for naturalization, and Cyprus allows dual citizenship.			acf.product_benefits_items[5].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s026	h2	ƯU ĐIỂM CHƯƠNG TRÌNH PR CỘNG HÒA SÍP	Advantages of the Cyprus permanent residence program			acf.product_advantages_title
s027	h3	Điều kiện đơn giản	Straightforward requirements	100%: Straightforward requirements		acf.product_advantages_items[0].product_advantages_item_title
s028	li	Không giới hạn độ tuổi, không phỏng vấn, không yêu cầu ngoại ngữ, học vấn hay kinh nghiệm quản lý.	No age limit, no interview, and no language, education, or management experience requirements.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s029	h3	Được xử lý nhanh	Fast processing			acf.product_advantages_items[1].product_advantages_item_title
s030	li	Một trong các chương trình PR châu Âu có thời gian xét duyệt nhanh.	One of the faster European permanent residence programs to process.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s031	h3	Chỉ cần mua bất động sản	Property purchase only			acf.product_advantages_items[2].product_advantages_item_title
s032	li	Sở hữu BĐS đủ điều kiện, không yêu cầu khoản trao tặng cho Chính phủ.	You buy qualifying property; no government donation is required.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s033	h3	Thực hiện từ Việt Nam	Apply from your home country			acf.product_advantages_items[3].product_advantages_item_title
s034	li	Hầu hết quy trình làm tại Việt Nam; chỉ cần sang Síp 1 lần để nhận thẻ và lấy sinh trắc học.	Most of the process is handled from your country of residence; you travel to Cyprus once — to give biometrics and collect your card.		"#bo-qua-so: nguồn viết ""1 lần""; bản Anh dùng ""once"" đúng cách nói bản xứ"	acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s035	h3	Không yêu cầu cư trú tối thiểu	No minimum stay requirement			acf.product_advantages_items[4].product_advantages_item_title
s036	li	Chỉ cần đến thăm Síp 1 lần trong mỗi 2 năm để duy trì thẻ.	You need only visit Cyprus once every 2 years to keep the card.		"#bo-qua-so: nguồn viết ""1 lần trong mỗi 2 năm""; bản Anh dùng ""once every 2 years"""	acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s037	h3	Cho phép đa quốc tịch	Dual citizenship allowed			acf.product_advantages_items[5].product_advantages_item_title
s038	li	Giữ quốc tịch hiện tại khi nhập tịch Síp về sau.	You keep your current citizenship if you naturalize in Cyprus later.			acf.product_advantages_items[5].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s039	h2	ĐIỀU KIỆN ĐẦU TƯ LẤY PR CỘNG HÒA SÍP	Cyprus permanent residence requirements			acf.product_conditions_title
s040	h3	Điều kiện đầu tư	Investment requirements	100%: Investment requirements		acf.product_conditions_items[0].product_conditions_item_title
s041	p	Đầu tư tối thiểu 300.000 EUR - khoảng 9 tỷ đồng, chưa gồm VAT và các khoản thuế/phí - vào một trong các hạng mục sau:	Invest at least €300,000, before VAT and other taxes and fees, in one of the following:		"#bo-qua-so: bỏ ""khoảng 9 tỷ đồng"" — chỉ nhắc lại số EUR, chỉ có nghĩa với khách Việt"	acf.product_conditions_items[0].product_conditions_item_header
s042	li	Bất động sản nhà ở: tối đa 2 căn mới từ chủ đầu tư, tổng giá trị từ 300.000 EUR; được phép cho thuê.	Residential property: up to 2 new units bought from the developer, €300,000 or more in total; renting them out is permitted.			acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s043	li	Bất động sản thương mại: văn phòng, cửa hàng, khách sạn,... tổng giá trị từ 300.000 EUR.	Commercial property: offices, shops, hotels, and similar, €300,000 or more in total.			acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s044	li	Góp cổ phần một công ty tại Síp đang hoạt động thực tế, có tối thiểu 5 nhân viên.	Shares in a Cyprus company with genuine operations and at least 5 employees.			acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
