id	loai	vi	en	tm	ghi_chu	src
s001	cta	{1}01{/1}{2}Giá trị BĐS quốc tế{/2}	{1}01{/1}{2}Why international real estate{/2}			acf.s001_cta#1
s002	cta	{1}02{/1}{2}Mục tiêu đầu tư{/2}	{1}02{/1}{2}Your objective{/2}			acf.s002_cta#1
s003	cta	{1}03{/1}{2}BĐS Cư trú (Châu Âu){/2}	{1}03{/1}{2}Residence real estate (Europe){/2}			acf.s003_cta#1
s004	cta	{1}04{/1}{2}Dự án Quốc tịch{/2}	{1}04{/1}{2}Citizenship projects{/2}			acf.s004_cta#1
s005	cta	{1}05{/1}{2}Đối chiếu chiến lược{/2}	{1}05{/1}{2}Compare the two routes{/2}			acf.s005_cta#1
s006	p	IMM Group	IMM Group			acf.s006_p#1
s007	h1	BẤT ĐỘNG SẢN QUỐC TẾ	International Real Estate			acf.s007_h1
s008	p	Bất động sản quốc tế không chỉ là kênh tích sản an toàn và tạo dòng tiền ngoại tệ bền vững, mà còn mang lại đặc quyền thường trú hoặc quốc tịch thứ hai cho cả gia đình.	International real estate is more than a store of value and a source of income in hard currency: it can also open a path to permanent residence or a second citizenship for your whole family.			acf.s008_p
s009	cta	{1}Tìm hiểu dự án{/1}{2}explore{/2}	{1}Explore the projects{/1}{2}explore{/2}			acf.s009_cta#1
s010	cta	Tư vấn trực tiếp	Speak with an advisor			acf.s010_cta
s011	p	flight_takeoff	flight_takeoff	100%: flight_takeoff		acf.s011_p#1
s012	p	Tự do đi lại toàn cầu	Global mobility	100%: Global mobility		acf.s012_p
s013	p	Miễn thị thực khối Schengen và hơn 140 quốc gia (thông qua Golden Visa / Thẻ thường trú / Quốc tịch)	Visa-free travel across the Schengen area with a European Golden Visa, and visa-free access to more than 140 destinations with a second citizenship			acf.s013_p
s014	p	trending_up	trending_up	100%: trending_up		acf.s014_p#1
s015	p	Bảo toàn & Gia tăng tài sản	Protect and grow your wealth			acf.s015_p#1
s016	p	Quyền sở hữu lâu dài, tích sản và tạo dòng tiền bằng ngoại tệ mạnh (USD/EUR)	Long-term ownership, a store of value, and income in hard currency (USD/EUR)			acf.s016_p
s017	p	diversity_3	diversity_3			acf.s017_p#1
s018	p	Đặc quyền cho nhiều thế hệ	A benefit that passes down			acf.s018_p
s019	p	Nhận quyền thường trú nhân hoặc quốc tịch thứ hai cho 2–3 thế hệ	Permanent residence or a second citizenship for 2–3 generations			acf.s019_p
s020	p	{1}Cuộn để tìm hiểu{/1}{2}arrow_downward{/2}	{1}Scroll to explore{/1}{2}arrow_downward{/2}			acf.s020_p#1
s021	p	Giá trị của bất động sản quốc tế	Why international real estate			acf.s021_p#1
s022	p	Bất động sản nước ngoài có thể mang lại mức sinh lời ổn định bằng ngoại tệ mạnh, đồng thời đóng vai trò như một công cụ tích sản an toàn và phân tán rủi ro theo nguyên tắc đa dạng hóa danh mục đầu tư. Bên cạnh giá trị tài chính, quyền sở hữu tài sản tại các thị trường có pháp lý minh bạch cùng các lợi ích về tự do đi lại, quyền cư trú hoặc một phương án dự phòng cho gia đình tạo nên những giá trị dài hạn vượt ra ngoài lợi nhuận đầu tư thuần túy.	Property abroad can produce regular income in a hard currency while acting as a store of value and spreading risk through portfolio diversification. Beyond the financial side, owning an asset in a market with clear property law — together with easier travel, the right of residence, or a fallback plan for the family — creates long-term value that goes beyond investment return alone.			acf.s022_p
s023	p	{1}01{/1}{2}{/2}{3}account_balance{/3}	{1}01{/1}{2}{/2}{3}account_balance{/3}	93%: account_balance		acf.s023_p#1
s024	p	Đa dạng hóa & bảo toàn tài sản	Diversify and protect your wealth			acf.s024_p#1
s025	p	Phân bổ tài sản ra nước ngoài, sở hữu tài sản bằng ngoại tệ mạnh như USD/EUR.	Hold part of your wealth abroad, in a hard currency such as the US dollar or the euro.			acf.s025_p
s026	p	{1}02{/1}{2}{/2}{3}payments{/3}	{1}02{/1}{2}{/2}{3}payments{/3}	88%: payments		acf.s026_p#1
s027	p	Tạo dòng tiền bằng ngoại tệ	Income in hard currency			acf.s027_p
s028	p	Lợi suất cho thuê duy trì ổn định quanh mức 3–5%/năm, mang lại dòng tiền thụ động.	Rental yields in these markets are generally in the 3–5% range, producing passive income; actual returns depend on the property and the market.			acf.s028_p
s029	p	{1}03{/1}{2}{/2}{3}home_work{/3}	{1}03{/1}{2}{/2}{3}home_work{/3}			acf.s029_p#1
s030	p	Mở rộng lựa chọn an cư	More options on where to live			acf.s030_p
s031	p	Thêm nơi ở và phương án dự phòng cho gia đình tại nước ngoài.	A second home abroad, and a fallback plan for the family.			acf.s031_p
s032	p	{1}04{/1}{2}{/2}{3}school{/3}	{1}04{/1}{2}{/2}{3}school{/3}	85%: school		acf.s032_p#1
s033	p	Hỗ trợ giáo dục quốc tế	Support for an international education			acf.s033_p
s034	p	Tạo nền tảng cho du học, an cư và kế hoạch tương lai của con cái.	A base for your children to study abroad, settle, and plan ahead.			acf.s034_p
s035	p	{1}05{/1}{2}{/2}{3}public{/3}	{1}05{/1}{2}{/2}{3}public{/3}	85%: public		acf.s035_p#1
s036	p	Tăng khả năng tiếp cận quốc tế	Better international access			acf.s036_p
s037	p	Mở rộng cơ hội đi lại, học tập, làm việc và sinh sống tại nước ngoài.	More freedom to travel, study, work, and live abroad.			acf.s037_p
s038	p	{1}06{/1}{2}{/2}{3}storefront{/3}	{1}06{/1}{2}{/2}{3}storefront{/3}			acf.s038_p#1
s039	p	Mở rộng kinh doanh	Room to grow a business			acf.s039_p
s040	p	Tạo thêm cơ hội thành lập doanh nghiệp, giao thương và tiếp cận thị trường mới.	More scope to set up a company, trade, and reach new markets.			acf.s040_p
s041	p	{1}07{/1}{2}{/2}{3}beach_access{/3}	{1}07{/1}{2}{/2}{3}beach_access{/3}	92%: beach_access		acf.s041_p#1
s042	p	Nghỉ dưỡng & nghỉ hưu	A vacation home, or somewhere to retire			acf.s042_p#1
s043	p	Sở hữu không gian nghỉ dưỡng hoặc nơi an hưởng tuổi già tại nước ngoài.	A place to vacation, or to settle in later life, abroad.			acf.s043_p
