Dự án Sur Yapı Metrogarden AVM-KONUT	Sur Yapı Metrogarden AVM-KONUT project
Vị trí và kết nối của Axis Istanbul	Location and connections of Axis Istanbul
Dự án Sur Yapı Lavender Sancaktepe	Sur Yapı Lavender Sancaktepe project
Kết nối xung quanh Axis Istanbul	Connections around Axis Istanbul
Không gian dự án Axis Istanbul	Interior spaces at Axis Istanbul
Xem thư viện hình ảnh và video	View the photo and video gallery
Thiết kế căn hộ Axis Istanbul	Apartment design at Axis Istanbul
Dự án Sur Yapı Antalya Suites	Sur Yapı Antalya Suites project
Tổng thể dự án Axis Istanbul	Overall view of Axis Istanbul
Điều hướng nội dung dự án	Project section navigation
Ảnh dự án Axis Istanbul	Axis Istanbul project images
Dự án Axis Istanbul	Axis Istanbul project
Xem thông tin dự án	View project information
Phóng to ảnh dự án	Enlarge project image
Media tiếp theo	Next media
Thông tin nhanh	Quick facts
Hình ảnh dự án	Project image
Media trước	Previous media
Video dự án	Project video
 ảnh dự án	 project images
Xem thêm 	See more 
 ảnh	 photos
Đóng	Close
