id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa định cư Mỹ EB-1C	EB-1C Green Card for Multinational Executives and Managers	100%: U.S. EB-1C green card for executives and managers		post_title
s002	h1	VISA ĐỊNH CƯ MỸ {1}EB-1C{/1}	{1}EB-1C{/1} Green Card for Multinational Executives and Managers	100% (gắn lại thẻ {1} {/1}): U.S. EB-1C green card for executives and managers		acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa EB-1C là gì?	What is the EB-1C green card?			acf.product_hero_content[0].product_hero_content_title
s004	li	EB-1C là visa định cư Mỹ, cấp thẻ xanh thường trú không điều kiện cho nhà quản lý hoặc điều hành cấp cao.	The EB-1C is a U.S. immigrant visa that grants an unconditional green card to multinational managers and senior executives.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Dành cho nhân sự cấp cao từ công ty nước ngoài sang Mỹ điều hành công ty con, chi nhánh hoặc công ty liên kết.	It is designed for senior leaders transferring from a company abroad to run its U.S. subsidiary, branch, or affiliate.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 21 tuổi được cấp thẻ xanh cùng đương đơn.	Your spouse and children under 21 receive green cards alongside you.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Khác EB-5, thẻ xanh EB-1C không qua giai đoạn “có điều kiện 2 năm”.	Unlike EB-5, an EB-1C green card does not carry a 2-year conditional period.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Sau tối thiểu 5 năm là thường trú nhân và đáp ứng điều kiện, gia đình có thể xét nộp hồ sơ nhập quốc tịch Mỹ.	After at least 5 years as permanent residents, and once you meet the requirements, you and your family may apply for U.S. citizenship.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation			acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THẺ XANH EB-1C	EB-1C green card benefits			acf.product_benefits_title
s011	h3	Thẻ xanh cho cả gia đình	Green cards for your whole family	100%: Green cards for your whole family		acf.product_benefits_items[0].product_benefits_item_title
s012	li	Đương đơn, vợ/chồng và con dưới 21 tuổi cùng được cấp thẻ xanh Mỹ.	You, your spouse, and your children under 21 all receive U.S. green cards.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Sinh sống và làm việc tại Mỹ	Live and work in the U.S.			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Cả gia đình được tự do sinh sống, học tập và làm việc tại Mỹ theo diện thường trú nhân.	Your whole family can live, study, and work anywhere in the U.S. as permanent residents.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Con học tại Mỹ	U.S. schooling for your children			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Con cái được học tại trường công Mỹ theo quyền lợi của thường trú nhân.	Your children can attend U.S. public schools on the same basis as other permanent residents.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Phúc lợi thường trú nhân	Permanent resident benefits			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Gia đình được tiếp cận các quyền lợi về y tế, giáo dục và an sinh theo diện thường trú, trừ các quyền chỉ dành cho công dân Mỹ.	Your family can access the healthcare, education, and social benefits available to permanent residents; only rights reserved for U.S. citizens are excluded.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h3	Lộ trình quốc tịch Mỹ	A path to U.S. citizenship			acf.product_benefits_items[4].product_benefits_item_title
s020	li	Sau tối thiểu 5 năm có thẻ xanh và đáp ứng điều kiện, gia đình có thể xét nộp hồ sơ nhập tịch.	After at least 5 years as green card holders, and once you meet the requirements, you and your family may apply for naturalization.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s021	h2	ƯU ĐIỂM VISA EB-1C	Advantages of the EB-1C visa			acf.product_advantages_title
s022	h3	Thẻ xanh không điều kiện	An unconditional green card			acf.product_advantages_items[0].product_advantages_item_title
s023	li	Không cần trải qua giai đoạn thẻ xanh có điều kiện 2 năm như EB-5.	No 2-year conditional green card period, unlike EB-5.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Không yêu cầu mức đầu tư cố định	No fixed investment amount			acf.product_advantages_items[1].product_advantages_item_title
