id	loai	vi	en	tm	ghi_chu	src
s001	p	Bất động sản Cộng Hòa Síp | Dự án căn hộ & biệt thự	Cyprus real estate | Apartment and villa project	87%: Cyprus real estate | Apartment project		acf.s001_p#1
s002	h1	Seaview Heights	Seaview Heights			acf.s002_h1
s003	p	Vị trí đắc địa tại thành phố biển Limassol, trải nghiệm sống hài hòa giữa nhịp sống đô thị sôi động và thiên nhiên Địa Trung Hải phóng khoáng.	A prime address in the seaside city of Limassol, where city life meets the open Mediterranean.			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}euro_symbol{/2}Giá khởi điểm{/1}**Từ 320.000 EUR**	{1}{2}euro_symbol{/2}Starting price{/1}**From €320,000**			acf.s005_p#1
s006	p	{1}{2}event{/2}Dự kiến hoàn thành{/1}**Tháng 3/2029**	{1}{2}event{/2}Expected completion{/1}**March 2029**			acf.s006_p#1
s007	p	{1}{2}apartment{/2}Chủ đầu tư{/1}**Cybarco**	{1}{2}apartment{/2}Developer{/1}**Cybarco**			acf.s007_p#1
s008	cta	Seaview Heights	Seaview Heights		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Cybarco	Developer Cybarco			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình thường trú nhân	The permanent residence route	100%: The permanent residence route		acf.s015_cta
s016	cta	Lợi thế thường trú nhân	Permanent residence advantages	100%: Permanent residence advantages		acf.s016_cta
s017	h2	Limassol - Trái tim sầm uất{br} {1}và đáng sống bậc nhất{/1}	Limassol — a busy city{br} {1}and one of the most liveable{/1}			acf.s017_h2#1
s018	p	Seaview Heights {1}·{/1} Limassol {2}·{/2} Cộng Hòa Síp	Seaview Heights {1}·{/1} Limassol {2}·{/2} Cyprus			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	h3	Limassol - Trái tim sầm uất và đáng sống bậc nhất:	Limassol — a busy city and one of the most liveable:			acf.s020_h3
s021	h4	Chất lượng sống	Quality of life			acf.s021_h4
s022	p	Trung tâm quốc tế sầm uất, kết hợp giữa bề dày lịch sử và dịch vụ thương mại phát triển mạnh mẽ	A busy international center that combines deep history with a strong commercial services sector			acf.s022_p
s023	h4	Tâm điểm kết nối	A connection point			acf.s023_h4
s024	p	3km đến trung tâm thành phố, cận kề các cơ sở giáo dục chất lượng cao	3 km to the city center, close to high-quality schools			acf.s024_p
s025	h4	Hạ tầng đại lộ ven biển	The seafront promenade			acf.s025_h4
s026	p	Nằm dọc theo tuyến đường đi bộ ven biển dài 17km sầm uất bậc nhất của thành phố, cách bãi biển chỉ 4km	Along the city's 17 km seafront promenade, and only 4 km from the beach			acf.s026_p
s027	h4	Văn hóa & di sản	Culture & heritage	100%: Culture & heritage		acf.s027_h4#1
s028	p	Cận kề khu trung tâm văn hóa cổ kính của thành phố Limassol	Close to the historic cultural quarter of Limassol			acf.s028_p
s029	h2	Tổ hợp Căn hộ & Biệt thự cao cấp{br} {1}giữa lòng Limassol{/1}	A premium apartment and villa complex{br} {1}in the heart of Limassol{/1}			acf.s029_h2#1
s030	p	Tọa lạc tại thành phố biển Limassol – trung tâm tài chính, thương mại và du lịch sầm uất bậc nhất của Cộng hòa Síp.	Set in the seaside city of Limassol, the financial, commercial, and tourism hub of Cyprus.			acf.s030_p
s031	p	Tổ hợp căn hộ và biệt thự sang trọng, tối ưu không gian xanh và tầm nhìn rộng mở.	A complex of premium apartments and villas, designed around green space and open views.			acf.s031_p
s032	p	Đơn vị phát triển Cybarco lâu đời và uy tín hàng đầu Cộng hòa Síp.	Developed by Cybarco, a long-established and respected developer in Cyprus.			acf.s032_p
s033	p	Mức giá từ 320.000 EUR, hoàn toàn đáp ứng điều kiện chương trình đầu tư nhận Thường trú nhân vĩnh viễn Síp.	Prices start at €320,000, which meets the requirements of the Cyprus permanent residence by investment program.			acf.s033_p
s034	p	Quy mô dự án gồm 81 căn hộ và 9 căn biệt thự	The project comprises 81 apartments and 9 villas			acf.s034_p
s035	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s035_cta
s036	h3	Bảng thông số dự án	Project specifications			acf.s036_h3
s037	p	Vị trí	Location	100%: Location		acf.s037_p
s038	p	Limassol, Cộng Hòa Síp	Limassol, Cyprus			acf.s038_p
s039	p	Loại hình	Property type	100%: Property type		acf.s039_p
s040	p	Căn hộ cao cấp (1 - 3 PN) và Biệt thự sang trọng (3 - 4 PN)	Premium apartments (1–3 bed) and luxury villas (3–4 bed)			acf.s040_p
s041	p	Quy mô dự án	Project size	100%: Project size		acf.s041_p
s042	p	81 căn hộ và 9 căn biệt thự	81 apartments and 9 villas			acf.s042_p
s043	p	Giá bán	Price			acf.s043_p
s044	p	Từ 320.000 EUR	From €320,000	92%: From €300,000		acf.s044_p
s045	p	Chủ đầu tư	Developer	100%: Developer		acf.s045_p
s046	p	Cybarco (thuộc Tập đoàn Lanitis Group)	Cybarco (part of the Lanitis Group)			acf.s046_p
s047	p	Hiệu suất năng lượng	Energy performance			acf.s047_p
s048	p	Đạt chứng nhận hiệu quả năng lượng Hạng A	Certified Class A for energy efficiency			acf.s048_p
s049	p	Tình trạng dự án	Project status			acf.s049_p
s050	p	Đang thi công xây dựng	Under construction			acf.s050_p
s051	p	Bàn giao	Handover	100%: Handover		acf.s051_p
s052	p	Dự kiến tháng 3/2029	Expected March 2029			acf.s052_p
s053	h2	Tiện ích & Thiết kế {1}chuẩn châu Âu{/1}	Amenities & design to {1}European standards{/1}	100%: Amenities & design to {1}European standards{/1}		acf.s053_h2#1
s054	p	architecture	architecture	100%: architecture		acf.s054_p#1
s055	p	Phong cách	Style	100%: Style		acf.s055_p
s056	p	Hiện đại và sinh thái	Modern and green			acf.s056_p
s057	p	workspace_premium	workspace_premium			acf.s057_p#1
s058	p	Tiêu chuẩn tiện ích	Amenity standard	100%: Amenity standard		acf.s058_p
s059	p	Đẳng cấp quốc tế tối ưu mảng xanh	International standard, with generous green space			acf.s059_p
s060	p	landscape	landscape	100%: landscape		acf.s060_p#1
s061	p	Tầm nhìn	Views	100%: Views		acf.s061_p
s062	p	hướng biển và hướng thành phố toàn cảnh	panoramic sea and city views			acf.s062_p
s063	p	energy_savings_leaf	energy_savings_leaf			acf.s063_p#1
s064	p	Tiêu chuẩn tiết kiệm năng lượng Hạng A	Class A energy efficiency standard			acf.s064_p
s065	p	location_on	location_on	100%: location_on		acf.s065_p#1
s066	p	Vị trí	Location	100%: Location	trung:s037	acf.s066_p
s067	p	Limassol, Cộng hòa Síp	Limassol, Cyprus		trung:s038	acf.s067_p
s068	p	check_circle	check_circle	100%: check_circle		acf.s068_p#1
s069	p	Tình trạng	Status	100%: Status		acf.s069_p
s070	p	Đang xây dựng	Under construction	100%: Under construction		acf.s070_p
s071	h3	Không gian sống khép kín	A self-contained residential community	100%: A self-contained residential community		acf.s071_h3
s072	li	{1}pool{/1}**Hồ bơi cư dân**	{1}pool{/1}**Residents' pool**			acf.s072_li#1
s073	li	{1}park{/1}**Cảnh quan xanh mát**	{1}park{/1}**Green landscaping**			acf.s073_li#1
s074	li	{1}local_parking{/1}**Hầm giữ xe hiện đại**	{1}local_parking{/1}**Modern underground parking**			acf.s074_li#1
s075	li	{1}shield{/1}**An ninh 24/7**	{1}shield{/1}**24/7 security**			acf.s075_li#1
s076	li	{1}fitness_center{/1}**Khu vực rèn luyện ngoài trời**	{1}fitness_center{/1}**Outdoor fitness area**			acf.s076_li#1
s077	li	{1}child_care{/1}**Sân chơi trẻ em**	{1}child_care{/1}**Children's playground**			acf.s077_li#1
