id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quốc tịch St. Kitts and Nevis	St. Kitts and Nevis Citizenship by Investment	100%: St. Kitts and Nevis Citizenship by Investment		post_title
s002	h1	QUỐC TỊCH {1}ST. KITTS AND NEVIS{/1}	{1}St. Kitts and Nevis{/1} Citizenship by Investment	100% (gắn lại thẻ {1} {/1}): St. Kitts and Nevis Citizenship by Investment		acf.product_hero_title.product_hero_title_content#1
s003	h3	QUỐC TỊCH ST. KITTS & NEVIS LÀ GÌ?	What is St. Kitts and Nevis citizenship by investment?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư lấy quốc tịch do Chính phủ St. Kitts & Nevis ban hành.	St. Kitts and Nevis citizenship by investment is a program established and run by the country's government.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư có thể chọn quyên góp vào Quỹ Phát triển Bền vững hoặc đầu tư vào dự án bất động sản được Chính phủ phê duyệt.	You can choose between a contribution to the Sustainable Growth Fund and an investment in a government-approved real estate project.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Sau khi có quốc tịch, được miễn visa đến 155 quốc gia, bao gồm châu Âu và khối Schengen.	Once you hold citizenship, you have visa-free access to 155 countries and territories, including much of Europe and the Schengen Area.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	St. Kitts and Nevis là một trong những chương trình đầu tư lấy quốc tịch lâu đời nhất thế giới.	St. Kitts and Nevis runs one of the oldest citizenship by investment programs in the world.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	IMM Group là công ty Việt Nam được Chính phủ St. Kitts & Nevis cấp phép chính thức tiếp thị chương trình.	IMM Group is a Vietnam-based firm licensed by the Government of St. Kitts and Nevis as an authorized marketing agent for the program.		#viet-nam-hop-le: dữ kiện về công ty — IMM Group là công ty Việt Nam được cấp phép	acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI QUỐC TỊCH ST. KITTS & NEVIS	Benefits of St. Kitts and Nevis citizenship			acf.product_benefits_title
s011	h3	Tự do đi lại toàn cầu	Global mobility			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Miễn visa hoặc chỉ cần visa điện tử đến 155 nước, gồm Anh Quốc, hầu hết các nước châu Âu, khối Schengen, Hàn Quốc, Hong Kong.	Visa-free or eVisa access to 155 countries, including the United Kingdom, most of Europe, the Schengen Area, South Korea, and Hong Kong.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Không đánh thuế thu nhập toàn cầu	No tax on worldwide income	100%: No Montenegrin tax on foreign income		acf.product_benefits_items[1].product_benefits_item_title
s014	li	Không đánh thuế thu nhập cá nhân và thu nhập doanh nghiệp phát sinh toàn cầu.	St. Kitts and Nevis levies no personal or corporate income tax on income arising anywhere in the world. How your income is taxed overall still depends on where you are tax resident, so confirm your own position with an independent tax advisor.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Không đánh thuế tài sản	No property, inheritance, or gift tax			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Không đánh thuế bất động sản, thuế kế thừa hoặc thuế cho tặng gia sản.	No property tax, no inheritance tax, and no gift tax.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Bảo vệ quyền riêng tư tài chính	Financial privacy			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Hệ thống luật bảo vệ quyền riêng tư về thông tin tài khoản ngân hàng của nhà đầu tư tại St. Kitts and Nevis.	Local law protects the confidentiality of bank account information held in St. Kitts and Nevis.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h3	Tự do ra vào Anh Quốc	Visa-free travel to the United Kingdom			acf.product_benefits_items[4].product_benefits_item_title
s020	li	Cả gia đình được đến Anh Quốc không cần visa để du lịch, thăm thân, công tác hoặc quá cảnh; mỗi lần lưu trú tối đa 6 tháng.	The whole family can enter the United Kingdom without a visa for tourism, family visits, business, or transit, for stays of up to 6 months at a time.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s021	h2	ƯU ĐIỂM QUỐC TỊCH ST. KITTS & NEVIS	Why investors choose St. Kitts and Nevis			acf.product_advantages_title
s022	h3	Điều kiện tham gia đơn giản	Straightforward eligibility	100%: Straightforward eligibility		acf.product_advantages_items[0].product_advantages_item_title
s023	li	Không yêu cầu độ tuổi, bằng cấp, kinh nghiệm hoặc ngoại ngữ.	No age, education, experience, or language requirements.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Thực hiện hồ sơ tại Việt Nam	Apply from your home country	100%: Apply from your home country		acf.product_advantages_items[1].product_advantages_item_title
s025	li	Toàn bộ quy trình hồ sơ có thể thực hiện tại Việt Nam; nhà đầu tư không cần sang St. Kitts and Nevis khảo sát.	The entire application can be handled from your country of residence; you do not need to travel to St. Kitts and Nevis to inspect the project in person.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Xét duyệt khoảng 10–12 tháng	Processing in about 10–12 months			acf.product_advantages_items[2].product_advantages_item_title
s027	li	Thời gian xét duyệt hồ sơ khoảng 10–12 tháng.	Applications take about 10–12 months to process.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h3	Hộ chiếu quyền lực tại Caribbean	The highest-ranked passport in the Caribbean			acf.product_advantages_items[3].product_advantages_item_title
s029	li	Hộ chiếu St. Kitts & Nevis đứng đầu khu vực Caribbean và xếp hạng 19 thế giới năm 2026.	The St. Kitts and Nevis passport ranks first in the Caribbean and 19th in the world on 2026 passport rankings.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s030	h3	Cổ phần BĐS có thể bán lại	Approved real estate shares can be resold			acf.product_advantages_items[4].product_advantages_item_title
s031	li	Cổ phần đầu tư bất động sản có thể bán lại cho nhà đầu tư lấy quốc tịch tiếp theo.	Shares in the approved real estate project can be resold to a future citizenship by investment applicant.			acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s032	h3	Chương trình lâu đời, ổn định	A long-established, stable program			acf.product_advantages_items[5].product_advantages_item_title
s033	li	Một trong những chương trình đầu tư lấy quốc tịch lâu đời và ổn định bậc nhất thế giới.	One of the oldest and most stable citizenship by investment programs in the world.			acf.product_advantages_items[5].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s034	h2	ĐIỀU KIỆN ĐẦU TƯ LẤY QUỐC TỊCH ST. KITTS & NEVIS	St. Kitts and Nevis citizenship requirements			acf.product_conditions_title
s035	h3	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_items[0].product_conditions_item_title
s036	li	Từ 18 tuổi trở lên	Aged 18 or older	100%: Aged 18 or older		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s037	li	Không giới hạn độ tuổi cao nhất	No upper age limit	93%: No upper age limit.		acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s038	li	Đạt yêu cầu lý lịch an ninh và sức khỏe	Meets background security and medical requirements	100%: Meets background security and medical requirements		acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s039	li	Chứng minh tiền đầu tư có nguồn gốc hợp pháp	Documents a lawful source of the investment funds			acf.product_conditions_items[0].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s040	h3	Người phụ thuộc đi kèm hồ sơ	Dependents you can include	88%: Dependents you can include		acf.product_conditions_items[1].product_conditions_item_title
s041	li	Vợ/chồng của đương đơn	Your spouse			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s042	li	Con dưới 18 tuổi	Children under 18	96%: Children under 18.		acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s043	li	Con 18–25 tuổi còn đi học và phụ thuộc tài chính	Children aged 18–25 who are in education and financially dependent			acf.product_conditions_items[1].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s044	li	Ba mẹ của đương đơn hoặc vợ/chồng từ 55 tuổi, phụ thuộc tài chính	Parents of the applicant or spouse aged 55 or older who are financially dependent			acf.product_conditions_items[1].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s045	li	Tất cả cần đạt yêu cầu lý lịch an ninh và sức khỏe	All dependents must also meet the background security and medical requirements	87%: Meets background security and medical requirements		acf.product_conditions_items[1].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s046	h3	Phương án quyên góp	The contribution route			acf.product_conditions_items[2].product_conditions_item_title
s047	li	Quyên góp vào Quỹ phát triển đảo quốc	A contribution to the Sustainable Growth Fund			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s048	li	Mức quyên góp 250.000 USD cho gia đình 4 người	US$250,000 for a family of 4			acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s049	li	Khoản quyên góp không hoàn lại	The contribution is non-refundable			acf.product_conditions_items[2].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s050	h3	Phương án đầu tư bất động sản	The real estate route			acf.product_conditions_items[3].product_conditions_item_title
s051	li	Đầu tư tối thiểu 325.000 USD	An investment of at least US$325,000			acf.product_conditions_items[3].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s052	li	Áp dụng cho dự án bất động sản được Chính phủ phê duyệt	In a government-approved real estate project			acf.product_conditions_items[3].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s053	li	Duy trì khoản đầu tư trong 7 năm	Held for 7 years			acf.product_conditions_items[3].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s054	li	Dự án tham khảo: Park Hyatt St. Kitts, khách sạn 5 sao đã hoạt động từ năm 2017	Example project: Park Hyatt St. Kitts, a 5-star hotel in operation since 2017			acf.product_conditions_items[3].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s055	h2	QUY TRÌNH ĐẦU TƯ LẤY QUỐC TỊCH ST. KITTS & NEVIS	The St. Kitts and Nevis citizenship process			acf.product_process_title
s056	h3	Đặt cọc & thẩm định	Deposit and due diligence	100%: Deposit and due diligence		acf.product_process_steps[0].product_process_step_title
s057	p	Ký thỏa thuận đặt cọc và thẩm định hồ sơ ban đầu.	Sign the deposit agreement and complete the initial due diligence on your file.	100%: Sign the deposit agreement and complete the initial due diligence on your file.		acf.product_process_steps[0].product_process_step_desc
s058	h3	Ký hợp đồng	Sign the contracts	100%: Sign the contracts		acf.product_process_steps[1].product_process_step_title
s059	p	Hoàn tất hợp đồng dịch vụ xin quốc tịch.	Complete the service agreement for your citizenship application.			acf.product_process_steps[1].product_process_step_desc
s060	h3	Chuẩn bị hồ sơ & đặt cọc đầu tư	Prepare the file and pay the investment deposit			acf.product_process_steps[2].product_process_step_title
s061	p	Chuẩn bị hồ sơ; chuyển đặt cọc và ký hợp đồng đầu tư (diện BĐS).	We prepare your file; you transfer the deposit and sign the investment agreement if you take the real estate route.			acf.product_process_steps[2].product_process_step_desc
s062	h3	Nộp hồ sơ & phỏng vấn	File the application and attend the interview			acf.product_process_steps[3].product_process_step_title
s063	p	Nộp hồ sơ, xét duyệt và phỏng vấn theo yêu cầu chương trình.	We submit your file for assessment, and you attend the interview the program requires.			acf.product_process_steps[3].product_process_step_desc
