id	loai	vi	en	tm	ghi_chu	src
s001	p	Quốc tịch Grenada | Dự án	Grenadian citizenship | Project			acf.s001_p
s002	h1	The La Sagesse Collection	The La Sagesse Collection			acf.s002_h1
s003	p	Đầu tư bất động sản nghỉ dưỡng lấy quốc tịch Grenada	Invest in resort real estate and apply for Grenadian citizenship			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}paid{/2}Mức đầu tư{/1}**270.000 USD**	{1}{2}paid{/2}Investment{/1}**US$270,000**			acf.s005_p#1
s006	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**	100%: {1}{2}check_circle{/2}Status{/1}**Units available**		acf.s006_p#1
s007	p	{1}{2}trending_up{/2}Lợi nhuận cam kết 5 năm{/1}**54.000 USD**	{1}{2}trending_up{/2}Projected 5-year return{/1}**US$54,000**			acf.s007_p#1
s008	cta	The La Sagesse Collection	The La Sagesse Collection		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Range Developments	Range Developments			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100% (gắn lại thẻ ): {1}Project{/1} timeline		acf.s014_cta
s015	cta	Lộ trình quốc tịch	A path to citizenship	100%: A path to citizenship		acf.s015_cta
s016	cta	Lợi thế quốc tịch	Citizenship advantages			acf.s016_cta
s017	h2	Vị trí và quy mô {1}resort{/1}	The resort's location and {1}scale{/1}			acf.s017_h2#1
s018	p	Bãi biển La Sagesse {1}·{/1} Phía Nam Grenada	La Sagesse beach {1}·{/1} Southern Grenada			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Vị trí dự án	Project location	100%: Project location		acf.s020_p
s021	h3	La Sagesse, Nam Grenada	La Sagesse, southern Grenada			acf.s021_h3
s022	h4	Bãi biển La Sagesse	La Sagesse beach			acf.s022_h4
s023	p	Tọa lạc ngay bãi biển La Sagesse – khu vực sở hữu vẻ đẹp tự nhiên hoang sơ, yên bình bậc nhất tại bờ biển phía Nam Grenada.	Set directly on La Sagesse beach — among the most unspoiled and peaceful stretches of Grenada's southern coast.			acf.s023_p
s024	h4	Sân bay Quốc tế Maurice Bishop	Maurice Bishop International Airport			acf.s024_h4
s025	p	Chỉ mất khoảng 30 phút di chuyển đến Sân bay Quốc tế Maurice Bishop.	About 30 minutes from Maurice Bishop International Airport.			acf.s025_p
s026	h4	Thủ đô St. George’s	St. George's, the capital			acf.s026_h4
s027	p	Chỉ mất khoảng 30 phút di chuyển đến trung tâm thủ đô St. George’s.	About 30 minutes from central St. George's.			acf.s027_p
s028	h4	Liền kề các resort siêu sang	Next to two luxury resorts			acf.s028_h4
s029	p	Liền kề hai resort 5 sao Six Senses và InterContinental, tạo thành tổ hợp nghỉ dưỡng biểu tượng do cùng chủ đầu tư Range Developments phát triển.	Next to the 5-star Six Senses and InterContinental resorts, forming a landmark resort cluster built by the same developer, Range Developments.			acf.s029_p
s030	h2	Đầu tư bất động sản nghỉ dưỡng{br} {1}La Sagesse Collection{/1}	Investing in resort real estate at{br} {1}La Sagesse Collection{/1}			acf.s030_h2#1
s031	p	Dự án căn hộ nghỉ dưỡng cao cấp tọa lạc bên bãi biển La Sagesse – một trong những bãi biển hoang sơ, thơ mộng nhất tại Grenada.	A premium resort apartment project on La Sagesse beach, one of Grenada's most unspoiled and picturesque beaches.			acf.s031_p
s032	p	Tọa lạc tại vị trí đắc địa, cách Sân bay Quốc tế Maurice Bishop và trung tâm thủ đô St. George’s khoảng 30 phút di chuyển.	A prime location, about 30 minutes from Maurice Bishop International Airport and from central St. George's, the capital.			acf.s032_p
