id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quốc tịch Montenegro	Montenegro Citizenship by Investment			post_title
s002	h1	QUỐC TỊCH {1}MONTENEGRO{/1}	{1}Montenegro{/1} Citizenship by Investment			acf.product_hero_title.product_hero_title_content#1
s003	h3	Quốc tịch Montenegro là gì?	What is Montenegro citizenship by investment?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư cấp quốc tịch Montenegro (quốc gia châu Âu, thành viên NATO) cho nhà đầu tư ngoài EU và gia đình.	The Montenegro citizenship by investment program grants citizenship of Montenegro — a European country and NATO member — to non-EU investors and their families.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Hồ sơ được thực hiện qua hình thức trao tặng Chính phủ và đầu tư bất động sản được chỉ định.	You qualify through a government contribution combined with an investment in a designated real estate project.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Nhà đầu tư và gia đình được nhận quốc tịch Montenegro vĩnh viễn khi hồ sơ được chấp thuận.	If your application is approved, you and your family hold Montenegrin citizenship for life.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Quốc tịch Montenegro mở lộ trình sinh sống tại EU khi Montenegro gia nhập Liên minh châu Âu.	Montenegrin citizenship opens a route to living in the EU if and when Montenegro joins the European Union.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Sau khi có quốc tịch và cư trú tối thiểu 3 năm liên tiếp tại Montenegro, nhà đầu tư có thể đủ điều kiện xin Visa Mỹ E-2.	Once you hold citizenship and have lived in Montenegro for at least 3 continuous years, you may qualify to apply for a US E-2 treaty investor visa.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	**Thành viên đi kèm:** vợ/chồng, con dưới 18 tuổi và con trên 18 tuổi nếu phụ thuộc tài chính, chưa kết hôn.	**Who you can include:** your spouse, children under 18, and children over 18 who are unmarried and financially dependent.			acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item#1
s010	cta	Yêu Cầu Tư Vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s011	h2	QUYỀN LỢI QUỐC TỊCH MONTENEGRO	Benefits of Montenegrin citizenship			acf.product_benefits_title
s012	h3	Tự do đi lại 123 nước	Visa-free travel to 123 countries			acf.product_benefits_items[0].product_benefits_item_title
s013	li	Miễn visa đến 123 quốc gia, bao gồm các nước thuộc khối EU.	Visa-free access to 123 countries, including EU member states.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s014	h3	Y tế và giáo dục	Healthcare and education			acf.product_benefits_items[1].product_benefits_item_title
s015	li	Được tiếp cận chế độ y tế và giáo dục như người bản xứ.	Access to healthcare and education on the same terms as Montenegrin nationals.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Lộ trình Visa Mỹ E-2	A route to the US E-2 treaty investor visa			acf.product_benefits_items[2].product_benefits_item_title
s017	li	Có thể đủ điều kiện xin Visa E-2 sang Mỹ sau khi cư trú tối thiểu 3 năm liên tiếp tại Montenegro.	You may qualify to apply for a US E-2 visa after at least 3 continuous years of residence in Montenegro.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	h3	Quyền lợi khi Montenegro gia nhập EU	What EU accession would mean			acf.product_benefits_items[3].product_benefits_item_title
s019	li	Khi Montenegro gia nhập EU, nhà đầu tư có thể hưởng quyền sinh sống và làm việc tại các nước EU theo quy định áp dụng tại thời điểm đó.	If Montenegro joins the EU, investors may gain the right to live and work in EU member states under the rules in force at that time.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s020	h2	ƯU ĐIỂM CHƯƠNG TRÌNH QUỐC TỊCH MONTENEGRO	Advantages of the Montenegro citizenship program			acf.product_advantages_title
s021	h3	Xét duyệt nhanh	Fast processing			acf.product_advantages_items[0].product_advantages_item_title
s022	li	Nhận quốc tịch cho cả gia đình trong khoảng 6–7 tháng kể từ ngày nộp hồ sơ.	Citizenship for the whole family has typically been granted in about 6–7 months from filing.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s023	h3	Chi phí thấp trong nhóm cùng loại	Lower cost than comparable programs			acf.product_advantages_items[1].product_advantages_item_title
s024	li	Thuộc nhóm chương trình quốc tịch châu Âu có chi phí thấp hơn so với các chương trình cùng loại 690.000–2 triệu EUR.	One of the lower-cost European citizenship routes, compared with €690,000–€2 million for comparable programs.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
