id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Dự án EB-5 | Ecoplastic - Nhà máy sản xuất phụ tùng ô tô Hyundai	Ecoplastic Rural EB-5 Project | Hyundai Auto Parts Manufacturing Plant	100%: Ecoplastic Rural EB-5 Project | Hyundai Auto Parts Manufacturing Plant		post_title
s002	p	Còn suất	Investor spots available	100%: Investor spots available		acf.slot_pro
s003	p	DỰ ÁN EB-5	EB-5 Project	100%: EB-5 Project		acf.pro_sub_title_hero
s004	h2	NHÀ MÁY PHỤ TÙNG Ô TÔ HYUNDAI	Hyundai auto parts manufacturing plant	100%: Hyundai auto parts manufacturing plant		acf.sub_pro_title_hero
s005	h1	SRC ECOPLASTIC FUND VII	SRC Ecoplastic Fund VII	100%: SRC Ecoplastic Fund VII		acf.pro_title_hero
s006	li	Nhà máy Giai đoạn 2 của Ecoplastic America sản xuất linh kiện nhựa nội/ngoại thất ô tô phục vụ chuỗi lắp ráp Hyundai-Kia tại Mỹ.	A rural EB-5 project: Ecoplastic America's Phase 2 plant will manufacture interior and exterior plastic auto parts for Hyundai-Kia's U.S. assembly operations.	100%: A rural EB-5 project: Ecoplastic America's Phase 2 plant will manufacture interior and exterior plastic auto parts for Hyundai-Kia's U.S. assembly operations.		acf.pro_desc_hero#1
s007	li	Đối tác cấp 1 của Hyundai/Kia từ 1984 - hơn 40 năm cung ứng trực tiếp cho hãng.	A Tier 1 supplier to Hyundai and Kia since 1984, with more than 40 years of direct supply to the automaker.	100%: A Tier 1 supplier to Hyundai and Kia since 1984, with more than 40 years of direct supply to the automaker.		acf.pro_desc_hero#2
s008	li	Thuộc vùng nông thôn diện ưu tiên tạo việc làm (Rural TEA) giúp đơn I-526E được USCIS ưu tiên xử lý	Located in a rural Targeted Employment Area (rural TEA), which qualifies Form I-526E petitions for priority processing by U.S. Citizenship and Immigration Services (USCIS).	100%: Located in a rural Targeted Employment Area (rural TEA), which qualifies Form I-526E petitions for priority processing by U.S. Citizenship and Immigration Services (USCIS).		acf.pro_desc_hero#3
s009	li	Đã khởi công 10/2025, dự kiến vận hành Quý 4/2026.	Construction began in October 2025; operations are expected to start in Q4 2026.	100%: Construction began in October 2025; operations are expected to start in Q4 2026.		acf.pro_desc_hero#4
s010	li	Nhiều lớp bảo lãnh hoàn vốn EB-5 từ Ecoplastic Corporation (KOSDAQ: 038110) và Seojin Automotive (KOSDAQ: 122690).	Multiple layers of EB-5 loan repayment guarantees, including from Ecoplastic Corporation (KOSDAQ: 038110) and Seojin Automotive (KOSDAQ: 122690).	100%: Multiple layers of EB-5 loan repayment guarantees, including from Ecoplastic Corporation (KOSDAQ: 038110) and Seojin Automotive (KOSDAQ: 122690).		acf.pro_desc_hero#5
s011	h2	ECOPLASTIC: DỰ ÁN EB-5 ĐỘC QUYỀN IMM GROUP	Ecoplastic: an EB-5 project offered exclusively through IMM Group in Vietnam	100%: Ecoplastic: an EB-5 project offered exclusively through IMM Group in Vietnam		acf.pro_parent_rp[0].pro_child_h3
s012	h4	Tổng quan dự án Nhà máy sản xuất phụ tùng ô tô Ecoplastic	Ecoplastic auto parts plant: project overview	100%: Ecoplastic auto parts plant: project overview		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_h5
s013	li	Nhà máy sản xuất phụ tùng nội và ngoại thất ô tô như: cản xe, bảng điều khiển trung tâm, tấm ốp xe, cốp trước của xe điện,...	Manufactures interior and exterior auto parts such as bumpers, center consoles, body panels, and front trunks (frunks) for electric vehicles.	100%: Manufactures interior and exterior auto parts such as bumpers, center consoles, body panels, and front trunks (frunks) for electric vehicles.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#1
s014	li	Công nghệ: đúc ép phun và sơn tự động bằng robot.	Technology: injection molding and robotic automated painting.	100%: Technology: injection molding and robotic automated painting.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#2
s015	li	Cung ứng cho 3 nhà máy Hyundai-Kia tại Mỹ: Hyundai Metaplant (HMGMA), Kia Georgia, Hyundai Alabama.	Supplies 3 Hyundai-Kia plants in the U.S.: Hyundai Motor Group Metaplant America (HMGMA), Kia Georgia, and Hyundai Alabama.	100%: Supplies 3 Hyundai-Kia plants in the U.S.: Hyundai Motor Group Metaplant America (HMGMA), Kia Georgia, and Hyundai Alabama.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#3
s016	li	Phục vụ các dòng xe điện và hybrid: Hyundai IONIQ 5, IONIQ 9, Palisade; Kia EV9, Sportage.	Serves electric and hybrid models including the Hyundai IONIQ 5, IONIQ 9, and Palisade, and the Kia EV9 and Sportage.	100%: Serves electric and hybrid models including the Hyundai IONIQ 5, IONIQ 9, and Palisade, and the Kia EV9 and Sportage.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#4
s017	h4	Giai đoạn 2 - mở rộng cụm sản xuất	Phase 2: expanding the manufacturing campus	100%: Phase 2: expanding the manufacturing campus		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_h5
s018	li	Không phải dự án trên giấy: Giai đoạn 1 đã xây xong và đang sản xuất tại Georgia.	Not a project on paper: Phase 1 is complete and already in production in Georgia.	100%: Not a project on paper: Phase 1 is complete and already in production in Georgia.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#1
s019	li	Giai đoạn 2 được xây dựng liền kề - mở rộng công suất theo kế hoạch tăng sản lượng của Hyundai và Kia.	Phase 2 is being built next door, adding capacity in line with Hyundai and Kia's production growth plans.	100%: Phase 2 is being built next door, adding capacity in line with Hyundai and Kia's production growth plans.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#2
s020	li	Hai nhà máy dùng chung hệ thống quản lý và chuỗi vận hành.	The two plants share a common management system and operating chain.	100%: The two plants share a common management system and operating chain.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#3
s021	li	Cung ứng liền mạch cho dây chuyền lắp ráp Hyundai-Kia tại Mỹ.	Seamless supply to Hyundai-Kia assembly lines in the U.S.	100%: Seamless supply to Hyundai-Kia assembly lines in the U.S.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#4
s022	h4	Mô hình sản xuất tiên tiến JIT (đúng thời điểm) và JIS (đúng trình tự)	Advanced just-in-time (JIT) and just-in-sequence (JIS) production	100%: Advanced just-in-time (JIT) and just-in-sequence (JIS) production		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_h5
s023	li	Hệ thống Hyundai phát tín hiệu khi xe vào dây chuyền.	Hyundai's system sends a signal when a vehicle enters the assembly line.	100%: Hyundai's system sends a signal when a vehicle enters the assembly line.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#1
s024	li	Ecoplastic chuẩn bị linh kiện đúng cấu hình từng xe trong khung 180 phút (~3 giờ)	Ecoplastic prepares parts matched to each vehicle's exact configuration within a 180-minute window (about 3 hours).	100%: Ecoplastic prepares parts matched to each vehicle's exact configuration within a 180-minute window (about 3 hours).		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#2
s025	li	Giao hàng trực tiếp tới vị trí lắp ráp tại nhà máy Hyundai/Kia	Parts are delivered directly to the assembly point at the Hyundai/Kia plant.	100%: Parts are delivered directly to the assembly point at the Hyundai/Kia plant.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#3
s026	li	Đồng bộ hóa với chuỗi cung ứng, tối ưu thời gian lưu kho và tiến độ xuất xưởng	Synchronized with the supply chain to minimize inventory time and keep production on schedule.	100%: Synchronized with the supply chain to minimize inventory time and keep production on schedule.		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#4
s027	h4	Cấu trúc vốn	Capital structure	100%: Capital structure		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_h5
s028	li	Tổng vốn: 112,7 triệu USD	Total capitalization: US$112.7 million	100%: Total capitalization: US$112.7 million		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#1
s029	li	Vốn EB-5: 79,2 triệu USD - 99 suất nhà đầu tư	EB-5 capital: US$79.2 million from 99 investors	100%: EB-5 capital: US$79.2 million from 99 investors		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#2
s030	li	Vốn chủ đầu tư: 33,5 triệu USD	Developer equity: US$33.5 million	100%: Developer equity: US$33.5 million		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#3
