id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quyền cư trú New Zealand (Active Investor Plus Visa)	New Zealand residency (Active Investor Plus Visa)	100%: New Zealand residency (Active Investor Plus Visa)		post_title
s002	h1	Quyền cư trú New Zealand{br}{1}Active Investor Plus Visa{/1}	New Zealand residency{br}{1}Active Investor Plus Visa{/1}	98%: New Zealand residency (Active Investor Plus Visa)		acf.product_hero_title.product_hero_title_content#1
s003	h3	Chương trình Active Investor Plus Visa là gì?	What is the Active Investor Plus Visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Active Investor Plus Visa là chương trình quyền cư trú New Zealand dành cho nhà đầu tư có năng lực tài chính cao, đầu tư vào các hạng mục được chấp thuận tại New Zealand.	The Active Investor Plus Visa is a New Zealand residency program for investors with substantial financial capacity who invest in approved categories in New Zealand.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư có thể lựa chọn 2 hạng mục: Growth hoặc Balanced, với mức đầu tư tối thiểu lần lượt từ 5 triệu NZD hoặc 10 triệu NZD.	You can choose between 2 categories, Growth and Balanced, with minimum investments of NZ$5 million and NZ$10 million respectively.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Khi được cấp visa, nhà đầu tư và gia đình được sinh sống, học tập và làm việc tại New Zealand.	Once the visa is granted, you and your family can live, study, and work in New Zealand.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Gia đình đi cùng gồm vợ/chồng và con phụ thuộc từ 24 tuổi trở xuống.	The application covers your spouse and dependent children aged 24 or under.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Sau 3 năm hoặc 5 năm duy trì khoản đầu tư và đáp ứng điều kiện cư trú, nhà đầu tư có thể xét lên Permanent Resident Visa.	After 3 or 5 years of holding the investment and meeting the residence conditions, you can be considered for a Permanent Resident Visa.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	Sau thời gian cư trú thực tế và đáp ứng điều kiện theo luật New Zealand, nhà đầu tư có thể xét lộ trình nhập quốc tịch.	After a period of actually living in New Zealand, and once you meet the conditions set by New Zealand law, you may be able to pursue New Zealand citizenship.			acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item
s010	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s011	h2	QUYỀN LỢI ACTIVE INVESTOR PLUS VISA	Active Investor Plus Visa benefits			acf.product_benefits_title
s012	h3	Sinh sống, học tập và làm việc tại New Zealand	Live, study, and work in New Zealand			acf.product_benefits_items[0].product_benefits_item_title
s013	li	Nhà đầu tư và gia đình được sinh sống, học tập và làm việc tại New Zealand theo quyền của người giữ Resident Visa. Đây là quyền cư trú dài hạn, nhưng chưa phải Permanent Resident Visa.	You and your family can live, study, and work in New Zealand with the rights of a Resident Visa holder. This is long-term residence, but it is not yet a Permanent Resident Visa.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s014	h3	Gia đình đi cùng hồ sơ	Family members on the application			acf.product_benefits_items[1].product_benefits_item_title
s015	li	Vợ/chồng và con phụ thuộc từ 24 tuổi trở xuống có thể đi cùng hồ sơ nếu đáp ứng điều kiện quan hệ gia đình, phụ thuộc tài chính, sức khỏe và lý lịch.	Your spouse and dependent children aged 24 or under can be included, provided they meet the requirements on family relationship, financial dependency, health, and character.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Cơ hội lên Permanent Resident Visa	A route to the Permanent Resident Visa			acf.product_benefits_items[2].product_benefits_item_title
s017	li	Nhà đầu tư có thể xin Permanent Resident Visa sau khi hoàn tất điều kiện đầu tư và thời gian hiện diện tại New Zealand:	You can apply for a Permanent Resident Visa once you have completed the investment conditions and the required time in New Zealand:			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	li	Growth: sau 3 năm duy trì khoản đầu tư	Growth: after 3 years of holding the investment			acf.product_benefits_items[2].product_benefits_item_bullets[1].product_benefits_item_bullet_text
s019	li	Balanced: sau 5 năm duy trì khoản đầu tư	Balanced: after 5 years of holding the investment			acf.product_benefits_items[2].product_benefits_item_bullets[2].product_benefits_item_bullet_text
s020	h3	Lộ trình quốc tịch New Zealand	A route to New Zealand citizenship			acf.product_benefits_items[3].product_benefits_item_title
s021	li	Sau khi đáp ứng điều kiện cư trú thực tế, ý định tiếp tục sinh sống, tiếng Anh và lý lịch, nhà đầu tư có thể xét nộp hồ sơ nhập quốc tịch New Zealand. Điều kiện hiện hành yêu cầu hiện diện tại New Zealand ít nhất 240 ngày trong mỗi giai đoạn 12 tháng và tổng cộng 1.350 ngày trong 5 năm trước ngày nộp hồ sơ.	Once you meet the requirements on physical presence, intention to continue living in New Zealand, English language, and character, you can apply for New Zealand citizenship. The current rules require at least 240 days of presence in New Zealand in each 12-month period, and 1,350 days in total over the 5 years before you apply.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s022	h3	Hộ chiếu New Zealand trong giai đoạn sau	A New Zealand passport at a later stage			acf.product_benefits_items[4].product_benefits_item_title
s023	li	Khi nhập quốc tịch thành công, nhà đầu tư và gia đình có thể sở hữu hộ chiếu New Zealand. Đây là quyền lợi của công dân, không tự động đi kèm Active Investor Plus Visa hoặc Permanent Resident Visa.	Once you are granted citizenship, you and your family can hold New Zealand passports. This is a right of citizens; it does not come automatically with the Active Investor Plus Visa or the Permanent Resident Visa.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s024	h2	ƯU ĐIỂM ACTIVE INVESTOR PLUS VISA	Advantages of the Active Investor Plus Visa	86%: {1}★{/1} Active Investor Plus Visa		acf.product_advantages_title
s025	h3	Không yêu cầu thang điểm di trú	No migration points test			acf.product_advantages_items[0].product_advantages_item_title
s026	li	Chương trình không xét theo thang điểm như một số diện tay nghề, doanh nhân hoặc di trú truyền thống.	The program is not assessed against a points system, unlike some skilled, entrepreneur, and traditional migration categories.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s027	h3	Không yêu cầu thành lập doanh nghiệp	No requirement to set up a business			acf.product_advantages_items[1].product_advantages_item_title
s028	li	Nhà đầu tư không bắt buộc trực tiếp thành lập, quản lý hoặc vận hành doanh nghiệp tại New Zealand.	You are not required to set up, manage, or run a business in New Zealand yourself.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s029	h3	Không giới hạn độ tuổi tối đa	No upper age limit	100%: No upper age limit		acf.product_advantages_items[2].product_advantages_item_title
s030	li	Đương đơn chính cần từ 18 tuổi trở lên. Chương trình không đặt giới hạn độ tuổi cao nhất theo thông tin IMM Group.	The main applicant must be 18 or older. On IMM Group's information, the program sets no upper age limit.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s031	h3	Không yêu cầu tiếng Anh ở giai đoạn visa	No English requirement at the visa stage			acf.product_advantages_items[3].product_advantages_item_title
s032	li	Invest New Zealand ghi nhận chương trình hiện không yêu cầu tiếng Anh ở giai đoạn Active Investor Plus Visa. Tuy nhiên, nếu xét quốc tịch New Zealand trong giai đoạn sau, đương đơn cần đáp ứng yêu cầu tiếng Anh theo luật quốc tịch.	Invest New Zealand states that the program currently has no English requirement at the Active Investor Plus Visa stage. If you later apply for New Zealand citizenship, you will need to meet the English requirement set by citizenship law.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s033	h3	Yêu cầu cư trú thực tế thấp	A low physical presence requirement			acf.product_advantages_items[4].product_advantages_item_title
s034	li	Growth: hiện diện tối thiểu 21 ngày trong 3 năm	Growth: at least 21 days of presence over 3 years			acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s035	li	Balanced: hiện diện tối thiểu 105 ngày trong 5 năm	Balanced: at least 105 days of presence over 5 years			acf.product_advantages_items[4].product_advantages_item_bullets[1].product_advantages_item_bullet_text
s036	li	Với hạng mục Balanced, thời gian hiện diện có thể giảm nếu nhà đầu tư bổ sung vốn vào khoản đầu tư Growth đủ điều kiện theo quy định.	Under the Balanced category, the required presence can be reduced if you commit additional capital to a qualifying Growth investment, as provided in the rules.			acf.product_advantages_items[4].product_advantages_item_bullets[2].product_advantages_item_bullet_text
s037	h3	Linh hoạt hạng mục đầu tư	A choice of investment categories			acf.product_advantages_items[5].product_advantages_item_title
s038	li	Nhà đầu tư có thể chọn Growth hoặc Balanced tùy mục tiêu tài chính, khẩu vị rủi ro và thời gian duy trì vốn.	You can choose Growth or Balanced depending on your financial goals, your risk appetite, and how long you want to keep the capital committed.			acf.product_advantages_items[5].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s039	h2	ĐIỀU KIỆN ACTIVE INVESTOR PLUS VISA	Active Investor Plus Visa requirements			acf.product_conditions_title
s040	h3	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_items[0].product_conditions_item_title
s041	li	Từ 18 tuổi trở lên.	You are aged 18 or older.	100%: Aged 18 or older.		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s042	li	Đáp ứng yêu cầu sức khỏe và lý lịch.	You meet the health and character requirements.			acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s043	li	Là người phù hợp để được cấp visa theo tiêu chí “fit and proper person”.	"You are a suitable person to be granted a visa under the ""fit and proper person"" test."			acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s044	li	Chứng minh khoản tiền đầu tư có nguồn gốc hợp pháp.	You can document a lawful source for the investment funds.	92%: Can document a lawful source of funds		acf.product_conditions_items[0].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s045	li	Chuyển khoản tiền đầu tư sang New Zealand sau khi được chấp thuận nguyên tắc.	You transfer the investment funds to New Zealand after approval in principle.			acf.product_conditions_items[0].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s046	h3	Điều kiện người phụ thuộc	Requirements for dependents	100%: Requirements for dependents		acf.product_conditions_items[1].product_conditions_item_title
s047	li	Vợ/chồng cần chứng minh quan hệ thật và ổn định.	Your spouse must show a genuine and stable relationship.			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s048	li	Con phụ thuộc từ 24 tuổi trở xuống có thể đi cùng hồ sơ.	Dependent children aged 24 or under can be included in the application.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s049	li	Với con từ 21–24 tuổi, cần chứng minh vẫn phụ thuộc tài chính vào cha mẹ.	Children aged 21–24 must show that they are still financially dependent on their parents.			acf.product_conditions_items[1].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s050	h3	Hạng mục Growth	The Growth category			acf.product_conditions_items[2].product_conditions_item_title
s051	li	Mức đầu tư tối thiểu: 5 triệu NZD.	Minimum investment: NZ$5 million.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s052	li	Duy trì khoản đầu tư tối thiểu 36 tháng.	Minimum holding period: 36 months.	88%: Hold the investment for at least 5 years.		acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s053	li	Hiện diện tại New Zealand tối thiểu 21 ngày trong thời gian đầu tư.	At least 21 days of presence in New Zealand during the investment period.			acf.product_conditions_items[2].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s054	li	Khoản đầu tư có thể gồm đầu tư trực tiếp, quỹ quản lý được chấp thuận hoặc thiện nguyện, với phần thiện nguyện tối đa 20% tổng vốn đầu tư.	The investment can include direct investment, approved managed funds, or philanthropy, with philanthropy capped at 20% of the total investment.			acf.product_conditions_items[2].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s055	h3	Hạng mục Balanced	The Balanced category			acf.product_conditions_items[3].product_conditions_item_title
s056	li	Mức đầu tư tối thiểu: 10 triệu NZD.	Minimum investment: NZ$10 million.			acf.product_conditions_items[3].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s057	li	Duy trì khoản đầu tư tối thiểu 60 tháng.	Minimum holding period: 60 months.	88%: Hold the investment for at least 5 years.		acf.product_conditions_items[3].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s058	li	Hiện diện tại New Zealand tối thiểu 105 ngày trong thời gian đầu tư.	At least 105 days of presence in New Zealand during the investment period.			acf.product_conditions_items[3].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s059	li	Khoản đầu tư có thể gồm đầu tư trực tiếp, quỹ quản lý, cổ phiếu niêm yết, trái phiếu, dự án phát triển bất động sản hoặc thiện nguyện đủ điều kiện.	The investment can include direct investment, managed funds, listed shares, bonds, property development projects, or qualifying philanthropy.			acf.product_conditions_items[3].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s060	h2	QUY TRÌNH ACTIVE INVESTOR PLUS VISA	The Active Investor Plus Visa process			acf.product_process_title
s061	h3	Tư vấn và thẩm định hồ sơ	Consultation and file review	100%: Consultation and file review		acf.product_process_steps[0].product_process_step_title
s062	p	Đánh giá điều kiện đương đơn, cấu trúc tài sản, nguồn tiền, mục tiêu cư trú và phương án đầu tư phù hợp.	We assess your eligibility, asset structure, source of funds, residence goals, and the investment option that fits.			acf.product_process_steps[0].product_process_step_desc
s063	h3	Lựa chọn hạng mục đầu tư	Choose your investment category			acf.product_process_steps[1].product_process_step_title
s064	p	Xác định hồ sơ phù hợp với Growth hoặc Balanced dựa trên mức vốn, thời gian duy trì đầu tư, yêu cầu cư trú và khẩu vị rủi ro của gia đình.	We identify whether your file fits Growth or Balanced, based on the capital involved, the holding period, the presence requirement, and your family's risk appetite.			acf.product_process_steps[1].product_process_step_desc
s065	h3	Chuẩn bị hồ sơ	Prepare the file	100%: Prepare the file		acf.product_process_steps[2].product_process_step_title
