id	loai	vi	en	tm	ghi_chu	src
s001	p	Quốc tịch Grenada | Dự án	Grenadian citizenship | Project			acf.s001_p
s002	h1	InterContinental Grenada Resort	InterContinental Grenada Resort			acf.s002_h1
s003	p	Resort 5 sao bên bãi biển La Sagesse – Lộ trình quốc tịch Grenada cho cả gia đình	A 5-star resort on La Sagesse beach — a route to Grenadian citizenship for the whole family			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}paid{/2}Mức đầu tư tối thiểu{/1}**270.000 USD**	{1}{2}paid{/2}Minimum investment{/1}**US$270,000**	92%: {1}{2}paid{/2}Minimum investment{/1}**€250,000**		acf.s005_p#1
s006	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**	100%: {1}{2}check_circle{/2}Status{/1}**Units available**		acf.s006_p#1
s007	p	{1}{2}hotel{/2}Quy mô{/1}**150 phòng**	{1}{2}hotel{/2}Scale{/1}**150 rooms**			acf.s007_p#1
s008	cta	InterContinental Grenada Resort	InterContinental Grenada Resort		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Range Developments	Range Developments			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100% (gắn lại thẻ ): {1}Project{/1} timeline		acf.s014_cta
s015	cta	Lộ trình quốc tịch	A path to citizenship	100%: A path to citizenship		acf.s015_cta
s016	cta	Lợi thế quốc tịch	Citizenship advantages			acf.s016_cta
s017	img	Video InterContinental Grenada Resort	InterContinental Grenada Resort video			acf.s017_cta#1@alt
s018	cta	{1}play_arrow{/1}{2}Video dự án InterContinental Grenada Resort{/2}	{1}play_arrow{/1}{2}InterContinental Grenada Resort project video{/2}			acf.s017_cta#2
s019	h2	Vị trí và quy mô {1}resort{/1}	The resort's location and {1}scale{/1}			acf.s018_h2#1
s020	p	La Sagesse {1}·{/1} St. David's {2}·{/2} Grenada	La Sagesse {1}·{/1} St. David's {2}·{/2} Grenada			acf.s019_p#1
s021	cta	Google Maps	Google Maps	100%: Google Maps		acf.s020_cta#1
s022	p	Vị trí dự án	Project location	100%: Project location		acf.s021_p
s023	h3	La Sagesse, Nam Grenada	La Sagesse, southern Grenada			acf.s022_h3
s024	h4	Bãi biển La Sagesse	La Sagesse beach			acf.s023_h4
