id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada Tỉnh bang Ontario	Ontario Entrepreneur Stream			post_title
s002	h1	ĐỊNH CƯ CANADA DIỆN DOANH NHÂN{br}TỈNH BANG {1}ONTARIO{/1}	Entrepreneur Immigration to Canada{br}The {1}Ontario{/1} Entrepreneur Stream			acf.product_hero_title.product_hero_title_content#1
s003	h3	CHƯƠNG TRÌNH DOANH NHÂN ONTARIO LÀ GÌ?	What is the Ontario Entrepreneur Stream?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình dành cho chủ doanh nghiệp hoặc quản lý cấp cao muốn đầu tư, thành lập hoặc mua lại doanh nghiệp tại tỉnh bang Ontario.	The stream was designed for business owners and senior managers who wanted to invest in, establish or acquire a business in the province of Ontario.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần trực tiếp vận hành doanh nghiệp tại Ontario để đáp ứng điều kiện lên thường trú nhân Canada.	Investors had to run the Ontario business themselves to qualify for Canadian permanent residence.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ.	A spouse and children under 22 could be included in the same application.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Ontario là trung tâm kinh tế, chính trị, văn hóa và dịch vụ lớn của Canada, với các thành phố trọng điểm như Toronto và Ottawa.	Ontario is one of Canada's major economic, political, cultural and service hubs, home to cities such as Toronto and Ottawa.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Chương trình Ontario Entrepreneur Stream đã ngừng/đóng với hồ sơ mới; nội dung này chỉ nên dùng ở dạng tham khảo hoặc điều hướng sang các chương trình Canada còn phù hợp hơn. Trang IMM ghi chương trình đã đóng từ tháng 2/2024; cập nhật OINP sau đó cho thấy Entrepreneur Stream được đóng chính thức vào 04/11/2024 sau giai đoạn tạm ngưng nhận hồ sơ.	The Ontario Entrepreneur Stream is closed to new applications. This page is kept for reference; if Canada is still your goal, our advisors can point you to the Canadian programs that are a better fit today. IMM Group's page states that the stream closed in February 2024; later updates to the Ontario Immigrant Nominee Program (OINP) show that the Entrepreneur Stream was formally closed on November 4, 2024, following a pause in application intake.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI ĐỊNH CƯ ONTARIO	Benefits of the Ontario Entrepreneur Stream			acf.product_benefits_title
s011	h3	Cả gia đình sang Ontario	Relocation for the whole family			acf.product_benefits_items[0].product_benefits_item_title
