id	loai	vi	en	tm	ghi_chu	src
s001	p	Bất động sản Cộng Hòa Síp | Dự án căn hộ	Cyprus real estate | Apartment project			acf.s001_p
s002	h1	Elysia Blu	Elysia Blu			acf.s002_h1
s003	p	Căn hộ nghỉ dưỡng tại trung tâm Paphos, giá từ 511.000 EUR và dự kiến hoàn thành vào Quý 4/2028.	Resort-style apartments in central Paphos, from €511,000, with completion expected in Q4 2028.			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}apartment{/2}Giá căn hộ{/1}**Từ 511.000 EUR**	{1}{2}apartment{/2}Apartment price{/1}**From €511,000**			acf.s005_p#1
s006	p	{1}{2}event_available{/2}Dự kiến hoàn thành{/1}**Quý 4/2028**	{1}{2}event_available{/2}Expected completion{/1}**Q4 2028**			acf.s006_p#1
s007	p	{1}{2}key{/2}Cam kết cho thuê{/1}**Trong 10 năm**	{1}{2}key{/2}Rental commitment{/1}**For 10 years**			acf.s007_p#1
s008	cta	Elysia Blu	Elysia Blu		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & tiềm năng thị trường	Location & market potential			acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Tiện ích & thiết kế	Amenities & design			acf.s012_cta#1
s013	cta	Chủ đầu tư & đơn vị phát triển	Developer & track record			acf.s013_cta#1
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình thường trú nhân	The permanent residence route	87%: Your route to the{br} {1}Greece Golden Visa{/1}		acf.s015_cta
s016	cta	Lợi thế thường trú nhân	Permanent residence advantages	86%: Advantages of the{br} {1}Greece Golden Visa{/1}		acf.s016_cta
s017	h2	Vị trí chiến lược &{br} {1}tiềm năng thị trường{/1}	A strategic location &{br} {1}market potential{/1}			acf.s017_h2#1
s018	p	Elysia Blu {1}·{/1} Universal Area {2}·{/2} Paphos, Cyprus	Elysia Blu {1}·{/1} Universal Area {2}·{/2} Paphos, Cyprus			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Kết nối thuận tiện	Convenient access	100%: Convenient access		acf.s020_p
s021	h3	Mọi nhu cầu sống trong một bán kính thuận tiện	Everything you need within easy reach			acf.s021_h3
s022	h4	Trung tâm Paphos	Central Paphos			acf.s022_h4
s023	p	Nằm ngay trung tâm thành phố biển Paphos.	Right in the center of the seaside city of Paphos.			acf.s023_p
s024	h4	Tiện ích thiết yếu	Everyday amenities			acf.s024_h4
s025	p	Vài phút đến bờ biển, phố cổ, trường quốc tế, bệnh viện, trung tâm thương mại và khu mua sắm.	A few minutes from the coast, the old town, international schools, hospitals, shopping malls, and retail districts.			acf.s025_p
s026	h4	Văn hóa & di sản	Culture & heritage			acf.s026_h4#1
s027	p	Gần các di tích lịch sử và địa điểm văn hóa nổi bật của Paphos.	Close to Paphos's notable historic sites and cultural landmarks.			acf.s027_p
s028	h4	Quỹ đất trung tâm	A central land plot			acf.s028_h4
s029	p	Sở hữu lợi thế quỹ đất trung tâm hiếm hoi để phát triển tổ hợp căn hộ quy mô lớn.	A rare central plot, large enough for a full-scale apartment complex.			acf.s029_p
s030	h2	Căn hộ cao cấp tại – {1}Paphos{/1}	Premium apartments in – {1}Paphos{/1}			acf.s030_h2#1
s031	p	Tọa lạc tại trung tâm Paphos, thành phố biển được UNESCO công nhận là Di sản Thế giới.	Set in the center of Paphos, a seaside city listed by UNESCO as a World Heritage Site.			acf.s031_p
s032	p	Dự án căn hộ cao cấp phong cách nghỉ dưỡng, tích hợp chuỗi tiện ích nội khu chuẩn resort.	A premium, resort-style apartment project with a full set of on-site resort-standard amenities.			acf.s032_p
s033	p	Chủ đầu tư Pafilia có hơn 48 năm kinh nghiệm phát triển bất động sản cao cấp tại Síp.	The developer, Pafilia, has more than 48 years of experience in premium real estate in Cyprus.			acf.s033_p
s034	p	Giá từ 511.000 EUR cho căn 2 phòng ngủ, đáp ứng điều kiện chương trình đầu tư lấy thường trú nhân Síp.	From €511,000 for a 2-bedroom apartment, meeting the requirements of the Cyprus permanent residence by investment program.			acf.s034_p
s035	p	Giai đoạn 1 đã bán khoảng 70%, dự kiến hoàn thành vào Quý 4/2028.	Phase 1 is about 70% sold, with completion expected in Q4 2028.			acf.s035_p
s036	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s036_cta
s037	h3	Thông tin dự án	Project information	100%: Project information		acf.s037_h3
s038	p	Vị trí	Location	100%: Location		acf.s038_p
s039	p	Trung tâm Paphos, Cộng Hòa Síp	Central Paphos, Cyprus			acf.s039_p
s040	p	Loại hình	Property type	100%: Property type		acf.s040_p
s041	p	Căn hộ 2 và 3 phòng ngủ	2- and 3-bedroom apartments			acf.s041_p
s042	p	Quy mô dự án	Project size	100%: Project size		acf.s042_p
s043	p	200 căn hộ	200 apartments			acf.s043_p
s044	p	Giá căn hộ	Apartment price			acf.s044_p
s045	p	Từ 511.000 EUR	From €511,000	88%: from €50,000		acf.s045_p
s046	p	Chủ đầu tư	Developer	100%: Developer		acf.s046_p
s047	p	Pafilia	Pafilia			acf.s047_p
s048	p	Bàn giao	Handover			acf.s048_p
s049	p	Dự kiến Quý 4/2028	Expected Q4 2028			acf.s049_p
s050	p	Tình trạng	Status	100%: Status		acf.s050_p
s051	p	Đang xây dựng	Under construction			acf.s051_p
s052	h2	Tiện ích & thiết kế {1}chuẩn châu Âu{/1}	Amenities & design to {1}European standards{/1}			acf.s052_h2#1
s053	p	architecture	architecture			acf.s053_p#1
s054	p	Phong cách	Style			acf.s054_p
s055	p	Nghỉ dưỡng hiện đại	Modern resort style			acf.s055_p
s056	p	hotel_class	hotel_class			acf.s056_p#1
s057	p	Tiêu chuẩn tiện ích	Amenity standard			acf.s057_p
s058	p	Chuẩn khu nghỉ dưỡng 5 sao	5-star resort style			acf.s058_p
s059	p	location_on	location_on	86%: location_off		acf.s059_p#1
s060	p	Vị trí	Location	100%: Location	trung:s038	acf.s060_p
s061	p	Trung tâm Paphos	Central Paphos		trung:s022	acf.s061_p
s062	p	key	key			acf.s062_p#1
s063	p	Khai thác cho thuê	Rental program			acf.s063_p
s064	p	Cam kết trong 10 năm	10-year commitment			acf.s064_p
s065	p	construction	construction			acf.s065_p#1
s066	p	Tình trạng	Status	100%: Status	trung:s050	acf.s066_p
s067	p	Đang xây dựng	Under construction		trung:s051	acf.s067_p
s068	h3	Không gian sống khép kín	A self-contained residential community			acf.s068_h3
s069	li	{1}pool{/1}**Hồ bơi**	{1}pool{/1}**Swimming pool**			acf.s069_li#1
s070	li	{1}attractions{/1}**Sân chơi trẻ em**	{1}attractions{/1}**Children's playground**			acf.s070_li#1
s071	li	{1}spa{/1}**Spa**	{1}spa{/1}**Spa**			acf.s071_li#1
s072	li	{1}shopping_cart{/1}**Siêu thị mini**	{1}shopping_cart{/1}**Mini market**			acf.s072_li#1
s073	li	{1}fitness_center{/1}**Gym**	{1}fitness_center{/1}**Gym**			acf.s073_li#1
s074	li	{1}weekend{/1}**Khu sinh hoạt cộng đồng**	{1}weekend{/1}**Community lounge**			acf.s074_li#1
s075	li	{1}room_service{/1}**Nhà hàng**	{1}room_service{/1}**Restaurant**			acf.s075_li#1
s076	li	{1}park{/1}**Công viên nội khu và cảnh quan xanh mát**	{1}park{/1}**On-site park and green landscaping**			acf.s076_li#1
s077	p	Elysia Blu hướng đến trải nghiệm sống cân bằng, kết hợp tiện ích đô thị và phong cách nghỉ dưỡng ngay trong nội khu.	Elysia Blu is designed for a balanced way of living, combining city conveniences with a resort atmosphere on site.			acf.s077_p
s078	h2	Chủ đầu tư &{br} {1}đơn vị phát triển{/1}	The developer &{br} {1}its track record{/1}			acf.s078_h2#1
s079	p	Pafilia - Nhà phát triển bất động sản nhà ở cao cấp hàng đầu tại Síp	Pafilia — an established developer of premium residential real estate in Cyprus			acf.s079_p
s080	h3	{1}diamond{/1}Năng lực và kinh nghiệm	{1}diamond{/1}Capability and experience			acf.s080_h3#1
s081	li	verified_user	verified_user			acf.s081_li#1
s082	p	Hơn 48 năm kinh nghiệm	More than 48 years of experience	90%: More than 65 years of experience		acf.s082_p#1
s083	p	trong lĩnh vực phát triển bất động sản.	in real estate development.			acf.s083_p
s084	li	apartment	apartment	100%: apartment		acf.s084_li#1
s085	p	Hơn 250 dự án	More than 250 projects			acf.s085_p#1
s086	p	đã xây dựng tại Síp và Hy Lạp. Chủ đầu tư của ONE - tòa nhà ven biển cao nhất châu Âu.	built in Cyprus and Greece. The developer of ONE, the tallest seafront building in Europe.			acf.s086_p
s087	li	euro_symbol	euro_symbol			acf.s087_li#1
s088	p	Hơn 3 tỷ EUR	More than €3 billion			acf.s088_p#1
