id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada Tỉnh bang New Brunswick	New Brunswick Business Immigration Stream			post_title
s002	h1	ĐỊNH CƯ CANADA DIỆN DOANH NHÂN{br}TỈNH BANG {1}NEW BRUNSWICK{/1}	Entrepreneur Immigration to Canada{br}{1}New Brunswick{/1} Business Immigration Stream			acf.product_hero_title.product_hero_title_content#1
s003	h3	CHƯƠNG TRÌNH DOANH NHÂN NEW BRUNSWICK LÀ GÌ?	What is the New Brunswick Business Immigration Stream?			acf.product_hero_content[0].product_hero_content_title
s004	li	Lộ trình định cư Canada dành cho chủ doanh nghiệp hoặc quản lý cấp cao muốn đầu tư, thành lập hoặc mua lại doanh nghiệp tại New Brunswick.	The New Brunswick Business Immigration Stream is a Canadian permanent residence pathway for business owners and senior managers who want to invest in, start, or acquire a business in the province.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần trực tiếp vận hành doanh nghiệp tại tỉnh bang để đáp ứng điều kiện xin đề cử và tiến tới thường trú nhân Canada.	You must run the business in the province yourself to qualify for a provincial nomination and, from there, to apply for Canadian permanent residence.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ.	Your spouse and children under 22 can be included in the same application.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Mức đầu tư tối thiểu từ 150.000 CAD.	A minimum investment of C$150,000 (approximately US$107,000).		#bo-qua-so: thêm số USD quy đổi từ C$150,000 theo style guide mục 5	acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	New Brunswick có vị trí thuận lợi để giao thương với Mỹ và Québec, chi phí sinh hoạt hợp lý, nhiều trường đại học và cao đẳng lớn.	New Brunswick is well placed for trade with the United States and Quebec, has a reasonable cost of living, and is home to several major universities and colleges.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	Lưu ý cập nhật: chính quyền New Brunswick hiện dùng tên Business Immigration Stream, thay cho Entrepreneurial Stream cũ. Chương trình hiện cho phép nhà đầu tư xin đề cử sau khi doanh nghiệp đã vận hành 6 tháng liên tục, nếu đáp ứng điều kiện.	A recent update: the province now calls this the Business Immigration Stream, replacing the former Entrepreneurial Stream. Under the current rules, you can apply for a nomination once your business has operated for 6 continuous months, provided you meet the program conditions.			acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item
s010	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
