id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Dự án EB-5 | Khu dân cư phức hợp thương mại Haven Residences	EB-5 Project | Haven Residences Mixed-Use Residential Community			post_title
s002	p	Còn suất	Investor spots available	100%: Investor spots available		acf.slot_pro
s003	p	DỰ ÁN EB-5	EB-5 Project			acf.pro_sub_title_hero
s004	h2	KHU DÂN CƯ PHỨC HỢP THƯƠNG MẠI	Mixed-use residential community			acf.sub_pro_title_hero
s005	h1	HAVEN RESIDENCES	Haven Residences			acf.pro_title_hero
s006	li	Lợi thế pháp lý: Đơn I-956F của Haven Residences đã được Sở Di trú Mỹ (USCIS) chấp thuận chính thức.	Regulatory milestone: U.S. Citizenship and Immigration Services (USCIS) has formally approved Form I-956F for the Haven Residences EB-5 project.			acf.pro_desc_hero#1
s007	li	Tọa lạc tại Rancho Cucamonga, cách trung tâm Los Angeles khoảng 30 phút.	Located in Rancho Cucamonga, about 30 minutes from downtown Los Angeles.			acf.pro_desc_hero#2
s008	li	{1}IMM trực tiếp quản lý vốn EB-5, giúp chủ động theo dõi, cập nhật tiến độ, và bảo vệ quyền lợi nhà đầu tư{/1}{2}. {/2}	{1}IMM directly manages the EB-5 capital, allowing us to monitor the project closely, report on progress, and protect investors' interests{/1}{2}.{/2}			acf.pro_desc_hero#3
s009	li	{1}Vốn EB-5 thuộc nhóm ưu tiên hoàn trả đầu tiên, và được đảm bảo bằng vị trị thế chấp hạng nhất trên chính dự án{/1}{2}.{/2}	{1}EB-5 capital holds the highest repayment priority in the capital stack and is secured by a first-position lien on the project itself{/1}{2}.{/2}			acf.pro_desc_hero#4
s010	li	Đã hoàn thành hơn 90% tiến độ xây dựng, dự kiến hoàn tất toàn bộ phần nhà ở vào tháng 10/2026	More than 90% of construction is complete, and all residential buildings are expected to be finished in October 2026.			acf.pro_desc_hero#5
s011	li	Chủ đầu tư cam kết hoàn thành dự án, và bảo lãnh thanh toán khoản vay EB-5.	The developer has committed to completing the project and has provided a repayment guarantee on the EB-5 loan.			acf.pro_desc_hero#6
s012	li	Khoản đầu tư EB-5 sẽ đáo hạn và dự kiến được hoàn trả sau 4 năm.	The EB-5 investment has a 4-year term, with repayment expected at maturity.			acf.pro_desc_hero#7
s013	h2	HAVEN RESIDENCES - DỰ ÁN EB-5 ĐỘC QUYỀN IMM GROUP	Haven Residences: an IMM Group exclusive EB-5 project			acf.pro_parent_rp[0].pro_child_h3
s014	h4	Tổng quan dự án	Project overview			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_h5
s015	li	Quy mô: 248 căn hộ, 11 khối nhà thấp tầng	Scale: 248 apartments across 11 low-rise buildings			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#1
s016	li	Vị trí: 8500 Haven Avenue, Rancho Cucamonga, California, thuộc vùng Inland Empire	Location: 8500 Haven Avenue, Rancho Cucamonga, California, in the Inland Empire			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#2
s017	li	Kết nối: cách trung tâm Los Angeles khoảng 30 phút di chuyển	Access: about 30 minutes from downtown Los Angeles			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#3
s018	li	Thiết kế: phong cách resort, mật độ xây dựng thấp	Design: resort-style, low-density			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#4
