id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Úc diện đầu tư trọng yếu 188C	Australia 188C Significant Investor Visa			post_title
s002	h1	VISA ÚC DIỆN ĐẦU TƯ TRỌNG YẾU {1}188C{/1}	Australia {1}188C{/1} Significant Investor Visa			acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa 188C là gì?	What is the 188C visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Visa 188C là diện Đầu tư trọng yếu dành cho nhà đầu tư có năng lực tài chính cao.	The 188C Significant Investor visa was the Significant Investor stream of Australia's Business Innovation and Investment Program, for investors with substantial financial capacity.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư thực hiện khoản đầu tư 5.000.000 AUD vào các quỹ đủ điều kiện tại Úc.	Investors placed A$5,000,000 in a complying significant investment in Australia.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Khoản đầu tư cần được duy trì theo quy định để xét lên thường trú nhân 888C.	The investment has to be held as required before the investor can apply for 888C permanent residence.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Vợ/chồng và con dưới 23 tuổi có thể đi cùng hồ sơ.	A spouse or partner and children under 23 could be included in the same application.	98%: Your spouse and children under 22 can be included in the same application.		acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Chương trình hiện đã đóng với hồ sơ mới từ 31/07/2024; nội dung này phù hợp để tham khảo cho hồ sơ đã nộp hoặc lộ trình 888C tiếp theo.	The program closed permanently to new applications on July 31, 2024. This page is a reference for applications already lodged and for the 888C stage that follows.		"#bo-qua-so: ngày 31/07/2024 viết theo lối Mỹ ""July 31, 2024"" nên bản Anh không còn số 7 đứng riêng"	acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI KHI THAM GIA VISA 188C	Benefits of the 188C visa			acf.product_benefits_title
s011	h3	Cả gia đình cùng đi	The whole family moves together			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Vợ/chồng và con dưới 23 tuổi được cấp visa đi cùng đương đơn.	A spouse or partner and children under 23 are granted visas alongside the main applicant.	87%: Your spouse and children under 21 receive green cards alongside you.		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Sinh sống tại Úc	Living in Australia			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Cả gia đình được sinh sống, học tập, làm việc và kinh doanh tại Úc trong thời hạn visa.	The whole family can live, study, work, and run a business in Australia while the visa is valid.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Con học tại Úc	Schooling in Australia	85%: U.S. schooling for your children		acf.product_benefits_items[2].product_benefits_item_title
s016	li	Con được học tại trường công theo chính sách của từng bang.	Children can attend public school under the policy of each state or territory.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Linh hoạt đi lại	Flexible travel			acf.product_benefits_items[3].product_benefits_item_title
