id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Dự án EB-5 | Khu nghỉ dưỡng và chăm sóc sức khỏe người cao tuổi Horseshoe Bay	Horseshoe Bay Senior Living Rural EB-5 Project | Senior Living and Care Community in Texas			post_title
s002	p	Còn suất	Investor spots available	100%: Investor spots available		acf.slot_pro
s003	p	DỰ ÁN EB-5 RURAL	Rural EB-5 project			acf.pro_sub_title_hero
s004	h2	KHU NGHỈ DƯỠNG VÀ CHĂM SÓC SỨC KHỎE NGƯỜI CAO TUỔI	Senior living and care community			acf.sub_pro_title_hero
s005	h1	HORSESHOE BAY	Horseshoe Bay Senior Living			acf.pro_title_hero
s006	li	Dự án khu an dưỡng hưu trí phân khúc hạng A, tọa lạc tại thành phố nghỉ dưỡng danh tiếng Horseshoe Bay, Texas.	A rural EB-5 project: a Class A senior living community in Horseshoe Bay, Texas, a well-known resort town.			acf.pro_desc_hero#1
s007	li	Là dự án xây mới và hiện đại duy nhất trong khu vực đang thiếu hụt nguồn cung nghiêm trọng.	According to the project sponsor, it is the only new, modern senior living development in an area facing a severe supply shortage.			acf.pro_desc_hero#2
s008	li	Thuộc khu vực nông thôn (RURAL TEA) giúp đơn I-526E được USCIS ưu tiên xử lý.	Located in a rural Targeted Employment Area (rural TEA), which qualifies Form I-526E petitions for priority processing by U.S. Citizenship and Immigration Services (USCIS).			acf.pro_desc_hero#3
s009	li	Vốn EB-5 là khoản vay cấp cao, được thế chấp bằng chính dự án.	The EB-5 capital is structured as a senior loan secured by the project itself.			acf.pro_desc_hero#4
s010	li	Vốn EB-5 được huy động và quản lý bởi trung tâm vùng EB5 Capital dày dặn kinh nghiệm.	EB-5 capital is raised and managed by EB5 Capital, an experienced regional center.			acf.pro_desc_hero#5
s011	h2	Dự án khu nghỉ dưỡng và chăm sóc sức khỏe người cao tuổi tại Horseshoe Bay, Texas.	A senior living and care community in Horseshoe Bay, Texas			acf.pro_parent_rp[0].pro_child_h3
s012	h4	Tổng quan và vị trí dự án	Project overview and location			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_h5
s013	li	Khu an dưỡng hưu trí cung cấp hệ sinh thái chăm sóc sức khỏe toàn diện, gồm:	The senior living community offers a full continuum of care, including:			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#1
s014	p	- 114 căn hộ Sống độc lập - 48 căn hộ Hỗ trợ sinh hoạt - 18 căn hộ Chăm sóc trí nhớ	- 114 Independent Living units - 48 Assisted Living units - 18 Memory Care units			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#2
s015	li	Dự án nhắm đến tệp khách hàng có khả năng tài chính tốt, không phụ thuộc vào tiền trợ cấp y tế của chính phủ (Medicare/Medicaid).	The project targets financially secure, private-pay residents who do not rely on government programs such as Medicare or Medicaid.			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#3
s016	li	Vị trí: Cách thủ phủ Austin (Texas) khoảng 1 tiếng lái xe. Khoảng cách đủ yên tĩnh để nghỉ dưỡng và thuận tiện cho con cái đến thăm bố mẹ dễ dàng.	Location: about a 1-hour drive from Austin, the Texas state capital. Quiet enough for a restful retirement, yet close enough for adult children to visit their parents easily.			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#4
s017	li	Dự án nằm trong khu quy hoạch tổng thể Silver Rock, dự kiến sẽ bao gồm các khu mua sắm, nhà hàng, cơ sở y tế và giải trí.	The project sits within the Silver Rock master-planned community, which is expected to include shopping, dining, medical, and entertainment facilities.			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#5
s018	li	Horseshoe Bay nổi tiếng là điểm đến nghỉ dưỡng và hưu trí hàng đầu của Texas.	Horseshoe Bay is known as one of Texas's most popular resort and retirement destinations.			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#6
s019	h4	Tiện ích nội khu cao cấp	Premium on-site amenities	100%: Premium on-site amenities		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_h5
s020	li	Hồ bơi phong cách resort	Resort-style swimming pool			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#1
s021	li	Sân pickleball	Pickleball courts			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#2
s022	li	Phòng tập golf mô phỏng	Golf simulator room			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#3
s023	li	Xưởng nghệ thuật	Art studio			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#4
s024	li	Vườn hồng	Rose garden			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#5
s025	li	Công viên dành cho chó	Dog park			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#6
s026	h4	Cấu trúc vốn	Capital structure	100%: Capital structure		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_h5
s027	li	Tổng vốn: 109,1 triệu USD	Total capitalization: US$109.1 million	88%: Total capitalization: US$112.7 million		acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#1
s028	li	Vốn EB-5*: 48 triệu USD – 60 suất nhà đầu tư.	EB-5 capital*: US$48 million from 60 investors			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#2
s029	li	Vốn chủ sở hữu: 22,5 triệu USD	Equity: US$22.5 million			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#3
s030	li	Khoản vay C-PACE*: 38,5 triệu USD	C-PACE loan*: US$38.5 million			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#4
s031	p	*Thời hạn khoản vay EB-5: 3 năm, với 2 lần gia hạn, mỗi lần 1 năm. *C-PACE là khoản vay dài hạn chuyên tài trợ cho các dự án giúp tiết kiệm năng lượng. Khoản vay này sẽ được thu cùng với tiền thuế bất động sản hàng năm.	*EB-5 loan term: 3 years, with 2 extensions of 1 year each. *C-PACE (Commercial Property Assessed Clean Energy) is long-term financing for projects that improve energy efficiency. It is repaid through an assessment collected with the annual property tax bill.			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#5
s032	h4	EB5 Capital - trung tâm vùng đầu ngành	EB5 Capital: an established regional center			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_h5
s033	li	Hơn 18 năm kinh nghiệm, 50 dự án EB-5	More than 18 years of experience and 50 EB-5 projects			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#1
s034	li	Hơn 1,7 tỷ USD vốn EB-5 được huy động, hơn 2.800 nhà đầu tư EB-5	More than US$1.7 billion in EB-5 capital raised and more than 2,800 EB-5 investors			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#2
s035	li	Gần 56.000 việc làm được tạo ra	Nearly 56,000 jobs created			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#3
s036	li	20 dự án đã hoàn vốn	Capital repaid on 20 projects			acf.pro_parent_rp[0].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#4
s037	h2	GIẢI CƠN KHÁT NGUỒN CUNG KHU AN DƯỠNG CHO NGƯỜI CAO TUỔI	Meeting unmet demand for senior living			acf.pro_parent_rp[1].pro_child_h3
s038	h4	Động lực từ nhân khẩu học	Demographic tailwinds			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[0].pro_child_h5
s039	li	"Thế hệ ""Baby Boomer"" bắt đầu bước vào độ tuổi cần chăm sóc y tế, ngành nhà cho người cao tuổi tại Mỹ hưởng lợi."	As baby boomers reach the age at which they need more care, the U.S. senior housing sector is positioned to benefit.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#1
s040	li	Nhóm dân số từ 75 tuổi trở lên dự kiến tăng trưởng nhanh gấp 3 lần so với tốc độ tăng trưởng dân số trung bình.	The population aged 75 and older is projected to grow 3 times faster than the overall population.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[0].pro_child_desc_n1#2
s041	h4	Tình trạng thiếu hụt nguồn cung trầm trọng	A severe supply shortage			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[1].pro_child_h5
s042	li	Trong khu vực bán kính 10 dặm hiện chỉ có 5 cơ sở dưỡng lão, đều đang hoạt động với công suất trên 90%.	There are only 5 senior care facilities within a 10-mile radius, all operating at more than 90% occupancy.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#1
s043	li	Khu vực thiếu hụt gần 1.000 giường, vượt xa quy mô 182 giường của dự án.	The area faces a shortfall of nearly 1,000 beds, far more than the project's 182 beds.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[1].pro_child_desc_n1#2
s044	h4	Vị thế về phân khúc Hạng A	Positioned in the Class A segment			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[2].pro_child_h5
s045	li	Không có bất kỳ cơ sở nào trong khu vực đạt tiêu chuẩn Hạng A.	No facility in the area currently meets Class A standards.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#1
s046	li	Các cơ sở hiện tại được xây dựng trước năm 2000, cơ sở mới nhất cũng đã đi vào hoạt động từ năm 2014.	Existing facilities were built before 2000, and even the newest has been operating since 2014.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#2
s047	li	Không có dự án nào khác đang được xây dựng hoặc lên kế hoạch hiện tại.	No other projects are currently under construction or in planning.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#3
s048	li	Khi hoàn thành, dự án sẽ là lựa chọn cao cấp và hiện đại duy nhất.	Once complete, the project is expected to be the only premium, modern option in the area.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[2].pro_child_desc_n1#4
s049	h4	"Mô hình ""Chăm sóc liên tục"" giúp giữ chân khách hàng"	A continuum-of-care model that helps retain residents			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[3].pro_child_h5
s050	li	Dự án cung cấp cả 3 cấp độ chăm sóc: Độc lập, Hỗ trợ Sinh hoạt và Chăm sóc Trí nhớ.	The project offers all 3 levels of care: Independent Living, Assisted Living, and Memory Care.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#1
s051	li	Khi sức khỏe của người cao tuổi suy giảm và cần mức độ chăm sóc y tế cao hơn, có thể dễ dàng chuyển đổi phân khu mà không cần phải dọn ra khỏi cơ sở.	As residents' health declines and they need a higher level of care, they can transition within the same community without having to move out.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#2
s052	li	Duy trì tỷ lệ cư dân gắn bó lâu dài, đảm bảo dòng tiền ổn định và giảm thiểu chi phí tìm kiếm khách hàng mới.	This supports longer resident stays and more stable cash flow while reducing resident acquisition costs.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[3].pro_child_desc_n1#3
s053	h4	Tâm lý muốn đón cha mẹ về ở gần	Families want their parents close by			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[4].pro_child_h5
s054	li	Con cái sinh sống tại khu vực muốn đón cha mẹ về gần khu mình sống để tiện thăm nom.	Adult children who live in the area want to move their parents nearby so they can visit more easily.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[4].pro_child_desc_n1#1
s055	li	Thu hút nguồn khách từ khắp toàn quốc về sinh sống tại khu vực.	The project is expected to attract residents from across the country to the area.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[4].pro_child_desc_n1#2
s056	li	Vừa cung cấp môi trường chăm sóc y tế Hạng A tiện nghi cho người già, vừa là điểm thăm nom kết hợp nghỉ dưỡng lý tưởng cho con cháu.	It offers older adults a comfortable, Class A care setting, and gives children and grandchildren an ideal place to visit and vacation.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[4].pro_child_desc_n1#3
s057	h4	Đội ngũ phát triển và vận hành dày dặn kinh nghiệm	An experienced development and operating team			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[5].pro_child_h5
s058	li	**Falcon Senior Housing:** Đơn vị phát triển chuyên nghiệp với danh mục bất động sản trị giá hơn 1,5 tỷ USD.	**Falcon Senior Housing:** a professional developer with a real estate portfolio valued at more than US$1.5 billion.			acf.pro_parent_rp[1].pro_child_pr_item[0].pro_child_pr[5].pro_child_desc_n1#1
