id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Mỹ E-2	U.S. E-2 treaty investor visa	100%: U.S. E-2 treaty investor visa		post_title
s002	h1	VISA MỸ {1}E-2{/1}	U.S. {1}E-2{/1} Visa for Treaty Investors	100% (gắn lại thẻ {1} {/1}): U.S. E-2 treaty investor visa		acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa E-2 là gì?	What is the E-2 visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Thị thực đầu tư không định cư (tạm trú) vào Mỹ.	The E-2 visa is a U.S. nonimmigrant (temporary) investor visa.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Dành cho công dân các nước ký hiệp định thương mại với Mỹ (phổ biến: Grenada, Thổ Nhĩ Kỳ, Montenegro).	It is available to citizens of countries that have a treaty of commerce with the U.S.; investors from non-treaty countries commonly qualify through citizenship of Grenada, Türkiye, or Montenegro.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	**Phạm vi:** nhà đầu tư + vợ/chồng + con dưới 21 tuổi được sinh sống, học tập, làm việc tại bất kỳ nơi nào trên nước Mỹ.	**Who it covers:** the investor, spouse, and children under 21 can live, study, and work anywhere in the U.S.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item#1
s007	li	**Đặc điểm:** xử lý nhanh hơn nhiều diện khác, chứng minh đơn giản hơn - phù hợp gia đình muốn sang Mỹ sớm cho con đi học.	**Key features:** faster processing than many other routes and simpler documentation—well suited to families who want to move to the U.S. soon for their children's education.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item#1
s008	li	E-2 có thể gia hạn nhiều lần nhưng không tự động chuyển thành thẻ xanh.	The E-2 visa can be renewed multiple times, but it does not automatically lead to a green card.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation			acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI VISA E-2	E-2 visa benefits			acf.product_benefits_title
s011	h3	Cả gia đình sang Mỹ	Your whole family moves to the U.S.			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Tự do sinh sống, học tập, làm việc.	Freedom to live, study, and work.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Con học miễn phí trường công	Tuition-free public schools for your children			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Từ tiểu học đến hết THPT, khi gia đình giữ thị thực hợp lệ.	From elementary school through high school, as long as your family holds valid visas.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Không phát sinh thuế thu nhập toàn cầu	U.S. tax on worldwide income only if you become a tax resident			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Nếu không trở thành đối tượng cư trú thuế tại Mỹ (theo quy định về thời gian hiện diện). Chi tiết theo tư vấn thuế.	You are not subject to U.S. tax on worldwide income unless you become a U.S. tax resident (based on days of physical presence). Seek advice from a tax advisor for details.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Tự do đi về Việt Nam - Mỹ	Travel freely between the U.S. and your home country			acf.product_benefits_items[3].product_benefits_item_title
