id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Thường trú nhân Hungary (Guest Investor Program)	Hungary Golden Visa (Guest Investor Program)		#bo-qua-tn: Hungary cấp thẻ cư trú có thời hạn (tối đa 10 năm), không phải thường trú	post_title
s002	h1	THƯỜNG TRÚ NHÂN {1}HUNGARY{/1}	{1}Hungary{/1} Golden Visa	100% (gắn lại thẻ {1} {/1}): Hungary residency by investment	#bo-qua-tn: H1 dùng tên sản phẩm theo cách người bản xứ tìm	acf.product_hero_title.product_hero_title_content#1
s003	h3	GUEST INVESTOR PROGRAM LÀ GÌ?	What is the Guest Investor Program?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình cư trú diện nhà đầu tư do Chính phủ Hungary ban hành (Luật XC/2023).	The Hungary Golden Visa, officially the Guest Investor Program, is an investor residence program created by the Hungarian government under Act XC of 2023.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Dành cho nhà đầu tư ngoài EU và gia đình thông qua khoản đầu tư đủ điều kiện.	It is open to investors from outside the EU and to their families, through a qualifying investment.	90%: It is open to investors from outside the EU, EEA, and Switzerland, and to their families, through a qualifying investment.		acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Thẻ cư trú tối đa 10 năm, gia hạn thêm tối đa 10 năm.	The residence permit runs for up to 10 years and can be renewed for up to 10 more.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Đi lại khối Schengen ngắn hạn theo quy định 90/180 ngày.	Short stays in the Schengen Area under the 90/180-day rule.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Hai hình thức đầu tư hiện hành (từ 01/7/2024):	Two investment routes are in force as of July 1, 2024:			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	Đầu tư từ 250.000 EUR vào quỹ đầu tư BĐS được Ngân hàng Quốc gia Hungary (MNB) đăng ký, hoặc	From €250,000 into a real estate fund registered with the National Bank of Hungary (MNB), or			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_subs[0].product_hero_content_text_sub_item
s010	li	Quyên góp từ 1.000.000 EUR cho cơ sở giáo dục đại học công ích.	A donation of €1,000,000 or more to a public-interest higher education institution.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_subs[1].product_hero_content_text_sub_item
s011	li	Từ 250.000 EUR (≈ 7,6 – 7,7 tỷ đồng theo tỷ giá tham khảo, chưa gồm thuế/phí).	From €250,000, before taxes and fees.		"#bo-qua-so: bỏ ""(≈ 7,6 – 7,7 tỷ đồng theo tỷ giá tham khảo)"" — chỉ nhắc lại số EUR"	acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item
s012	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s013	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN HUNGARY	Benefits of the Hungary Golden Visa	89%: Benefits of Bulgarian permanent residence	#bo-qua-tn: nhãn mục dùng tên sản phẩm, khớp H1	acf.product_benefits_title
s014	h3	Sinh sống tại Hungary	Live in Hungary			acf.product_benefits_items[0].product_benefits_item_title
s015	li	Cả gia đình được sinh sống, học tập tại Hungary.	The whole family can live and study in Hungary.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Được làm việc & kinh doanh	The right to work and run a business			acf.product_benefits_items[1].product_benefits_item_title
s017	li	Thẻ cư trú diện nhà đầu tư cho phép làm việc, tự kinh doanh hoặc điều hành doanh nghiệp tại Hungary (khác nhiều chương trình Golden Visa khác).	The investor residence permit allows you to work, be self-employed, or run a business in Hungary — unlike many other golden visa programs.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	h3	Đi lại Schengen ngắn hạn	Short stays in the Schengen Area			acf.product_benefits_items[2].product_benefits_item_title
s019	li	Đi lại 29 nước khối Schengen theo quy định lưu trú 90 ngày trong mỗi 180 ngày.	Travel across the 29 Schengen countries under the short-stay rule: 90 days in any 180-day period.	89%: Travel across the 29 Schengen countries under the standard short-stay rule: 90 days in any 180-day period.		acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s020	h3	Tiếp cận y tế & giáo dục	Access to healthcare and education			acf.product_benefits_items[3].product_benefits_item_title
s021	li	Tiếp cận hệ thống y tế và giáo dục theo diện cư trú.	Access to the healthcare and education systems on the terms that apply to residents.	86%: Access to the public healthcare and education systems on the same terms as other residents.		acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s022	h3	Không yêu cầu cư trú tối thiểu	No minimum stay requirement	100%: No minimum stay requirement		acf.product_benefits_items[4].product_benefits_item_title
s023	li	Không bắt buộc thời gian cư trú để duy trì thẻ.	You are not required to spend any set time in Hungary to keep the permit.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s024	h3	LỘ TRÌNH & QUYỀN QUỐC TỊCH	The route to citizenship, and the rights it carries			acf.product_benefits_items[5].product_benefits_item_title
s025	li	Cơ hội nhập tịch	A path to citizenship	86%: A path to citizenship		acf.product_benefits_items[5].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s026	li	Có thể xét nhập quốc tịch Hungary khi đáp ứng điều kiện cư trú, ngôn ngữ và hội nhập theo luật (thông thường ~8 năm cư trú liên tục). Thời gian thực tế tùy hồ sơ.	You can be considered for Hungarian citizenship once you meet the residence, language, and integration conditions set by law — usually around 8 years of continuous residence. The actual timeline depends on your file.			acf.product_benefits_items[5].product_benefits_item_bullets[1].product_benefits_item_bullet_text
s027	li	Khi nhập tịch Hungary	Once you hold Hungarian citizenship			acf.product_benefits_items[5].product_benefits_item_bullets[2].product_benefits_item_bullet_text
s028	li	Hộ chiếu Hungary thuộc nhóm hộ chiếu mạnh hàng đầu thế giới; miễn visa hoặc visa điện tử tới phần lớn các quốc gia (thứ hạng và số nước thay đổi theo thời điểm).	The Hungarian passport is a strong travel document, with visa-free or eVisa access to most countries (the ranking and the number of countries change over time).			acf.product_benefits_items[5].product_benefits_item_bullets[3].product_benefits_item_bullet_text
s029	li	Quyền công dân EU đầy đủ: tự do sinh sống, làm việc, học tập tại bất kỳ quốc gia EU nào.	Full EU citizenship rights: you can live, work, and study in any EU country.	85%: Full EU citizenship rights: you can live, work, and study in any EU country.		acf.product_benefits_items[5].product_benefits_item_bullets[4].product_benefits_item_bullet_text
s030	h2	ƯU ĐIỂM THƯỜNG TRÚ NHÂN HUNGARY	Why investors choose the Hungary Golden Visa	88%: Advantages of the Bulgaria Golden Visa	#bo-qua-tn: nhãn mục dùng tên sản phẩm, khớp H1	acf.product_advantages_title
s031	h3	Thẻ cư trú đến 10 năm	A residence permit of up to 10 years			acf.product_advantages_items[0].product_advantages_item_title
s032	li	Một trong những thẻ cư trú diện đầu tư có thời hạn dài nhất tại châu Âu; gia hạn thêm tối đa 10 năm nếu còn duy trì điều kiện.	One of the longest validity periods for an investor residence permit in Europe, renewable for up to 10 more years as long as you still meet the conditions.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s033	h3	Lộ trình thường trú & quốc tịch	A route to permanent residence and citizenship			acf.product_advantages_items[1].product_advantages_item_title
s034	li	Cơ hội xét thường trú và quốc tịch một quốc gia EU khi đáp ứng điều kiện theo luật Hungary.	The chance to be considered for permanent residence and citizenship of an EU country once you meet the conditions set by Hungarian law.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s035	h3	Điều kiện linh hoạt	Flexible conditions			acf.product_advantages_items[2].product_advantages_item_title
s036	li	Không giới hạn độ tuổi tối đa, không phỏng vấn, không yêu cầu học vấn hay kinh nghiệm quản lý.	No upper age limit, no interview, and no education or management experience requirements.	90%: No age limit, no interview, and no language, education, or management experience requirements.		acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s037	h3	Không yêu cầu cư trú tối thiểu	No minimum stay requirement	100%: No minimum stay requirement	trung:s022	acf.product_advantages_items[3].product_advantages_item_title
s038	li	Không bắt buộc thời gian cư trú để giữ và gia hạn thẻ cư trú diện đầu tư.	You are not required to spend any set time in Hungary to hold or renew the investor residence permit.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s039	h3	Mức đầu tư từ 250.000 EUR	Investment from €250,000	100%: Investment from €250,000		acf.product_advantages_items[4].product_advantages_item_title
s040	li	Thực hiện qua quỹ đầu tư BĐS được Ngân hàng Quốc gia Hungary (MNB) đăng ký – mức đầu tư cạnh tranh tại châu Âu.	Made through a real estate fund registered with the National Bank of Hungary (MNB) — a competitive entry point in Europe.			acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s041	h2	ĐIỀU KIỆN ĐẦU TƯ LẤY THƯỜNG TRÚ NHÂN HUNGARY	Hungary Golden Visa requirements	89%: Greece Golden Visa investment requirements	#bo-qua-tn: nhãn mục dùng tên sản phẩm, khớp H1	acf.product_conditions_title
s042	h3	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_items[0].product_conditions_item_title
s043	li	Từ 18 tuổi, không giới hạn tuổi tối đa.	Aged 18 or older, with no upper age limit.	100%: Aged 18 or older, with no upper age limit.		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s044	li	Đạt yêu cầu về lý lịch an ninh.	Meets security and background vetting requirements.	94%: Meets security and background vetting requirements		acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s045	li	Chứng minh nguồn vốn đầu tư hợp pháp.	You document a lawful source of funds for the investment.	98%: You document a lawful source of funds for the investment		acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s046	h3	Người phụ thuộc đi kèm	Dependents you can include	100%: Dependents you can include		acf.product_conditions_items[1].product_conditions_item_title
s047	li	Vợ/chồng hợp pháp.	Your legal spouse.	100%: Your legal spouse.		acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s048	li	Con chưa thành niên (dưới 18 tuổi).	Minor children, under 18.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s049	li	Một số thành viên phụ thuộc khác (con đã thành niên còn phụ thuộc, cha/mẹ phụ thuộc) theo diện đoàn tụ gia đình.	Certain other dependents — adult children who are still dependent, and dependent parents — through family reunification.			acf.product_conditions_items[1].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s050	li	Điều kiện và độ tuổi cụ thể theo quy định OIF tại thời điểm nộp – liên hệ IMM Group để kiểm tra từng trường hợp.	The exact conditions and age limits follow the OIF rules in force when you file; contact IMM Group to check your own case.			acf.product_conditions_items[1].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s051	h3	Chọn 1 trong 2 hình thức đầu tư:	Choose one of two investment routes:		"#bo-qua-so: nguồn viết ""Chọn 1 trong 2""; bản Anh dùng ""one of two"" đúng cách nói bản xứ"	acf.product_conditions_items[2].product_conditions_item_title
s052	li	Quỹ đầu tư BĐS – từ 250.000 EUR	Real estate fund — from €250,000			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s053	li	Mua chứng chỉ quỹ đầu tư BĐS được MNB đăng ký; nắm giữ tối thiểu 5 năm. Tối thiểu 40% giá trị tài sản ròng của quỹ là BĐS nhà ở tại Hungary.	You buy units in a real estate fund registered with the MNB and hold them for at least 5 years. At least 40% of the fund's net asset value must be held in Hungarian residential property.			acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s054	li	Quyên góp giáo dục – từ 1.000.000 EUR	Education donation — from €1,000,000			acf.product_conditions_items[2].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s055	li	Quyên góp cho cơ sở giáo dục đại học công ích phục vụ giáo dục/nghiên cứu/sáng tạo nghệ thuật.	A donation to a public-interest higher education institution, for education, research, or artistic work.			acf.product_conditions_items[2].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s056	li	(Hình thức mua BĐS trực tiếp 500.000 EUR đã bị loại bỏ, không có hiệu lực từ 15/01/2025.)	The direct property purchase route at €500,000 was removed and has not been available since January 15, 2025.			acf.product_conditions_items[2].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s057	h2	QUY TRÌNH ĐẦU TƯ LẤY THƯỜNG TRÚ NHÂN HUNGARY	The Hungary Golden Visa process	89%: The Greece Golden Visa process	#bo-qua-tn: nhãn mục dùng tên sản phẩm, khớp H1	acf.product_process_title
s058	h3	Đặt cọc & thẩm định	Deposit and due diligence	100%: Deposit and due diligence		acf.product_process_steps[0].product_process_step_title
s059	p	Ký thỏa thuận đặt cọc và thẩm định hồ sơ ban đầu.	Sign the deposit agreement and complete the initial due diligence on your file.	100%: Sign the deposit agreement and complete the initial due diligence on your file.		acf.product_process_steps[0].product_process_step_desc
s060	h3	Ký hợp đồng	Sign the contracts	100%: Sign the contracts		acf.product_process_steps[1].product_process_step_title
s061	p	Ký hợp đồng dịch vụ xin cư trú Hungary và hợp đồng đầu tư với Quỹ.	Sign the service agreement for your Hungarian residence application and the subscription agreement with the fund.			acf.product_process_steps[1].product_process_step_desc
s062	h3	Chuẩn bị hồ sơ	Prepare the file			acf.product_process_steps[2].product_process_step_title
s063	p	Hoàn thiện hồ sơ theo hình thức đầu tư và số thành viên đi kèm.	We complete the file for the investment route you chose and the family members joining you.			acf.product_process_steps[2].product_process_step_desc
s064	h3	Xin Guest Investor Visa	Apply for the Guest Investor Visa			acf.product_process_steps[3].product_process_step_title
s065	p	Nộp hồ sơ xin thị thực nhà đầu tư (Guest Investor Visa) tại cơ quan đại diện Hungary.	File your Guest Investor Visa application at a Hungarian embassy or consulate.			acf.product_process_steps[3].product_process_step_desc
s066	h3	Thực hiện đầu tư & nộp hồ sơ thẻ cư trú	Invest and file for your residence permit			acf.product_process_steps[4].product_process_step_title
s067	p	Nhận thị thực, sang Hungary thực hiện đầu tư và nộp hồ sơ xin thẻ cư trú 10 năm. Lấy sinh trắc (vân tay, ảnh) trực tiếp tại Hungary.	You receive the visa, travel to Hungary to make the investment, and file for the 10-year residence permit. Biometrics — fingerprints and a photograph — are taken in Hungary.			acf.product_process_steps[4].product_process_step_desc
s068	h3	Nhận thẻ cư trú	Receive your residence permit	100%: Receive your residence permit		acf.product_process_steps[5].product_process_step_title
s069	p	Nhận chấp thuận chính thức; thẻ cư trú (đến 10 năm) được gửi về địa chỉ đã đăng ký.	You receive formal approval, and the residence permit, valid for up to 10 years, is sent to the address you registered.			acf.product_process_steps[5].product_process_step_desc
s070	h3	Gia hạn thẻ cư trú	Renew your residence permit	100%: Renew your residence card		acf.product_process_steps[6].product_process_step_title
s071	p	Gia hạn thêm tối đa 10 năm: diện Quỹ cần còn duy trì khoản đầu tư; diện quyên góp không cần đầu tư thêm. Nộp gia hạn tối thiểu 30 ngày trước khi thẻ hết hạn.	Renewal for up to 10 more years: on the fund route you must still hold the investment; on the donation route no further investment is required. File the renewal at least 30 days before the permit expires.			acf.product_process_steps[6].product_process_step_desc
s072	cta	Xem tất cả dự án	View all projects	100%: View all projects		acf.product_projects_cta_label
s073	h2	Câu hỏi thường gặp về Thường Trú Nhân Hungary	Hungary Golden Visa FAQs	88%: Malta Golden Visa FAQs	#bo-qua-tn: nhãn mục hỏi đáp dùng tên sản phẩm, khớp H1	acf.product_faq_title
s074	h4	Mức đầu tư tối thiểu?	What is the minimum investment?			acf.product_faq_items[0].product_faq_item_question
s075	p	Mức đầu tư tối thiểu	The minimum investment			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_heading
s076	li	Hiện có 2 hình thức: đầu tư từ 250.000 EUR vào quỹ đầu tư BĐS được MNB đăng ký (giữ tối thiểu 5 năm), hoặc quyên góp từ 1.000.000 EUR cho cơ sở giáo dục đại học công ích. Mức và điều kiện theo quy định tại thời điểm nộp hồ sơ.	There are 2 routes: from €250,000 into a real estate fund registered with the MNB, held for at least 5 years, or a donation from €1,000,000 to a public-interest higher education institution. The amounts and conditions that apply are those in force when you file.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s077	h4	Có được làm việc tại Hungary?	Can I work in Hungary?			acf.product_faq_items[1].product_faq_item_question
s078	p	Có được làm việc tại Hungary	Working in Hungary			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_heading
s079	li	Có. Thẻ cư trú diện nhà đầu tư cho phép làm việc, tự kinh doanh hoặc điều hành doanh nghiệp tại Hungary mà không bị hạn chế – lợi thế so với nhiều chương trình Golden Visa châu Âu khác.	Yes. The investor residence permit allows you to work, be self-employed, or run a business in Hungary without restriction — an advantage over many other European golden visa programs.			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s080	h4	Phải ở Hungary bao nhiêu ngày?	How many days do I have to spend in Hungary?			acf.product_faq_items[2].product_faq_item_question
s081	p	Phải ở Hungary bao nhiêu ngày	Days you have to spend in Hungary			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_heading
s082	li	Không yêu cầu cư trú tối thiểu để giữ và gia hạn thẻ cư trú diện đầu tư. Nếu định hướng nhập quốc tịch về sau, nhà đầu tư cần đáp ứng điều kiện cư trú và hội nhập theo luật Hungary.	There is no minimum stay requirement to hold or renew the investor residence permit. If you are aiming at citizenship later, you will need to meet the residence and integration conditions set by Hungarian law.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s083	h4	Thẻ có thời hạn bao lâu?	How long is the permit valid?			acf.product_faq_items[3].product_faq_item_question
s084	p	Thẻ có thời hạn bao lâu	Validity of the permit			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_heading
s085	li	Thẻ cư trú có thời hạn tối đa 10 năm, gia hạn thêm tối đa 10 năm. Diện Quỹ cần duy trì khoản đầu tư khi gia hạn; diện quyên góp không yêu cầu đầu tư thêm.	The residence permit runs for up to 10 years and can be renewed for up to 10 more. On the fund route you must keep the investment in place to renew; on the donation route no further investment is required.			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s086	h4	Quỹ đầu tư BĐS là gì? Rủi ro thế nào?	What is the real estate fund, and what are the risks?			acf.product_faq_items[4].product_faq_item_question
s087	p	Quỹ đầu tư BĐS là gì? Rủi ro thế nào	The real estate fund and its risks			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_heading
s088	li	Là quỹ đầu tư BĐS được Ngân hàng Quốc gia Hungary (MNB) đăng ký, do đơn vị quản lý quỹ đủ điều kiện vận hành; tối thiểu 40% giá trị tài sản ròng là BĐS nhà ở tại Hungary. Đây là khoản đầu tư có rủi ro; kết quả và khả năng thu hồi vốn tùy hồ sơ, quỹ và biến động thị trường.	It is a real estate fund registered with the National Bank of Hungary (MNB) and run by a licensed fund manager; at least 40% of its net asset value is residential property in Hungary. This is an investment that carries risk, and the outcome and the recovery of your capital depend on your file, on the fund, and on how the market moves.			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s089	h4	Gia đình gồm những ai?	Who counts as family?			acf.product_faq_items[5].product_faq_item_question
s090	p	Gia đình gồm những ai	Family members you can include			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_heading
s091	li	Hồ sơ có thể bao gồm vợ/chồng và con chưa thành niên; một số thành viên phụ thuộc khác có thể tham gia theo diện đoàn tụ gia đình. Điều kiện cụ thể tùy quy định OIF – liên hệ IMM Group để kiểm tra từng gia đình.	The application can include your spouse and minor children; certain other dependents may join through family reunification. The exact conditions follow the OIF rules — contact IMM Group to check your own family.			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s092	h4	Chứng minh nguồn tiền thế nào?	How do I document my source of funds?			acf.product_faq_items[6].product_faq_item_question
s093	p	Chứng minh nguồn tiền thế nào	Documenting your source of funds			acf.product_faq_items[6].product_faq_item_sections[0].product_faq_item_section_heading
