id	loai	vi	en	tm	ghi_chu	src
s001	p	Thường trú nhân Hy Lạp | Dự án căn hộ cao cấp	Greece Golden Visa property | Premium apartment project		"#bo-qua-tn: ""Thường trú nhân Hy Lạp"" — thẻ Hy Lạp có thời hạn 5 năm, tên tiếng Anh đã chốt là Greece Golden Visa"	acf.s001_p
s002	h1	Kastella Bay	Kastella Bay			acf.s002_h1
s003	p	Căn hộ cao cấp tại Piraeus – Lộ trình Golden Visa Hy Lạp	Premium apartments in Piraeus — a route to the Greece Golden Visa			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}paid{/2}Mức đầu tư tối thiểu{/1}**250.000 EUR**	{1}{2}paid{/2}Minimum investment{/1}**€250,000**			acf.s005_p#1
s006	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**			acf.s006_p#1
s007	p	{1}{2}workspace_premium{/2}Dự án độc quyền{/1}**IMM Group**	{1}{2}workspace_premium{/2}Exclusive project{/1}**IMM Group**			acf.s007_p#1
s008	cta	Kastella Bay	Kastella Bay		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery			acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections			acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities			acf.s012_cta#1
s013	cta	Chủ đầu tư Arish	Developer Arish			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình Golden Visa	The Golden Visa route			acf.s015_cta
s016	cta	Lợi thế Golden Visa	Golden Visa advantages			acf.s016_cta
s017	h2	Vị trí trung tâm tại{br} {1}Piraeus{/1}	A central location in{br} {1}Piraeus{/1}			acf.s017_h2#1
s018	p	Mikrolimano {1}·{/1} Piraeus {2}·{/2} Hy Lạp	Mikrolimano {1}·{/1} Piraeus {2}·{/2} Greece			acf.s018_p#1
s019	cta	Google Maps	Google Maps			acf.s019_cta#1
s020	p	Vị trí dự án	Project location	100%: Project location		acf.s020_p
s021	h3	Thuận tiện di chuyển	Easy to get around			acf.s021_h3
s022	h4	Mikrolimano	Mikrolimano			acf.s022_h4
s023	p	Nằm tại Mikrolimano, khu vịnh du thuyền nổi tiếng của Piraeus.	In Mikrolimano, the well-known marina district of Piraeus.			acf.s023_p
s024	h4	Trung tâm Athens	Central Athens			acf.s024_h4
s025	p	Cách trung tâm Athens khoảng 12-15 phút di chuyển.	About 12–15 minutes from central Athens.			acf.s025_p
s026	h4	Ga metro Neo Faliro	Neo Faliro metro station			acf.s026_h4
s027	p	Cách ga metro Neo Faliro khoảng 1 km.	About 1 km from Neo Faliro metro station.	98%: About 1 km from Neo Faliro metro station		acf.s027_p
s028	h4	Tiện ích xung quanh	Amenities nearby			acf.s028_h4
s029	p	Gần Đại học Piraeus, bệnh viện, trung tâm thương mại và văn phòng quốc tế.	Close to the University of Piraeus, hospitals, shopping centers, and international offices.			acf.s029_p
s030	h2	Căn hộ chuyển đổi tại{br} {1}vịnh du thuyền Mikrolimano{/1}	Converted apartments at{br} {1}Mikrolimano marina{/1}			acf.s030_h2#1
s031	p	Vị trí trung tâm Piraeus, gần vịnh du thuyền Mikrolimano và kết nối nhanh đến Athens.	A central Piraeus location, close to Mikrolimano marina and with fast connections to Athens.			acf.s031_p
s032	p	Căn hộ chuyển đổi hợp pháp từ khách sạn, đáp ứng mức đầu tư Golden Visa từ 250.000 EUR – khoảng 7,6 tỷ đồng.	Apartments converted from a hotel under a lawful change of use, the property category that carries the reduced €250,000 Greece Golden Visa investment level.		#bo-qua-so: bỏ quy đổi VND theo style guide mục 5	acf.s032_p
s033	p	Mở lộ trình thẻ cư trú Hy Lạp cho cả gia đình, Tự do đi lại khối Schengen, an cư – học tập – kinh doanh tại Hy Lạp.	The investment opens a route to a Greek residence permit for your whole family, with visa-free travel in the Schengen Area and the right to live, study, and do business in Greece.			acf.s033_p
s034	p	Chủ đầu tư Arish Capital Partners – hơn 65 năm kinh nghiệm đầu tư, tài chính, quản lý quỹ và định cư.	The developer, Arish Capital Partners, brings more than 65 years of experience in investment, finance, fund management, and residency programs.			acf.s034_p
s035	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s035_cta
s036	h3	Thông tin dự án	Project information	100%: Project information		acf.s036_h3
s037	p	Vị trí	Location			acf.s037_p
s038	p	Mikrolimano, thành phố cảng Piraeus	Mikrolimano, the port city of Piraeus			acf.s038_p
s039	p	Loại hình	Property type			acf.s039_p
s040	p	căn hộ cao cấp chuyển đổi hợp pháp từ khách sạn	premium apartments converted from a hotel under a lawful change of use			acf.s040_p
s041	p	Mức đầu tư	Investment	100%: Investment		acf.s041_p
s042	p	từ 250.000 EUR	from €250,000	100%: from €250,000		acf.s042_p
s043	p	Kết nối	Connections			acf.s043_p
s044	p	khoảng 12-15 phút đến trung tâm Athens	about 12–15 minutes to central Athens			acf.s044_p
s045	p	Chủ đầu tư	Developer			acf.s045_p
s046	p	Arish Capital Partners	Arish Capital Partners			acf.s046_p
s047	h2	Thiết kế mô phỏng &{br} {1}tiện ích xung quanh{/1}	Design renderings &{br} {1}amenities nearby{/1}			acf.s047_h2#1
s048	p	apartment	apartment			acf.s048_p#1
s049	p	Loại hình	Property type		trung:s039	acf.s049_p
s050	p	Căn hộ cao cấp chuyển đổi hợp pháp từ khách sạn	Premium apartments converted from a hotel under a lawful change of use		trung:s040	acf.s050_p
s051	p	directions_car	directions_car			acf.s051_p#1
s052	p	Kết nối	Connections		trung:s043	acf.s052_p
s053	p	Khoảng 12-15 phút đến trung tâm Athens	About 12–15 minutes to central Athens		trung:s044	acf.s053_p
s054	p	train	train			acf.s054_p#1
s055	p	Metro	Metro			acf.s055_p
s056	p	Cách ga Neo Faliro khoảng 1 km	About 1 km from Neo Faliro station	90%: About 1 km from Neo Faliro metro station		acf.s056_p
s057	p	paid	paid			acf.s057_p#1
s058	p	Mức đầu tư	Investment	100%: Investment	trung:s041	acf.s058_p
s059	p	Từ 250.000 EUR	from €250,000	100%: from €250,000	trung:s042	acf.s059_p
s060	p	check_circle	check_circle			acf.s060_p#1
s061	p	Tình trạng	Status			acf.s061_p
s062	p	Còn suất	Units available	100%: Investor spots available		acf.s062_p
s063	h3	Không gian căn hộ	Inside the apartments			acf.s063_h3
s064	li	{1}hotel{/1}**Căn hộ được chuyển đổi từ khách sạn.**	{1}hotel{/1}**Apartments converted from a hotel.**			acf.s064_li#1
s065	li	{1}bed{/1}**Hướng đến công năng lưu trú hiện đại.**	{1}bed{/1}**Designed for modern living.**			acf.s065_li#1
s066	li	{1}architecture{/1}**Thiết kế tinh tế.**	{1}architecture{/1}**Refined design.**			acf.s066_li#1
s067	li	{1}water{/1}**Tầm nhìn hướng vịnh biển.**	{1}water{/1}**Views over the bay.**			acf.s067_li#1
s068	li	{1}restaurant{/1}**Vị trí gần nhà hàng.**	{1}restaurant{/1}**Restaurants nearby.**			acf.s068_li#1
s069	li	{1}directions_boat{/1}**Vị trí gần bến du thuyền.**	{1}directions_boat{/1}**Close to the marina.**			acf.s069_li#1
s070	li	{1}shopping_bag{/1}**Vị trí gần trung tâm mua sắm.**	{1}shopping_bag{/1}**Close to shopping.**			acf.s070_li#1
s071	li	{1}subway{/1}**Vị trí gần tuyến metro.**	{1}subway{/1}**Close to the metro.**			acf.s071_li#1
s072	p	Phù hợp với nhu cầu ở thực, cho thuê dài hạn hoặc khai thác nhóm khách thuê quốc tế.	The apartments suit owner-occupants, long-term rental, or an international tenant base.			acf.s072_p
s073	li	Sở hữu vĩnh viễn 100% – toàn quyền ở, cho thuê, bán, thừa kế, không giới hạn thời gian.	100% freehold ownership — the right to live in it, rent it out, sell it, or pass it on, with no time limit.			acf.s073_li
s074	li	Bảo hành 2 năm cho căn hộ và khu vực chung kể từ ngày bàn giao.	A 2-year warranty covering the apartment and the common areas, running from the handover date.			acf.s074_li
s075	h2	Chủ đầu tư{br} {1}Arish Capital Partners{/1}	The developer{br} {1}Arish Capital Partners{/1}			acf.s075_h2#1
s076	p	Arish Capital Partners - kinh nghiệm đầu tư và bất động sản quốc tế	Arish Capital Partners — international investment and real estate experience			acf.s076_p
s077	h3	{1}apartment{/1}Năng lực phát triển dự án	{1}apartment{/1}Development track record			acf.s077_h3#1
s078	li	verified	verified			acf.s078_li#1
s079	p	Hơn 65 năm kinh nghiệm	More than 65 years of experience			acf.s079_p#1
s080	p	tích lũy trong lĩnh vực đầu tư, tài chính, quản lý quỹ và bất động sản.	built up across investment, finance, fund management, and real estate.			acf.s080_p
s081	li	public	public			acf.s081_li#1
s082	p	Doanh nghiệp đã triển khai dự án tại	The firm has delivered projects in			acf.s082_p#1
s083	p	Bồ Đào Nha, Hy Lạp, Anh Quốc và Trung Đông	Portugal, Greece, the United Kingdom, and the Middle East			acf.s083_p
s084	li	domain	domain			acf.s084_li#1
s085	p	Danh mục dự án	Its portfolio			acf.s085_p#1
s086	p	gồm khu dân cư cao cấp, căn hộ dịch vụ và dự án phức hợp thương mại.	covers premium residential developments, serviced apartments, and mixed-use commercial projects.			acf.s086_p
s087	li	passport	passport			acf.s087_li#1
s088	p	Golden Visa	Golden Visa			acf.s088_p#1
s089	p	Arish kết hợp bất động sản với các chương trình Golden Visa và sản phẩm định cư để phục vụ nhu cầu của nhà đầu tư quốc tế.	Arish pairs real estate with Golden Visa and residency programs for international investors.			acf.s089_p
s090	h3	Dự án tiêu biểu	Selected projects			acf.s090_h3
s091	p	Kastella Bay	Kastella Bay		trung:s002	acf.s091_p#1
s092	p	Sun House Comporta Country	Sun House Comporta Country			acf.s092_p#1
s093	p	South Beach Sagres	South Beach Sagres			acf.s093_p#1
s094	p	CDO’Q Lisbon	CDO’Q Lisbon			acf.s094_p#1
