id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada tỉnh bang Nova Scotia	Nova Scotia Entrepreneur Stream			post_title
s002	h1	ĐỊNH CƯ CANADA DIỆN DOANH NHÂN{br}TỈNH BANG {1}NOVA SCOTIA{/1}	Entrepreneur Immigration to Canada{br}The {1}Nova Scotia{/1} Entrepreneur Stream	86%: Entrepreneur Immigration to Canada{br}The {1}Ontario{/1} Entrepreneur Stream		acf.product_hero_title.product_hero_title_content#1
s003	h3	CHƯƠNG TRÌNH DOANH NHÂN NOVA SCOTIA LÀ GÌ?	What is the Nova Scotia Entrepreneur Stream?	85%: What is BC PNP Entrepreneur Immigration?		acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình dành cho chủ doanh nghiệp hoặc quản lý cấp cao muốn đầu tư, thành lập hoặc mua lại doanh nghiệp tại Nova Scotia.	The Nova Scotia Entrepreneur Stream is for business owners and senior managers who want to invest in, start, or acquire a business in the province.	92%: The stream was designed for business owners and senior managers who wanted to invest in, establish or acquire a business in the province of Ontario.		acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần trực tiếp vận hành doanh nghiệp tại tỉnh bang để đáp ứng điều kiện lên thường trú nhân Canada.	You must run the business in the province yourself to qualify for Canadian permanent residence.	94%: Investors had to run the Ontario business themselves to qualify for Canadian permanent residence.		acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 22 tuổi, còn độc thân, có thể đi cùng hồ sơ.	Your spouse and your unmarried children under 22 can be included in the same application.	86%: Your spouse and children under 22 can be included in the same application.		acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Mức đầu tư từ 100.000 CAD nếu kinh doanh ngoài Halifax, hoặc từ 150.000 CAD nếu kinh doanh trong Halifax.	An investment starting at C$100,000 (approximately US$71,000) for a business outside Halifax Regional Municipality (HRM), or C$150,000 (approximately US$107,000) for a business inside HRM.		#bo-qua-so: thêm số USD quy đổi từ C$100,000 và C$150,000 theo style guide mục 5	acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Nova Scotia có chi phí sinh hoạt và giá nhà hợp lý hơn nhiều tỉnh bang lớn, đồng thời có lợi thế giao thương nhờ vị trí ven biển Đại Tây Dương.	Nova Scotia has a lower cost of living and more affordable housing than many of Canada's larger provinces, and its position on the Atlantic coast is an advantage for trade.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI ĐỊNH CƯ NOVA SCOTIA	Benefits of immigrating to Nova Scotia			acf.product_benefits_title
s011	h3	Cả gia đình sang Nova Scotia	Your whole family moves to Nova Scotia			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Nhà đầu tư, vợ/chồng và con phụ thuộc được sinh sống, học tập và làm việc tại Nova Scotia trong giai đoạn Work Permit.	You, your spouse, and your dependent children can live, study, and work in Nova Scotia during the work permit stage.	93%: The investor, spouse and dependent children could live, study and work in Ontario for the duration of the work permit.		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Con học tại Canada	Your children study in Canada	100%: Your children study in Canada		acf.product_benefits_items[1].product_benefits_item_title
s014	li	Con cái được học trường công miễn phí đến hết THPT; khi có thường trú nhân, có thể học đại học theo mức học phí dành cho người bản xứ.	Children attend public school free of charge through the end of high school; once your family holds permanent residence, they can attend university at domestic tuition rates.	96%: Children attend public school free of charge through the end of high school; once your family holds permanent residence, they can attend university at domestic tuition rates.		acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Cơ hội trở thành thường trú nhân	A path to permanent residence	100%: A path to permanent residence		acf.product_benefits_items[2].product_benefits_item_title
s016	li	Sau khi hoàn thành cam kết với tỉnh bang, vận hành doanh nghiệp đủ điều kiện, gia đình có thể nộp hồ sơ xin thường trú nhân Canada.	Once you have met your commitments to the province and operated an eligible business, your family can apply for Canadian permanent residence.	87%: Once you have met your investment, business-operating and residency commitments to the province, your family can apply for Canadian permanent residence.		acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Lộ trình quốc tịch Canada	A route to Canadian citizenship	100%: A route to Canadian citizenship		acf.product_benefits_items[3].product_benefits_item_title
s018	li	Sau khi có PR và đáp ứng điều kiện cư trú, thuế, ngôn ngữ và lý lịch, gia đình có thể xét nộp hồ sơ nhập quốc tịch Canada.	After obtaining permanent residence and meeting the residency, tax, language and background requirements, your family can consider applying for Canadian citizenship.	100%: After obtaining permanent residence and meeting the residency, tax, language and background requirements, your family can consider applying for Canadian citizenship.		acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h2	ƯU ĐIỂM NỔI BẬT	Why investors choose this program	100%: Why investors choose this program		acf.product_advantages_title
s020	h3	Mức đầu tư từ 100.000 CAD	An investment starting at C$100,000	96%: An investment starting at C$150,000		acf.product_advantages_items[0].product_advantages_item_title
s021	li	Áp dụng khi mở mới hoặc mua lại doanh nghiệp ngoài khu vực Halifax.	This applies when you start a new business or acquire an existing one outside HRM.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s022	h3	Không yêu cầu lợi nhuận doanh nghiệp	No profitability requirement	86%: No business ownership requirement		acf.product_advantages_items[1].product_advantages_item_title
s023	li	Doanh nghiệp tại Canada không bắt buộc phải có lợi nhuận ngay, nhưng cần vận hành thực tế và đáp ứng cam kết với tỉnh bang.	Your Canadian business is not required to be profitable right away, but it must be genuinely operating and must meet the commitments you made to the province.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Chi phí sống hợp lý	Affordable cost of living	100%: Affordable cost of living		acf.product_advantages_items[2].product_advantages_item_title
s025	li	Nova Scotia có chi phí sinh hoạt và giá nhà dễ tiếp cận hơn nhiều tỉnh bang lớn tại Canada.	Nova Scotia has a lower cost of living and more affordable housing than many of Canada's larger provinces.	91%: New Brunswick has a lower cost of living and more affordable housing than many of Canada's larger provinces.		acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Môi trường sống phù hợp gia đình	A good environment for families			acf.product_advantages_items[3].product_advantages_item_title
s027	li	Tỉnh bang có hệ thống giáo dục, y tế và cộng đồng dân cư ổn định, phù hợp với kế hoạch định cư dài hạn.	The province has well-established schools, healthcare, and communities, all of which suit a long-term settlement plan.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h3	Lợi thế giao thương quốc tế	An advantage for international trade			acf.product_advantages_items[4].product_advantages_item_title
s029	li	Vị trí ven Đại Tây Dương giúp Nova Scotia kết nối thuận lợi với Hoa Kỳ, châu Âu và các thị trường quốc tế.	Its position on the Atlantic coast gives Nova Scotia strong trade links to the United States, Europe, and other international markets.			acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s030	h2	Điều kiện chương trình	Program requirements			acf.product_conditions_title
s031	h3	Yêu cầu tài sản	Net worth requirements			acf.product_conditions_items[0].product_conditions_item_title
s032	li	Tài sản tối thiểu 600.000 CAD nếu kinh doanh trong khu vực Halifax.	Has a personal net worth of at least C$600,000 (approximately US$428,000) if the business is in HRM.		#bo-qua-so: thêm số USD quy đổi từ C$600,000 theo style guide mục 5	acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s033	li	Tài sản tối thiểu 400.000 CAD nếu kinh doanh ngoài khu vực Halifax.	Has a personal net worth of at least C$400,000 (approximately US$285,000) if the business is outside HRM.		#bo-qua-so: thêm số USD quy đổi từ C$400,000 theo style guide mục 5	acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s034	h3	Yêu cầu đương đơn chính	Principal applicant requirements			acf.product_conditions_items[1].product_conditions_item_title
s035	li	Trong vòng 10 năm gần nhất, là chủ doanh nghiệp và điều hành doanh nghiệp trong tối thiểu 3 năm; hoặc là quản lý cấp cao trong tối thiểu 5 năm.	Has, within the past 10 years, owned and actively managed a business for at least 3 years, or held a senior management role for at least 5 years.			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s036	li	Thỏa điều kiện ngoại ngữ - CLB 5 của tiếng Anh hoặc tiếng Pháp (tương đương IELTS 5.0)	Meets the language requirement of Canadian Language Benchmark (CLB) 5 in English or French, roughly equivalent to an IELTS score of 5.0.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s037	h3	Yêu cầu đầu tư	Investment requirements	100%: Investment requirements		acf.product_conditions_items[2].product_conditions_item_title
s038	li	Đầu tư tối thiểu 150.000 CAD nếu kinh doanh trong khu vực Halifax.	Invests at least C$150,000 in a business in HRM.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s039	li	Đầu tư tối thiểu 100.000 CAD nếu kinh doanh ngoài khu vực Halifax.	Invests at least C$100,000 in a business outside HRM.			acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s040	li	Có kế hoạch kinh doanh khả thi, mang lại lợi ích kinh tế cho tỉnh bang.	Presents a viable business plan that delivers economic benefit to the province.	100%: Presents a viable business plan that delivers economic benefit to the province.		acf.product_conditions_items[2].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s041	li	Vận hành doanh nghiệp tối thiểu 12 tháng để đủ điều kiện nộp hồ sơ PR.	Operates the business for at least 12 months to qualify to apply for permanent residence.			acf.product_conditions_items[2].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s042	li	Nếu mở doanh nghiệp mới, tạo tối thiểu 1 việc làm toàn thời gian cho người dân Canada; nếu mua lại doanh nghiệp, cần duy trì việc làm hiện có.	Creates at least 1 full-time job for a Canadian citizen or permanent resident when starting a new business, or maintains the existing jobs when acquiring an established business.			acf.product_conditions_items[2].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s043	h2	QUY TRÌNH HỒ SƠ NOVA SCOTIA	The Nova Scotia application process			acf.product_process_title
s044	h3	Thẩm định và chuẩn bị hồ sơ	Assessment and case preparation	100%: Assessment and case preparation		acf.product_process_steps[0].product_process_step_title
s045	p	Đánh giá điều kiện đương đơn, tài sản, kinh nghiệm quản lý và khả năng phù hợp với chương trình.	We review your eligibility, net worth, management experience, and overall fit with the stream.	100%: The applicant's eligibility, net worth, management experience and fit with the stream were assessed.		acf.product_process_steps[0].product_process_step_desc
s046	h3	Khảo sát Nova Scotia	Exploratory visit to Nova Scotia			acf.product_process_steps[1].product_process_step_title
s047	p	Sang Nova Scotia khảo sát nếu mua lại doanh nghiệp có sẵn.	You travel to Nova Scotia for an exploratory visit if you are acquiring an existing business.			acf.product_process_steps[1].product_process_step_desc
s048	h3	Nộp EOI	Submit an Expression of Interest (EOI)	100%: Submit your registration (EOI)		acf.product_process_steps[2].product_process_step_title
s049	p	Nộp Thư bày tỏ nguyện vọng cho chính quyền tỉnh bang.	You submit your EOI to the Government of Nova Scotia.	96%: File an Expression of Interest with the Government of Prince Edward Island.		acf.product_process_steps[2].product_process_step_desc
s050	h3	Nhận ITA và nộp hồ sơ	Receive an Invitation to Apply (ITA) and submit your application	100%: Receive an Invitation to Apply (ITA) and submit your application		acf.product_process_steps[3].product_process_step_title
s051	p	Khi được mời nộp hồ sơ, nhà đầu tư hoàn tất hồ sơ chính thức.	Once you are invited to apply, you complete your formal application to the province.	89%: Once invited, the investor completed the formal application for the province.		acf.product_process_steps[3].product_process_step_desc
s052	h3	Phỏng vấn tỉnh bang	Provincial interview	100%: Provincial interview		acf.product_process_steps[4].product_process_step_title
s053	p	Tham dự phỏng vấn với chính quyền Nova Scotia, trực tiếp hoặc online theo yêu cầu.	You attend an interview with the Government of Nova Scotia, in person or online as requested.			acf.product_process_steps[4].product_process_step_desc
s054	h3	Ký Business Performance Agreement	Sign the Business Performance Agreement			acf.product_process_steps[5].product_process_step_title
s055	p	Sau khi được chấp thuận, ký thỏa thuận kinh doanh với tỉnh bang và nộp hồ sơ xin Work Permit.	When your application is approved, you sign the Business Performance Agreement with the province and apply for your work permit.			acf.product_process_steps[5].product_process_step_desc
s056	h3	Sang Canada đầu tư và vận hành doanh nghiệp	Move to Canada to invest and run your business	100%: Move to BC to invest and run your business		acf.product_process_steps[6].product_process_step_title
s057	p	Nhận Work Permit, sang Nova Scotia triển khai đầu tư và vận hành doanh nghiệp.	You receive your work permit, move to Nova Scotia, make the investment, and run your business.	85%: With the work permit issued, the investor moved to Ontario, made the investment and ran the business in person.		acf.product_process_steps[6].product_process_step_desc
s058	h3	Báo cáo kết quả kinh doanh	Report your business results			acf.product_process_steps[7].product_process_step_title
s059	p	Sau khi vận hành đủ điều kiện, nộp báo cáo cho tỉnh bang để xin đề cử.	Once you have operated the business as required, you submit your report to the province to apply for a nomination.			acf.product_process_steps[7].product_process_step_desc
s060	h3	Nộp hồ sơ thường trú nhân	Apply for permanent residence	100%: Apply for permanent residence		acf.product_process_steps[8].product_process_step_title
s061	p	Sau khi được đề cử, nộp hồ sơ xin PR lên chính quyền liên bang Canada.	Once you are nominated, you file your permanent residence application with Immigration, Refugees and Citizenship Canada (IRCC).			acf.product_process_steps[8].product_process_step_desc
s062	cta	Xem tất cả dự án	View all projects	100%: View all projects		acf.product_projects_cta_label
s063	h2	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in		acf.product_care_title
s064	h3	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in	trung:s063	acf.product_care_service_title
s065	p	Tìm hiểu các dịch vụ tư vấn từ IMM Group:	Explore IMM Group's advisory services:	100%: Explore IMM Group's advisory services:		acf.product_care_service_desc#1
s066	li	So sánh các chương trình đầu tư định cư Canada	Compare Canada's investment immigration programs	100%: Compare Canada's investment immigration programs		acf.product_care_service_links[0].product_care_service_link_title
s067	li	Đảo hoàng tử PEI	Prince Edward Island (PEI)	100%: Prince Edward Island (PEI)		acf.product_care_service_links[1].product_care_service_link_title
s068	li	Bang Ontario	Ontario	100%: Ontario		acf.product_care_service_links[2].product_care_service_link_title
s069	li	Bang British Columbia	British Columbia	100%: British Columbia		acf.product_care_service_links[3].product_care_service_link_title
s070	li	Bang New Brunswick	New Brunswick	100%: New Brunswick		acf.product_care_service_links[4].product_care_service_link_title
s071	li	Bang Saskatchewan	Saskatchewan	100%: Saskatchewan		acf.product_care_service_links[5].product_care_service_link_title
s072	li	Bang Manioba	Manitoba	100%: Manitoba		acf.product_care_service_links[6].product_care_service_link_title
s073	h3	Hiểu về Canada	Understanding Canada	100%: Understanding Canada		acf.product_care_topics_title
s074	p	Chuyên trang IMM Group tổng hợp các thông tin hữu ích với các chủ đề:	IMM Group's resource hub brings together practical information on the following topics:	100%: IMM Group's resource hub brings together practical information on the following topics:		acf.product_care_topics_desc#1
s075	li	Cuộc sống tại Canada	Living in Canada	100%: Living in Canada		acf.product_care_topics_links[0].product_care_topics_link_title
s076	li	Giáo dục tại Canada	Education in Canada	100%: Education in Canada		acf.product_care_topics_links[1].product_care_topics_link_title
s077	li	Văn hóa Canada	Canadian culture	100%: Canadian culture		acf.product_care_topics_links[2].product_care_topics_link_title
s078	li	Lao động / Kinh doanh tại Canada	Working and doing business in Canada	100%: Working and doing business in Canada		acf.product_care_topics_links[3].product_care_topics_link_title
s079	li	Trợ cấp, phúc lợi, an sinh xã hội Canada	Welfare, benefits and social insurance in Canada	100%: Welfare, benefits and social insurance in Canada		acf.product_care_topics_links[4].product_care_topics_link_title
s080	li	Du lịch Canada	Travel in Canada	100%: Travel in Canada		acf.product_care_topics_links[5].product_care_topics_link_title
s081	li	Y tế tại Canada	Healthcare in Canada	100%: Healthcare in Canada		acf.product_care_topics_links[6].product_care_topics_link_title
s082	li	Bất động sản Canada	Real estate in Canada	100%: Real estate in Canada		acf.product_care_topics_links[7].product_care_topics_link_title
s083	li	Những câu chuyện định cư Canada truyền cảm hứng	Inspiring Canadian immigration journeys	100%: Inspiring Canadian immigration journeys		acf.product_care_topics_links[8].product_care_topics_link_title
s084	h2	Câu hỏi thường gặp về Nova Scotia	Frequently asked questions about Nova Scotia			acf.product_faq_title
s085	h4	Work Permit có phải thường trú nhân không?	Is a work permit the same as permanent residence?	100%: Is a work permit the same as permanent residence?		acf.product_faq_items[0].product_faq_item_question
s086	p	Work Permit có phải thường trú nhân không	Is a work permit the same as permanent residence?	100%: Is a work permit the same as permanent residence?		acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_heading
s087	li	Không. Work Permit là quyền cư trú và làm việc tạm thời tại Canada. Nhà đầu tư cần hoàn thành cam kết đầu tư, vận hành doanh nghiệp và cư trú trước khi xin PR.	No. A work permit gives you temporary permission to live and work in Canada. You must complete your investment, business operating and residency commitments before you can apply for permanent residence.	100%: No. A work permit gives you temporary permission to live and work in Canada. You must complete your investment, business operating and residency commitments before you can apply for permanent residence.		acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s088	h4	Nhà đầu tư có cần tự vận hành doanh nghiệp không?	Do I have to run the business myself?	100%: Do I have to run the business myself?		acf.product_faq_items[1].product_faq_item_question
s089	p	Nhà đầu tư có cần tự vận hành doanh nghiệp không	Do I have to run the business myself?	100%: Do I have to run the business myself?		acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_heading
s090	li	Có. Nhà đầu tư phải trực tiếp tham gia quản lý và vận hành doanh nghiệp tại Nova Scotia. Đơn vị tư vấn có thể hỗ trợ kế hoạch kinh doanh, nhưng không thể vận hành thay.	Yes. You must be actively involved in managing and operating the business in Nova Scotia. An advisory firm can help with the business plan, but it cannot run the business on your behalf.	89%: Yes. The investor had to manage and operate the Ontario business in person. An advisory firm can help with the business plan, but it cannot run the business on the investor's behalf.		acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s091	h4	Có bắt buộc khảo sát Nova Scotia không?	Is an exploratory visit to Nova Scotia mandatory?			acf.product_faq_items[2].product_faq_item_question
s092	p	Có bắt buộc khảo sát Nova Scotia không	Is an exploratory visit to Nova Scotia mandatory?			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_heading
s093	li	Việc khảo sát được yêu cầu nếu nhà đầu tư mua lại doanh nghiệp có sẵn. Đây là bước quan trọng để thẩm định mô hình kinh doanh và chuẩn bị kế hoạch đầu tư.	An exploratory visit is required if you are acquiring an existing business. It is an important step in assessing the business model and preparing your investment plan.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s094	h4	Gia đình có phải sống tại Nova Scotia không?	Does my family have to live in Nova Scotia?	86%: Does my family have to live in BC?		acf.product_faq_items[3].product_faq_item_question
s095	p	Gia đình có phải sống tại Nova Scotia không	Does my family have to live in Nova Scotia?	85%: Does my family have to live in BC?		acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_heading
s096	li	Trước khi có PR, nhà đầu tư và gia đình cần gắn bó với tỉnh bang đã nộp hồ sơ và thực hiện đúng cam kết cư trú, kinh doanh.	Before you hold permanent residence, you and your family are expected to settle in the province you applied to and to honor your residence and business commitments.	100%: Before you hold permanent residence, you and your family are expected to settle in the province you applied to and to honor your residence and business commitments.		acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s097	h4	Sau khi có PR có được sống ở tỉnh bang khác không?	Can we live in another province once we have permanent residence?	100%: Can we live in another province once we have permanent residence?		acf.product_faq_items[4].product_faq_item_question
s098	p	Sau khi có PR có được sống ở tỉnh bang khác không	Can we live in another province once we have permanent residence?	100%: Can we live in another province once we have permanent residence?		acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_heading
s099	li	Khi đã có thường trú nhân Canada, gia đình có quyền sinh sống và làm việc tại bất kỳ tỉnh bang nào theo quyền của PR.	Once you hold Canadian permanent residence, you and your family are free to live and work in any province.	100%: Once you hold Canadian permanent residence, you and your family are free to live and work in any province.		acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s100	h4	Rủi ro chính của chương trình là gì?	What are the main risks of the program?	100%: What are the main risks of the program?		acf.product_faq_items[5].product_faq_item_question
s101	p	Rủi ro chính của chương trình là gì	What are the main risks of the program?	100%: What are the main risks of the program?		acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_heading
s102	li	Rủi ro thường nằm ở kế hoạch kinh doanh không khả thi, không vận hành đúng cam kết, không tạo hoặc duy trì việc làm theo yêu cầu, hoặc hồ sơ chứng minh tài chính chưa chặt chẽ.	Risk usually comes from a business plan that is not viable, a failure to operate the business as committed, a failure to create or maintain the required jobs, or weak documentation of your finances.	85%: Risk usually comes from a business plan that is not viable, failing to operate the business as committed, not creating enough jobs, or weak documentation of your finances and management experience.		acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s103	h4	Nova Scotia phù hợp với ai?	Who is Nova Scotia right for?			acf.product_faq_items[6].product_faq_item_question
s104	p	Nova Scotia phù hợp với ai	Who is Nova Scotia right for?			acf.product_faq_items[6].product_faq_item_sections[0].product_faq_item_section_heading
s105	li	Phù hợp với chủ doanh nghiệp hoặc quản lý cấp cao có kinh nghiệm, muốn trực tiếp vận hành doanh nghiệp tại Canada với mức đầu tư dễ tiếp cận hơn nhiều tỉnh bang lớn.	It suits experienced business owners and senior managers who want to run a business in Canada themselves, at an investment level that is more accessible than in many of Canada's larger provinces.			acf.product_faq_items[6].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
