id	loai	vi	en	tm	ghi_chu	src
s001	p	Thường trú nhân Hy Lạp | Dự án căn hộ dịch vụ	Greece Golden Visa real estate | Serviced apartment project		"#bo-qua-tn: ""Thường trú nhân Hy Lạp"" — thẻ Hy Lạp có thời hạn 5 năm, tên tiếng Anh đã chốt là Greece Golden Visa"	acf.s001_p
s002	h1	Etolikou 11	Etolikou 11			acf.s002_h1
s003	p	Căn hộ dịch vụ tại trung tâm cảng Piraeus – Lộ trình Golden Visa Hy Lạp	Serviced apartments in central Piraeus — a route to the Greece Golden Visa			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}paid{/2}Mức đầu tư tối thiểu{/1}**250.000 EUR**	{1}{2}paid{/2}Minimum investment{/1}**€250,000**			acf.s005_p#1
s006	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**			acf.s006_p#1
s007	p	{1}{2}apartment{/2}Loại hình{/1}**Căn hộ dịch vụ**	{1}{2}apartment{/2}Property type{/1}**Serviced apartments**			acf.s007_p#1
s008	cta	Etolikou 11	Etolikou 11		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery			acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections			acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities			acf.s012_cta#1
s013	cta	Nhà phát triển MIBS	Developer: MIBS			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình Golden Visa	The Golden Visa route			acf.s015_cta
s016	cta	Lợi thế Golden Visa	Golden Visa advantages			acf.s016_cta
s017	img	Video dự án căn hộ dịch vụ Etolikou 11	Etolikou 11 serviced apartment project video			acf.s017_cta#1@alt
s018	cta	{1}play_arrow{/1}{2}Video dự án Etolikou 11{/2}	{1}play_arrow{/1}{2}Etolikou 11 project video{/2}			acf.s017_cta#2
s019	h2	Vị trí trung tâm Piraeus -{br} {1}đầu mối giao thương trọng yếu{/1}	Central Piraeus —{br} {1}a major trade gateway{/1}			acf.s018_h2#1
s020	p	Trung tâm Piraeus {1}·{/1} Hy Lạp	Central Piraeus {1}·{/1} Greece			acf.s019_p#1
s021	cta	Google Maps	Google Maps			acf.s020_cta#1
