id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Úc diện doanh nhân 188A	Australia 188A Business Innovation Visa			post_title
s002	h1	VISA ÚC DIỆN DOANH NHÂN {1}188A{/1}	Australia {1}188A{/1} Business Innovation Visa			acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa 188A là gì?	What is the 188A visa?	87%: What is the L-1A visa?		acf.product_hero_content[0].product_hero_content_title
s004	li	Visa 188A là diện Doanh nhân đổi mới, dành cho nhà đầu tư có kinh nghiệm kinh doanh muốn mở mới, mua lại hoặc nhượng quyền doanh nghiệp tại Úc.	The 188A Business Innovation visa was the Business Innovation stream of Australia's Business Innovation and Investment Program, for experienced business owners establishing, acquiring, or franchising a business in Australia.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Mức đầu tư từ 300.000 AUD, tùy yêu cầu từng bang.	The investment requirement started at A$300,000 and varied with the requirements of each state or territory.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 23 tuổi có thể đi cùng hồ sơ.	A spouse or partner and children under 23 could be included in the same application.	98%: Your spouse and children under 22 can be included in the same application.		acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Visa 188A là visa tạm trú, có lộ trình lên thường trú 888A khi đáp ứng điều kiện kinh doanh và cư trú.	The 188A is a provisional visa with a pathway to the 888A permanent visa once the business and residence requirements are met.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Chương trình hiện đã đóng với hồ sơ mới từ 31/07/2024; nội dung này phù hợp để tham khảo cho hồ sơ đã nộp hoặc lộ trình 888A tiếp theo.	The program closed permanently to new applications on July 31, 2024. This page is a reference for applications already lodged and for the 888A stage that follows.		"#bo-qua-so: ngày 31/07/2024 viết theo lối Mỹ ""July 31, 2024"" nên bản Anh không còn số 7 đứng riêng"	acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI KHI THAM GIA VISA 188A	Benefits of the 188A visa			acf.product_benefits_title
s011	h3	Cả gia đình được cấp visa	Visas for the whole family			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Vợ/chồng và con dưới 23 tuổi được cấp visa đi cùng đương đơn.	A spouse or partner and children under 23 are granted visas alongside the main applicant.	87%: Your spouse and children under 21 receive green cards alongside you.		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Con học tại Úc	Schooling in Australia	85%: U.S. schooling for your children		acf.product_benefits_items[1].product_benefits_item_title
s014	li	Con được học trường công đến hết lớp 12; chính sách học phí tùy bang.	Children can attend public school through Year 12, with fee policies set by each state or territory.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Linh hoạt đi lại	Flexible travel			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Được tự do đi lại giữa Việt Nam và Úc trong thời hạn visa.	Visa holders can travel freely between Australia and their home country while the visa is valid.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Hướng tới thường trú 888A	A pathway to 888A permanent residence			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Có thể xin thường trú vĩnh viễn 888A khi đáp ứng điều kiện kinh doanh và cư trú.	Holders can apply for the 888A permanent visa once the business and residence requirements are met.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h2	ƯU ĐIỂM VISA 188A	Advantages of the 188A visa	88%: Advantages of the L-1A visa		acf.product_advantages_title
s020	h3	Tự sở hữu và điều hành doanh nghiệp	Ownership and hands-on management			acf.product_advantages_items[0].product_advantages_item_title
s021	li	Nhà đầu tư trực tiếp vận hành doanh nghiệp tại Úc.	The investor runs the Australian business directly.	85%: Hands-on, day-to-day management of the business in BC.		acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
