id	loai	vi	en	tm	ghi_chu	src
s001	h1	GIỚI THIỆU TẬP ĐOÀN	About IMM Group			
s002	p	Được thành lập từ tháng 01/2005, IMM Group là tập đoàn Việt Nam tiên phong trong lĩnh vực tư vấn đầu tư lấy quyền thường trú và quốc tịch tại các quốc gia:	Founded in January 2005, IMM Group is a Vietnamese pioneer in investment advisory for permanent residence and citizenship in the following countries:		#viet-nam-hop-le	
s003	li	[🇺🇸 Mỹ](https://immgroup.com/dau-tu-dinh-cu-my/visa-dinh-cu-my-eb5/)	[🇺🇸 United States](https://immgroup.com/en/dau-tu-dinh-cu-my/visa-dinh-cu-my-eb5/)			
s004	li	[🇵🇹 Bồ Đào Nha](https://immgroup.com/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-bo-dao-nha/)	[🇵🇹 Portugal](https://immgroup.com/en/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-bo-dao-nha/)			
s005	li	[🇲🇹 Malta](https://immgroup.com/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-malta/)	[🇲🇹 Malta](https://immgroup.com/en/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-malta/)			
s006	li	[🇬🇷 Hy Lạp](https://immgroup.com/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-hy-lap/)	[🇬🇷 Greece](https://immgroup.com/en/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-hy-lap/)			
s007	li	[🇨🇾 Cộng hòa Síp](https://immgroup.com/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-cong-hoa-sip-cyprus/)	[🇨🇾 Republic of Cyprus](https://immgroup.com/en/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-cong-hoa-sip-cyprus/)			
s008	li	[🇬🇩 Grenada](https://immgroup.com/cac-nuoc-vung-caribbean/quoc-tich-grenada/)	[🇬🇩 Grenada](https://immgroup.com/en/cac-nuoc-vung-caribbean/quoc-tich-grenada/)			
s009	li	[🇩🇲 Dominica](https://immgroup.com/cac-nuoc-vung-caribbean/quoc-tich-dominica/)	[🇩🇲 Dominica](https://immgroup.com/en/cac-nuoc-vung-caribbean/quoc-tich-dominica/)			
s010	li	[🇰🇳 Saint Kitts & Nevis](https://immgroup.com/cac-nuoc-vung-caribbean/quoc-tich-st-kitts-and-nevis/)	[🇰🇳 Saint Kitts & Nevis](https://immgroup.com/en/cac-nuoc-vung-caribbean/quoc-tich-st-kitts-and-nevis/)			
s011	li	[🇹🇷 Thổ Nhĩ Kỳ](https://immgroup.com/quoc-tich-tho-nhi-ky-turkey/)	[🇹🇷 Turkey](https://immgroup.com/en/quoc-tich-tho-nhi-ky-turkey/)			
s012	li	[🇮🇪 Ireland](https://immgroup.com/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-ireland/)	[🇮🇪 Ireland](https://immgroup.com/en/quoc-tich-va-thuong-tru-nhan-chau-au/thuong-tru-nhan-ireland/)			
s013	li	[🇨🇦 Canada](https://immgroup.com/dau-tu-dinh-cu-canada/)	[🇨🇦 Canada](https://immgroup.com/en/dau-tu-dinh-cu-canada/)			
s014	li	[🇳🇿 New Zealand](https://immgroup.com/dau-tu-dinh-cu-new-zealand/)	[🇳🇿 New Zealand](https://immgroup.com/en/dau-tu-dinh-cu-new-zealand/)			
s015	li	[🇦🇺 Úc](https://immgroup.com/dau-tu-dinh-cu-uc/)	[🇦🇺 Australia](https://immgroup.com/en/dau-tu-dinh-cu-uc/)			
s016	p	Tải về thông tin IMM Group	Download the IMM Group profile			
s017	p	Serving with Authentic Values	Serving with Authentic Values			
s018	p	“Phục vụ bằng giá trị chân chính”	[BO]		#bo: câu tiếng Việt của khẩu hiệu, lặp đúng nghĩa khẩu hiệu tiếng Anh ở s017	
s019	p	Với định hướng kinh doanh: **“Phục vụ bằng những giá trị chân chính” (Serving with Authentic Values)**, IMM Group hiểu rõ trách nhiệm trong việc đảm bảo giá trị chính trực, tích cực và tận tâm trong mọi hoạt động của công ty. Quy trình tư vấn của chúng tôi bao gồm nhiều lớp thẩm định mức độ phù hợp, khả năng thành công hồ sơ của nhà đầu tư trước khi ký hợp đồng với IMM Group. Lời khuyên của chúng tôi luôn theo hướng kỹ lưỡng, cẩn trọng nhất để đảm bảo cơ hội thành công cho khách hàng. Chúng tôi cũng xây dựng mối quan hệ vững chắc với các công ty luật dày dạn kinh nghiệm, các đơn vị phát triển dự án uy tín và các chuyên gia hàng đầu thế giới trong lĩnh vực di trú. Chúng tôi đặt lợi ích khách hàng lên trên hết. IMM Group giúp các chương trình định cư được tư vấn, trình bày đến nhà đầu tư Việt Nam một cách minh bạch, tuân thủ nghiêm ngặt quy định, mục đích đề ra của Chính phủ các nước.	"Guided by our principle, **""Serving with Authentic Values""**, IMM Group recognizes its responsibility to uphold integrity, a positive outlook, and genuine dedication in everything the company does. Our advisory process includes multiple layers of assessment of each investor's suitability and likelihood of a successful application before any contract is signed with IMM Group. Our advice is always thorough and prudent, so that clients have the best possible chance of success. We have also built strong relationships with experienced law firms, reputable project developers, and leading immigration specialists worldwide. We put our clients' interests first. IMM Group presents residence and citizenship programs to investors transparently, in strict compliance with the rules and stated objectives of each country's government."		"#viet-nam: ""nhà đầu tư Việt Nam"" viết chung thành investors theo brief"	
s020	h2	Sứ mệnh & Triết lý kinh doanh	Mission and business philosophy			
s021	h3	SỨ MỆNH	Our mission			
s022	p	IMM Group tập trung vào yếu tố bền vững trong việc phát triển doanh nghiệp, nâng cao chất lượng và giá trị nguồn nhân lực, đồng thời đóng góp thiết thực cho lợi ích cộng đồng. Chúng tôi đặt ra ba mục đích cho sự tồn tại của mình:	IMM Group focuses on building a sustainable business, developing the quality and value of its people, and making a practical contribution to the community. We have defined 3 purposes that guide our work:			
s023	p	01	01			
s024	h3	Luôn là công ty tư vấn đầu tư định cư đáng tin cậy nhất	To remain the most trusted investment migration advisory firm in Vietnam			
s025	p	Thành lập từ tháng 1/2005, IMM Group là doanh nghiệp tiên phong với bề dày lịch sử nhiều năm nhất trong lĩnh vực tư vấn đầu tư lấy quyền thường trú và quốc tịch nước ngoài. Mục đích hàng đầu của chúng tôi là trở thành công ty tư vấn đầu tư định cư đáng tin cậy nhất ở Việt Nam.	Founded in January 2005, IMM Group is a pioneer with the longest track record in Vietnam in advising on investment-based permanent residence and citizenship abroad. Our foremost purpose is to be the country's most trusted investment migration advisory firm.		#viet-nam-hop-le	
