id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada Tỉnh bang British Columbia (BC)	BC PNP Entrepreneur Immigration – British Columbia, Canada			post_title
s002	h1	ĐỊNH CƯ CANADA DIỆN DOANH NHÂN{br}TỈNH BANG {1}BRITISH COLUMBIA{/1} (BC)	BC PNP Entrepreneur Immigration{br}{1}British Columbia{/1}, Canada			acf.product_hero_title.product_hero_title_content#1
s003	h3	CHƯƠNG TRÌNH DOANH NHÂN BC LÀ GÌ?	What is BC PNP Entrepreneur Immigration?			acf.product_hero_content[0].product_hero_content_title
s004	li	Lộ trình định cư Canada dành cho chủ doanh nghiệp hoặc quản lý cấp cao muốn đầu tư, thành lập hoặc mua lại doanh nghiệp tại British Columbia.	BC PNP Entrepreneur Immigration is the Canadian immigration route, run under the British Columbia Provincial Nominee Program (PNP), for business owners and senior managers who want to invest in, start or acquire a business in British Columbia.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần trực tiếp vận hành doanh nghiệp tại BC để đáp ứng điều kiện xin đề cử tỉnh bang và tiến tới thường trú nhân Canada.	You must operate the business in British Columbia yourself to qualify for a provincial nomination and move toward Canadian permanent residence.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ.	Your spouse and children under 22 can be included in the same application.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Mức đầu tư tối thiểu từ 200.000 CAD.	The minimum investment is C$200,000.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	British Columbia có khí hậu ấm áp hơn nhiều khu vực khác tại Canada, vị trí thuận lợi để giao thương với Mỹ và cộng đồng người Việt đông đảo.	British Columbia offers a milder climate than most of Canada, a location well suited to trade with the U.S., and large, well-established immigrant communities.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI ĐỊNH CƯ BRITISH COLUMBIA	Benefits of immigrating to British Columbia			acf.product_benefits_title
s011	h3	Cả gia đình sang BC	Your whole family moves to BC	89%: Your whole family moves to the U.S.		acf.product_benefits_items[0].product_benefits_item_title
s012	li	Nhà đầu tư, vợ/chồng và con phụ thuộc được sinh sống, học tập và làm việc tại British Columbia trong giai đoạn Work Permit.	You, your spouse and your dependent children can live, study and work in British Columbia while you hold your work permit.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Con học tại Canada	Your children study in Canada			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Con cái được học trường công miễn phí đến hết THPT; khi gia đình có thường trú nhân, có thể học đại học theo mức học phí dành cho người bản xứ.	Children attend public school free of charge through the end of high school; once your family holds permanent residence, they can attend university at domestic tuition rates.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Cơ hội trở thành thường trú nhân	A path to permanent residence			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Sau khi hoàn thành cam kết đầu tư, vận hành doanh nghiệp và đáp ứng điều kiện tỉnh bang, gia đình có thể nộp hồ sơ xin thường trú nhân Canada.	Once you have met your investment, business-operating and residency commitments to the province, your family can apply for Canadian permanent residence.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Lộ trình quốc tịch Canada	A route to Canadian citizenship			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Sau khi có PR và đáp ứng điều kiện cư trú, thuế, ngôn ngữ và lý lịch, gia đình có thể xét nộp hồ sơ nhập quốc tịch Canada.	After obtaining permanent residence and meeting the residency, tax, language and background requirements, your family can consider applying for Canadian citizenship.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h2	ƯU ĐIỂM NỔI BẬT	Why investors choose this program	100%: Why investors choose this program		acf.product_advantages_title
s020	h3	Tỉnh bang phát triển mạnh	A strong provincial economy			acf.product_advantages_items[0].product_advantages_item_title
