id	loai	vi	en	tm	ghi_chu	src
s001	p	Thường trú nhân Cộng Hòa Síp | Dự án căn hộ cao cấp	Cyprus real estate | Premium apartment project	87%: Cyprus permanent residence | Premium villa community		acf.s001_p
s002	h1	Pafilia Plaza	Pafilia Plaza	100%: Pafilia Plaza		acf.s002_h1
s003	p	Căn hộ phức hợp 5 sao tại Paphos – Lộ trình thường trú nhân Cộng Hòa Síp	A 5-star mixed-use apartment building in Paphos — a route to permanent residence in Cyprus			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}euro_symbol{/2}Mức đầu tư tối thiểu{/1}**378.000 EUR**	{1}{2}euro_symbol{/2}Minimum investment{/1}**€378,000**			acf.s005_p#1
s006	p	{1}{2}apartment{/2}Quy mô dự án{/1}**82 căn hộ**	{1}{2}apartment{/2}Project size{/1}**82 apartments**			acf.s006_p#1
s007	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**	100%: {1}{2}check_circle{/2}Status{/1}**Units available**		acf.s007_p#1
s008	cta	Pafilia Plaza	Pafilia Plaza	100%: Pafilia Plaza	trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Pafilia	Developer Pafilia	100%: Developer Pafilia		acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Quyền lợi thường trú	Permanent residence benefits			acf.s015_cta
s016	img	Video dự án căn hộ phức hợp 5 sao Pafilia Plaza	Pafilia Plaza 5-star mixed-use apartment project video			acf.s016_cta#1@alt
s017	cta	{1}play_arrow{/1}{2}Video giới thiệu Pafilia Plaza{/2}	{1}play_arrow{/1}{2}Pafilia Plaza project video{/2}			acf.s016_cta#2
s018	h2	Vị trí trung tâm &{br} {1}kết nối thuận tiện{/1}	A central location &{br} {1}easy connections{/1}			acf.s017_h2#1
s019	p	Trung tâm Paphos {1}·{/1} Cộng Hòa Síp	Central Paphos {1}·{/1} Cyprus	95%: Central Paphos, Cyprus		acf.s018_p#1
s020	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s021	p	Vị trí dự án	Project location	100%: Project location		acf.s020_p
s022	h3	Tâm điểm kết nối tại Paphos	A connection point in Paphos			acf.s021_h3
s023	h4	Trung tâm Paphos	Central Paphos	100%: Central Paphos		acf.s022_h4
s024	p	Nằm ngay trung tâm Paphos, thành phố thuộc danh sách Di sản Thế giới của UNESCO.	Right in the center of Paphos, a city on the UNESCO World Heritage list.			acf.s023_p
s025	h4	Kato Paphos	Kato Paphos			acf.s024_h4
s026	p	Gần Công viên khảo cổ Kato Paphos và các địa điểm tham quan nổi bật của thành phố.	Close to the Kato Paphos Archaeological Park and the city's main sights.			acf.s025_p
s027	h4	Tiện ích thiết yếu	Everyday amenities	100%: Everyday amenities		acf.s026_h4
s028	p	Chỉ mất khoảng 5-10 phút lái xe đến các tiện ích thiết yếu như khu mua sắm, nhà hàng, bệnh viện và trường học.	About a 5–10 minute drive to everyday amenities such as shopping, restaurants, hospitals, and schools.			acf.s027_p
s029	h4	Kết nối sân bay	Airport connections			acf.s028_h4
s030	p	Cách sân bay Paphos khoảng 12 phút lái xe và cách Limassol khoảng 40 phút lái xe.	About a 12-minute drive to Paphos airport and about 40 minutes to Limassol.			acf.s029_p
s031	h2	Pafilia Plaza &{br} {1}lộ trình thường trú nhân Síp{/1}	Pafilia Plaza &{br} {1}the Cyprus permanent residence route{/1}			acf.s030_h2#1
s032	p	Tọa lạc ngay trung tâm Paphos, cố đô của Cộng Hòa Síp và là thành phố được UNESCO công nhận Di sản thế giới.	Right in the center of Paphos, the former capital of Cyprus and a UNESCO World Heritage city.			acf.s031_p
s033	p	Tòa phức hợp 8 tầng, gồm khu thương mại tầng trệt và 82 căn hộ cao cấp phía trên.	An 8-story mixed-use building, with retail on the ground floor and 82 premium apartments above.			acf.s032_p
s034	p	Các loại căn hộ gồm studio, căn 1-2 phòng ngủ và penthouse 3 phòng ngủ.	The unit mix runs from studios and 1- and 2-bedroom apartments to 3-bedroom penthouses.			acf.s033_p
s035	p	Mức đầu tư bất động sản đủ điều kiện xét thường trú nhân Síp từ 300.000 EUR, chưa gồm VAT và các chi phí liên quan.	The property investment that qualifies for Cyprus permanent residence starts at €300,000, before VAT and related costs.	85%: The project starts at €633,000; the property threshold that qualifies for Cyprus permanent residence starts at €300,000, before VAT and related costs.		acf.s034_p
s036	p	Nhà đầu tư và gia đình có thể nộp hồ sơ xin thường trú nhân vĩnh viễn Cộng Hòa Síp khi đáp ứng điều kiện chương trình.	You and your family can apply for permanent residence in Cyprus once you meet the program conditions.	96%: You and your family can apply for permanent residence in Cyprus once you meet the program conditions.		acf.s035_p
s037	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s004	acf.s036_cta
s038	h3	Thông tin dự án	Project information	100%: Project information		acf.s037_h3
s039	p	Vị trí	Location	100%: Location		acf.s038_p
s040	p	Trung tâm Paphos, Cộng Hòa Síp	Central Paphos, Cyprus	100%: Central Paphos, Cyprus		acf.s039_p
s041	p	Loại hình	Property type	100%: Property type		acf.s040_p
s042	p	Căn hộ phức hợp 5 sao	A 5-star mixed-use apartment building			acf.s041_p
s043	p	Quy mô	Scale	100%: Scale		acf.s042_p
s044	p	8 tầng, 82 căn hộ	8 stories, 82 apartments			acf.s043_p
s045	p	Loại căn	Unit types	100%: Unit types		acf.s044_p
s046	p	Studio, căn 1-2 phòng ngủ, penthouse 3 phòng ngủ	Studios, 1- and 2-bedroom apartments, 3-bedroom penthouses			acf.s045_p
s047	p	Mức đầu tư	Investment	100%: Investment		acf.s046_p
s048	p	Từ 378.000 EUR	From €378,000	92%: From €375,000		acf.s047_p
s049	p	Nhà phát triển	Developer	100%: Developer		acf.s048_p
s050	p	Pafilia	Pafilia	100%: Pafilia		acf.s049_p
s051	h2	Thiết kế & tiện ích {1}đẳng cấp 5 sao{/1}	Design & amenities to a {1}5-star standard{/1}			acf.s050_h2#1
s052	p	architecture	architecture	100%: architecture		acf.s051_p#1
s053	p	Phong cách	Style	100%: Style		acf.s052_p
s054	p	Kiến trúc đương đại	Contemporary architecture			acf.s053_p
s055	p	landscape	landscape	100%: landscape		acf.s054_p#1
s056	p	Tầm nhìn	Views	100%: Views		acf.s055_p
s057	p	Hướng biển và thành phố Paphos	Sea and city views over Paphos			acf.s056_p
s058	p	open_in_full	open_in_full	100%: open_in_full		acf.s057_p#1
s059	p	Không gian sống	Living space	100%: Living space		acf.s058_p
s060	p	Hiện đại, thoáng mở và tiện nghi	Modern, open, and well equipped			acf.s059_p
s061	p	hotel_class	hotel_class	100%: hotel_class		acf.s060_p#1
s062	p	Tiêu chuẩn tiện ích	Amenity standard	100%: Amenity standard		acf.s061_p
s063	p	Phức hợp 5 sao	A 5-star mixed-use building			acf.s062_p
s064	p	check_circle	check_circle	100%: check_circle		acf.s063_p#1
s065	p	Tình trạng	Status	100%: Status		acf.s064_p
s066	p	Còn suất	Units available	100%: Units available		acf.s065_p
s067	h3	Tiện ích nội khu	On-site amenities	100%: On-site amenities		acf.s066_h3
s068	li	{1}pool{/1}**Bể bơi chung**	{1}pool{/1}**Communal pool**			acf.s067_li#1
s069	li	{1}fitness_center{/1}**Phòng gym**	{1}fitness_center{/1}**Gym**	87%: {1}fitness_center{/1}**Gym**		acf.s068_li#1
s070	li	{1}local_cafe{/1}**Quán cà phê**	{1}local_cafe{/1}**Cafe**			acf.s069_li#1
s071	li	{1}storefront{/1}**Cửa hàng boutique**	{1}storefront{/1}**Boutique shops**			acf.s070_li#1
