id	loai	vi	en	tm	ghi_chu	src
s001	p	Mở Đầu	Introduction	100%: Introduction		acf.s001_p
s002	p	Mở Đầu	Introduction	100%: Introduction	trung:s001	acf.s002_p
s003	p	IMM GROUP · EST. 2005	IMM Group · est. 2005	100%: IMM Group · est. 2005		acf.s003_p
s004	h1	Quốc Tịch Caribbean	Caribbean Citizenship by Investment			acf.s004_h1
s005	p	Quốc tịch thứ 2 - Đầu tư từ 200.000 USD - Tự do đi lại đến 157 quốc gia	A second citizenship · from US$200,000 · visa-free travel to 157 countries		"#bo-qua-so: nguồn viết ""thứ 2""; bản Anh dùng ""a second citizenship"" đúng cách nói bản xứ"	acf.s005_p
s006	p	CUỘN XUỐNG	Scroll down	100%: Scroll down		acf.s006_p
s007	p	Chương Trình	Program	100%: Program		acf.s007_p
s008	p	Tổng quan	Overview	100%: Overview		acf.s008_p
s009	h2	Các chương trình{br}quốc tịch Caribbean	Caribbean citizenship{br}programs			acf.s009_h2#1
s010	p	4 chương trình cho nhà đầu tư & gia đình. Có thể chia thành 2 nhóm: đầu tư lấy quốc tịch trực tiếp (Dominica, St. Kitts & Nevis, Grenada) và diện thường trú (Curacao - cửa ngõ vào Hà Lan).	Four Caribbean citizenship by investment programs for you and your family, in two groups: direct citizenship (Dominica, St. Kitts & Nevis, Grenada) and residency (Curacao — the gateway to the Netherlands).			acf.s010_p#1
s011	p	Nhóm A	Group A	100%: Group A		acf.s011_p
s012	p	A	A			acf.s012_p
s013	p	{1}A{/1} Đầu tư lấy quốc tịch	{1}A{/1} Citizenship by investment			acf.s013_p#1
s014	h2	Đầu tư lấy quốc tịch Caribbean{br}{1}(Dominica, St. Kitts & Nevis, Grenada){/1}	Caribbean citizenship by investment{br}{1}(Dominica, St. Kitts & Nevis, Grenada){/1}			acf.s014_h2#1
s015	p	Đầu tư (quyên góp Quỹ Chính phủ hoặc bất động sản được phê duyệt) để nhận thẳng quốc tịch & hộ chiếu cho cả gia đình - không yêu cầu cư trú.	You invest — a government fund contribution or approved real estate — and the whole family receives citizenship and passports directly, with no residence requirement.			acf.s015_p#1
s016	p	Dominica	Dominica			acf.s016_p
s017	p	TỪ 200.000 USD	FROM US$200,000			acf.s017_p
s018	p	St. Kitts & Nevis	St. Kitts & Nevis			acf.s018_p#1
s019	p	TỪ 250.000 USD	FROM US$250,000			acf.s019_p
s020	p	Grenada	Grenada			acf.s020_p
s021	p	TỪ 235.000 USD	FROM US$235,000			acf.s021_p
s022	p	Dominica	Dominica		trung:s016	acf.s022_p
s023	p	01	01			acf.s023_p
s024	p	{1}01{/1} Nhóm A · Lựa chọn 01	{1}01{/1} Group A · Option 01	100%: {1}01{/1} Group A · Option 01		acf.s024_p#1
s025	p	Quốc tịch Dominica	Dominica Citizenship by Investment	100%: Dominica Citizenship by Investment		acf.s025_p
s026	p	Mức đầu tư	Investment	100%: Investment		acf.s026_p
s027	p	Từ 200.000 USD	From US$200,000		trung:s017	acf.s027_p
s028	p	(~5,3 tỷ)	minimum		"#bo-qua-so: bỏ ""(~5,3 tỷ)"" — chỉ nhắc lại số USD"	acf.s028_p
s029	p	Mục đích	Purpose	100%: Purpose		acf.s029_p
s030	p	Quốc tịch + miễn visa	Citizenship + visa-free			acf.s030_p
s031	p	144 quốc gia	144 countries			acf.s031_p
s032	p	Xét duyệt	Processing	100%: Processing		acf.s032_p
s033	p	8 – 10	8 – 10			acf.s033_p
s034	p	tháng	months	100%: months		acf.s034_p
s035	p	Hình thức đầu tư (chọn 1)	Investment routes (choose 1)			acf.s035_p
s036	li	Quyên góp 250.000 USD (gia đình 4 người) HOẶC 200.000 USD (đi một mình)	A US$250,000 contribution for a family of 4, or US$200,000 for a single applicant			acf.s036_li
s037	li	Đầu tư BĐS tối thiểu 200.000 USD, duy trì 3 năm (dự án tiêu biểu: Secret Bay - resort 6 sao top 1 Caribbean, top 10 thế giới)	Real estate from US$200,000, held for 3 years (example project: Secret Bay — a 6-star resort ranked first in the Caribbean and among the world's top 10)		"#bo-qua-so: nguồn viết ""chọn 1""/""tối thiểu""; bản Anh dùng ""from"" theo cách viết mức đầu tư"	acf.s037_li
s038	p	Thành viên đi kèm (3 thế hệ)	Family members (3 generations)			acf.s038_p
s039	li	Vợ/chồng	Your spouse	100%: Your spouse		acf.s039_li
s040	li	Con KHÔNG giới hạn tuổi (>28 phải độc thân, phụ thuộc)	Children of any age (those over 28 must be unmarried and financially dependent)			acf.s040_li#1
s041	li	Cha mẹ >65 tuổi; ông bà của cả 2 vợ chồng	Parents over 65; grandparents on both sides		"#bo-qua-so: nguồn viết ""cả 2 vợ chồng""; bản Anh dùng ""on both sides"" đúng cách nói bản xứ"	acf.s041_li#1
s042	p	Quyền lợi & ưu điểm nổi bật	Benefits and highlights			acf.s042_p#1
s043	p	Miễn visa 143 quốc gia (gồm Schengen, châu Âu)	Visa-free access to 143 countries, including the Schengen Area and Europe			acf.s043_p
s044	p	Không đánh thuế thu nhập toàn cầu, BĐS, thừa kế	No tax on worldwide income, property, or inheritance			acf.s044_p
s045	p	Không yêu cầu cư trú, bằng cấp, ngoại ngữ	No residence, education, or language requirements			acf.s045_p
s046	p	Quốc tịch thứ 2 tốt nhất 4 năm liền (2017-2020) - Financial Times	Rated the best second citizenship 4 years running, 2017–2020 — CBI Index (Financial Times)		"#bo-qua-so: nguồn viết ""quốc tịch thứ 2""; bản Anh dùng ""second citizenship"""	acf.s046_p
s047	p	**HOÀN VỐN NHANH NHẤT:** sau 3 năm (so với 5-7 năm của chương trình khác)	**Fastest capital recovery:** after 3 years, against 5–7 years for other programs			acf.s047_p#1
s048	p	Cho phép đa quốc tịch	Dual citizenship allowed	100%: Dual citizenship allowed		acf.s048_p
s049	p	Hạn chế cần lưu ý	Points to consider	100%: Points to consider		acf.s049_p
s050	p	KHÔNG xin được visa E-2 sang Mỹ	No route to the US E-2 visa			acf.s050_p
s051	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s051_cta
s052	cta	XEM CHI TIẾT	View details	100%: View details		acf.s052_cta
s053	p	St. Kitts & Nevis	St. Kitts & Nevis		trung:s018	acf.s053_p
s054	p	02	02			acf.s054_p
s055	p	{1}02{/1} Nhóm A · Lựa chọn 02	{1}02{/1} Group A · Option 02	100%: {1}02{/1} Group A · Option 02		acf.s055_p#1
s056	p	Quốc tịch St. Kitts & Nevis	St. Kitts and Nevis Citizenship by Investment	92%: St. Kitts and Nevis Citizenship by Investment		acf.s056_p#1
s057	p	Mức đầu tư	Investment	100%: Investment	trung:s026	acf.s057_p
s058	p	Từ 250.000 USD	From US$250,000		trung:s019	acf.s058_p
s059	p	(~6,6 tỷ) · gia đình 4 người	family of 4		"#bo-qua-so: bỏ ""(~6,6 tỷ)"" — chỉ nhắc lại số USD"	acf.s059_p
s060	p	Mục đích	Purpose	100%: Purpose	trung:s029	acf.s060_p
s061	p	Quốc tịch + miễn visa	Citizenship + visa-free		trung:s030	acf.s061_p
s062	p	155 quốc gia & vùng lãnh thổ	155 countries and territories			acf.s062_p#1
s063	p	Xét duyệt	Processing	100%: Processing	trung:s032	acf.s063_p
s064	p	10 – 12	10 – 12			acf.s064_p
s065	p	tháng	months	100%: months	trung:s034	acf.s065_p
s066	p	Miễn visa 155 quốc gia & vùng lãnh thổ	Visa-free access to 155 countries and territories			acf.s066_p#1
s067	p	Gồm: Schengen, châu Âu, Anh, Hàn Quốc, Hồng Kông…	Including the Schengen Area, Europe, the UK, South Korea, and Hong Kong			acf.s067_p
s068	p	Hình thức đầu tư (chọn 1)	Investment routes (choose 1)		trung:s035	acf.s068_p
s069	li	Quyên góp 250.000 USD cho gia đình 4 người (không hoàn lại)	A US$250,000 contribution for a family of 4, non-refundable			acf.s069_li
s070	li	Đầu tư BĐS tối thiểu 325.000 USD, duy trì 7 năm (dự án tiêu biểu: Park Hyatt St. Kitts - khách sạn 5 sao, hoạt động từ 2017)	Real estate from US$325,000, held for 7 years (example project: Park Hyatt St. Kitts — a 5-star hotel open since 2017)			acf.s070_li
s071	p	Thành viên đi kèm (3 thế hệ)	Family members (3 generations)		trung:s038	acf.s071_p
s072	li	Vợ/chồng	Your spouse	100%: Your spouse	trung:s039	acf.s072_li
s073	li	Con dưới 30 tuổi chưa kết hôn, phụ thuộc tài chính	Children under 30 who are unmarried and financially dependent	95%: Children under 30 who are unmarried and financially dependent		acf.s073_li
s074	li	Cha mẹ & ông bà >55 tuổi (của cả 2 vợ chồng)	Parents and grandparents over 55, on both sides		"#bo-qua-so: nguồn viết ""cả 2 vợ chồng""; bản Anh dùng ""on both sides"""	acf.s074_li#1
s075	p	Quyền lợi & ưu điểm nổi bật	Benefits and highlights		trung:s042	acf.s075_p#1
s076	p	**Hộ chiếu quyền lực nhất Caribbean** - top 19 thế giới (2026)	**The highest-ranked passport in the Caribbean** — 19th worldwide in 2026			acf.s076_p#1
s077	p	Miễn visa 155 quốc gia (Schengen, Anh, Hàn Quốc, Hồng Kông…)	Visa-free access to 155 countries (Schengen, the UK, South Korea, Hong Kong…)			acf.s077_p
s078	p	Dễ dàng xin visa Mỹ	May help when applying for a US visa			acf.s078_p
s079	p	Không đánh thuế thu nhập toàn cầu, BĐS, thừa kế	No tax on worldwide income, property, or inheritance		trung:s044	acf.s079_p
s080	p	Luật bảo vệ quyền riêng tư tài khoản ngân hàng nghiêm ngặt	Strict bank confidentiality laws			acf.s080_p
s081	p	Không yêu cầu cư trú để duy trì quốc tịch; cho phép đa quốc tịch	No residence requirement to keep citizenship; dual citizenship allowed			acf.s081_p
s082	p	Hạn chế cần lưu ý	Points to consider	100%: Points to consider	trung:s049	acf.s082_p
s083	p	KHÔNG xin được visa E-2 sang Mỹ	No route to the US E-2 visa		trung:s050	acf.s083_p
s084	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation	trung:s051	acf.s084_cta
s085	cta	XEM CHI TIẾT	View details	100%: View details	trung:s052	acf.s085_cta
s086	p	Grenada	Grenada		trung:s020	acf.s086_p
s087	p	03	03			acf.s087_p
s088	p	{1}03{/1} Nhóm A · Lựa chọn 03	{1}03{/1} Group A · Option 03	95%: {1}03{/1} Group B · Option 03		acf.s088_p#1
s089	p	Quốc tịch Grenada	Grenada Citizenship by Investment	100%: Grenada Citizenship by Investment		acf.s089_p
s090	p	Mức đầu tư	Investment	100%: Investment	trung:s026	acf.s090_p
s091	p	Từ 235.000 USD	From US$235,000		trung:s021	acf.s091_p
s092	p	(~6,2 tỷ) · gia đình 4 người	family of 4		"#bo-qua-so: bỏ ""(~6,2 tỷ)"" — chỉ nhắc lại số USD"	acf.s092_p
s093	p	Mục đích	Purpose	100%: Purpose	trung:s029	acf.s093_p
s094	p	Quốc tịch + miễn visa	Citizenship + visa-free		trung:s030	acf.s094_p
s095	p	147 quốc gia	147 countries			acf.s095_p
s096	p	Xét duyệt	Processing	100%: Processing	trung:s032	acf.s096_p
s097	p	13 – 15	13 – 15			acf.s097_p
s098	p	tháng	months	100%: months	trung:s034	acf.s098_p
s099	p	Đặc quyền	What sets it apart			acf.s099_p
s100	p	Xin visa E-2 sang Mỹ sau 3 năm cư trú Grenada.	You can apply for a US E-2 visa after 3 years of residence in Grenada.			acf.s100_p
s101	p	Hình thức đầu tư (chọn 1)	Investment routes (choose 1)		trung:s035	acf.s101_p
s102	li	Trao tặng Chính phủ tối thiểu 235.000 USD (gia đình 4 người)	A government contribution from US$235,000 for a family of 4			acf.s102_li
s103	li	Đầu tư BĐS tối thiểu 270.000 USD, duy trì 5 năm (dự án tiêu biểu: InterContinental Grenada Resort - khách sạn 5 sao)	Real estate from US$270,000, held for 5 years (example project: InterContinental Grenada Resort — a 5-star hotel)			acf.s103_li
s104	p	Thành viên đi kèm (3 thế hệ + anh chị em)	Family members (3 generations plus siblings)			acf.s104_p
s105	li	Vợ/chồng	Your spouse	100%: Your spouse	trung:s039	acf.s105_li
s106	li	Con dưới 30 tuổi chưa kết hôn, phụ thuộc tài chính	Children under 30 who are unmarried and financially dependent	95%: Children under 30 who are unmarried and financially dependent	trung:s073	acf.s106_li
s107	li	Cha mẹ (>55 tuổi, không yêu cầu phụ thuộc); ông bà của cả 2 vợ chồng	Parents over 55, with no dependency test; grandparents on both sides		"#bo-qua-so: nguồn viết ""cả 2 vợ chồng""; bản Anh dùng ""on both sides"""	acf.s107_li#1
