id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quốc tịch Grenada	Grenada Citizenship by Investment		#bo-qua-tn: tên trang dùng cụm người bản xứ gõ, đồng bộ với các trang chương trình khác trên site	post_title
s002	h1	Quốc tịch {1}Grenada{/1}	{1}Grenada{/1} Citizenship by Investment		"#bo-qua-tn: H1 dùng từ khoá chính ""grenada citizenship by investment"""	acf.product_hero_title.product_hero_title_content#1
s003	h3	Chương trình Quốc tịch Grenada là gì?	What is the Grenada Citizenship by Investment program?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư nhập tịch (CBI) với chi phí hợp lý	Grenada citizenship by investment (CBI) at a realistic cost			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Hộ chiếu Grenada: tự do đi lại 147 quốc gia	A Grenadian passport: visa-free travel to 147 countries			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Cơ hội tiếp cận [visa E-2](https://immgroup.com/dau-tu-dinh-cu-my/visa-my-e2/) Mỹ - visa không định cư, khi đáp ứng điều kiện cư trú	Access to the US [E-2 visa](https://immgroup.com/dau-tu-dinh-cu-my/visa-my-e2/) — a non-immigrant investor visa, once you meet the domicile requirement			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item#1
s007	li	Hình thức đầu tư:	Investment routes:			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item#1
s008	li	**Trao tặng:** từ 235.000 USD/hồ sơ gia đình tối đa 4 người - khoản không hoàn lại	**Donation:** from US$235,000 for a family application of up to 4 people — non-refundable			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_subs[0].product_hero_content_text_sub_item#1
s009	li	**Bất động sản:** từ 270.000 USD vào dự án được phê duyệt (duy trì tối thiểu 5 năm)	**Real estate:** from US$270,000 in an approved project, held for at least 5 years			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_subs[1].product_hero_content_text_sub_item#1
s010	li	**IMM Group** - công ty Việt Nam đầu tiên và duy nhất được Chính phủ Grenada cấp phép tư vấn và trực tiếp thực hiện hồ sơ tại Việt Nam	**IMM Group** — the first and only Vietnamese firm licensed by the Government of Grenada to advise on and file applications directly in Vietnam		#viet-nam-hop-le	acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item#1
s011	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s012	h2	Quyền lợi quốc tịch Grenada	Benefits of Grenadian citizenship			acf.product_benefits_title
