id	loai	vi	en	tm	ghi_chu	src
s001	p	Bất động sản Cộng Hòa Síp | Dự án căn hộ	Cyprus real estate | Apartment project	100%: Cyprus real estate | Apartment project		acf.s001_p
s002	h1	Aktea Residence 4	Aktea Residence 4	100%: Aktea Residence 4		acf.s002_h1
s003	p	Căn hộ boutique cao cấp tại khu dân cư đắt giá trung tâm Limassol, đáp ứng điều kiện nhận Thường trú nhân Síp cho cả gia đình.	Premium boutique apartments in a sought-after residential district of central Limassol, qualifying under the Cyprus permanent residence route for your whole family.			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}euro_symbol{/2}Giá khởi điểm{/1}**545.000 EUR**	{1}{2}euro_symbol{/2}Starting price{/1}**€545,000**	88%: {1}{2}euro_symbol{/2}Starting price{/1}**From €320,000**		acf.s005_p#1
s006	p	{1}{2}event{/2}Dự kiến hoàn thành{/1}**Quý 4/2026**	{1}{2}event{/2}Expected completion{/1}**Q4 2026**	85%: {1}{2}event_available{/2}Expected completion{/1}**Q4 2028**		acf.s006_p#1
s007	p	{1}{2}apartment{/2}Chủ đầu tư{/1}**Cybarco**	{1}{2}apartment{/2}Developer{/1}**Cybarco**	100%: {1}{2}apartment{/2}Developer{/1}**Cybarco**		acf.s007_p#1
s008	cta	Aktea Residence 4	Aktea Residence 4	100%: Aktea Residence 4	trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Cybarco	Developer Cybarco	100%: Developer Cybarco		acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình thường trú nhân	The permanent residence route	100%: The permanent residence route		acf.s015_cta
s016	cta	Lợi thế thường trú nhân	Permanent residence advantages	100%: Permanent residence advantages		acf.s016_cta
s017	h2	Vị trí chiến lược &{br} {1}Tiềm năng thị trường{/1}	A strategic location &{br} {1}market potential{/1}	100%: A strategic location &{br} {1}market potential{/1}		acf.s017_h2#1
s018	p	Aktea Residence 4 {1}·{/1} Trung tâm Limassol {2}·{/2} Cộng Hòa Síp	Aktea Residence 4 {1}·{/1} Central Limassol {2}·{/2} Cyprus			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Nằm trong khu dân cư cao cấp riêng biệt	In an exclusive, upscale residential district			acf.s020_p
s021	h3	Mọi nhu cầu sống trong bán kính di chuyển ngắn:	Everything you need within a short drive:			acf.s021_h3
s022	h4	Bờ biển & Bãi biển Dasoudi	Seafront and Dasoudi Beach			acf.s022_h4#1
s023	p	Chỉ cách bờ biển 1km và bãi biển Dasoudi nổi tiếng vài phút di chuyển.	Just 1 km from the seafront, and a few minutes' drive from the well-known Dasoudi Beach.			acf.s023_p
s024	h4	Trung tâm kinh tế	Business district			acf.s024_h4
s025	p	Tiệm cận các tòa nhà văn phòng biểu tượng như The Oval, Trilogy Limassol Seafront.	Close to landmark office buildings such as The Oval and Trilogy Limassol Seafront.			acf.s025_p
s026	h4	Giải trí & Bến thuyền	Leisure and marina			acf.s026_h4#1
s027	p	Nằm gần Bến thuyền siêu du thuyền Limassol Marina, Công viên Sculpture Molos, Lâu đài Cổ đại và Công viên Municipal Gardens.	Near Limassol Marina and its superyacht berths, Molos Sculpture Park, the historic castle, and the Municipal Gardens.			acf.s027_p
s028	h4	Hạ tầng kết nối	Road connections			acf.s028_h4
s029	p	Dễ dàng di chuyển ra mạng lưới đường cao tốc kết nối đến các thành phố khác và các khu nghỉ dưỡng golf 18 lỗ quốc tế.	Easy access to the motorway network linking Cyprus's other cities and the island's international 18-hole golf resorts.			acf.s029_p
s030	h2	Căn hộ cao cấp tại – {1}Limassol{/1}	Premium apartments in {1}Limassol{/1}			acf.s030_h2#1
s031	p	Trung tâm kinh tế sầm uất: Tọa lạc tại Limassol – thủ phủ thương mại, tài chính và giải trí sôi động nhất Síp.	A thriving economic hub: Limassol is Cyprus's busiest commercial, financial, and entertainment center.			acf.s031_p
s032	p	Thiết kế Boutique riêng tư: Dự án quy mô gồm 4 tầng căn hộ với số lượng giới hạn, mang đến không gian sống yên tĩnh, hiện đại và khép kín.	Private boutique design: a 4-story building with a limited number of apartments, for quiet, modern, self-contained living.			acf.s032_p
s033	p	Đáp ứng điều kiện Thường trú nhân Síp: Mua trực tiếp từ Chủ đầu tư, thỏa mãn tiêu chuẩn đầu tư bất động sản mua mới để lấy Thường trú nhân vĩnh viễn (PR) Síp cho cả gia đình.	Eligible for Cyprus permanent residence: bought directly from the developer, the property meets the new-build real estate investment requirement for Cyprus permanent residence (PR), which can cover your whole family.			acf.s033_p
s034	p	Công nghệ Nhà thông minh (Smart Home): Tích hợp công nghệ hiện đại, tối ưu hiệu suất năng lượng và tính tiện nghi cho chủ sở hữu.	Smart home technology: modern systems that improve energy performance and day-to-day comfort for the owner.			acf.s034_p
s035	cta	ĐĂNG KÝ TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s035_cta
s036	h3	Bảng thông số dự án	Project specifications	100%: Project specifications		acf.s036_h3
