id	loai	vi	en	tm	ghi_chu	src
s001	p	Quốc tịch Thổ Nhĩ Kỳ | Dự án căn hộ cao cấp	Turkish citizenship | Premium apartment project			acf.s001_p
s002	h1	Axis Istanbul	Axis Istanbul			acf.s002_h1
s003	p	Căn hộ cao cấp giữa trung tâm Istanbul – Lộ trình quốc tịch Thổ Nhĩ Kỳ	Premium apartments in central Istanbul — a route to Turkish citizenship			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}paid{/2}Mức đầu tư tối thiểu{/1}**400.000 USD**	{1}{2}paid{/2}Minimum investment{/1}**US$400,000**	94%: {1}{2}paid{/2}Minimum investment{/1}**US$270,000**		acf.s005_p#1
s006	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**	100%: {1}{2}check_circle{/2}Status{/1}**Units available**		acf.s006_p#1
s007	p	{1}{2}apartment{/2}Loại hình{/1}**Căn hộ cao cấp**	{1}{2}apartment{/2}Property type{/1}**Premium apartments**	86%: {1}{2}apartment{/2}Property type{/1}**Serviced apartments**		acf.s007_p#1
s008	cta	Axis Istanbul	Axis Istanbul		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Chủ đầu tư Sur Yapi	Developer Sur Yapı			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình quốc tịch	A path to citizenship	100%: A path to citizenship		acf.s015_cta
s016	cta	Lợi thế quốc tịch	Citizenship advantages	100%: Citizenship advantages		acf.s016_cta
s017	h2	Trung tâm kinh tế{br} {1}mạn châu Âu{/1}	A business hub on{br} {1}Istanbul's European side{/1}			acf.s017_h2#1
s018	p	Quận trung tâm kinh doanh {1}·{/1} Istanbul {2}·{/2} Thổ Nhĩ Kỳ	Central business district {1}·{/1} Istanbul {2}·{/2} Türkiye			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Vị trí dự án	Project location	100%: Project location		acf.s020_p
s021	h3	Trung tâm kinh tế mạn châu Âu	A business hub on Istanbul's European side			acf.s021_h3
