id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Thường trú nhân Bồ Đào Nha	Portugal Golden Visa	100%: Portugal Golden Visa	"#bo-qua-tn: Golden Visa là thẻ cư trú 2 năm gia hạn theo chu kỳ, không phải thường trú — dịch ""permanent resident"" là sai dữ kiện"	post_title
s002	h1	THƯỜNG TRÚ NHÂN {1}BỒ ĐÀO NHA{/1}{br}(GOLDEN VISA BỒ ĐÀO NHA)	{1}Portugal{/1} Golden Visa{br}(Residency by Investment)		#bo-qua-tn: H1 dùng tên sản phẩm theo cách người bản xứ tìm	acf.product_hero_title.product_hero_title_content#1
s003	h3	GOLDEN VISA BỒ ĐÀO NHA LÀ GÌ?	What is the Portugal Golden Visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư định cư dành cho nhà đầu tư có quốc tịch ngoài Liên minh châu Âu (EU).	The Portugal Golden Visa is a residency-by-investment program for investors who hold citizenship outside the European Union.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư và gia đình được cấp thẻ cư trú Bồ Đào Nha khi đáp ứng điều kiện đầu tư của chương trình.	You and your family receive a Portuguese residence permit once you meet the program's investment requirement.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Cả gia đình được hưởng các quyền lợi tại Bồ Đào Nha về y tế, giáo dục, an sinh xã hội theo quy định.	Your whole family has access to healthcare, education, and social security in Portugal on the terms set by law.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Người có Golden Visa được miễn thị thực khi đi lại trong 29 nước Schengen.	As a Golden Visa holder, you and your family travel visa-free within the 29 countries of the Schengen Area.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Sau 10 năm duy trì Golden Visa và đáp ứng điều kiện đầu tư, cư trú, nhà đầu tư có thể nộp đơn xin quốc tịch Bồ Đào Nha.	After 10 years of holding the Golden Visa and meeting the investment and residence conditions, you can file for Portuguese citizenship under the nationality rules in force at the time.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	Mức đầu tư phổ biến từ 500.000 EUR (~15 tỷ đồng) theo hình thức Đầu tư Quỹ; một số hình thức khác có mức từ 250.000 EUR (~7,5 tỉ đồng).	The usual route is a fund investment from €500,000; some other routes start at €250,000.		"#bo-qua-so: bỏ ""(~15 tỷ đồng)"" và ""(~7,5 tỉ đồng)"" — chỉ nhắc lại số EUR"	acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item
s010	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s011	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN BỒ ĐÀO NHA	Benefits of the Portugal Golden Visa		#bo-qua-tn: nhãn mục dùng tên sản phẩm, khớp H1	acf.product_benefits_title
s012	h3	Sinh sống tại Bồ Đào Nha	Live in Portugal	100%: Live in Portugal		acf.product_benefits_items[0].product_benefits_item_title
s013	li	Cả gia đình tự do sinh sống, làm việc và học tập tại Bồ Đào Nha.	Your whole family can live, work, and study in Portugal.	100%: Your whole family can live, work, and study in Portugal.		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s014	h3	Tự do đi lại Schengen	Visa-free travel in the Schengen Area	100%: Visa-free travel in the Schengen Area		acf.product_benefits_items[1].product_benefits_item_title
s015	li	Đi lại 29 nước khối Schengen theo quy định lưu trú ngắn hạn 90 ngày trong mỗi 6 tháng.	Travel across the 29 Schengen countries under the standard short-stay rule: 90 days in any 180-day period.	100%: Travel across the 29 Schengen countries under the standard short-stay rule: 90 days in any 180-day period.	"#bo-qua-so: nguồn viết ""90 ngày trong mỗi 6 tháng""; bản Anh dùng công thức luật 90/180"	acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Phúc lợi như người bản xứ	The same benefits as local residents			acf.product_benefits_items[2].product_benefits_item_title
s017	li	Được tiếp cận hệ thống y tế và giáo dục như người bản xứ.	Access to Portugal's health and education systems on the same terms as local residents.	91%: Access to healthcare and education on the same terms as Montenegrin nationals.		acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	h3	Cơ hội nhập quốc tịch Bồ Đào Nha	A route to Portuguese citizenship	91%: Once you hold Portuguese citizenship		acf.product_benefits_items[3].product_benefits_item_title
