id	loai	vi	en	tm	ghi_chu	src
s001	p	Bất động sản Cộng Hòa Síp | Dự án biệt thự ven biển	Cyprus real estate | Beachfront villa project			acf.s001_p
s002	h1	Beachside Villa	Beachside Villa			acf.s002_h1
s003	p	Biệt thự ven biển Địa Trung Hải, lộ trình thường trú nhân vĩnh viễn Cộng Hòa Síp. Mức đầu tư từ 633.000 EUR.	Mediterranean beachfront villas and a route to permanent residence in Cyprus. Investment from €633,000.			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}villa{/2}Giá biệt thự{/1}**Từ 633.000 EUR**	{1}{2}villa{/2}Villa price{/1}**From €633,000**			acf.s005_p#1
s006	p	{1}{2}holiday_village{/2}Quy mô dự án{/1}**28 biệt thự**	{1}{2}holiday_village{/2}Project size{/1}**28 villas**			acf.s006_p#1
s007	p	{1}{2}bed{/2}Loại căn{/1}**2-3 phòng ngủ**	{1}{2}bed{/2}Unit types{/1}**2–3 bedrooms**			acf.s007_p#1
s008	cta	Beachside Villa	Beachside Villa		trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Pafilia	Developer Pafilia			acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình thường trú nhân	The permanent residence route	87%: Your route to the{br} {1}Greece Golden Visa{/1}		acf.s015_cta
s016	cta	Lợi thế thường trú nhân	Permanent residence advantages	86%: Advantages of the{br} {1}Greece Golden Visa{/1}		acf.s016_cta
s017	h2	Vị trí ven biển &{br} {1}bán đảo Akamas{/1}	A beachfront setting &{br} {1}the Akamas peninsula{/1}			acf.s017_h2#1
s018	p	Beachside Villa {1}·{/1} Gần thành phố Polis {2}·{/2} Bán đảo Akamas, Cyprus	Beachside Villa {1}·{/1} Near the town of Polis {2}·{/2} Akamas peninsula, Cyprus			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Kết nối nghỉ dưỡng thuận tiện	Well connected, easy to reach			acf.s020_p
s021	h3	Không gian yên bình, tiện ích trong tầm tay	A quiet setting with amenities close by			acf.s021_h3
s022	h4	Thành phố Polis	The town of Polis			acf.s022_h4
s023	p	Cách khoảng 12 phút lái xe.	About a 12-minute drive.			acf.s023_p
s024	h4	Bãi biển	The beach			acf.s024_h4
s025	p	Cách khoảng 1 phút đi bộ.	About a 1-minute walk.			acf.s025_p
s026	h4	Thiên nhiên Akamas	Akamas nature			acf.s026_h4
s027	p	Gần vườn quốc gia Akamas, cảng Latchi và bãi tắm Aphrodite.	Close to Akamas National Forest Park, Latchi harbor, and the Baths of Aphrodite.			acf.s027_p
s028	h4	Tiện ích lân cận	Amenities nearby			acf.s028_h4
s029	p	Không gian yên bình nhưng vẫn gần nhà hàng, trung tâm thương mại và khu giải trí.	A quiet setting that is still close to restaurants, shopping, and things to do.			acf.s029_p
