id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada tỉnh bang Saskatchewan	Saskatchewan Entrepreneur Immigration | SINP Entrepreneur Category			post_title
s002	h1	ĐỊNH CƯ CANADA DIỆN DOANH NHÂN{br}TỈNH BANG {1}SASKATCHEWAN{/1}	Entrepreneur Immigration to Canada{br}The {1}SINP Entrepreneur Category{/1}			acf.product_hero_title.product_hero_title_content#1
s003	h3	CHƯƠNG TRÌNH DOANH NHÂN SASKATCHEWAN LÀ GÌ?	What was the SINP Entrepreneur Category?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình dành cho chủ doanh nghiệp hoặc quản lý cấp cao muốn đầu tư, thành lập hoặc mua lại doanh nghiệp tại tỉnh bang Saskatchewan.	The SINP Entrepreneur Category was designed for business owners and senior managers who wanted to invest in, establish or acquire a business in the province of Saskatchewan.	93%: The stream was designed for business owners and senior managers who wanted to invest in, establish or acquire a business in the province of Ontario.		acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần trực tiếp vận hành doanh nghiệp tại Saskatchewan để đáp ứng điều kiện lên thường trú nhân Canada.	Investors had to run the business in Saskatchewan themselves to qualify for Canadian permanent residence.	92%: Investors had to run the Ontario business themselves to qualify for Canadian permanent residence.		acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ.	A spouse and children under 22 could be included in the same application.	100%: Your spouse and children under 22 can be included in the same application.		acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Mức đầu tư trước đây: từ 200.000 CAD ngoài khu vực trung tâm, hoặc 300.000 CAD tại Regina và Saskatoon.	Former investment levels: from C$200,000 for a business outside Regina and Saskatoon, or C$300,000 for a business in either city.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Lưu ý: chương trình doanh nhân Saskatchewan đã đóng với hồ sơ mới; nội dung này nên dùng ở dạng tham khảo hoặc điều hướng sang các chương trình Canada còn phù hợp hơn. Chính phủ Saskatchewan thông báo đóng vĩnh viễn các diện Entrepreneur và Farm từ 27/03/2025, không nhận hồ sơ mới, không xét EOI mới và không phát hành ITA mới.	Please note: the SINP Entrepreneur Category is closed to new applications. The Government of Saskatchewan announced that the Entrepreneur and Farm categories closed permanently on March 27, 2025, with no new applications accepted, no new Expressions of Interest (EOI) considered and no new Invitations to Apply (ITA) issued. This page is kept for reference; if Canada is still your goal, our advisors can point you to the Canadian programs that are a better fit today.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI ĐỊNH CƯ SASKATCHEWAN	Benefits of the SINP Entrepreneur Category			acf.product_benefits_title
s011	h3	Cả gia đình sang Saskatchewan	Relocation for the whole family			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Nhà đầu tư, vợ/chồng và con phụ thuộc được sinh sống, học tập và làm việc tại Saskatchewan trong giai đoạn Work Permit.	The investor, spouse and dependent children could live, study and work in Saskatchewan for the duration of the work permit.	92%: The investor, spouse and dependent children could live, study and work in Ontario for the duration of the work permit.		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Con học tại Canada	Education for your children in Canada	100%: Your children study in Canada		acf.product_benefits_items[1].product_benefits_item_title
s014	li	Con cái được học trường công miễn phí đến hết THPT. Khi gia đình có thường trú nhân, con có thể học đại học theo mức học phí dành cho người bản xứ.	Children could attend public school free of charge through the end of high school. Once the family holds permanent residence, children can attend university at domestic tuition rates.	100%: Children could attend public school free of charge through the end of high school. Once the family holds permanent residence, children can attend university at domestic tuition rates.		acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Cơ hội trở thành thường trú nhân	A route to permanent residence	100%: A path to permanent residence		acf.product_benefits_items[2].product_benefits_item_title
s016	li	Khi hoàn thành cam kết đầu tư, vận hành doanh nghiệp và đáp ứng điều kiện tỉnh bang, gia đình có thể nộp hồ sơ lên thường trú nhân Canada.	Once the investment and business commitments were met and the province's conditions satisfied, the family could apply for Canadian permanent residence.	100%: Once the investment and business commitments were met and the province's conditions satisfied, the family could apply for Canadian permanent residence.		acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Lộ trình quốc tịch Canada	A path to Canadian citizenship	100%: A route to Canadian citizenship		acf.product_benefits_items[3].product_benefits_item_title
s018	li	Sau khi có PR và đáp ứng điều kiện cư trú, thuế, ngôn ngữ và lý lịch, gia đình có thể xét nộp hồ sơ nhập quốc tịch Canada.	Once the family holds permanent residence and has met the residency, tax, language and background requirements, they can consider applying for Canadian citizenship.	100%: After obtaining permanent residence and meeting the residency, tax, language and background requirements, your family can consider applying for Canadian citizenship.		acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h2	ƯU ĐIỂM NỔI BẬT	Why investors chose this category	100%: Why investors choose this program		acf.product_advantages_title
s020	h3	Không yêu cầu học vấn	No education requirement	100%: No education requirement		acf.product_advantages_items[0].product_advantages_item_title
s021	li	Chương trình không đặt điều kiện bắt buộc về trình độ học vấn.	The category had no mandatory education requirement.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s022	h3	Không yêu cầu tiếng Anh khi nộp hồ sơ	No English test at the application stage	100%: No English test at the application stage		acf.product_advantages_items[1].product_advantages_item_title
s023	li	Nhà đầu tư không cần nộp chứng chỉ tiếng Anh tại thời điểm nộp hồ sơ ban đầu.	No English language certificate was required at the initial application stage.	92%: No English language certificate was required at the initial application stage.		acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Không yêu cầu ký quỹ	No security deposit	100%: No deposit required		acf.product_advantages_items[2].product_advantages_item_title
s025	li	Không cần ký quỹ với chính quyền tỉnh bang khi tham gia chương trình.	The province did not require a security deposit.	90%: The province required no security deposit.		acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Không giới hạn độ tuổi	No age limit	100%: No age limit		acf.product_advantages_items[3].product_advantages_item_title
s027	li	Không giới hạn tuổi tối đa; nhóm 25–49 tuổi được ưu tiên hơn.	There was no maximum age, although applicants aged 25–49 were given priority.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h3	Không cần kinh nghiệm cùng ngành đầu tư	No same-industry experience required	92%: No same-industry experience required		acf.product_advantages_items[4].product_advantages_item_title
s029	li	Nhà đầu tư không bắt buộc có kinh nghiệm đúng ngành nghề sẽ đầu tư tại Saskatchewan.	Investors did not need experience in the same industry as the business they planned to run in Saskatchewan.	89%: Investors did not need experience in the same industry as the business they planned to run in Ontario.		acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s030	h3	Yêu cầu việc làm rõ ràng	A clear job creation requirement			acf.product_advantages_items[5].product_advantages_item_title
s031	li	Nếu đầu tư tại Regina hoặc Saskatoon, doanh nghiệp cần tạo mới hoặc duy trì ít nhất 2 việc làm cho người dân Canada.	A business in Regina or Saskatoon had to create or maintain at least 2 jobs for Canadian citizens or permanent residents.			acf.product_advantages_items[5].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s032	h2	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_title
s033	h3	Là chủ doanh nghiệp hoặc quản lý cấp cao.	Business owner or senior manager	100%: You are a business owner or senior manager		acf.product_conditions_items[0].product_conditions_item_title
s034	li	Có tối thiểu 3 năm kinh nghiệm quản lý doanh nghiệp trong 10 năm gần nhất.	At least 3 years of business management experience within the previous 10 years.	86%: At least 2 years of management experience within the previous 5 years.		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s035	li	Tổng tài sản tối thiểu 500.000 CAD.	A minimum net worth of C$500,000.	97%: A minimum net worth of C$400,000.		acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s036	li	Đạt yêu cầu lý lịch an ninh và sức khỏe.	Clear security, background and medical checks.	100%: Clear security, background and medical checks.		acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s037	h3	Yêu cầu đầu tư	Investment requirements	100%: Investment requirements		acf.product_conditions_items[1].product_conditions_item_title
s038	li	Đầu tư tối thiểu 300.000 CAD nếu kinh doanh tại Regina hoặc Saskatoon.	A minimum investment of C$300,000 for a business in Regina or Saskatoon.			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s039	li	Đầu tư tối thiểu 200.000 CAD nếu kinh doanh ngoài khu vực trung tâm.	A minimum investment of C$200,000 for a business outside Regina and Saskatoon.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s040	li	Có kế hoạch kinh doanh khả thi và mang lại lợi ích kinh tế cho tỉnh bang.	A viable business plan that would deliver economic benefit to the province.	100%: A viable business plan that delivers economic benefit to the province.		acf.product_conditions_items[1].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s041	li	Trực tiếp vận hành doanh nghiệp tại Saskatchewan.	Hands-on, day-to-day management of the business in Saskatchewan.	86%: Hands-on, day-to-day management of the business in BC.		acf.product_conditions_items[1].product_conditions_item_bullets[3].product_conditions_item_bullet_text
s042	li	Tạo mới hoặc duy trì ít nhất 2 việc làm cho người dân Canada nếu đầu tư tại Regina hoặc Saskatoon.	Creation or maintenance of at least 2 jobs for Canadian citizens or permanent residents if the business was in Regina or Saskatoon.			acf.product_conditions_items[1].product_conditions_item_bullets[4].product_conditions_item_bullet_text
s043	h2	QUY TRÌNH HỒ SƠ SASKATCHEWAN	The Saskatchewan application process			acf.product_process_title
s044	h3	Thẩm định và chuẩn bị hồ sơ	Assessment and case preparation	100%: Assessment and case preparation		acf.product_process_steps[0].product_process_step_title
s045	p	Đánh giá điều kiện đương đơn, tài sản, kinh nghiệm quản lý và khả năng phù hợp với chương trình.	The applicant's eligibility, net worth, management experience and fit with the category were assessed.	100%: The applicant's eligibility, net worth, management experience and fit with the stream were assessed.		acf.product_process_steps[0].product_process_step_desc
s046	h3	Khảo sát Saskatchewan	Exploratory visit to Saskatchewan			acf.product_process_steps[1].product_process_step_title
s047	p	Nhà đầu tư sang Saskatchewan khảo sát môi trường kinh doanh và chuẩn bị kế hoạch đầu tư.	The investor traveled to Saskatchewan to assess the business environment and prepare an investment plan.	90%: The investor traveled to Ontario to assess the business environment and prepare an investment plan.		acf.product_process_steps[1].product_process_step_desc
s048	h3	Nộp EOI	Expression of Interest (EOI) submission	100%: Submit your registration (EOI)		acf.product_process_steps[2].product_process_step_title
s049	p	Nộp Thư bày tỏ nguyện vọng cho chính quyền tỉnh bang Saskatchewan.	The EOI was submitted to the Government of Saskatchewan.	89%: File an Expression of Interest with the Government of Prince Edward Island.		acf.product_process_steps[2].product_process_step_desc
s050	h3	Nhận ITA và nộp hồ sơ	Invitation to Apply (ITA) and full application	100%: Receive an Invitation to Apply (ITA) and submit your application		acf.product_process_steps[3].product_process_step_title
s051	p	Khi được mời nộp hồ sơ, nhà đầu tư hoàn tất hồ sơ chính thức cho tỉnh bang.	Once invited, the investor completed the formal application for the province.	100%: Once invited, the investor completed the formal application for the province.		acf.product_process_steps[3].product_process_step_desc
s052	h3	Phỏng vấn tỉnh bang	Provincial interview	100%: Provincial interview		acf.product_process_steps[4].product_process_step_title
