id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada Đảo Hoàng Tử Edward (PEI)	Prince Edward Island (PEI) Entrepreneur Program – Canada			post_title
s002	h1	ĐỊNH CƯ {1}CANADA{/1} DIỆN DOANH NHÂN{br}ĐẢO HOÀNG TỬ EDWARD (PEI)	{1}Canada{/1} Business Immigration{br}Prince Edward Island Entrepreneur Program			acf.product_hero_title.product_hero_title_content#1
s003	h3	Chương trình Đầu tư Doanh nhân PEI là gì?	What is the Prince Edward Island Entrepreneur Program?			acf.product_hero_content[0].product_hero_content_title
s004	li	Lộ trình định cư Canada cho chủ doanh nghiệp / quản lý cấp cao đầu tư & vận hành doanh nghiệp tại PEI.	The Prince Edward Island Entrepreneur Program is a Canadian permanent residence pathway for business owners and senior managers who invest in and personally run a business in Prince Edward Island (PEI).			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	**Đối tượng:** chủ DN / quản lý cấp cao.	**Who it is for:** business owners and senior managers.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item#1
s006	li	**Gia đình đi cùng:** vợ/chồng + con dưới 22 tuổi.	**Family included:** your spouse and children under 22.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item#1
s007	li	**Mức đầu tư:** từ 150.000 CAD (tham khảo ~2,8 tỷ đồng theo tỷ giá tham khảo; chưa gồm thuế/phí).	**Investment:** from C$150,000 (approximately US$107,000; taxes and fees not included).		#bo-qua-so: bỏ số VND (chỉ nhắc lại mức CAD); thêm quy đổi ~US$107,000 cho người đọc quốc tế	acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item#1
s008	li	Chi phí sống hợp lý hơn nhiều tỉnh bang khác; trường học chất lượng, nhiều việc làm, thiên nhiên đẹp.	The cost of living is lower than in many other provinces, with good schools, a steady job market and striking natural surroundings.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	**Cộng đồng người Việt sẵn có:** hơn 1.000 người Việt & ~50 doanh nghiệp người Việt tại PEI.	[BO]		#bo: điểm bán chỉ dành cho khách Việt — quy mô cộng đồng và doanh nghiệp người Việt tại PEI, không có ý nghĩa với người đọc quốc tế	acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item#1
s010	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s011	h2	QUYỀN LỢI ĐỊNH CƯ PEI	Benefits of settling in Prince Edward Island			acf.product_benefits_title
