id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Quốc Tịch Thổ Nhĩ Kỳ	Turkey Citizenship by Investment			post_title
s002	h1	QUỐC TỊCH {1}THỔ NHĨ KỲ{/1}	{1}Turkey{/1} Citizenship by Investment			acf.product_hero_title.product_hero_title_content#1
s003	h3	Quốc tịch Thổ Nhĩ Kỳ là gì?	What is Turkey citizenship by investment?			acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư lấy quốc tịch do Chính phủ Thổ Nhĩ Kỳ ban hành.	Turkey citizenship by investment is a program established by the Government of the Republic of Türkiye.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư và gia đình có thể trở thành công dân Thổ Nhĩ Kỳ khi đáp ứng điều kiện đầu tư.	You and your family can become Turkish citizens once you meet the investment requirement.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	**Mức đầu tư:** từ 400.000 USD (~10,4 tỷ đồng).	**Investment level:** from US$400,000.		"#bo-qua-so: bỏ ""(~10,4 tỷ đồng)"" — chỉ nhắc lại số USD, chỉ có nghĩa với khách Việt"	acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item#1
s007	li	Sau khi có quốc tịch, được tự do đi lại hơn 110 quốc gia.	Once you hold citizenship, you have visa-free or eVisa access to more than 110 countries.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Quốc tịch Thổ Nhĩ Kỳ mở lộ trình xin Visa Mỹ E-2 để đầu tư và sinh sống tại Mỹ.	Turkish citizenship opens a route to the US E-2 treaty investor visa, to invest and live in the United States.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	li	**Điều kiện xin Visa E-2:** cư trú tối thiểu 3 năm liên tiếp tại Thổ Nhĩ Kỳ trước khi nộp hồ sơ.	**To qualify for the E-2 visa:** 3 continuous years of residence and ties in Türkiye before you file, a condition US law applies to citizenship acquired through investment.			acf.product_hero_content[0].product_hero_content_text[5].product_hero_content_text_item#1
s010	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s011	h2	QUYỀN LỢI QUỐC TỊCH THỔ NHĨ KỲ	Benefits of Turkish citizenship			acf.product_benefits_title
s012	h3	Tự do đi lại quốc tế	International mobility			acf.product_benefits_items[0].product_benefits_item_title
s013	li	Miễn visa hoặc visa điện tử tới hơn 110 quốc gia, gồm Nhật Bản, Hàn Quốc, Hồng Kông, Singapore.	Visa-free or eVisa access to more than 110 countries, including Japan, South Korea, Hong Kong, and Singapore.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s014	h3	Phúc lợi cho cả gia đình	Benefits for the whole family			acf.product_benefits_items[1].product_benefits_item_title
s015	li	Cả gia đình được hưởng phúc lợi y tế, giáo dục và làm việc tại Thổ Nhĩ Kỳ với tư cách công dân.	As citizens, the whole family has access to healthcare, education, and the right to work in Türkiye.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Cơ hội xin visa E-2 vào Mỹ	A route to the US E-2 visa			acf.product_benefits_items[2].product_benefits_item_title
s017	li	Sau khi sở hữu quốc tịch và cư trú tối thiểu 3 năm, nhà đầu tư có thể xin visa E-2 - theo điều kiện chương trình.	Once you hold citizenship and can show 3 continuous years of residence and ties in Türkiye, you can apply for an E-2 visa, subject to the rules of that program.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	li	E-2 là thị thực không định cư, không phải thẻ xanh/quốc tịch Mỹ.	The E-2 is a nonimmigrant visa; it is not a green card or US citizenship.			acf.product_benefits_items[2].product_benefits_item_bullets[1].product_benefits_item_bullet_text
s019	h3	Mở rộng kinh doanh quốc tế	Room to grow an international business			acf.product_benefits_items[3].product_benefits_item_title
s020	li	Tận dụng vị trí chiến lược của Thổ Nhĩ Kỳ giữa châu Âu và châu Á để phát triển giao thương.	Türkiye sits between Europe and Asia, a useful base for cross-border trade.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s021	h3	Linh hoạt về tên khi nhập tịch	Flexibility over your name			acf.product_benefits_items[4].product_benefits_item_title
s022	li	Có thể giữ tên Việt Nam hoặc chọn tên mới theo bảng chữ cái Thổ Nhĩ Kỳ, thuận tiện giao thương quốc tế.	You can keep your current name or take a new one in the Turkish alphabet, which some investors find easier in international business.			acf.product_benefits_items[4].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s023	h2	ƯU ĐIỂM NỔI BẬT	Why investors choose this program			acf.product_advantages_title
s024	h3	Đầu tư BĐS khu trung tâm Istanbul	Real estate in central Istanbul			acf.product_advantages_items[0].product_advantages_item_title
s025	li	Mức từ 400.000 USD (~10,4 tỷ đồng) - thuộc nhóm thấp trong các chương trình lấy quốc tịch.	From US$400,000 — among the lower entry levels for a citizenship program.		"#bo-qua-so: bỏ ""(~10,4 tỷ đồng)"" — chỉ nhắc lại số USD"	acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Thời gian thụ lý dự kiến	Indicative processing time			acf.product_advantages_items[1].product_advantages_item_title
s027	li	Thời gian thụ lý dao động từ 12 đến 18 tháng.	Processing takes 12–18 months.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h3	Lên thẳng quốc tịch - điều kiện đơn giản	Straight to citizenship, with simple requirements			acf.product_advantages_items[2].product_advantages_item_title
s029	li	Không yêu cầu khám sức khỏe.	No medical examination requirement.	98%: No medical examination requirement		acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s030	li	Không yêu cầu cư trú.	No residence requirement.	97%: No residence requirement		acf.product_advantages_items[2].product_advantages_item_bullets[1].product_advantages_item_bullet_text
s031	li	Không kê khai tài sản.	No declaration of assets.			acf.product_advantages_items[2].product_advantages_item_bullets[2].product_advantages_item_bullet_text
s032	li	Không giới hạn quốc tịch đương đơn.	No restriction based on your current nationality.			acf.product_advantages_items[2].product_advantages_item_bullets[3].product_advantages_item_bullet_text
s033	h3	Không rào cản hồ sơ	No barriers in the application			acf.product_advantages_items[3].product_advantages_item_title
s034	li	Không giới hạn độ tuổi.	No age limit.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s035	li	Không yêu cầu bằng cấp hay kinh nghiệm làm việc.	No degree or work experience is required.	86%: No degree or management experience is required.		acf.product_advantages_items[3].product_advantages_item_bullets[1].product_advantages_item_bullet_text
s036	li	Không yêu cầu tiếng Anh.	No English language requirement.	97%: No English language requirement		acf.product_advantages_items[3].product_advantages_item_bullets[2].product_advantages_item_bullet_text
s037	h3	Quốc tịch vĩnh viễn, linh hoạt tài sản	Citizenship for life, and flexibility over the asset			acf.product_advantages_items[4].product_advantages_item_title
s038	li	Quốc tịch có giá trị vĩnh viễn, không ràng buộc duy trì thêm; được bán bất động sản sau 3 năm mà vẫn giữ quốc tịch.	Citizenship is held for life with no ongoing obligations, and after 3 years you may sell the property without losing your citizenship.			acf.product_advantages_items[4].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s039	h3	Bất động sản minh bạch, định giá độc lập	Transparent pricing, independent valuation			acf.product_advantages_items[5].product_advantages_item_title
s040	li	Giá bất động sản niêm yết minh bạch, áp dụng chung cho người bản xứ và nhà đầu tư nước ngoài; có chứng thư thẩm định từ đơn vị thứ ba.	Property prices are listed openly and apply equally to Turkish nationals and foreign investors, with a valuation report from an independent third party.			acf.product_advantages_items[5].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s041	h2	ĐIỀU KIỆN THAM GIA	Who can apply			acf.product_conditions_title
s042	h3	Điều kiện đương đơn	Applicant requirements	100%: Applicant requirements		acf.product_conditions_items[0].product_conditions_item_title
s043	li	Từ 18 tuổi, không giới hạn tuổi tối đa.	Aged 18 or older, with no upper age limit.	100%: Aged 18 or older, with no upper age limit.		acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s044	li	Đạt yêu cầu lý lịch an ninh & sức khỏe.	You meet the security background and health requirements.	100%: You pass the security background and health checks.		acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s045	h3	Người phụ thuộc	Dependents	100%: Dependents		acf.product_conditions_items[1].product_conditions_item_title
s046	li	Vợ/chồng hợp pháp.	Your legal spouse.	100%: Your legal spouse.		acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s047	li	Con cái dưới 18 tuổi (chưa kết hôn, phụ thuộc tài chính).	Children under 18 who are unmarried and financially dependent.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s048	li	Đạt yêu cầu lý lịch an ninh & sức khỏe.	You meet the security background and health requirements.	100%: You pass the security background and health checks.	trung:s044	acf.product_conditions_items[1].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s049	h3	Yêu cầu đầu tư	Investment requirements	100%: Investment requirements		acf.product_conditions_items[2].product_conditions_item_title
s050	li	Chứng minh nguồn tiền có nguồn gốc hợp pháp.	You document a lawful source of funds.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s051	li	Mua bất động sản đủ điều kiện từ 400.000 USD (~10,4 tỷ đồng), duy trì tối thiểu 3 năm.	Buy qualifying real estate from US$400,000 and hold it for at least 3 years.		"#bo-qua-so: bỏ ""(~10,4 tỷ đồng)"" — chỉ nhắc lại số USD"	acf.product_conditions_items[2].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s052	h2	LỘ TRÌNH THỰC HIỆN	How the process works	100%: The Grenada citizenship process, step by step		acf.product_process_title
s053	h3	Đặt cọc & thẩm định	Deposit and due diligence	100%: Deposit and due diligence		acf.product_process_steps[0].product_process_step_title
s054	p	Ký thỏa thuận đặt cọc, thẩm định hồ sơ; khảo sát thực tế (nếu cần).	Sign the deposit agreement and complete due diligence on your file, including a site visit where needed.			acf.product_process_steps[0].product_process_step_desc
s055	h3	Ký hợp đồng	Sign the contracts	100%: Sign the contracts		acf.product_process_steps[1].product_process_step_title
s056	p	Hợp đồng dịch vụ IMM Group và hợp đồng luật sư.	The service agreement with IMM Group and the agreement with your lawyer.			acf.product_process_steps[1].product_process_step_desc
s057	h3	Mua BĐS & nhận giấy tờ	Buy the property and receive the documents			acf.product_process_steps[2].product_process_step_title
s058	p	Ký hợp đồng mua bất động sản, thực hiện đầu tư; nhận Title deed và Qualification Certificate từ Sở đất đai.	Sign the purchase contract and make the investment, then receive the title deed (tapu) and the qualification certificate from the land registry.			acf.product_process_steps[2].product_process_step_desc
s059	h3	Sinh trắc lần 1 & xin thẻ cư trú	First biometrics and residence permit		"#bo-qua-so: nguồn viết ""lần 1""; bản Anh dùng ""First …"" đúng cách nói bản xứ"	acf.product_process_steps[3].product_process_step_title
s060	p	Chuẩn bị hồ sơ; sang Thổ Nhĩ Kỳ lấy sinh trắc, nộp hồ sơ xin thẻ cư trú (Residence Permit).	We prepare your file; you travel to Türkiye to provide biometrics and file for a residence permit.			acf.product_process_steps[3].product_process_step_desc
s061	h3	Sinh trắc lần 2 & nộp hồ sơ quốc tịch	Second biometrics and citizenship application		"#bo-qua-so: nguồn viết ""lần 2""; bản Anh dùng ""Second …"""	acf.product_process_steps[4].product_process_step_title
s062	p	Nhận chấp thuận thẻ; lấy sinh trắc lần 2 và nộp hồ sơ xin quốc tịch.	Your permit is approved; you provide biometrics a second time and file your citizenship application.		"#bo-qua-so: nguồn viết ""lần 2""; bản Anh dùng ""a second time"""	acf.product_process_steps[4].product_process_step_desc
s063	h3	Nhận quốc tịch & hộ chiếu	Citizenship and passport			acf.product_process_steps[5].product_process_step_title
s064	p	Nhận chấp thuận nhập tịch; đăng ký căn cước và cấp hộ chiếu tại Đại sứ quán Thổ Nhĩ Kỳ (Hà Nội) hoặc tại Thổ Nhĩ Kỳ.	Your naturalization is approved; you register for a national ID card and collect your passport at a Turkish embassy in your home country or in Türkiye.			acf.product_process_steps[5].product_process_step_desc
s065	h2	Các dự án bất động sản	Turkish real estate projects	100%: Cyprus real estate projects		acf.product_projects_title
s066	cta	Xem tất cả dự án	View all projects	100%: View all projects		acf.product_projects_cta_label
s067	h2	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in		acf.product_care_title
s068	h3	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in	trung:s067	acf.product_care_service_title
s069	p	Tìm hiểu các dịch vụ tư vấn từ IMM Group:	Explore IMM Group's advisory services:	100%: Explore IMM Group's advisory services:		acf.product_care_service_desc#1
s070	li	Các dự án bất động sản Thổ Nhĩ Kỳ	Turkish real estate projects			acf.product_care_service_links[0].product_care_service_link_title
s071	li	Đầu tư định cư Mỹ	U.S. investment immigration	100% (gắn lại thẻ ): U.S. Investor Visas{br}& Green Cards		acf.product_care_service_links[1].product_care_service_link_title
s072	li	Đầu tư định cư Canada	Canada investment immigration			acf.product_care_service_links[2].product_care_service_link_title
s073	li	Quốc tịch & thường trú nhân châu Âu	European citizenship and residency	100%: European citizenship and residency		acf.product_care_service_links[3].product_care_service_link_title
s074	li	Quốc tịch các nước vùng Caribbean	Caribbean citizenship programs	100%: Caribbean citizenship programs		acf.product_care_service_links[4].product_care_service_link_title
s075	li	Đầu Tư Định Cư New Zealand	New Zealand investment immigration			acf.product_care_service_links[5].product_care_service_link_title
s076	li	Đầu tư định cư Úc	Australia investment immigration	88%: U.S. Investor Visas{br}& Green Cards		acf.product_care_service_links[6].product_care_service_link_title
s077	h3	Hiểu về Thổ Nhĩ Kỳ	Understanding Türkiye			acf.product_care_topics_title
s078	p	Chuyên trang IMM Group tổng hợp các thông tin hữu ích với các chủ đề:	IMM Group's resource hub brings together practical information on the following topics:	100%: IMM Group's resource hub brings together practical information on the following topics:		acf.product_care_topics_desc#1
s079	li	Cuộc sống tại Thổ Nhĩ Kỳ	Living in Türkiye			acf.product_care_topics_links[0].product_care_topics_link_title
s080	li	Du lịch tại Thổ Nhĩ Kỳ	Travel in Türkiye			acf.product_care_topics_links[1].product_care_topics_link_title
s081	li	Văn hóa Thổ Nhĩ Kỳ	Turkish culture			acf.product_care_topics_links[2].product_care_topics_link_title
s082	li	Giáo dục tại Thổ Nhĩ Kỳ	Education in Türkiye			acf.product_care_topics_links[3].product_care_topics_link_title
s083	h2	Câu hỏi thường gặp về quốc tịch Thổ Nhĩ Kỳ	Turkey citizenship by investment FAQs			acf.product_faq_title
s084	h4	Rủi ro đầu tư?	What are the investment risks?	100%: What are the investment risks?		acf.product_faq_items[0].product_faq_item_question
s085	p	Các rủi ro cần lưu ý	Risks to keep in mind			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_heading
s086	li	Rủi ro chủ yếu liên quan đến dự án bất động sản.	The main risks sit with the real estate project itself.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s087	li	Nhà đầu tư cần lưu ý các điều kiện để BĐS hợp lệ: có chứng thư thẩm định giá trị đạt tối thiểu 400.000 USD (~10,4 tỷ đồng); chưa từng được dùng để lấy quốc tịch; và không thuộc sở hữu của một người nước ngoài.	For a property to qualify, an independent valuation must put its value at US$400,000 or more, it must never have been used for a citizenship application before, and it must not currently be owned by a foreign national.		"#bo-qua-so: bỏ ""(~10,4 tỷ đồng)"" — chỉ nhắc lại số USD"	acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[1].product_faq_item_section_bullet_text
s088	li	Về xét cấp quốc tịch, rủi ro được giảm thiểu nếu hồ sơ làm đúng quy trình (chương trình không yêu cầu khám sức khỏe, không kê khai tài sản, không giới hạn quốc tịch đương đơn).	On the citizenship side, risk is reduced when the file follows the process exactly: the program has no medical examination, no declaration of assets, and no restriction based on your current nationality.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[2].product_faq_item_section_bullet_text
s089	li	IMM Group hỗ trợ làm hồ sơ theo đúng yêu cầu của Chính phủ.	IMM Group prepares the file to the standard the government requires.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[3].product_faq_item_section_bullet_text
s090	p	Lưu ý: khoản đầu tư bất động sản vẫn là khoản đầu tư có rủi ro về giá trị tài sản.	Note: real estate remains an investment, and the value of the asset can rise or fall.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_note
s091	h4	Phương án đầu tư?	How is the investment structured?	100%: How is the investment structured?		acf.product_faq_items[1].product_faq_item_question
s092	p	Đầu tư bất động sản đủ điều kiện	A qualifying real estate purchase			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_heading
s093	li	Để đầu tư lấy quốc tịch Thổ Nhĩ Kỳ, nhà đầu tư mua bất động sản đủ điều kiện với giá trị từ 400.000 USD (~ 10,4 tỷ đồng, chưa gồm thuế/phí).	For Turkey citizenship by investment you purchase qualifying real estate valued at US$400,000 or more, exclusive of taxes and fees.		"#bo-qua-so: bỏ ""(~ 10,4 tỷ đồng)"" — chỉ nhắc lại số USD"	acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s094	li	Sau khoảng 12-18 tháng thụ lý (tùy hồ sơ và tiến độ cơ quan chức năng), nhà đầu tư cùng vợ/chồng và con dưới 18 tuổi (chưa kết hôn, còn phụ thuộc tài chính) được cấp quốc tịch Thổ Nhĩ Kỳ.	After roughly 12–18 months of processing, depending on your file and on the authorities' own timelines, you, your spouse, and your unmarried, financially dependent children under 18 are granted Turkish citizenship.			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[1].product_faq_item_section_bullet_text
s095	h4	Duy trì BĐS bao lâu?	How long must the property be held?			acf.product_faq_items[2].product_faq_item_question
s096	p	Thời gian duy trì khoản đầu tư	The holding period			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_heading
s097	li	Theo quy định, nhà đầu tư cần duy trì khoản đầu tư bất động sản trong 3 năm và cam kết không bán trước thời hạn này (thông tin được lưu trên hệ thống quản lý nhà đất của Thổ Nhĩ Kỳ).	Under the rules you hold the property for 3 years and give an undertaking not to sell before then; that undertaking is recorded on the Turkish land registry system.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s098	li	Trong thời gian duy trì, nhà đầu tư không cần xin gia hạn hay nộp hồ sơ định kỳ.	During the holding period there is nothing to renew and no periodic filing to make.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[1].product_faq_item_section_bullet_text
s099	li	Sau 3 năm, IMM Group cùng đối tác hỗ trợ bán lại bất động sản (không ảnh hưởng đến quốc tịch); người thân hoặc bạn bè cũng có thể mua lại để nộp hồ sơ.	After 3 years, IMM Group and our partners can help you resell the property without affecting your citizenship; family or friends may also buy it from you, subject to the eligibility rules that apply to their own application.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[2].product_faq_item_section_bullet_text
