id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Định cư Canada tỉnh bang Manitoba	Manitoba Entrepreneur Pathway	86%: Ontario Entrepreneur Stream		post_title
s002	h1	ĐỊNH CƯ CANADA DIỆN DOANH NHÂN{br}TỈNH BANG {1}MANITOBA{/1}	Entrepreneur Immigration to Canada{br}The {1}Manitoba{/1} Entrepreneur Pathway	90%: Entrepreneur Immigration to Canada{br}The {1}Ontario{/1} Entrepreneur Stream		acf.product_hero_title.product_hero_title_content#1
s003	h3	CHƯƠNG TRÌNH DOANH NHÂN MANITOBA LÀ GÌ?	What is the Manitoba Entrepreneur Pathway?	88%: What is BC PNP Entrepreneur Immigration?		acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình dành cho chủ doanh nghiệp hoặc quản lý cấp cao muốn đầu tư, mua lại hoặc vận hành doanh nghiệp tại Manitoba.	The Manitoba Entrepreneur Pathway, part of the Business Investor Stream under the Manitoba Provincial Nominee Program (MPNP), is designed for business owners and senior managers who want to invest in, acquire or operate a business in the province.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư cần trực tiếp vận hành doanh nghiệp tại tỉnh bang để đáp ứng điều kiện lên thường trú nhân Canada.	You must run the business in Manitoba yourself to qualify for Canadian permanent residence.	94%: Investors had to run the Ontario business themselves to qualify for Canadian permanent residence.		acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con dưới 22 tuổi có thể đi cùng hồ sơ.	Your spouse and children under 22 can be included in the same application.	100%: Your spouse and children under 22 can be included in the same application.		acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Mức đầu tư từ 150.000 CAD nếu kinh doanh ngoài khu vực trung tâm, hoặc 250.000 CAD nếu kinh doanh tại khu vực trung tâm Manitoba.	The minimum investment is C$150,000 for a business outside the Manitoba Capital Region, or C$250,000 for a business within it.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s009	h2	QUYỀN LỢI ĐỊNH CƯ MANITOBA	Benefits of immigrating to Manitoba			acf.product_benefits_title
s010	h3	Cả gia đình sang Manitoba	Your whole family moves to Manitoba			acf.product_benefits_items[0].product_benefits_item_title
s011	li	Tự do sinh sống, học tập và làm việc tại Manitoba trong giai đoạn Work Permit.	You are free to live, study and work in Manitoba while you hold your work permit.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s012	h3	Con học tại Canada	Your children study in Canada	100%: Your children study in Canada		acf.product_benefits_items[1].product_benefits_item_title
s013	li	Con cái được học trường công miễn phí đến hết THPT; khi có thường trú nhân, có thể học đại học với học phí như người bản xứ.	Children attend public school free of charge through the end of high school; once your family holds permanent residence, they can attend university at domestic tuition rates.	89%: Children attend public school free of charge through the end of high school; once your family holds permanent residence, they can attend university at domestic tuition rates.		acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s014	h3	Cơ hội trở thành thường trú nhân	A path to permanent residence	100%: A path to permanent residence		acf.product_benefits_items[2].product_benefits_item_title
s015	li	Khi hoàn thành cam kết với tỉnh bang, nhà đầu tư và gia đình có thể nộp hồ sơ xin thường trú nhân Canada.	Once you have met your commitments to the province, you and your family can apply for Canadian permanent residence.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s016	h3	Lộ trình quốc tịch Canada	A route to Canadian citizenship	100%: A route to Canadian citizenship		acf.product_benefits_items[3].product_benefits_item_title
s017	li	Sau khi có PR và đáp ứng điều kiện cư trú, thuế, ngôn ngữ và lý lịch, gia đình có thể xét nộp hồ sơ nhập quốc tịch Canada.	After obtaining permanent residence and meeting the residency, tax, language and background requirements, your family can consider applying for Canadian citizenship.	100%: After obtaining permanent residence and meeting the residency, tax, language and background requirements, your family can consider applying for Canadian citizenship.		acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s018	h2	ƯU ĐIỂM NỔI BẬT	Why investors choose this program	100%: Why investors choose this program		acf.product_advantages_title
s019	h3	Không giới hạn độ tuổi	No age limit	100%: No age limit		acf.product_advantages_items[0].product_advantages_item_title
s020	li	Chương trình không giới hạn tuổi tối đa; nhóm 25–49 tuổi được ưu tiên hơn.	The program sets no maximum age, although applicants aged 25–49 are given priority.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s021	h3	Không yêu cầu ký quỹ	No deposit required	100%: No deposit required		acf.product_advantages_items[1].product_advantages_item_title
s022	li	Nhà đầu tư không cần ký quỹ với tỉnh bang khi tham gia chương trình.	The province does not require you to place a deposit to take part in the program.	100%: The province does not require you to place a deposit to take part in the program.		acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s023	h3	Mức đầu tư từ 150.000 CAD	An investment starting at C$150,000	100%: An investment starting at C$150,000		acf.product_advantages_items[2].product_advantages_item_title
s024	li	Áp dụng cho khu vực ngoài trung tâm Manitoba; khu vực trung tâm yêu cầu mức đầu tư từ 250.000 CAD.	This level applies outside the Manitoba Capital Region; a business inside the Capital Region requires a minimum investment of C$250,000.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s025	h3	Chỉ cần tạo hoặc duy trì 1 việc làm	Just 1 job to create or maintain			acf.product_advantages_items[3].product_advantages_item_title
