id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Thường trú nhân Malta	Malta Golden Visa	100%: Malta residency by investment	"#bo-qua-tn: tên trang tiếng Anh dùng tên sản phẩm ""Malta Golden Visa""; thân bài vẫn dịch ""permanent residence"" đúng bảng"	post_title
s002	h1	THƯỜNG TRÚ NHÂN {1}MALTA{/1}	{1}Malta{/1} Golden Visa	100% (gắn lại thẻ {1} {/1}): Malta residency by investment	#bo-qua-tn: H1 dùng tên sản phẩm theo cách người bản xứ tìm	acf.product_hero_title.product_hero_title_content#1
s003	h3	THƯỜNG TRÚ NHÂN MALTA LÀ GÌ?	What is the Malta Golden Visa?	85%: Malta residency by investment	#bo-qua-tn: câu hỏi mở đầu dùng tên sản phẩm, khớp H1	acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình MPRP cấp quyền thường trú tại Malta do Chính phủ Malta ban hành.	The Malta Golden Visa — officially the Malta Permanent Residence Programme (MPRP) — is a Government of Malta program that grants permanent residence in Malta.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Dành cho nhà đầu tư ngoài EU/EEA và Thụy Sĩ cùng gia đình thông qua khoản đầu tư đủ điều kiện.	It is open to investors from outside the EU, EEA, and Switzerland, and to their families, through a qualifying investment.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Sinh sống tại Malta và đi lại khối Schengen ngắn hạn theo quy định 90/180 ngày.	You can live in Malta and travel in the Schengen Area on short stays under the 90/180-day rule.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Cả gia đình tới 4 thế hệ: vợ/chồng, con cái dưới 29 tuổi (còn độc thân & phụ thuộc tài chính), cha mẹ và ông bà hai bên.	Up to 4 generations of one family: your spouse, children under 29 who are unmarried and financially dependent, and the parents and grandparents on both sides.		"#bo-qua-so: bỏ ""(~ 11,3 tỷ đồng)"" và ""(~ 420 triệu đồng/năm)"" ở s008 — chỉ nhắc lại số EUR"	acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Mua bất động sản từ 375.000 EUR (~ 11,3 tỷ đồng) hoặc thuê từ 14.000 EUR/năm (~ 420 triệu đồng/năm), kèm các khoản đóng góp theo quy định.	Buy property from €375,000 or rent from €14,000 a year, together with the contributions set by the program.		#bo-qua-so: bỏ phần quy đổi VND — chỉ nhắc lại số EUR	acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN MALTA	Benefits of Maltese permanent residence	85%: Greece Golden Visa benefits		acf.product_benefits_title
