id	loai	vi	en	tm	ghi_chu	src
s001	p	Quốc tịch Dominica | Dự án resort	Dominica citizenship | Resort project			acf.s001_p
s002	h1	Secret Bay	Secret Bay			acf.s002_h1
s003	p	Resort khách sạn 6 sao danh giá vùng Caribbean.	A renowned 6-star resort in the Caribbean.			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}paid{/2}Thỏa mức đầu tư{/1}**212.000 USD**	{1}{2}paid{/2}Qualifying investment{/1}**US$212,000**			acf.s005_p#1
s006	p	{1}{2}check_circle{/2}Tình trạng{/1}**Còn suất**	{1}{2}check_circle{/2}Status{/1}**Units available**	100%: {1}{2}check_circle{/2}Status{/1}**Units available**		acf.s006_p#1
s007	p	{1}{2}hotel{/2}Loại hình{/1}**Resort 6 sao**	{1}{2}hotel{/2}Property type{/1}**6-star resort**			acf.s007_p#1
s008	cta	Secret Bay	Secret Bay		trung:s002	acf.s008_cta
s009	cta	Hình ảnh	Gallery			acf.s009_cta
s010	cta	Vị trí	Location	100%: Location		acf.s010_cta
s011	cta	Tổng quan	Overview	100%: Overview		acf.s011_cta
s012	cta	Tiện ích	Amenities			acf.s012_cta
s013	cta	Chủ đầu tư	Developer	100%: Developer		acf.s013_cta
s014	cta	Lộ trình quốc tịch	A path to citizenship	100%: A path to citizenship		acf.s014_cta
s015	cta	Lợi thế quốc tịch	Citizenship advantages			acf.s015_cta
s016	img	Video dự án Resort Secret Bay	Secret Bay resort project video			acf.s016_cta#1@alt
s017	cta	{1}play_arrow{/1}{2}Video dự án Resort Secret Bay{/2}	{1}play_arrow{/1}{2}Secret Bay resort project video{/2}			acf.s016_cta#2
s018	h2	Nằm giữa rừng nhiệt đới{br} {1}và biển Caribbean{/1}	Between the rainforest{br} {1}and the Caribbean Sea{/1}			acf.s017_h2#1
s019	p	Tibay {1}·{/1} Portsmouth {2}·{/2} Dominica	Tibay {1}·{/1} Portsmouth {2}·{/2} Dominica			acf.s018_p#1
s020	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s021	p	Vị trí dự án	Project location	100%: Project location		acf.s020_p
s022	h3	Secret Bay, Dominica	Secret Bay, Dominica			acf.s021_h3
s023	h4	Rừng nhiệt đới	Rainforest			acf.s022_h4
