id	loai	vi	en	tm	ghi_chu	src
s001	p	Bất động sản Cộng Hòa Síp | Dự án căn hộ	Cyprus real estate | Apartment project	100%: Cyprus real estate | Apartment project		acf.s001_p
s002	h1	Park Residence	Park Residence	100%: Park Residence		acf.s002_h1
s003	p	Căn hộ boutique cao cấp tại thủ đô Nicosia, hòa quyện giữa nhịp sống đô thị và không gian xanh yên bình	A boutique collection of premium apartments in Nicosia, where city life meets quiet green space.			acf.s003_p
s004	cta	YÊU CẦU TƯ VẤN	Book a consultation	100%: Book a consultation		acf.s004_cta
s005	p	{1}{2}euro_symbol{/2}Giá khởi điểm{/1}**Từ 320.000 EUR**	{1}{2}euro_symbol{/2}Starting price{/1}**From €320,000**	100%: {1}{2}euro_symbol{/2}Starting price{/1}**From €320,000**		acf.s005_p#1
s006	p	{1}{2}event{/2}Dự kiến hoàn thành{/1}**Tháng 6/2027**	{1}{2}event{/2}Expected completion{/1}**June 2027**	94%: {1}{2}event{/2}Expected completion{/1}**March 2029**		acf.s006_p#1
s007	p	{1}{2}apartment{/2}Chủ đầu tư{/1}**Cybarco**	{1}{2}apartment{/2}Developer{/1}**Cybarco**	100%: {1}{2}apartment{/2}Developer{/1}**Cybarco**		acf.s007_p#1
s008	cta	Park Residence	Park Residence	100%: Park Residence	trung:s002	acf.s008_cta
s009	cta	Hình ảnh dự án	Project gallery	100%: Project gallery		acf.s009_cta
s010	cta	Vị trí & kết nối	Location & connections	100%: Location & connections		acf.s010_cta#1
s011	cta	Tổng quan dự án	Project overview	100%: Project overview		acf.s011_cta
s012	cta	Thiết kế & tiện ích	Design & amenities	100%: Design & amenities		acf.s012_cta#1
s013	cta	Nhà phát triển Cybarco	Developer Cybarco	100%: Developer Cybarco		acf.s013_cta
s014	cta	Tiến độ dự án	Project timeline	100%: Project timeline		acf.s014_cta
s015	cta	Lộ trình thường trú nhân	The permanent residence route	100%: The permanent residence route		acf.s015_cta
s016	cta	Lợi thế thường trú nhân	Permanent residence advantages	100%: Permanent residence advantages		acf.s016_cta
s017	h2	Vị trí chiến lược &{br} {1}Tiềm năng thị trường{/1}	A strategic location &{br} {1}market potential{/1}	100%: A strategic location &{br} {1}market potential{/1}		acf.s017_h2#1
s018	p	Park Residence {1}·{/1} Khu Acropolis, Thủ đô Nicosia {2}·{/2} Cộng Hòa Síp	Park Residence {1}·{/1} Acropolis, Nicosia {2}·{/2} Cyprus			acf.s018_p#1
s019	cta	Google Maps	Google Maps	100%: Google Maps		acf.s019_cta#1
s020	p	Kết nối thuận tiện	Convenient access	100%: Convenient access		acf.s020_p
s021	h3	Di chuyển chỉ trong vòng 10 phút đến mọi tiện ích trung tâm thủ đô Nicosia:	Central Nicosia's main amenities are all within 10 minutes:			acf.s021_h3
s022	h4	Cơ quan hành chính & Chính trị	Government and administration			acf.s022_h4#1
